,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
215,3,10:50.0,,Offensive rebound by G. Robinson,50,61
216,3,10:49.0,,S. Milton makes 3-pt jump shot from 25 ft (assist by G. Robinson),50,64
217,3,10:22.0,J. Randle misses 2-pt jump shot from 18 ft,,50,64
218,3,10:18.0,,Defensive rebound by Team,50,64
219,3,10:05.0,,T. Harris makes 2-pt jump shot from 20 ft (assist by A. Horford),50,66
220,3,9:52.0,E. Payton makes 2-pt layup from 3 ft,,52,66
221,3,9:28.0,,G. Robinson makes 2-pt jump shot from 3 ft (assist by T. Harris),52,68
222,3,9:13.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by J. Randle),,55,68
223,3,8:55.0,,J. Richardson misses 2-pt jump shot from 18 ft,55,68
224,3,8:53.0,Defensive rebound by J. Randle,,55,68
225,3,8:43.0,J. Randle makes 2-pt layup from 3 ft (assist by E. Payton),,57,68
226,3,8:27.0,,Turnover by S. Milton (bad pass; steal by M. Robinson),57,68
227,3,8:14.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by J. Randle),,60,68
228,3,8:13.0,,Philadelphia full timeout,60,68
229,3,7:57.0,,J. Richardson makes 2-pt jump shot from 1 ft (assist by A. Horford),60,70
230,3,7:40.0,E. Payton misses 2-pt jump shot from 2 ft,,60,70
231,3,7:38.0,,Defensive rebound by A. Horford,60,70
232,3,7:34.0,,T. Harris misses 3-pt jump shot from 27 ft,60,70
233,3,7:30.0,,Offensive rebound by J. Richardson,60,70
234,3,7:25.0,,J. Richardson makes 2-pt dunk from 2 ft (assist by T. Harris),60,72
235,3,7:08.0,J. Randle makes 3-pt jump shot from 27 ft (assist by M. Harkless),,63,72
236,3,6:56.0,,Personal foul by R. Barrett (drawn by J. Richardson),63,72
237,3,6:45.0,,J. Richardson makes 2-pt jump shot from 17 ft (assist by A. Horford),63,74
238,3,6:29.0,Personal foul by T. Harris (drawn by J. Randle),,63,74
239,3,6:29.0,,F. Korkmaz enters the game for G. Robinson,63,74
240,3,6:14.0,M. Harkless makes 3-pt jump shot from 27 ft,,66,74
241,3,5:59.0,,J. Richardson makes 2-pt jump shot from 21 ft (assist by T. Harris),66,76
242,3,5:46.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by E. Payton),,69,76
243,3,5:24.0,,T. Harris misses 2-pt jump shot from 12 ft,69,76
244,3,5:20.0,,Offensive rebound by A. Horford,69,76
245,3,5:20.0,,A. Horford misses 2-pt layup from 1 ft,69,76
246,3,5:19.0,Defensive rebound by M. Harkless,,69,76
247,3,5:10.0,M. Harkless makes 3-pt jump shot from 27 ft (assist by J. Randle),,72,76
248,3,4:51.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by F. Korkmaz),72,79
249,3,4:36.0,Turnover by M. Harkless (bad pass),,72,79
250,3,4:36.0,R. Bullock enters the game for R. Barrett,,72,79
251,3,4:36.0,,M. Thybulle enters the game for J. Richardson,72,79
252,3,4:25.0,,F. Korkmaz makes 2-pt jump shot from 21 ft (assist by T. Harris),72,81
253,3,4:10.0,R. Bullock makes 2-pt jump shot from 15 ft (assist by E. Payton),,74,81
254,3,3:50.0,,M. Thybulle misses 2-pt jump shot from 15 ft,74,81
255,3,3:48.0,Defensive rebound by E. Payton,,74,81
256,3,3:39.0,E. Payton misses 2-pt jump shot from 4 ft,,74,81
257,3,3:36.0,,Defensive rebound by A. Horford,74,81
258,3,3:25.0,,T. Harris makes 2-pt jump shot from 2 ft,74,83
259,3,3:22.0,New York full timeout,,74,83
260,3,3:22.0,B. Portis enters the game for M. Robinson,,74,83
261,3,3:22.0,,K. O'Quinn enters the game for A. Horford,74,83
262,3,3:22.0,,J. Richardson enters the game for S. Milton,74,83
263,3,3:08.0,B. Portis misses 3-pt jump shot from 28 ft,,74,83
264,3,3:03.0,Offensive rebound by J. Randle,,74,83
265,3,3:02.0,Shooting foul by K. O'Quinn (drawn by J. Randle),,74,83
266,3,3:02.0,J. Randle misses free throw 1 of 2,,74,83
267,3,3:02.0,Offensive rebound by Team,,74,83
268,3,3:02.0,J. Randle makes free throw 2 of 2,,75,83
269,3,2:44.0,,J. Richardson misses 2-pt jump shot from 17 ft,75,83
270,3,2:39.0,,Offensive rebound by M. Thybulle,75,83
271,3,2:36.0,,M. Thybulle misses 3-pt jump shot from 27 ft,75,83
272,3,2:31.0,Defensive rebound by E. Payton,,75,83
273,3,2:24.0,B. Portis misses 3-pt jump shot from 25 ft,,75,83
274,3,2:22.0,,Defensive rebound by T. Harris,75,83
275,3,2:08.0,,Shooting foul by B. Portis (drawn by T. Harris),75,83
276,3,2:08.0,,T. Harris makes free throw 1 of 2,75,84
277,3,2:08.0,R. Barrett enters the game for E. Payton,,75,84
278,3,2:08.0,,T. Harris makes free throw 2 of 2,75,85
279,3,1:51.0,J. Randle misses 2-pt jump shot from 10 ft,,75,85
280,3,1:48.0,Offensive rebound by J. Randle,,75,85
281,3,1:47.0,J. Randle misses 2-pt layup from 2 ft,,75,85
282,3,1:45.0,,Defensive rebound by J. Richardson,75,85
283,3,1:39.0,,M. Thybulle misses 2-pt layup from 3 ft,75,85
284,3,1:34.0,Defensive rebound by J. Randle,,75,85
285,3,1:25.0,B. Portis makes 2-pt layup from 2 ft (assist by M. Harkless),,77,85
286,3,1:00.0,,T. Harris misses 3-pt jump shot from 27 ft,77,85
287,3,0:58.0,Defensive rebound by M. Harkless,,77,85
288,3,0:46.0,J. Randle makes 2-pt jump shot from 10 ft,,79,85
289,3,0:31.0,,J. Richardson makes 2-pt jump shot from 20 ft,79,87
290,3,0:07.0,M. Harkless misses 3-pt jump shot from 27 ft,,79,87
291,3,0:04.0,,Defensive rebound by K. O'Quinn,79,87
292,3,0:00.0,,Instant Replay (Request: Ruling Stands),79,87
293,4,11:44.0,,F. Korkmaz makes 2-pt layup from 5 ft (assist by A. Horford),79,89
294,4,11:25.0,M. Robinson makes 2-pt dunk from 1 ft (assist by R. Barrett),,81,89
295,4,11:13.0,,Shooting foul by R. Barrett (drawn by A. Horford),81,89
296,4,11:13.0,,A. Horford misses free throw 1 of 2,81,89
297,4,11:13.0,,Offensive rebound by Team,81,89
298,4,11:13.0,,A. Horford makes free throw 2 of 2,81,90
299,4,10:58.0,A. Trier makes 2-pt jump shot from 20 ft,,83,90
300,4,10:46.0,,F. Korkmaz makes 2-pt jump shot from 20 ft (assist by A. Horford),83,92
301,4,10:32.0,Personal foul by A. Burks (drawn by M. Robinson),,83,92
302,4,10:19.0,A. Trier misses 2-pt jump shot from 20 ft,,83,92
303,4,10:19.0,,Defensive rebound by A. Burks,83,92
304,4,10:01.0,,A. Horford misses 2-pt layup from 2 ft,83,92
305,4,9:59.0,Defensive rebound by R. Bullock,,83,92
306,4,9:54.0,R. Barrett misses 2-pt jump shot from 18 ft,,83,92
