,QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
283,3,5:45.0,,Turnover by M. Morris (out of bounds lost ball),56,63
284,3,5:30.0,T. Warren makes 2-pt dunk from 2 ft (assist by M. Brogdon),,58,63
285,3,5:16.0,,M. Morris makes 2-pt layup from 2 ft (assist by N. Jokić),58,65
286,3,5:16.0,,M. Porter enters the game for T. Craig,58,65
287,3,4:55.0,D. Sabonis misses 2-pt jump shot from 14 ft,,58,65
288,3,4:53.0,,Defensive rebound by N. Jokić,58,65
289,3,4:41.0,,M. Morris misses 3-pt jump shot from 22 ft,58,65
290,3,4:37.0,Defensive rebound by M. Brogdon,,58,65
291,3,4:33.0,Turnover by M. Brogdon (bad pass; steal by N. Jokić),,58,65
292,3,4:27.0,,J. Grant makes 2-pt layup from 3 ft (assist by N. Jokić),58,67
293,3,4:27.0,Indiana full timeout,,58,67
294,3,4:27.0,T. McConnell enters the game for J. Lamb,,58,67
295,3,4:15.0,T. Warren makes 2-pt jump shot from 15 ft,,60,67
296,3,3:57.0,,N. Jokić makes 2-pt jump shot from 20 ft (assist by W. Barton),60,69
297,3,3:40.0,T. McConnell makes 2-pt jump shot from 12 ft (assist by D. Sabonis),,62,69
298,3,3:17.0,,N. Jokić makes 2-pt hook shot from 9 ft,62,71
299,3,3:03.0,M. Brogdon makes 2-pt layup from 3 ft (assist by D. Sabonis),,64,71
300,3,2:46.0,,Shooting foul by M. Brogdon (drawn by M. Porter),64,71
301,3,2:46.0,,M. Porter makes free throw 1 of 2,64,72
302,3,2:46.0,,P. Dozier enters the game for M. Morris,64,72
303,3,2:46.0,,M. Porter makes free throw 2 of 2,64,73
304,3,2:35.0,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Brogdon),,66,73
305,3,2:16.0,,P. Dozier makes 2-pt layup from 3 ft (assist by N. Jokić),66,75
306,3,2:01.0,Turnover by D. Sabonis (lost ball; steal by J. Grant),,66,75
307,3,1:57.0,,Shooting foul by M. Brogdon (drawn by J. Grant),66,75
308,3,1:57.0,,J. Grant makes free throw 1 of 2,66,76
309,3,1:57.0,D. McDermott enters the game for T. Warren,,66,76
310,3,1:57.0,,M. Plumlee enters the game for N. Jokić,66,76
311,3,1:57.0,,J. Grant makes free throw 2 of 2,66,77
312,3,1:43.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,69,77
313,3,1:28.0,,W. Barton misses 2-pt jump shot from 14 ft,69,77
314,3,1:23.0,Defensive rebound by T. McConnell,,69,77
315,3,1:20.0,T. McConnell misses 2-pt jump shot from 9 ft,,69,77
316,3,1:16.0,,Defensive rebound by M. Porter,69,77
317,3,1:09.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by P. Dozier),69,79
318,3,0:53.0,Turnover by M. Brogdon (bad pass; steal by M. Porter),,69,79
319,3,0:49.0,,M. Porter misses 3-pt jump shot from 24 ft,69,79
320,3,0:46.0,Defensive rebound by J. Holiday,,69,79
321,3,0:37.0,T. McConnell makes 2-pt layup from 4 ft (assist by D. McDermott),,71,79
322,3,0:30.0,,P. Dozier makes 2-pt jump shot from 16 ft,71,81
323,3,0:10.0,M. Brogdon makes 3-pt jump shot from 27 ft,,74,81
324,3,0:01.0,,W. Barton misses 2-pt jump shot from 15 ft,74,81
325,3,0:01.0,,Offensive rebound by Team,74,81
326,4,11:49.0,D. McDermott makes 2-pt layup from 4 ft (assist by T. McConnell),,76,81
327,4,11:36.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by P. Dozier),76,83
328,4,11:18.0,Shooting foul by M. Porter (drawn by J. Holiday),,76,83
329,4,11:18.0,J. Holiday makes free throw 1 of 2,,77,83
330,4,11:18.0,J. Holiday makes free throw 2 of 2,,78,83
331,4,11:06.0,,P. Dozier misses 2-pt jump shot from 8 ft,78,83
332,4,11:00.0,,Offensive rebound by M. Plumlee,78,83
333,4,11:00.0,,M. Plumlee makes 2-pt dunk from 2 ft,78,85
334,4,10:52.0,A. Holiday misses 2-pt layup from 4 ft,,78,85
335,4,10:50.0,Offensive rebound by G. Bitadze,,78,85
336,4,10:50.0,G. Bitadze makes 2-pt dunk from 2 ft,,80,85
337,4,10:50.0,,Denver full timeout,80,85
338,4,10:50.0,M. Turner enters the game for G. Bitadze,,80,85
339,4,10:36.0,,P. Dozier misses 2-pt layup from 4 ft,80,85
340,4,10:32.0,Defensive rebound by T. McConnell,,80,85
341,4,10:24.0,Offensive foul by M. Turner (drawn by P. Dozier),,80,85
342,4,10:24.0,Turnover by M. Turner (offensive foul),,80,85
343,4,10:24.0,D. Sabonis enters the game for M. Turner,,80,85
344,4,10:08.0,,Turnover by M. Plumlee (bad pass),80,85
345,4,9:56.0,J. Holiday misses 3-pt jump shot from 23 ft,,80,85
346,4,9:53.0,,Defensive rebound by M. Beasley,80,85
347,4,9:45.0,,M. Porter makes 2-pt jump shot from 17 ft (assist by M. Plumlee),80,87
348,4,9:19.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,83,87
349,4,9:10.0,,M. Beasley misses 3-pt jump shot from 26 ft,83,87
350,4,9:08.0,Defensive rebound by T. McConnell,,83,87
351,4,8:59.0,Turnover by A. Holiday (bad pass; steal by M. Porter),,83,87
352,4,8:51.0,,J. Hernangómez misses 3-pt jump shot from 22 ft,83,87
353,4,8:47.0,,Offensive rebound by J. Hernangómez,83,87
354,4,8:45.0,,J. Hernangómez makes 2-pt layup from 3 ft,83,89
355,4,8:30.0,D. Sabonis misses 3-pt jump shot from 27 ft,,83,89
356,4,8:28.0,,Defensive rebound by M. Porter,83,89
357,4,8:10.0,,M. Porter makes 2-pt layup from 2 ft (assist by M. Plumlee),83,91
358,4,7:55.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by T. McConnell),,86,91
359,4,7:54.0,,Denver full timeout,86,91
360,4,7:54.0,M. Brogdon enters the game for A. Holiday,,86,91
361,4,7:34.0,,M. Porter misses 2-pt jump shot from 3 ft,86,91
362,4,7:31.0,Defensive rebound by J. Holiday,,86,91
363,4,7:27.0,D. McDermott makes 3-pt jump shot from 31 ft (assist by T. McConnell),,89,91
364,4,7:13.0,,P. Dozier misses 2-pt layup from 3 ft,89,91
365,4,7:10.0,Defensive rebound by D. Sabonis,,89,91
366,4,6:59.0,D. McDermott makes 2-pt layup from 3 ft (assist by T. McConnell),,91,91
367,4,6:39.0,,M. Beasley misses 2-pt jump shot from 5 ft,91,91
368,4,6:37.0,,Offensive rebound by M. Porter,91,91
369,4,6:31.0,,M. Porter makes 2-pt dunk at rim,91,93
370,4,6:20.0,Turnover by T. McConnell (lost ball; steal by M. Beasley),,91,93
371,4,6:14.0,,Turnover by M. Beasley (out of bounds lost ball),91,93
372,4,6:14.0,,W. Barton enters the game for M. Beasley,91,93
