,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
193,2,3:07.0,,Turnover by M. Fultz (bad pass; steal by J. Crowder),43,38
194,2,2:58.0,J. Crowder misses 3-pt jump shot from 26 ft,,43,38
195,2,2:55.0,,Defensive rebound by M. Fultz,43,38
196,2,2:51.0,,Turnover by M. Fultz (traveling),43,38
197,2,2:51.0,,A. Gordon enters the game for W. Iwundu,43,38
198,2,2:38.0,Personal foul by J. Isaac (drawn by J. Jackson),,43,38
199,2,2:31.0,Turnover by B. Clarke (lost ball; steal by A. Gordon),,43,38
200,2,2:28.0,,A. Gordon makes 2-pt layup from 2 ft,43,40
201,2,2:28.0,,Shooting foul by M. Guduric (drawn by A. Gordon),43,40
202,2,2:28.0,,A. Gordon makes free throw 1 of 1,43,41
203,2,2:07.0,J. Jackson makes 2-pt layup from 2 ft (assist by T. Jones),,45,41
204,2,1:50.0,,N. Vučević misses 2-pt layup from 1 ft,45,41
205,2,1:49.0,,Offensive rebound by N. Vučević,45,41
206,2,1:48.0,,N. Vučević makes 2-pt layup from 1 ft,45,43
207,2,1:32.0,T. Jones makes 2-pt jump shot from 11 ft (assist by J. Jackson),,47,43
208,2,1:18.0,,E. Fournier makes 2-pt layup from 3 ft (assist by N. Vučević),47,45
209,2,1:08.0,B. Clarke misses 2-pt jump shot from 20 ft,,47,45
210,2,1:08.0,,Defensive rebound by J. Isaac,47,45
211,2,1:01.0,,Personal foul by T. Jones (drawn by N. Vučević),47,45
212,2,1:01.0,K. Anderson enters the game for B. Clarke,,47,45
213,2,1:01.0,S. Hill enters the game for J. Crowder,,47,45
214,2,1:01.0,J. Morant enters the game for T. Jones,,47,45
215,2,1:01.0,,A. Aminu enters the game for J. Isaac,47,45
216,2,1:01.0,,N. Vučević makes free throw 1 of 2,47,46
217,2,1:01.0,,N. Vučević makes free throw 2 of 2,47,47
218,2,0:53.0,Turnover by J. Jackson (traveling),,47,47
219,2,0:44.0,,Personal foul by S. Hill (drawn by A. Gordon),47,47
220,2,0:44.0,,A. Gordon makes free throw 1 of 2,47,48
221,2,0:44.0,,A. Gordon makes free throw 2 of 2,47,49
222,2,0:34.0,S. Hill misses 2-pt jump shot from 12 ft,,47,49
223,2,0:30.0,,Defensive rebound by N. Vučević,47,49
224,2,0:15.0,,A. Gordon makes 2-pt layup from 1 ft,47,51
225,2,0:01.0,Shooting foul by A. Aminu (drawn by K. Anderson),,47,51
226,2,0:01.0,K. Anderson makes free throw 1 of 2,,48,51
227,2,0:01.0,K. Anderson misses free throw 2 of 2,,48,51
228,2,0:01.0,,Defensive rebound by E. Fournier,48,51
229,3,11:45.0,,M. Fultz makes 2-pt layup at rim,48,53
230,3,11:26.0,J. Morant misses 2-pt layup from 2 ft (block by M. Fultz),,48,53
231,3,11:23.0,,Defensive rebound by J. Isaac,48,53
232,3,11:18.0,,J. Isaac misses 3-pt jump shot from 26 ft,48,53
233,3,11:15.0,Defensive rebound by J. Valančiūnas,,48,53
234,3,11:03.0,J. Valančiūnas misses 2-pt jump shot from 9 ft,,48,53
235,3,11:01.0,Offensive rebound by D. Brooks,,48,53
236,3,10:58.0,J. Crowder misses 3-pt jump shot from 26 ft,,48,53
237,3,10:54.0,,Defensive rebound by J. Isaac,48,53
238,3,10:50.0,,Personal foul by J. Crowder (drawn by M. Fultz),48,53
239,3,10:37.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),48,56
240,3,10:23.0,J. Jackson misses 3-pt jump shot from 25 ft,,48,56
241,3,10:20.0,,Defensive rebound by A. Gordon,48,56
242,3,10:11.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),48,59
243,3,10:09.0,Memphis full timeout,,48,59
244,3,9:59.0,J. Jackson misses 2-pt layup from 2 ft (block by J. Isaac),,48,59
245,3,9:54.0,,Defensive rebound by N. Vučević,48,59
246,3,9:47.0,,N. Vučević misses 2-pt jump shot from 9 ft,48,59
247,3,9:44.0,Defensive rebound by J. Crowder,,48,59
248,3,9:40.0,D. Brooks misses 2-pt layup from 1 ft,,48,59
249,3,9:35.0,,Defensive rebound by N. Vučević,48,59
250,3,9:32.0,,N. Vučević misses 3-pt jump shot from 26 ft,48,59
251,3,9:28.0,Defensive rebound by J. Crowder,,48,59
252,3,9:22.0,J. Morant makes 2-pt layup from 1 ft,,50,59
253,3,9:08.0,,E. Fournier misses 3-pt jump shot from 25 ft,50,59
254,3,9:07.0,Defensive rebound by J. Valančiūnas,,50,59
255,3,9:07.0,Personal foul by E. Fournier (drawn by D. Brooks),,50,59
256,3,8:53.0,Personal foul by E. Fournier (drawn by J. Jackson),,50,59
257,3,8:43.0,J. Morant misses 2-pt layup from 3 ft,,50,59
258,3,8:40.0,,Defensive rebound by E. Fournier,50,59
259,3,8:37.0,,J. Isaac makes 2-pt layup from 1 ft (assist by E. Fournier),50,61
260,3,8:20.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by J. Crowder),,52,61
261,3,8:01.0,,E. Fournier makes 2-pt jump shot from 9 ft (assist by N. Vučević),52,63
262,3,7:44.0,J. Jackson makes 2-pt layup from 2 ft (assist by J. Morant),,54,63
263,3,7:27.0,,M. Fultz misses 3-pt jump shot from 26 ft,54,63
264,3,7:26.0,Defensive rebound by Team,,54,63
265,3,7:20.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by J. Morant),,57,63
266,3,7:07.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by M. Fultz),57,65
267,3,6:58.0,J. Morant misses 2-pt jump shot from 14 ft,,57,65
268,3,6:55.0,,Defensive rebound by J. Isaac,57,65
269,3,6:48.0,,M. Fultz misses 2-pt layup from 1 ft,57,65
270,3,6:46.0,Defensive rebound by J. Morant,,57,65
271,3,6:45.0,Shooting foul by E. Fournier (drawn by D. Brooks),,57,65
272,3,6:45.0,D. Brooks makes free throw 1 of 2,,58,65
273,3,6:45.0,B. Clarke enters the game for J. Morant,,58,65
274,3,6:45.0,T. Jones enters the game for J. Valančiūnas,,58,65
275,3,6:45.0,D. Brooks makes free throw 2 of 2,,59,65
276,3,6:32.0,,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),59,67
277,3,6:15.0,J. Crowder misses 3-pt jump shot from 27 ft,,59,67
278,3,6:12.0,,Defensive rebound by E. Fournier,59,67
279,3,5:57.0,,M. Fultz misses 2-pt jump shot from 14 ft,59,67
280,3,5:55.0,Defensive rebound by B. Clarke,,59,67
281,3,5:50.0,Personal foul by J. Isaac (drawn by D. Brooks),,59,67
282,3,5:50.0,K. Anderson enters the game for D. Brooks,,59,67
283,3,5:50.0,M. Guduric enters the game for J. Crowder,,59,67
284,3,5:50.0,,M. Carter-Williams enters the game for A. Gordon,59,67
285,3,5:43.0,Turnover by T. Jones (bad pass; steal by N. Vučević),,59,67
286,3,5:30.0,,J. Isaac makes 3-pt jump shot from 27 ft (assist by N. Vučević),59,70
287,3,5:15.0,B. Clarke misses 2-pt jump shot from 2 ft,,59,70
288,3,5:14.0,Offensive rebound by M. Guduric,,59,70
289,3,5:10.0,K. Anderson makes 3-pt jump shot from 23 ft (assist by T. Jones),,62,70
290,3,4:55.0,,Shooting foul by J. Jackson (drawn by M. Fultz),62,70
291,3,4:55.0,,M. Fultz misses free throw 1 of 2,62,70
292,3,4:55.0,,Offensive rebound by Team,62,70
293,3,4:55.0,,M. Fultz makes free throw 2 of 2,62,71
294,3,4:37.0,B. Clarke misses 3-pt jump shot from 27 ft,,62,71
295,3,4:35.0,,Defensive rebound by E. Fournier,62,71
296,3,4:31.0,,Personal foul by K. Anderson (drawn by E. Fournier),62,71
297,3,4:31.0,,D. Augustin enters the game for M. Fultz,62,71
298,3,4:26.0,,E. Fournier misses 3-pt jump shot from 27 ft,62,71
299,3,4:22.0,Defensive rebound by M. Guduric,,62,71
300,3,4:17.0,B. Clarke makes 2-pt jump shot from 13 ft (assist by K. Anderson),,64,71
