,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
263,3,7:38.0,,A. Len misses 2-pt jump shot from 12 ft,69,63
264,3,7:36.0,Defensive rebound by N. Jokić,,69,63
265,3,7:25.0,N. Jokić misses 2-pt jump shot from 22 ft,,69,63
266,3,7:18.0,,Defensive rebound by V. Carter,69,63
267,3,7:07.0,,K. Huerter makes 3-pt jump shot from 24 ft (assist by V. Carter),69,66
268,3,6:54.0,Personal foul by T. Young (drawn by J. Murray),,69,66
269,3,6:46.0,G. Harris makes 2-pt dunk from 1 ft (assist by J. Murray),,71,66
270,3,6:29.0,,V. Carter misses 3-pt jump shot from 28 ft,71,66
271,3,6:23.0,Defensive rebound by P. Millsap,,71,66
272,3,6:15.0,N. Jokić misses 3-pt jump shot from 26 ft,,71,66
273,3,6:13.0,,Defensive rebound by V. Carter,71,66
274,3,6:08.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),71,69
275,3,6:07.0,Denver full timeout,,71,69
276,3,6:07.0,J. Grant enters the game for P. Millsap,,71,69
277,3,5:48.0,N. Jokić makes 2-pt jump shot from 15 ft (assist by W. Barton),,73,69
278,3,5:28.0,,A. Len misses 2-pt layup from 9 ft (block by N. Jokić),73,69
279,3,5:25.0,Defensive rebound by W. Barton,,73,69
280,3,5:23.0,Personal foul by K. Huerter (drawn by J. Murray),,73,69
281,3,5:23.0,J. Murray makes free throw 1 of 2,,74,69
282,3,5:23.0,M. Porter enters the game for W. Barton,,74,69
283,3,5:23.0,J. Murray misses free throw 2 of 2,,74,69
284,3,5:21.0,,Defensive rebound by A. Len,74,69
285,3,5:09.0,,Personal foul by N. Jokić (drawn by T. Young),74,69
286,3,5:09.0,,C. Reddish enters the game for D. Hunter,74,69
287,3,5:04.0,,C. Reddish misses 2-pt jump shot from 20 ft,74,69
288,3,5:01.0,Defensive rebound by J. Grant,,74,69
289,3,4:55.0,J. Grant makes 2-pt layup from 3 ft,,76,69
290,3,4:46.0,,Shooting foul by G. Harris (drawn by T. Young),76,69
291,3,4:46.0,,T. Young makes free throw 1 of 3,76,70
292,3,4:46.0,,T. Young makes free throw 2 of 3,76,71
293,3,4:46.0,,T. Young makes free throw 3 of 3,76,72
294,3,4:31.0,Personal foul by T. Young (drawn by N. Jokić),,76,72
295,3,4:31.0,N. Jokić misses free throw 1 of 2,,76,72
296,3,4:31.0,Offensive rebound by Team,,76,72
297,3,4:31.0,,B. Goodwin enters the game for T. Young,76,72
298,3,4:31.0,N. Jokić makes free throw 2 of 2,,77,72
299,3,4:07.0,,Shooting foul by J. Grant (drawn by A. Len),77,72
300,3,4:07.0,,A. Len misses free throw 1 of 2,77,72
301,3,4:07.0,,Offensive rebound by Team,77,72
302,3,4:07.0,,A. Len makes free throw 2 of 2,77,73
303,3,3:48.0,N. Jokić makes 2-pt jump shot from 12 ft (assist by J. Murray),,79,73
304,3,3:40.0,,B. Goodwin makes 3-pt jump shot from 25 ft,79,76
305,3,3:32.0,Denver full timeout,,79,76
306,3,3:32.0,W. Barton enters the game for G. Harris,,79,76
307,3,3:32.0,M. Morris enters the game for J. Murray,,79,76
308,3,3:32.0,,A. Crabbe enters the game for V. Carter,79,76
309,3,3:32.0,,D. Hunter enters the game for K. Huerter,79,76
310,3,3:15.0,N. Jokić makes 2-pt jump shot from 13 ft,,81,76
311,3,3:15.0,Shooting foul by A. Len (drawn by N. Jokić),,81,76
312,3,3:15.0,,D. Jones enters the game for A. Len,81,76
313,3,3:15.0,N. Jokić makes free throw 1 of 1,,82,76
314,3,3:08.0,,Personal foul by M. Porter (drawn by C. Reddish),82,76
315,3,3:08.0,,C. Reddish makes free throw 1 of 2,82,77
316,3,3:08.0,,C. Reddish makes free throw 2 of 2,82,78
317,3,2:43.0,M. Morris misses 2-pt jump shot from 12 ft,,82,78
318,3,2:40.0,Offensive rebound by N. Jokić,,82,78
319,3,2:39.0,W. Barton makes 3-pt jump shot from 26 ft (assist by N. Jokić),,85,78
320,3,2:18.0,,C. Reddish misses 2-pt jump shot from 9 ft,85,78
321,3,2:15.0,Defensive rebound by J. Grant,,85,78
322,3,2:07.0,W. Barton makes 2-pt layup at rim (assist by N. Jokić),,87,78
323,3,1:43.0,,Shooting foul by N. Jokić (drawn by D. Jones),87,78
324,3,1:43.0,,D. Jones makes free throw 1 of 2,87,79
325,3,1:43.0,,T. Young enters the game for B. Goodwin,87,79
