,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
203,2,2:37.0,J. Holiday makes 3-pt jump shot from 22 ft (assist by M. Brogdon),,30,55
204,2,2:29.0,,Toronto full timeout,30,55
205,2,2:29.0,,K. Lowry enters the game for T. Davis,30,55
206,2,2:22.0,,O. Anunoby misses 3-pt jump shot from 27 ft,30,55
207,2,2:19.0,Defensive rebound by T. Warren,,30,55
208,2,2:09.0,Turnover by J. Holiday (lost ball; steal by K. Lowry),,30,55
209,2,2:08.0,,Turnover by S. Ibaka (bad pass; steal by M. Turner),30,55
210,2,2:03.0,T. Warren misses 2-pt layup from 1 ft,,30,55
211,2,2:01.0,,Defensive rebound by S. Ibaka,30,55
212,2,1:49.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),30,58
213,2,1:37.0,Personal foul by O. Anunoby (drawn by J. Holiday),,30,58
214,2,1:37.0,J. Holiday misses free throw 1 of 2,,30,58
215,2,1:37.0,Offensive rebound by Team,,30,58
216,2,1:37.0,,R. Hollis-Jefferson enters the game for O. Anunoby,30,58
217,2,1:37.0,J. Holiday misses free throw 2 of 2,,30,58
218,2,1:34.0,,Defensive rebound by S. Ibaka,30,58
219,2,1:22.0,,P. Siakam makes 2-pt jump shot from 17 ft (assist by F. VanVleet),30,60
220,2,1:10.0,J. Holiday misses 3-pt jump shot from 25 ft,,30,60
221,2,1:08.0,Offensive rebound by M. Brogdon,,30,60
222,2,1:05.0,Turnover by M. Brogdon (lost ball; steal by K. Lowry),,30,60
223,2,1:03.0,,Turnover by K. Lowry (bad pass; steal by M. Turner),30,60
224,2,0:59.0,Offensive foul by J. Holiday (drawn by K. Lowry),,30,60
225,2,0:59.0,Turnover by J. Holiday (offensive foul),,30,60
226,2,0:49.0,,F. VanVleet misses 3-pt jump shot from 27 ft,30,60
227,2,0:46.0,Defensive rebound by T. Warren,,30,60
228,2,0:35.0,M. Brogdon misses 2-pt jump shot from 20 ft,,30,60
229,2,0:33.0,Offensive rebound by M. Turner,,30,60
230,2,0:33.0,M. Turner makes 2-pt layup at rim,,32,60
231,2,0:31.0,,K. Lowry misses 3-pt jump shot from 32 ft,32,60
232,2,0:29.0,Defensive rebound by A. Holiday,,32,60
233,2,0:08.0,M. Brogdon misses 2-pt layup from 2 ft (block by P. Siakam),,32,60
234,2,0:06.0,,Defensive rebound by S. Ibaka,32,60
235,2,0:03.0,,F. VanVleet makes 3-pt jump shot from 27 ft (assist by K. Lowry),32,63
236,2,0:01.0,T. Warren misses 3-pt jump shot from 29 ft,,32,63
237,2,0:01.0,Offensive rebound by Team,,32,63
238,3,11:41.0,D. Sabonis makes 2-pt jump shot from 19 ft (assist by M. Brogdon),,34,63
239,3,11:24.0,,F. VanVleet misses 2-pt jump shot from 19 ft,34,63
240,3,11:20.0,Defensive rebound by M. Brogdon,,34,63
241,3,11:14.0,M. Brogdon makes 2-pt jump shot from 13 ft (assist by D. Sabonis),,36,63
242,3,10:50.0,,O. Anunoby misses 2-pt layup from 3 ft,36,63
243,3,10:50.0,,Offensive rebound by Team,36,63
244,3,10:50.0,,Turnover by O. Anunoby (traveling),36,63
245,3,10:40.0,D. Sabonis misses 2-pt jump shot from 20 ft,,36,63
246,3,10:39.0,Offensive rebound by Team,,36,63
247,3,10:39.0,,Loose ball foul by F. VanVleet (drawn by M. Brogdon),36,63
248,3,10:32.0,Personal foul by F. VanVleet (drawn by M. Brogdon),,36,63
249,3,10:26.0,M. Brogdon misses 2-pt jump shot from 21 ft,,36,63
250,3,10:23.0,Offensive rebound by M. Brogdon,,36,63
251,3,10:21.0,M. Brogdon makes 2-pt jump shot from 7 ft,,38,63
252,3,10:09.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by K. Lowry),38,65
253,3,9:57.0,A. Holiday makes 3-pt jump shot from 27 ft (assist by T. Warren),,41,65
254,3,9:46.0,,P. Siakam makes 2-pt jump shot from 13 ft,41,67
255,3,9:36.0,Offensive foul by D. Sabonis (drawn by F. VanVleet),,41,67
256,3,9:36.0,Turnover by D. Sabonis (offensive foul),,41,67
257,3,9:24.0,,P. Siakam misses 3-pt jump shot from 26 ft,41,67
258,3,9:19.0,Defensive rebound by A. Holiday,,41,67
259,3,9:02.0,M. Turner misses 3-pt jump shot from 28 ft,,41,67
260,3,8:58.0,,Defensive rebound by O. Anunoby,41,67
261,3,8:54.0,,K. Lowry makes 2-pt layup from 2 ft,41,69
262,3,8:43.0,M. Brogdon misses 2-pt layup from 2 ft,,41,69
263,3,8:42.0,,Defensive rebound by S. Ibaka,41,69
264,3,8:29.0,,Shooting foul by M. Turner (drawn by O. Anunoby),41,69
265,3,8:29.0,,O. Anunoby misses free throw 1 of 2,41,69
266,3,8:29.0,,Offensive rebound by Team,41,69
267,3,8:29.0,,O. Anunoby makes free throw 2 of 2,41,70
268,3,8:18.0,Turnover by D. Sabonis (bad pass; steal by O. Anunoby),,41,70
269,3,8:15.0,,O. Anunoby makes 2-pt layup from 1 ft,41,72
270,3,8:14.0,Indiana full timeout,,41,72
271,3,8:00.0,Turnover by T. Warren (lost ball; steal by F. VanVleet),,41,72
272,3,7:54.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by P. Siakam),41,74
273,3,7:34.0,Turnover by A. Holiday (dbl dribble),,41,74
274,3,7:11.0,,P. Siakam misses 3-pt jump shot from 26 ft,41,74
275,3,7:10.0,Defensive rebound by Team,,41,74
276,3,6:55.0,T. Warren makes 3-pt jump shot from 23 ft (assist by A. Holiday),,44,74
277,3,6:42.0,,P. Siakam misses 3-pt jump shot from 24 ft,44,74
278,3,6:39.0,Defensive rebound by M. Turner,,44,74
279,3,6:26.0,M. Turner makes 2-pt layup from 4 ft (assist by M. Brogdon),,46,74
280,3,6:15.0,,Turnover by O. Anunoby (lost ball; steal by M. Brogdon),46,74
281,3,6:11.0,M. Brogdon misses 2-pt layup from 1 ft (block by K. Lowry),,46,74
282,3,6:11.0,Offensive rebound by T. Warren,,46,74
283,3,6:11.0,T. Warren makes 2-pt layup from 1 ft,,48,74
284,3,6:11.0,,Toronto full timeout,48,74
285,3,5:53.0,,F. VanVleet misses 3-pt jump shot from 26 ft,48,74
286,3,5:50.0,,Offensive rebound by K. Lowry,48,74
287,3,5:44.0,,F. VanVleet misses 3-pt jump shot from 24 ft,48,74
288,3,5:40.0,Defensive rebound by M. Turner,,48,74
289,3,5:18.0,M. Turner misses 3-pt jump shot from 27 ft,,48,74
290,3,5:15.0,,Defensive rebound by F. VanVleet,48,74
291,3,4:58.0,,F. VanVleet makes 2-pt jump shot from 6 ft (assist by K. Lowry),48,76
292,3,4:42.0,D. Sabonis misses 2-pt hook shot from 4 ft,,48,76
293,3,4:42.0,Offensive rebound by Team,,48,76
294,3,4:42.0,,Loose ball foul by S. Ibaka (drawn by D. Sabonis),48,76
295,3,4:42.0,J. Holiday enters the game for A. Holiday,,48,76
296,3,4:42.0,J. Sampson enters the game for D. Sabonis,,48,76
297,3,4:42.0,,T. Davis enters the game for K. Lowry,48,76
298,3,4:31.0,M. Brogdon misses 3-pt jump shot from 30 ft,,48,76
299,3,4:28.0,,Defensive rebound by F. VanVleet,48,76
300,3,4:26.0,,Personal foul by M. Brogdon (drawn by S. Ibaka),48,76
301,3,4:16.0,,Turnover by F. VanVleet (bad pass; steal by J. Holiday),48,76
302,3,4:11.0,Personal foul by F. VanVleet (drawn by M. Brogdon),,48,76
303,3,4:05.0,J. Sampson misses 2-pt layup from 4 ft (block by S. Ibaka),,48,76
304,3,4:05.0,,Defensive rebound by Team,48,76
305,3,4:05.0,Loose ball foul by J. Sampson (drawn by S. Ibaka),,48,76
306,3,3:55.0,,T. Davis misses 3-pt jump shot from 28 ft,48,76
307,3,3:50.0,Defensive rebound by T. Warren,,48,76
308,3,3:37.0,T. Warren misses 2-pt jump shot from 7 ft (block by O. Anunoby),,48,76
309,3,3:35.0,,Defensive rebound by T. Davis,48,76
310,3,3:33.0,,P. Siakam makes 2-pt jump shot from 3 ft,48,78
311,3,3:33.0,,Shooting foul by J. Sampson (drawn by P. Siakam),48,78
312,3,3:33.0,,Instant Replay (Challenge: Ruling Stands),48,78
313,3,3:33.0,,P. Siakam makes free throw 1 of 1,48,79
314,3,3:33.0,,C. Boucher enters the game for S. Ibaka,48,79
315,3,3:33.0,,K. Lowry enters the game for F. VanVleet,48,79
316,3,3:19.0,J. Sampson misses 3-pt jump shot from 27 ft,,48,79
317,3,3:14.0,,Defensive rebound by C. Boucher,48,79
318,3,3:02.0,,Turnover by T. Davis (step out of bounds),48,79
319,3,2:47.0,M. Turner makes 2-pt jump shot from 4 ft,,50,79
320,3,2:47.0,Shooting foul by P. Siakam (drawn by M. Turner),,50,79
321,3,2:47.0,,R. Hollis-Jefferson enters the game for O. Anunoby,50,79
322,3,2:47.0,M. Turner makes free throw 1 of 1,,51,79
323,3,2:23.0,,K. Lowry misses 2-pt layup from 2 ft,51,79
324,3,2:23.0,Defensive rebound by J. Sampson,,51,79
325,3,2:15.0,Turnover by T. Warren (bad pass; steal by K. Lowry),,51,79
326,3,1:51.0,,Turnover by P. Siakam (bad pass; steal by J. Holiday),51,79
