,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
172,2,7:46.0,Turnover by D. Finney-Smith (bad pass; steal by J. McLaughlin),,39,26
173,2,7:46.0,,Personal take foul by D. Finney-Smith (drawn by J. McLaughlin),39,26
174,2,7:46.0,S. Curry enters the game for D. Finney-Smith,,39,26
175,2,7:46.0,J. Jackson enters the game for T. Hardaway,,39,26
176,2,7:46.0,M. Kleber enters the game for K. Porziņģis,,39,26
177,2,7:46.0,,J. Layman enters the game for M. Beasley,39,26
178,2,7:46.0,,N. Reid enters the game for J. Johnson,39,26
179,2,7:46.0,,D. Russell enters the game for J. McLaughlin,39,26
180,2,7:38.0,,K. Martin misses 2-pt layup from 4 ft,39,26
181,2,7:34.0,,Offensive rebound by K. Martin,39,26
182,2,7:34.0,,K. Martin makes 2-pt layup at rim,39,28
183,2,7:23.0,M. Kleber misses 3-pt jump shot from 26 ft,,39,28
184,2,7:19.0,,Defensive rebound by N. Reid,39,28
185,2,7:14.0,,K. Martin misses 2-pt layup from 3 ft (block by M. Kleber),39,28
186,2,7:10.0,,Offensive rebound by N. Reid,39,28
187,2,7:09.0,,J. Layman misses 2-pt hook shot from 9 ft,39,28
188,2,7:07.0,Defensive rebound by M. Kleber,,39,28
189,2,6:58.0,M. Kleber makes 2-pt dunk from 2 ft (assist by J. Barea),,41,28
190,2,6:44.0,,Shooting foul by M. Kleber (drawn by J. Layman),41,28
191,2,6:44.0,,J. Layman makes free throw 1 of 2,41,29
192,2,6:44.0,K. Porziņģis enters the game for J. Barea,,41,29
193,2,6:44.0,D. Wright enters the game for M. Kleber,,41,29
194,2,6:44.0,,J. Layman misses free throw 2 of 2,41,29
195,2,6:42.0,Defensive rebound by K. Porziņģis,,41,29
196,2,6:27.0,S. Curry misses 2-pt layup from 12 ft (block by J. Okogie),,41,29
197,2,6:25.0,,Defensive rebound by N. Reid,41,29
198,2,6:18.0,,K. Martin makes 3-pt jump shot from 24 ft (assist by D. Russell),41,32
199,2,6:18.0,Dallas full timeout,,41,32
