,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
205,2,1:39.0,D. Jones makes free throw 2 of 2,,57,67
206,2,1:14.0,,M. Morris makes 2-pt layup from 3 ft,57,69
207,2,1:02.0,V. Carter misses 3-pt jump shot from 25 ft,,57,69
208,2,1:00.0,,Defensive rebound by B. Brown,57,69
209,2,0:58.0,,Shooting foul by V. Carter (drawn by M. Morris),57,69
210,2,0:58.0,,M. Morris makes free throw 1 of 2,57,70
211,2,0:58.0,,D. Rose enters the game for L. Galloway,57,70
212,2,0:58.0,,M. Morris makes free throw 2 of 2,57,71
213,2,0:47.0,Turnover by E. Turner (bad pass; steal by B. Brown),,57,71
214,2,0:44.0,,S. Mykhailiuk misses 2-pt layup from 3 ft,57,71
215,2,0:42.0,Defensive rebound by D. Jones,,57,71
216,2,0:35.0,Turnover by V. Carter (bad pass; steal by S. Mykhailiuk),,57,71
217,2,0:25.0,,T. Maker makes 2-pt hook shot from 7 ft (assist by B. Brown),57,73
218,2,0:08.0,A. Crabbe misses 3-pt jump shot from 25 ft,,57,73
219,2,0:05.0,,Defensive rebound by B. Brown,57,73
220,2,0:00.0,,T. Maker makes 3-pt jump shot from 27 ft (assist by B. Brown),57,76
221,2,0:00.0,,Instant Replay (Request: Ruling Stands),57,76
222,3,11:41.0,D. Bembry makes 3-pt jump shot from 24 ft (assist by D. Hunter),,60,76
223,3,11:23.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by B. Brown),60,79
224,3,11:07.0,J. Parker misses 2-pt hook shot from 7 ft,,60,79
225,3,11:07.0,,Defensive rebound by B. Griffin,60,79
226,3,11:07.0,,Personal foul by J. Parker (drawn by B. Griffin),60,79
227,3,10:50.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by L. Kennard),60,82
228,3,10:40.0,D. Bembry makes 3-pt jump shot from 24 ft (assist by J. Parker),,63,82
229,3,10:18.0,,L. Galloway misses 3-pt jump shot from 25 ft,63,82
230,3,10:16.0,,Offensive rebound by A. Drummond,63,82
231,3,10:08.0,,A. Drummond makes 2-pt hook shot from 7 ft,63,84
232,3,9:53.0,Turnover by J. Parker (bad pass; steal by L. Kennard),,63,84
233,3,9:46.0,,L. Kennard misses 3-pt jump shot from 25 ft,63,84
234,3,9:44.0,Defensive rebound by T. Young,,63,84
235,3,9:36.0,T. Young makes 2-pt jump shot from 7 ft,,65,84
236,3,9:09.0,,B. Griffin makes 3-pt jump shot from 26 ft,65,87
237,3,9:01.0,T. Young misses 3-pt jump shot from 30 ft,,65,87
238,3,9:00.0,,Defensive rebound by B. Griffin,65,87
239,3,8:50.0,,B. Brown makes 3-pt jump shot from 23 ft (assist by L. Kennard),65,90
240,3,8:48.0,Atlanta full timeout,,65,90
241,3,8:30.0,D. Jones makes 2-pt dunk from 3 ft (assist by D. Hunter),,67,90
242,3,8:07.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),67,92
243,3,7:54.0,Shooting foul by B. Griffin (drawn by D. Jones),,67,92
244,3,7:54.0,D. Jones makes free throw 1 of 2,,68,92
245,3,7:54.0,D. Jones makes free throw 2 of 2,,69,92
246,3,7:36.0,,Turnover by B. Brown (bad pass),69,92
247,3,7:36.0,,Loose ball foul by B. Griffin (drawn by J. Parker),69,92
248,3,7:19.0,D. Bembry misses 2-pt jump shot from 6 ft,,69,92
249,3,7:19.0,,Defensive rebound by A. Drummond,69,92
250,3,7:00.0,,B. Griffin makes 2-pt layup from 2 ft (assist by A. Drummond),69,94
251,3,6:46.0,T. Young makes 3-pt jump shot from 28 ft,,72,94
252,3,6:30.0,,L. Kennard misses 2-pt jump shot from 13 ft,72,94
253,3,6:29.0,,Offensive rebound by A. Drummond,72,94
254,3,6:29.0,,A. Drummond misses 2-pt layup from 1 ft,72,94
255,3,6:29.0,,Offensive rebound by Team,72,94
256,3,6:29.0,,Personal foul by D. Jones (drawn by A. Drummond),72,94
257,3,6:29.0,V. Carter enters the game for D. Jones,,72,94
258,3,6:29.0,A. Len enters the game for J. Parker,,72,94
259,3,6:18.0,,Personal foul by D. Hunter (drawn by L. Kennard),72,94
260,3,6:08.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Brown),72,96
261,3,6:08.0,,D. Rose enters the game for L. Galloway,72,96
262,3,5:51.0,V. Carter misses 2-pt jump shot from 22 ft,,72,96
263,3,5:48.0,Offensive rebound by D. Bembry,,72,96
264,3,5:48.0,D. Bembry misses 2-pt layup from 2 ft (block by A. Drummond),,72,96
265,3,5:47.0,,Defensive rebound by A. Drummond,72,96
266,3,5:35.0,,B. Griffin makes 2-pt layup from 1 ft,72,98
267,3,5:20.0,V. Carter misses 3-pt jump shot from 26 ft,,72,98
268,3,5:18.0,,Defensive rebound by A. Drummond,72,98
269,3,5:02.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by L. Kennard),72,100
270,3,4:50.0,T. Young misses 3-pt jump shot from 26 ft,,72,100
271,3,4:48.0,Offensive rebound by A. Len,,72,100
272,3,4:48.0,Offensive foul by V. Carter (drawn by B. Griffin),,72,100
273,3,4:48.0,Turnover by V. Carter (offensive foul),,72,100
274,3,4:48.0,A. Crabbe enters the game for V. Carter,,72,100
275,3,4:48.0,C. Parsons enters the game for D. Hunter,,72,100
276,3,4:48.0,E. Turner enters the game for T. Young,,72,100
277,3,4:48.0,,M. Morris enters the game for B. Griffin,72,100
278,3,4:35.0,,D. Rose misses 3-pt jump shot from 25 ft,72,100
279,3,4:33.0,,Offensive rebound by A. Drummond,72,100
280,3,4:29.0,,A. Drummond misses 2-pt layup from 5 ft,72,100
281,3,4:27.0,Defensive rebound by C. Parsons,,72,100
282,3,4:14.0,D. Bembry makes 3-pt jump shot from 27 ft (assist by E. Turner),,75,100
283,3,4:05.0,,Detroit full timeout,75,100
284,3,4:05.0,,S. Mykhailiuk enters the game for B. Brown,75,100
285,3,3:54.0,,L. Kennard misses 3-pt jump shot from 24 ft,75,100
286,3,3:51.0,,Offensive rebound by M. Morris,75,100
287,3,3:48.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by S. Mykhailiuk),75,102
288,3,3:26.0,A. Len makes 2-pt dunk from 4 ft (assist by D. Bembry),,77,102
289,3,3:11.0,,M. Morris makes 2-pt dunk from 1 ft (assist by S. Mykhailiuk),77,104
290,3,3:02.0,C. Parsons misses 2-pt layup from 3 ft,,77,104
291,3,3:02.0,Offensive rebound by C. Parsons,,77,104
292,3,3:01.0,C. Parsons makes 2-pt layup from 3 ft,,79,104
293,3,2:43.0,,Turnover by L. Kennard (bad pass; steal by A. Len),79,104
294,3,2:28.0,A. Len misses 2-pt layup from 2 ft (block by L. Kennard),,79,104
295,3,2:28.0,Offensive rebound by Team,,79,104
296,3,2:21.0,C. Parsons makes 3-pt jump shot from 27 ft (assist by D. Bembry),,82,104
297,3,1:58.0,,A. Drummond misses 2-pt jump shot from 9 ft,82,104
298,3,1:56.0,Defensive rebound by A. Crabbe,,82,104
299,3,1:43.0,Turnover by E. Turner (bad pass; steal by D. Rose),,82,104
300,3,1:38.0,,L. Kennard makes 2-pt layup from 2 ft (assist by D. Rose),82,106
301,3,1:16.0,A. Crabbe misses 2-pt jump shot from 14 ft,,82,106
302,3,1:13.0,,Defensive rebound by A. Drummond,82,106
303,3,1:07.0,,Turnover by D. Rose (lost ball; steal by C. Parsons),82,106
304,3,1:03.0,D. Bembry misses 3-pt jump shot from 28 ft,,82,106
305,3,1:01.0,,Defensive rebound by Team,82,106
306,3,1:01.0,D. Hunter enters the game for D. Bembry,,82,106
307,3,1:01.0,T. Young enters the game for E. Turner,,82,106
308,3,1:01.0,,L. Galloway enters the game for L. Kennard,82,106
309,3,0:47.0,,L. Galloway misses 3-pt jump shot from 23 ft,82,106
310,3,0:47.0,,Offensive rebound by A. Drummond,82,106
311,3,0:47.0,,Shooting foul by A. Len (drawn by A. Drummond),82,106
312,3,0:47.0,,A. Drummond makes free throw 1 of 2,82,107
313,3,0:47.0,,A. Drummond misses free throw 2 of 2,82,107
314,3,0:44.0,Defensive rebound by C. Parsons,,82,107
315,3,0:38.0,Personal foul by M. Morris (drawn by C. Parsons),,82,107
316,3,0:30.0,A. Crabbe misses 3-pt jump shot from 24 ft (block by D. Rose),,82,107
317,3,0:26.0,,Defensive rebound by M. Morris,82,107
318,3,0:09.0,,Offensive foul by A. Drummond (drawn by A. Len),82,107
319,3,0:09.0,,Turnover by A. Drummond (offensive foul),82,107
320,3,0:01.0,Personal foul by A. Drummond (drawn by A. Len),,82,107
321,3,0:01.0,A. Len makes free throw 1 of 1,,83,107
322,3,0:01.0,A. Len makes free throw 1 of 1,,84,107
323,3,0:00.0,,M. Morris misses 3-pt jump shot from 66 ft,84,107
324,3,0:00.0,,Offensive rebound by Team,84,107
325,4,11:33.0,,C. Wood makes 3-pt jump shot from 24 ft,84,110
326,4,11:09.0,D. Hunter misses 2-pt jump shot from 9 ft,,84,110
327,4,11:06.0,,Defensive rebound by C. Wood,84,110
328,4,10:58.0,,L. Kennard misses 3-pt jump shot from 23 ft,84,110
329,4,10:54.0,Defensive rebound by T. Young,,84,110
330,4,10:51.0,T. Young misses 3-pt jump shot from 28 ft,,84,110
331,4,10:49.0,,Defensive rebound by C. Wood,84,110
332,4,10:20.0,,Turnover by Team (shot clock),84,110
333,4,10:10.0,Turnover by T. Young (discontinued dribble),,84,110
334,4,9:56.0,,B. Griffin makes 2-pt layup from 2 ft,84,112
335,4,9:56.0,Atlanta full timeout,,84,112
336,4,9:56.0,Instant Replay (Request: Ruling Stands),,84,112
337,4,9:56.0,J. Parker enters the game for A. Crabbe,,84,112
338,4,9:56.0,T. Wallace enters the game for T. Young,,84,112
339,4,9:40.0,D. Hunter misses 3-pt jump shot from 26 ft,,84,112
340,4,9:38.0,,Defensive rebound by B. Brown,84,112
341,4,9:16.0,,L. Kennard misses 3-pt jump shot from 25 ft,84,112
342,4,9:13.0,Defensive rebound by D. Bembry,,84,112
343,4,9:13.0,J. Parker makes 2-pt layup from 3 ft (assist by D. Bembry),,86,112
344,4,9:13.0,Shooting foul by B. Brown (drawn by J. Parker),,86,112
