,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
301,3,4:23.0,Loose ball foul by R. Gobert (drawn by M. Harrell),,59,51
302,3,4:23.0,T. Bradley enters the game for R. Gobert,,59,51
303,3,4:08.0,,Turnover by M. Harkless (bad pass; steal by J. Ingles),59,51
304,3,3:56.0,B. Bogdanović misses 2-pt layup from 2 ft,,59,51
305,3,3:55.0,Offensive rebound by T. Bradley,,59,51
306,3,3:55.0,T. Bradley makes 2-pt layup at rim,,61,51
307,3,3:55.0,,LA Clippers full timeout,61,51
308,3,3:55.0,J. Green enters the game for R. O'Neale,,61,51
309,3,3:42.0,,M. Harkless misses 2-pt layup from 2 ft,61,51
310,3,3:42.0,,Offensive rebound by M. Harrell,61,51
311,3,3:42.0,,M. Harrell makes 2-pt layup from 1 ft,61,53
312,3,3:28.0,Offensive foul by B. Bogdanović (drawn by R. McGruder),,61,53
313,3,3:28.0,Turnover by B. Bogdanović (offensive foul),,61,53
314,3,3:28.0,G. Niang enters the game for B. Bogdanović,,61,53
315,3,3:28.0,,J. Green enters the game for L. Shamet,61,53
316,3,3:17.0,,J. Green makes 3-pt jump shot from 23 ft (assist by M. Harkless),61,56
317,3,2:58.0,Shooting foul by R. McGruder (drawn by M. Conley),,61,56
318,3,2:58.0,M. Conley makes free throw 1 of 2,,62,56
319,3,2:58.0,M. Conley misses free throw 2 of 2,,62,56
320,3,2:55.0,,Defensive rebound by M. Harrell,62,56
321,3,2:45.0,,L. Williams makes 2-pt layup from 3 ft,62,58
322,3,2:27.0,J. Ingles makes 3-pt jump shot from 27 ft (assist by G. Niang),,65,58
323,3,2:16.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),65,60
324,3,1:54.0,J. Green makes 2-pt jump shot from 9 ft,,67,60
325,3,1:47.0,,M. Harrell misses 2-pt layup from 2 ft (block by T. Bradley),67,60
326,3,1:47.0,,Offensive rebound by Team,67,60
327,3,1:47.0,D. Mitchell enters the game for M. Conley,,67,60
328,3,1:40.0,,L. Williams misses 2-pt jump shot from 15 ft,67,60
329,3,1:40.0,,Offensive rebound by Team,67,60
330,3,1:40.0,Loose ball foul by T. Bradley (drawn by M. Harrell),,67,60
331,3,1:40.0,,M. Harrell makes free throw 1 of 2,67,61
332,3,1:40.0,,M. Harrell makes free throw 2 of 2,67,62
333,3,1:29.0,D. Mitchell misses 2-pt layup from 3 ft,,67,62
334,3,1:28.0,Offensive rebound by Team,,67,62
335,3,1:28.0,,Loose ball foul by R. McGruder (drawn by T. Bradley),67,62
336,3,1:28.0,T. Bradley makes free throw 1 of 2,,68,62
337,3,1:28.0,T. Bradley makes free throw 2 of 2,,69,62
338,3,1:20.0,,L. Williams misses 2-pt layup from 1 ft (block by T. Bradley),69,62
339,3,1:16.0,,Offensive rebound by L. Williams,69,62
340,3,1:07.0,,Shooting foul by D. Mitchell (drawn by J. Green),69,62
341,3,1:07.0,,J. Green makes free throw 1 of 2,69,63
342,3,1:07.0,,J. Green makes free throw 2 of 2,69,64
343,3,0:51.0,J. Ingles misses 3-pt jump shot from 31 ft,,69,64
344,3,0:48.0,,Defensive rebound by M. Harkless,69,64
345,3,0:44.0,,M. Harkless misses 2-pt layup from 1 ft,69,64
346,3,0:44.0,Defensive rebound by Team,,69,64
347,3,0:44.0,Utah full timeout,,69,64
348,3,0:36.0,J. Ingles misses 3-pt jump shot from 25 ft,,69,64
349,3,0:28.0,,Defensive rebound by J. Green,69,64
350,3,0:28.0,,Personal foul by J. Ingles (drawn by L. Williams),69,64
351,3,0:28.0,,L. Williams misses free throw 1 of 2,69,64
352,3,0:28.0,,Offensive rebound by Team,69,64
353,3,0:28.0,,L. Williams makes free throw 2 of 2,69,65
354,3,0:08.0,J. Ingles misses 3-pt jump shot from 22 ft,,69,65
355,3,0:04.0,,Defensive rebound by L. Williams,69,65
356,3,0:00.0,,L. Williams misses 3-pt jump shot from 25 ft,69,65
357,3,0:00.0,,Offensive rebound by Team,69,65
358,4,11:43.0,J. Green misses 3-pt jump shot from 24 ft,,69,65
359,4,11:41.0,,Defensive rebound by K. Leonard,69,65
360,4,11:36.0,,L. Williams makes 2-pt jump shot from 12 ft,69,67
361,4,11:12.0,D. Mitchell makes 2-pt jump shot from 7 ft,,71,67
362,4,11:04.0,,Shooting foul by R. O'Neale (drawn by L. Williams),71,67
363,4,11:04.0,,L. Williams misses free throw 1 of 2,71,67
364,4,11:04.0,,Offensive rebound by Team,71,67
365,4,11:04.0,,L. Williams makes free throw 2 of 2,71,68
366,4,10:49.0,Shooting foul by J. Green (drawn by D. Mitchell),,71,68
367,4,10:49.0,D. Mitchell makes free throw 1 of 2,,72,68
368,4,10:49.0,D. Mitchell misses free throw 2 of 2,,72,68
369,4,10:47.0,,Defensive rebound by M. Harrell,72,68
370,4,10:32.0,,K. Leonard makes 2-pt jump shot from 12 ft,72,70
371,4,10:19.0,Turnover by D. Mitchell (bad pass; steal by K. Leonard),,72,70
372,4,10:19.0,,Personal take foul by J. Ingles (drawn by K. Leonard),72,70
373,4,10:02.0,,K. Leonard misses 3-pt jump shot from 25 ft,72,70
374,4,9:59.0,Defensive rebound by J. Ingles,,72,70
375,4,9:49.0,J. Ingles misses 3-pt jump shot from 25 ft,,72,70
376,4,9:47.0,,Defensive rebound by M. Harkless,72,70
377,4,9:40.0,,J. Green misses 3-pt jump shot from 22 ft,72,70
378,4,9:32.0,,Offensive rebound by M. Harrell,72,70
379,4,9:32.0,,M. Harrell makes 2-pt layup from 1 ft,72,72
380,4,9:21.0,D. Mitchell makes 2-pt jump shot from 15 ft,,74,72
381,4,9:09.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),74,74
382,4,9:09.0,B. Bogdanović enters the game for T. Bradley,,74,74
