,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
166,2,5:09.0,K. Durant misses 3-pt jump shot from 25 ft (block by P. Siakam),,39,54
167,2,5:05.0,Offensive rebound by J. Bell,,39,54
168,2,5:02.0,Q. Cook misses 3-pt jump shot from 23 ft,,39,54
169,2,4:59.0,Offensive rebound by K. Durant,,39,54
170,2,4:59.0,K. Durant makes 2-pt jump shot from 12 ft,,41,54
171,2,4:47.0,,K. Lowry misses 3-pt jump shot from 28 ft,41,54
172,2,4:44.0,Defensive rebound by J. Jerebko,,41,54
173,2,4:32.0,A. Iguodala makes 2-pt jump shot from 19 ft (assist by Q. Cook),,43,54
174,2,4:18.0,,Shooting foul by J. Jerebko (drawn by P. Siakam),43,54
175,2,4:18.0,,P. Siakam makes free throw 1 of 2,43,55
176,2,4:18.0,K. Thompson enters the game for J. Jerebko,,43,55
177,2,4:18.0,,P. Siakam makes free throw 2 of 2,43,56
178,2,4:05.0,A. Iguodala misses 3-pt jump shot from 23 ft,,43,56
179,2,4:02.0,,Defensive rebound by K. Leonard,43,56
180,2,3:52.0,,K. Leonard misses 2-pt hook shot from 7 ft,43,56
181,2,3:48.0,Defensive rebound by J. Bell,,43,56
182,2,3:37.0,Shooting foul by D. Green (drawn by K. Thompson),,43,56
183,2,3:37.0,K. Thompson makes free throw 1 of 2,,44,56
184,2,3:37.0,K. Thompson makes free throw 2 of 2,,45,56
185,2,3:23.0,,S. Ibaka misses 2-pt jump shot from 10 ft,45,56
186,2,3:20.0,Defensive rebound by K. Durant,,45,56
187,2,3:14.0,K. Durant misses 2-pt layup from 2 ft,,45,56
188,2,3:13.0,,Defensive rebound by S. Ibaka,45,56
189,2,3:08.0,,P. Siakam makes 2-pt layup from 1 ft (assist by D. Green),45,58
190,2,2:59.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,48,58
191,2,2:48.0,,S. Ibaka makes 2-pt jump shot from 3 ft (assist by K. Lowry),48,60
192,2,2:36.0,Shooting foul by S. Ibaka (drawn by K. Durant),,48,60
193,2,2:36.0,Golden State full timeout,,48,60
194,2,2:36.0,K. Durant makes free throw 1 of 2,,49,60
195,2,2:36.0,K. Durant makes free throw 2 of 2,,50,60
196,2,2:15.0,,K. Leonard makes 2-pt jump shot from 11 ft,50,62
197,2,1:57.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),,52,62
198,2,1:47.0,,S. Ibaka misses 3-pt jump shot from 27 ft,52,62
199,2,1:44.0,Defensive rebound by K. Thompson,,52,62
200,2,1:38.0,K. Thompson makes 2-pt jump shot from 16 ft,,54,62
201,2,1:20.0,,K. Leonard makes 3-pt jump shot from 29 ft,54,65
202,2,1:03.0,K. Durant makes 2-pt jump shot from 7 ft,,56,65
