,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
139,2,8:01.0,R. Rubio enters the game for D. Mitchell,,22,30
140,2,8:01.0,,L. Aldridge enters the game for M. Belinelli,22,30
141,2,8:01.0,,D. DeRozan enters the game for J. Poeltl,22,30
142,2,7:49.0,,B. Forbes makes 2-pt jump shot from 12 ft (assist by D. White),22,32
143,2,7:37.0,Turnover by R. Rubio (palming),,22,32
144,2,7:20.0,,D. White misses 2-pt layup from 5 ft,22,32
145,2,7:17.0,,Offensive rebound by L. Aldridge,22,32
146,2,7:16.0,,Turnover by L. Aldridge (lost ball; steal by T. Sefolosha),22,32
147,2,7:10.0,T. Sefolosha makes 3-pt jump shot from 27 ft (assist by J. Ingles),,25,32
148,2,6:57.0,,Shooting foul by T. Sefolosha (drawn by D. DeRozan),25,32
149,2,6:57.0,,D. DeRozan makes free throw 1 of 2,25,33
150,2,6:57.0,,D. DeRozan makes free throw 2 of 2,25,34
151,2,6:46.0,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),,27,34
152,2,6:46.0,Shooting foul by B. Forbes (drawn by R. Gobert),,27,34
153,2,6:46.0,R. Gobert misses free throw 1 of 1,,27,34
154,2,6:46.0,,Defensive rebound by R. Gay,27,34
155,2,6:28.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. DeRozan),27,36
156,2,6:02.0,T. Sefolosha makes 2-pt jump shot from 20 ft (assist by R. Rubio),,29,36
157,2,5:43.0,,L. Aldridge makes 2-pt layup from 6 ft (assist by B. Forbes),29,38
158,2,5:22.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by J. Ingles),,32,38
159,2,5:09.0,,R. Gay misses 2-pt jump shot from 19 ft,32,38
160,2,5:06.0,Defensive rebound by R. Gobert,,32,38
161,2,4:58.0,Turnover by J. Ingles (lost ball; steal by D. DeRozan),,32,38
162,2,4:58.0,Loose ball foul by J. Ingles (drawn by D. DeRozan),,32,38
163,2,4:58.0,D. Mitchell enters the game for R. O'Neale,,32,38
164,2,4:58.0,,M. Belinelli enters the game for B. Forbes,32,38
165,2,4:58.0,,P. Mills enters the game for R. Gay,32,38
166,2,4:43.0,,L. Aldridge makes 2-pt jump shot from 19 ft,32,40
167,2,4:29.0,T. Sefolosha makes 2-pt jump shot from 18 ft (assist by R. Gobert),,34,40
168,2,4:12.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by P. Mills),34,42
169,2,3:44.0,Turnover by Team (shot clock),,34,42
170,2,3:35.0,,P. Mills misses 2-pt jump shot from 17 ft,34,42
171,2,3:32.0,,Offensive rebound by P. Mills,34,42
172,2,3:31.0,,M. Belinelli misses 3-pt jump shot from 25 ft,34,42
173,2,3:27.0,Defensive rebound by T. Sefolosha,,34,42
174,2,3:18.0,R. Rubio makes 2-pt layup from 1 ft (assist by T. Sefolosha),,36,42
175,2,3:08.0,,D. White makes 2-pt dunk from 1 ft (assist by D. DeRozan),36,44
176,2,2:49.0,D. Mitchell misses 2-pt jump shot from 13 ft,,36,44
177,2,2:49.0,,Defensive rebound by D. DeRozan,36,44
178,2,2:43.0,,Personal foul by D. Mitchell (drawn by L. Aldridge),36,44
179,2,2:43.0,J. Crowder enters the game for J. Ingles,,36,44
180,2,2:43.0,R. O'Neale enters the game for T. Sefolosha,,36,44
181,2,2:37.0,,P. Mills misses 2-pt jump shot from 19 ft,36,44
182,2,2:34.0,Defensive rebound by D. Mitchell,,36,44
183,2,2:29.0,J. Crowder misses 3-pt jump shot from 26 ft,,36,44
184,2,2:29.0,,Defensive rebound by M. Belinelli,36,44
185,2,2:20.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by M. Belinelli),36,46
186,2,1:58.0,R. Rubio misses 2-pt jump shot from 13 ft,,36,46
187,2,1:58.0,,Defensive rebound by D. DeRozan,36,46
188,2,1:47.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),36,48
189,2,1:27.0,R. O'Neale misses 2-pt layup from 8 ft (block by L. Aldridge),,36,48
190,2,1:23.0,,Defensive rebound by D. DeRozan,36,48
191,2,1:19.0,,Personal foul by R. Rubio (drawn by D. DeRozan),36,48
192,2,1:19.0,,D. DeRozan makes free throw 1 of 2,36,49
193,2,1:19.0,J. Ingles enters the game for J. Crowder,,36,49
194,2,1:19.0,,D. DeRozan makes free throw 2 of 2,36,50
195,2,1:04.0,R. O'Neale misses 2-pt layup from 8 ft (block by M. Belinelli),,36,50
196,2,1:04.0,Offensive rebound by Team,,36,50
197,2,0:55.0,R. O'Neale misses 2-pt jump shot from 10 ft,,36,50
198,2,0:53.0,Offensive rebound by R. O'Neale,,36,50
199,2,0:44.0,R. Rubio misses 2-pt jump shot from 13 ft,,36,50
200,2,0:42.0,,Defensive rebound by L. Aldridge,36,50
201,2,0:32.0,,D. DeRozan makes 2-pt jump shot from 17 ft,36,52
202,2,0:14.0,D. Mitchell misses 2-pt layup from 3 ft (block by L. Aldridge),,36,52
203,2,0:14.0,Offensive rebound by Team,,36,52
204,2,0:06.0,J. Ingles misses 2-pt jump shot from 11 ft,,36,52
205,2,0:06.0,,Defensive rebound by D. White,36,52
206,2,0:00.0,,D. DeRozan makes 2-pt layup from 2 ft,36,54
207,3,11:43.0,,L. Aldridge misses 2-pt jump shot from 19 ft,36,54
208,3,11:40.0,Defensive rebound by D. Mitchell,,36,54
209,3,11:35.0,D. Mitchell makes 3-pt jump shot from 26 ft,,39,54
210,3,11:19.0,,B. Forbes makes 2-pt layup from 5 ft (assist by R. Gay),39,56
211,3,11:04.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by R. Gobert),,42,56
212,3,10:55.0,Violation by Team (kicked ball),,42,56
213,3,10:49.0,,B. Forbes makes 2-pt jump shot from 19 ft,42,58
214,3,10:36.0,R. Gobert misses 2-pt layup from 2 ft,,42,58
215,3,10:33.0,,Defensive rebound by R. Gay,42,58
216,3,10:21.0,,B. Forbes makes 2-pt jump shot from 20 ft (assist by L. Aldridge),42,60
217,3,10:07.0,D. Mitchell misses 2-pt jump shot from 17 ft,,42,60
218,3,10:04.0,,Defensive rebound by R. Gay,42,60
219,3,9:59.0,,R. Gay makes 2-pt layup from 1 ft,42,62
220,3,9:59.0,,Shooting foul by D. Favors (drawn by R. Gay),42,62
221,3,9:59.0,,R. Gay makes free throw 1 of 1,42,63
222,3,9:47.0,D. Mitchell makes 2-pt jump shot from 9 ft (assist by R. Gobert),,44,63
223,3,9:47.0,Shooting foul by L. Aldridge (drawn by D. Mitchell),,44,63
224,3,9:47.0,D. Mitchell makes free throw 1 of 1,,45,63
225,3,9:29.0,,Turnover by R. Gay (lost ball; steal by D. Favors),45,63
226,3,9:24.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Ingles),,48,63
227,3,9:23.0,,San Antonio full timeout,48,63
228,3,9:06.0,,R. Gay makes 2-pt dunk at rim (assist by B. Forbes),48,65
229,3,8:53.0,Shooting foul by B. Forbes (drawn by D. Mitchell),,48,65
230,3,8:53.0,D. Mitchell misses free throw 1 of 2,,48,65
231,3,8:53.0,Offensive rebound by Team,,48,65
232,3,8:53.0,D. Mitchell makes free throw 2 of 2,,49,65
233,3,8:41.0,,Turnover by D. White (bad pass; steal by R. Gobert),49,65
234,3,8:32.0,R. Rubio misses 2-pt layup from 1 ft,,49,65
235,3,8:28.0,,Defensive rebound by R. Gay,49,65
236,3,8:13.0,,D. DeRozan misses 2-pt jump shot from 12 ft (block by D. Mitchell),49,65
237,3,8:09.0,Defensive rebound by J. Ingles,,49,65
238,3,8:06.0,Shooting foul by D. DeRozan (drawn by D. Mitchell),,49,65
239,3,8:06.0,D. Mitchell makes free throw 1 of 3,,50,65
240,3,8:06.0,D. Mitchell makes free throw 2 of 3,,51,65
241,3,8:06.0,D. Mitchell makes free throw 3 of 3,,52,65
242,3,7:53.0,,Personal foul by J. Ingles (drawn by D. DeRozan),52,65
243,3,7:53.0,,P. Mills enters the game for D. White,52,65
244,3,7:43.0,,L. Aldridge makes 2-pt hook shot from 7 ft (assist by D. DeRozan),52,67
245,3,7:32.0,D. Mitchell makes 3-pt jump shot from 25 ft,,55,67
246,3,7:14.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by B. Forbes),55,70
247,3,6:58.0,R. Gobert misses 2-pt layup from 2 ft (block by L. Aldridge),,55,70
248,3,6:58.0,Offensive rebound by Team,,55,70
249,3,6:58.0,J. Crowder enters the game for D. Favors,,55,70
250,3,6:58.0,R. O'Neale enters the game for J. Ingles,,55,70
251,3,6:45.0,Turnover by Team (shot clock),,55,70
252,3,6:36.0,,D. DeRozan makes 2-pt jump shot from 21 ft,55,72
253,3,6:14.0,D. Mitchell misses 2-pt jump shot from 9 ft,,55,72
254,3,6:11.0,Offensive rebound by R. Gobert,,55,72
255,3,6:09.0,R. Gobert misses 2-pt layup from 3 ft (block by D. DeRozan),,55,72
256,3,6:09.0,,Defensive rebound by B. Forbes,55,72
257,3,6:06.0,,Turnover by P. Mills (traveling),55,72
258,3,5:52.0,R. Gobert makes 2-pt layup from 1 ft,,57,72
259,3,5:52.0,Shooting foul by L. Aldridge (drawn by R. Gobert),,57,72
260,3,5:52.0,R. Gobert makes free throw 1 of 1,,58,72
261,3,5:45.0,,Personal foul by R. O'Neale (drawn by D. DeRozan),58,72
262,3,5:38.0,,Turnover by L. Aldridge (traveling),58,72
