,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
157,2,6:28.0,,D. Green makes 2-pt jump shot from 12 ft (assist by K. Durant),32,37
158,2,6:10.0,N. Hilário makes 2-pt jump shot from 10 ft (assist by J. Harden),,34,37
159,2,5:52.0,,K. Thompson makes 3-pt jump shot from 27 ft,34,40
160,2,5:35.0,Shooting foul by K. Durant (drawn by N. Hilário),,34,40
161,2,5:35.0,N. Hilário makes free throw 1 of 2,,35,40
162,2,5:35.0,E. Gordon enters the game for I. Shumpert,,35,40
163,2,5:35.0,N. Hilário makes free throw 2 of 2,,36,40
164,2,5:26.0,,S. Curry makes 3-pt jump shot from 26 ft,36,43
165,2,5:02.0,D. House makes 3-pt jump shot from 24 ft (assist by J. Harden),,39,43
166,2,4:50.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by D. Green),39,45
167,2,4:36.0,Personal foul by S. Curry (drawn by D. House),,39,45
168,2,4:22.0,Turnover by Team (shot clock),,39,45
169,2,4:11.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),39,47
170,2,3:45.0,J. Harden makes 3-pt jump shot from 28 ft,,42,47
171,2,3:37.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by S. Curry),42,49
172,2,3:37.0,C. Capela enters the game for N. Hilário,,42,49
173,2,3:37.0,C. Paul enters the game for D. House,,42,49
174,2,3:13.0,Shooting foul by S. Curry (drawn by E. Gordon),,42,49
175,2,3:13.0,,Technical foul by D. Green,42,49
176,2,3:13.0,C. Paul makes technical free throw,,43,49
177,2,3:13.0,E. Gordon misses free throw 1 of 2,,43,49
178,2,3:13.0,Offensive rebound by Team,,43,49
179,2,3:13.0,E. Gordon makes free throw 2 of 2,,44,49
180,2,3:02.0,,S. Curry makes 2-pt layup from 9 ft,44,51
181,2,2:38.0,J. Harden misses 3-pt jump shot from 27 ft,,44,51
182,2,2:36.0,,Defensive rebound by Team,44,51
183,2,2:36.0,,Golden State full timeout,44,51
184,2,2:36.0,D. House enters the game for C. Capela,,44,51
185,2,2:27.0,,S. Curry misses 3-pt jump shot from 28 ft,44,51
186,2,2:24.0,Defensive rebound by D. House,,44,51
187,2,2:06.0,D. House misses 3-pt jump shot from 26 ft,,44,51
188,2,2:01.0,,Defensive rebound by K. Durant,44,51
189,2,1:58.0,,K. Durant misses 3-pt jump shot from 29 ft (block by E. Gordon),44,51
190,2,1:57.0,,Offensive rebound by D. Green,44,51
191,2,1:56.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),44,53
192,2,1:39.0,E. Gordon makes 3-pt jump shot from 29 ft (assist by J. Harden),,47,53
193,2,1:25.0,,Turnover by K. Durant (bad pass; steal by J. Harden),47,53
194,2,1:00.0,Turnover by Team (shot clock),,47,53
195,2,0:44.0,,Turnover by K. Durant (lost ball; steal by J. Harden),47,53
196,2,0:40.0,C. Paul makes 3-pt jump shot from 25 ft,,50,53
197,2,0:26.0,,Turnover by S. Curry (lost ball; steal by P. Tucker),50,53
198,2,0:22.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Harden),,53,53
199,2,0:04.0,,Shooting foul by P. Tucker (drawn by A. Iguodala),53,53
200,2,0:04.0,,A. Iguodala misses free throw 1 of 2,53,53
201,2,0:04.0,,Offensive rebound by Team,53,53
202,2,0:04.0,C. Capela enters the game for D. House,,53,53
203,2,0:04.0,,J. Bell enters the game for S. Curry,53,53
204,2,0:04.0,,S. Livingston enters the game for K. Durant,53,53
205,2,0:04.0,,A. McKinnie enters the game for K. Thompson,53,53
206,2,0:04.0,,A. Iguodala misses free throw 2 of 2,53,53
207,2,0:02.0,Defensive rebound by J. Harden,,53,53
208,2,0:00.0,J. Harden misses 3-pt jump shot from 55 ft,,53,53
209,2,0:00.0,Offensive rebound by Team,,53,53
210,3,11:41.0,Personal foul by S. Curry (drawn by E. Gordon),,53,53
211,3,11:28.0,J. Harden makes 2-pt layup from 6 ft (assist by C. Capela),,55,53
212,3,11:14.0,,Personal foul by C. Paul (drawn by A. Iguodala),55,53
213,3,11:01.0,,D. Green misses 3-pt jump shot from 28 ft,55,53
214,3,10:59.0,Defensive rebound by C. Capela,,55,53
215,3,10:52.0,J. Harden misses 3-pt jump shot from 27 ft,,55,53
216,3,10:50.0,,Defensive rebound by A. Iguodala,55,53
217,3,10:41.0,,Turnover by D. Green (bad pass; steal by P. Tucker),55,53
218,3,10:24.0,Turnover by C. Paul (bad pass; steal by D. Green),,55,53
219,3,10:15.0,,K. Durant misses 2-pt jump shot from 12 ft,55,53
220,3,10:14.0,Defensive rebound by P. Tucker,,55,53
221,3,10:06.0,E. Gordon makes 2-pt layup from 2 ft,,57,53
222,3,9:50.0,,S. Curry misses 3-pt jump shot from 29 ft,57,53
223,3,9:48.0,Defensive rebound by C. Paul,,57,53
224,3,9:44.0,P. Tucker misses 3-pt jump shot from 24 ft (block by D. Green),,57,53
225,3,9:42.0,,Defensive rebound by S. Curry,57,53
226,3,9:34.0,,K. Thompson makes 2-pt jump shot from 6 ft,57,55
227,3,9:34.0,,Shooting foul by P. Tucker (drawn by K. Thompson),57,55
228,3,9:34.0,,K. Thompson makes free throw 1 of 1,57,56
229,3,9:19.0,J. Harden misses 2-pt layup from 7 ft (block by K. Durant),,57,56
230,3,9:18.0,,Defensive rebound by S. Curry,57,56
231,3,9:15.0,,K. Thompson misses 3-pt jump shot from 28 ft,57,56
232,3,9:14.0,,Offensive rebound by Team,57,56
233,3,9:14.0,Loose ball foul by C. Capela (drawn by D. Green),,57,56
234,3,9:05.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),57,58
235,3,8:47.0,Shooting foul by D. Green (drawn by C. Paul),,57,58
236,3,8:47.0,C. Paul misses free throw 1 of 2,,57,58
237,3,8:47.0,Offensive rebound by Team,,57,58
238,3,8:47.0,D. House enters the game for C. Capela,,57,58
239,3,8:47.0,C. Paul makes free throw 2 of 2,,58,58
240,3,8:30.0,,Shooting foul by P. Tucker (drawn by K. Durant),58,58
241,3,8:30.0,,K. Durant misses free throw 1 of 2,58,58
242,3,8:30.0,,Offensive rebound by Team,58,58
243,3,8:30.0,,K. Durant makes free throw 2 of 2,58,59
244,3,8:14.0,D. House misses 3-pt jump shot from 28 ft,,58,59
245,3,8:12.0,,Defensive rebound by K. Thompson,58,59
246,3,8:04.0,,K. Durant makes 2-pt dunk from 1 ft (assist by K. Thompson),58,61
247,3,7:35.0,J. Harden misses 3-pt jump shot from 30 ft,,58,61
248,3,7:33.0,,Defensive rebound by K. Durant,58,61
249,3,7:26.0,,S. Curry misses 3-pt jump shot from 26 ft,58,61
250,3,7:24.0,Defensive rebound by E. Gordon,,58,61
251,3,7:12.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by J. Harden),,61,61
252,3,6:57.0,,D. Green makes 2-pt layup from 12 ft,61,63
253,3,6:46.0,C. Paul misses 3-pt jump shot from 27 ft,,61,63
