,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
314,3,1:48.0,Defensive rebound by J. Lamb,,92,72
315,3,1:43.0,Personal foul by T. Hardaway (drawn by M. Kidd-Gilchrist),,92,72
316,3,1:43.0,M. Kidd-Gilchrist makes free throw 1 of 2,,93,72
317,3,1:43.0,,C. Lee enters the game for T. Hardaway,93,72
318,3,1:43.0,M. Kidd-Gilchrist makes free throw 2 of 2,,94,72
319,3,1:33.0,,Turnover by D. Dotson (lost ball; steal by K. Walker),94,72
320,3,1:29.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by C. Lee),,94,72
321,3,1:22.0,,F. Ntilikina makes 3-pt jump shot from 22 ft (assist by C. Lee),94,75
322,3,1:01.0,K. Walker misses 2-pt jump shot from 14 ft,,94,75
323,3,1:00.0,,Defensive rebound by K. Knox,94,75
324,3,0:42.0,,M. Robinson misses 2-pt layup from 2 ft,94,75
325,3,0:39.0,Defensive rebound by J. Lamb,,94,75
326,3,0:35.0,Shooting foul by F. Ntilikina (drawn by J. Lamb),,94,75
327,3,0:35.0,J. Lamb makes free throw 1 of 2,,95,75
328,3,0:35.0,M. Williams enters the game for F. Kaminsky,,95,75
329,3,0:35.0,,N. Vonleh enters the game for M. Robinson,95,75
330,3,0:35.0,J. Lamb makes free throw 2 of 2,,96,75
331,3,0:27.0,,F. Ntilikina misses 2-pt layup from 1 ft,96,75
332,3,0:26.0,,Offensive rebound by C. Lee,96,75
333,3,0:24.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by C. Lee),96,78
334,3,0:00.0,K. Walker makes 3-pt jump shot from 27 ft,,99,78
335,4,11:49.0,Turnover by M. Bridges (out of bounds lost ball),,99,78
336,4,11:34.0,,D. Dotson makes 2-pt jump shot from 21 ft (assist by N. Vonleh),99,80
337,4,11:17.0,M. Monk misses 3-pt jump shot from 27 ft,,99,80
338,4,11:15.0,,Defensive rebound by N. Vonleh,99,80
339,4,11:11.0,,F. Ntilikina makes 3-pt jump shot from 27 ft (assist by N. Vonleh),99,83
340,4,10:55.0,T. Parker misses 2-pt jump shot from 19 ft,,99,83
341,4,10:53.0,,Defensive rebound by N. Vonleh,99,83
342,4,10:47.0,,F. Ntilikina makes 2-pt jump shot from 21 ft (assist by N. Vonleh),99,85
343,4,10:45.0,Charlotte full timeout,,99,85
344,4,10:24.0,T. Parker makes 2-pt layup from 6 ft,,101,85
345,4,10:08.0,,Personal foul by M. Bridges (drawn by N. Vonleh),101,85
346,4,10:03.0,,Turnover by F. Ntilikina (offensive foul),101,85
347,4,10:03.0,,Offensive foul by F. Ntilikina (drawn by F. Kaminsky),101,85
348,4,9:54.0,T. Parker misses 2-pt layup from 1 ft,,101,85
349,4,9:53.0,Offensive rebound by Team,,101,85
350,4,9:53.0,,Loose ball foul by N. Vonleh (drawn by M. Kidd-Gilchrist),101,85
351,4,9:41.0,M. Bridges misses 2-pt hook shot from 9 ft,,101,85
352,4,9:39.0,,Defensive rebound by N. Vonleh,101,85
353,4,9:30.0,,K. Knox misses 2-pt jump shot from 19 ft,101,85
354,4,9:28.0,Defensive rebound by M. Monk,,101,85
355,4,9:19.0,Offensive foul by F. Kaminsky (drawn by C. Lee),,101,85
356,4,9:19.0,Turnover by F. Kaminsky (offensive foul),,101,85
357,4,9:19.0,M. Williams enters the game for F. Kaminsky,,101,85
358,4,9:10.0,,Turnover by F. Ntilikina (out of bounds lost ball),101,85
359,4,9:00.0,Shooting foul by F. Ntilikina (drawn by T. Parker),,101,85
360,4,9:00.0,,R. Baker enters the game for C. Lee,101,85
361,4,9:00.0,,T. Hardaway enters the game for F. Ntilikina,101,85
362,4,9:00.0,T. Parker makes free throw 1 of 2,,102,85
363,4,9:00.0,T. Parker makes free throw 2 of 2,,103,85
364,4,8:47.0,,Turnover by N. Vonleh (lost ball; steal by T. Parker),103,85
365,4,8:34.0,M. Williams makes 3-pt jump shot from 25 ft (assist by T. Parker),,106,85
366,4,8:33.0,,New York full timeout,106,85
367,4,8:33.0,Technical foul by D. Fizdale,,106,85
368,4,8:33.0,M. Monk misses technical free throw,,106,85
369,4,8:33.0,,Defensive rebound by Team,106,85
370,4,8:33.0,Technical foul by D. Fizdale,,106,85
371,4,8:33.0,M. Monk makes technical free throw,,107,85
372,4,8:33.0,,D. Fizdale ejected from game,107,85
373,4,7:51.0,,D. Dotson misses 2-pt layup from 1 ft,107,85
374,4,7:50.0,Defensive rebound by M. Bridges,,107,85
