,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
306,4,9:14.0,,Turnover by M. Carter-Williams (bad pass; steal by F. VanVleet),88,75
307,4,9:14.0,Shooting foul by T. Ross (drawn by F. VanVleet),,88,75
308,4,9:14.0,F. VanVleet makes free throw 1 of 2,,89,75
309,4,9:14.0,F. VanVleet makes free throw 2 of 2,,90,75
310,4,9:03.0,,Turnover by T. Ross (traveling),90,75
311,4,8:41.0,K. Lowry misses 2-pt layup from 2 ft (block by K. Birch),,90,75
312,4,8:41.0,,Defensive rebound by W. Iwundu,90,75
313,4,8:37.0,,W. Iwundu misses 2-pt layup from 3 ft (block by K. Leonard),90,75
314,4,8:33.0,Defensive rebound by N. Powell,,90,75
315,4,8:21.0,K. Leonard makes 2-pt layup at rim,,92,75
316,4,8:21.0,,Orlando full timeout,92,75
317,4,8:21.0,,D. Augustin enters the game for K. Birch,92,75
318,4,8:21.0,,E. Fournier enters the game for M. Carter-Williams,92,75
319,4,8:21.0,,J. Isaac enters the game for A. Gordon,92,75
320,4,8:21.0,,N. Vučević enters the game for W. Iwundu,92,75
321,4,8:06.0,,N. Vučević misses 2-pt hook shot from 7 ft,92,75
322,4,8:04.0,Defensive rebound by F. VanVleet,,92,75
323,4,7:59.0,Personal foul by D. Augustin (drawn by K. Lowry),,92,75
324,4,7:41.0,N. Powell misses 2-pt jump shot from 22 ft,,92,75
325,4,7:38.0,,Defensive rebound by E. Fournier,92,75
326,4,7:31.0,,E. Fournier misses 3-pt jump shot from 26 ft,92,75
327,4,7:28.0,Defensive rebound by S. Ibaka,,92,75
328,4,7:24.0,Personal foul by T. Ross (drawn by K. Leonard),,92,75
329,4,7:15.0,K. Leonard misses 3-pt jump shot from 28 ft,,92,75
330,4,7:11.0,,Defensive rebound by N. Vučević,92,75
331,4,7:08.0,,Turnover by E. Fournier (bad pass; steal by K. Leonard),92,75
332,4,6:53.0,N. Powell makes 2-pt layup at rim (assist by K. Lowry),,94,75
333,4,6:37.0,,N. Vučević misses 2-pt jump shot from 21 ft,94,75
334,4,6:33.0,Defensive rebound by N. Powell,,94,75
335,4,6:33.0,,A. Gordon enters the game for J. Isaac,94,75
336,4,6:10.0,K. Leonard misses 2-pt hook shot from 13 ft,,94,75
337,4,6:10.0,Offensive rebound by S. Ibaka,,94,75
338,4,6:06.0,S. Ibaka makes 2-pt hook shot from 2 ft,,96,75
339,4,5:56.0,,E. Fournier makes 2-pt layup from 2 ft (assist by D. Augustin),96,77
340,4,5:46.0,Toronto full timeout,,96,77
341,4,5:33.0,Turnover by K. Lowry (bad pass; steal by T. Ross),,96,77
342,4,5:18.0,,N. Vučević makes 2-pt jump shot from 4 ft (assist by A. Gordon),96,79
343,4,5:05.0,Turnover by S. Ibaka (out of bounds lost ball),,96,79
344,4,4:49.0,,E. Fournier misses 3-pt jump shot from 23 ft,96,79
345,4,4:44.0,Defensive rebound by S. Ibaka,,96,79
346,4,4:30.0,N. Powell makes 2-pt jump shot from 17 ft,,98,79
347,4,4:10.0,,E. Fournier misses 3-pt jump shot from 27 ft,98,79
348,4,4:06.0,Defensive rebound by F. VanVleet,,98,79
349,4,3:57.0,Shooting foul by T. Ross (drawn by F. VanVleet),,98,79
350,4,3:57.0,F. VanVleet makes free throw 1 of 2,,99,79
351,4,3:57.0,M. Gasol enters the game for S. Ibaka,,99,79
352,4,3:57.0,P. Siakam enters the game for N. Powell,,99,79
353,4,3:57.0,F. VanVleet makes free throw 2 of 2,,100,79
354,4,3:39.0,,Turnover by E. Fournier (lost ball; steal by K. Lowry),100,79
355,4,3:34.0,P. Siakam makes 2-pt dunk at rim (assist by F. VanVleet),,102,79
356,4,3:13.0,,E. Fournier makes 3-pt jump shot from 28 ft (assist by T. Ross),102,82
357,4,2:52.0,Shooting foul by A. Gordon (drawn by K. Leonard),,102,82
358,4,2:52.0,,Orlando full timeout,102,82
359,4,2:52.0,P. McCaw enters the game for K. Lowry,,102,82
360,4,2:52.0,N. Powell enters the game for P. Siakam,,102,82
361,4,2:52.0,,K. Birch enters the game for D. Augustin,102,82
362,4,2:52.0,,M. Frazier enters the game for E. Fournier,102,82
363,4,2:52.0,,J. Grant enters the game for A. Gordon,102,82
364,4,2:52.0,,W. Iwundu enters the game for T. Ross,102,82
365,4,2:52.0,,J. Martin enters the game for N. Vučević,102,82
366,4,2:52.0,K. Leonard makes free throw 1 of 2,,103,82
367,4,2:52.0,K. Leonard makes free throw 2 of 2,,104,82
368,4,2:48.0,,Personal take foul by P. McCaw (drawn by J. Grant),104,82
369,4,2:48.0,J. Lin enters the game for M. Gasol,,104,82
370,4,2:48.0,J. Meeks enters the game for K. Leonard,,104,82
371,4,2:48.0,E. Moreland enters the game for F. VanVleet,,104,82
372,4,2:41.0,,J. Grant misses 3-pt jump shot from 26 ft,104,82
