,QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
272,3,6:14.0,,A. Iguodala enters the game for D. Green,66,99
273,3,6:14.0,B. Portis makes free throw 2 of 2,,67,99
274,3,6:11.0,,Turnover by S. Curry (inbound),67,99
275,3,5:56.0,Turnover by Z. LaVine (lost ball; steal by K. Durant),,67,99
276,3,5:49.0,,S. Curry misses 3-pt jump shot from 28 ft,67,99
277,3,5:47.0,Defensive rebound by L. Markkanen,,67,99
278,3,5:45.0,Shooting foul by K. Looney (drawn by Z. LaVine),,67,99
279,3,5:45.0,Z. LaVine misses free throw 1 of 2,,67,99
280,3,5:45.0,Offensive rebound by Team,,67,99
281,3,5:45.0,,J. Bell enters the game for K. Looney,67,99
282,3,5:45.0,Z. LaVine makes free throw 2 of 2,,68,99
283,3,5:37.0,,Shooting foul by Z. LaVine (drawn by K. Thompson),68,99
284,3,5:37.0,,K. Thompson makes free throw 1 of 2,68,100
285,3,5:37.0,,K. Thompson makes free throw 2 of 2,68,101
286,3,5:25.0,Turnover by Z. LaVine (bad pass; steal by A. Iguodala),,68,101
287,3,5:18.0,,S. Curry makes 2-pt jump shot from 13 ft (assist by A. Iguodala),68,103
288,3,5:02.0,Z. LaVine misses 2-pt jump shot from 7 ft,,68,103
289,3,5:01.0,Offensive rebound by Z. LaVine,,68,103
290,3,4:57.0,L. Markkanen misses 2-pt layup from 3 ft,,68,103
291,3,4:56.0,,Defensive rebound by S. Curry,68,103
292,3,4:50.0,,J. Bell makes 2-pt dunk from 2 ft (assist by K. Durant),68,105
293,3,4:50.0,Chicago full timeout,,68,105
294,3,4:50.0,S. Harrison enters the game for Z. LaVine,,68,105
295,3,4:50.0,C. Hutchison enters the game for L. Markkanen,,68,105
296,3,4:35.0,Turnover by S. Harrison (step out of bounds),,68,105
297,3,4:27.0,,Turnover by J. Bell (bad pass; steal by B. Portis),68,105
298,3,4:22.0,B. Portis makes 2-pt layup from 2 ft,,70,105
299,3,4:08.0,,K. Thompson misses 3-pt jump shot from 27 ft,70,105
300,3,4:06.0,Defensive rebound by B. Portis,,70,105
301,3,3:56.0,W. Carter misses 2-pt hook shot from 8 ft,,70,105
302,3,3:55.0,,Defensive rebound by A. Iguodala,70,105
303,3,3:37.0,,Personal foul by W. Carter (drawn by K. Thompson),70,105
304,3,3:37.0,,Q. Cook enters the game for K. Thompson,70,105
305,3,3:27.0,,J. Bell makes 2-pt layup from 2 ft (assist by K. Durant),70,107
306,3,3:27.0,,Shooting foul by K. Dunn (drawn by J. Bell),70,107
307,3,3:27.0,,J. Bell makes free throw 1 of 1,70,108
308,3,3:15.0,B. Portis misses 2-pt jump shot from 4 ft (block by A. Iguodala),,70,108
309,3,3:14.0,Offensive rebound by B. Portis,,70,108
310,3,3:12.0,Turnover by B. Portis (lost ball; steal by A. Iguodala),,70,108
311,3,3:06.0,,K. Durant makes 2-pt layup from 1 ft (assist by S. Curry),70,110
312,3,2:52.0,K. Dunn misses 2-pt jump shot from 18 ft,,70,110
313,3,2:51.0,,Defensive rebound by A. Iguodala,70,110
314,3,2:44.0,,S. Curry misses 3-pt jump shot from 30 ft,70,110
315,3,2:42.0,,Offensive rebound by S. Curry,70,110
316,3,2:38.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by J. Bell),70,113
317,3,2:30.0,Personal foul by K. Durant (drawn by S. Harrison),,70,113
318,3,2:30.0,S. Harrison makes free throw 1 of 2,,71,113
319,3,2:30.0,R. Lopez enters the game for W. Carter,,71,113
320,3,2:30.0,,J. Jerebko enters the game for S. Curry,71,113
321,3,2:30.0,S. Harrison makes free throw 2 of 2,,72,113
322,3,2:07.0,,K. Durant misses 2-pt jump shot from 21 ft,72,113
323,3,2:06.0,,Offensive rebound by Q. Cook,72,113
324,3,1:59.0,,Shooting foul by R. Lopez (drawn by J. Jerebko),72,113
325,3,1:59.0,,J. Jerebko makes free throw 1 of 2,72,114
326,3,1:59.0,R. Arcidiacono enters the game for K. Dunn,,72,114
327,3,1:59.0,W. Selden enters the game for C. Hutchison,,72,114
328,3,1:59.0,,J. Jerebko misses free throw 2 of 2,72,114
329,3,1:58.0,Defensive rebound by B. Portis,,72,114
330,3,1:52.0,Turnover by S. Harrison (bad pass),,72,114
331,3,1:52.0,,A. McKinnie enters the game for K. Durant,72,114
332,3,1:29.0,,Q. Cook makes 2-pt jump shot from 18 ft,72,116
333,3,1:09.0,Shooting foul by A. McKinnie (drawn by S. Harrison),,72,116
334,3,1:09.0,S. Harrison makes free throw 1 of 2,,73,116
335,3,1:09.0,S. Harrison makes free throw 2 of 2,,74,116
336,3,0:52.0,,A. McKinnie misses 2-pt layup from 3 ft (block by S. Harrison),74,116
337,3,0:51.0,,Offensive rebound by A. McKinnie,74,116
338,3,0:45.0,,Q. Cook misses 2-pt jump shot from 22 ft,74,116
339,3,0:44.0,Defensive rebound by B. Portis,,74,116
340,3,0:32.0,S. Harrison misses 2-pt jump shot from 11 ft,,74,116
341,3,0:31.0,,Defensive rebound by A. McKinnie,74,116
342,3,0:12.0,,A. Iguodala misses 3-pt jump shot from 27 ft,74,116
343,3,0:11.0,Defensive rebound by R. Lopez,,74,116
344,3,0:05.0,Personal foul by Q. Cook (drawn by B. Portis),,74,116
345,3,0:05.0,B. Portis makes free throw 1 of 2,,75,116
346,3,0:05.0,B. Portis makes free throw 2 of 2,,76,116
347,3,0:00.0,,A. McKinnie misses 3-pt jump shot from 23 ft,76,116
348,3,0:00.0,,Offensive rebound by Team,76,116
349,4,11:43.0,,M. Derrickson makes 3-pt jump shot from 23 ft (assist by Q. Cook),76,119
350,4,11:36.0,Personal foul by S. Livingston (drawn by S. Harrison),,76,119
351,4,11:28.0,R. Lopez makes 2-pt layup from 2 ft (assist by R. Arcidiacono),,78,119
352,4,11:09.0,,M. Derrickson misses 3-pt jump shot from 29 ft,78,119
353,4,11:07.0,Defensive rebound by C. Hutchison,,78,119
354,4,11:00.0,Personal foul by M. Derrickson (drawn by R. Lopez),,78,119
355,4,10:46.0,R. Lopez makes 3-pt jump shot from 28 ft (assist by R. Arcidiacono),,81,119
356,4,10:33.0,,Offensive foul by Q. Cook (drawn by R. Arcidiacono),81,119
357,4,10:33.0,,Turnover by Q. Cook (offensive foul),81,119
358,4,10:18.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,81,119
359,4,10:16.0,,Defensive rebound by J. Jerebko,81,119
360,4,10:03.0,,M. Derrickson misses 3-pt jump shot from 26 ft,81,119
361,4,10:01.0,Defensive rebound by Team,,81,119
362,4,10:01.0,,Loose ball foul by A. McKinnie (drawn by S. Harrison),81,119
363,4,9:44.0,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by W. Selden),,84,119
364,4,9:24.0,,Q. Cook makes 2-pt jump shot from 19 ft,84,121
365,4,9:10.0,Shooting foul by M. Derrickson (drawn by R. Arcidiacono),,84,121
366,4,9:10.0,R. Arcidiacono makes free throw 1 of 2,,85,121
367,4,9:10.0,R. Arcidiacono makes free throw 2 of 2,,86,121
368,4,9:01.0,,Turnover by S. Livingston (bad pass; steal by S. Harrison),86,121
369,4,8:51.0,C. Hutchison misses 2-pt hook shot from 10 ft,,86,121
370,4,8:50.0,,Defensive rebound by J. Jerebko,86,121
371,4,8:46.0,,Q. Cook makes 2-pt layup from 2 ft (assist by J. Jerebko),86,123
372,4,8:46.0,Chicago full timeout,,86,123
