,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
263,3,5:33.0,Defensive rebound by D. Collison,,71,61
264,3,5:31.0,K. O'Quinn misses 2-pt layup from 1 ft,,71,61
265,3,5:29.0,,Defensive rebound by N. Vučević,71,61
266,3,5:24.0,,Turnover by A. Gordon (lost ball; steal by T. Evans),71,61
267,3,5:19.0,D. Collison misses 3-pt jump shot from 22 ft,,71,61
268,3,5:16.0,,Defensive rebound by J. Isaac,71,61
269,3,5:09.0,,Personal foul by B. Bogdanović (drawn by N. Vučević),71,61
270,3,5:01.0,,N. Vučević misses 2-pt layup from 2 ft (block by T. Young),71,61
271,3,4:58.0,Defensive rebound by T. Evans,,71,61
272,3,4:58.0,Shooting foul by J. Isaac (drawn by T. Evans),,71,61
273,3,4:58.0,T. Evans makes free throw 1 of 2,,72,61
274,3,4:58.0,,J. Grant enters the game for D. Augustin,72,61
275,3,4:58.0,,T. Ross enters the game for E. Fournier,72,61
276,3,4:58.0,T. Evans makes free throw 2 of 2,,73,61
277,3,4:36.0,,Turnover by N. Vučević (lost ball; steal by T. Young),73,61
278,3,4:35.0,Personal foul by J. Grant (drawn by T. Young),,73,61
279,3,4:29.0,Shooting foul by J. Isaac (drawn by B. Bogdanović),,73,61
280,3,4:29.0,B. Bogdanović makes free throw 1 of 2,,74,61
281,3,4:29.0,B. Bogdanović makes free throw 2 of 2,,75,61
282,3,4:06.0,,Turnover by N. Vučević (bad pass; steal by K. O'Quinn),75,61
283,3,3:55.0,T. Evans makes 3-pt jump shot from 25 ft,,78,61
284,3,3:54.0,,Orlando full timeout,78,61
285,3,3:54.0,C. Joseph enters the game for B. Bogdanović,,78,61
286,3,3:37.0,,N. Vučević misses 2-pt jump shot from 4 ft,78,61
287,3,3:30.0,,Offensive rebound by N. Vučević,78,61
288,3,3:30.0,,N. Vučević makes 2-pt layup from 1 ft,78,63
289,3,3:22.0,Turnover by T. Evans (bad pass; steal by T. Ross),,78,63
290,3,3:15.0,,T. Ross makes 2-pt jump shot from 16 ft,78,65
291,3,3:15.0,,M. Bamba enters the game for J. Isaac,78,65
292,3,3:15.0,,J. Simmons enters the game for N. Vučević,78,65
293,3,2:49.0,C. Joseph makes 2-pt jump shot from 9 ft,,80,65
294,3,2:34.0,,T. Ross misses 3-pt jump shot from 25 ft,80,65
295,3,2:32.0,Defensive rebound by T. Evans,,80,65
296,3,2:23.0,T. Evans misses 2-pt jump shot from 21 ft,,80,65
297,3,2:20.0,,Defensive rebound by M. Bamba,80,65
298,3,2:12.0,,A. Gordon makes 2-pt layup from 2 ft (assist by J. Grant),80,67
299,3,2:12.0,,Shooting foul by T. Young (drawn by A. Gordon),80,67
300,3,2:12.0,T. Leaf enters the game for T. Evans,,80,67
301,3,2:12.0,D. McDermott enters the game for T. Young,,80,67
302,3,2:12.0,,A. Gordon makes free throw 1 of 1,80,68
303,3,1:58.0,C. Joseph makes 2-pt jump shot from 12 ft,,82,68
304,3,1:58.0,Shooting foul by T. Ross (drawn by C. Joseph),,82,68
305,3,1:58.0,C. Joseph misses free throw 1 of 1,,82,68
306,3,1:58.0,Offensive rebound by C. Joseph,,82,68
307,3,1:41.0,Turnover by Team (shot clock),,82,68
308,3,1:41.0,A. Holiday enters the game for D. Collison,,82,68
309,3,1:30.0,,M. Bamba misses 3-pt jump shot from 24 ft,82,68
310,3,1:27.0,Defensive rebound by A. Holiday,,82,68
311,3,1:20.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by A. Holiday),,84,68
312,3,1:03.0,,M. Bamba makes 2-pt dunk from 1 ft,84,70
313,3,0:44.0,K. O'Quinn makes 2-pt jump shot from 12 ft,,86,70
314,3,0:25.0,,A. Gordon misses 2-pt jump shot from 10 ft,86,70
315,3,0:23.0,,Offensive rebound by M. Bamba,86,70
316,3,0:22.0,,M. Bamba misses 2-pt layup from 4 ft (block by C. Joseph),86,70
317,3,0:20.0,Defensive rebound by D. McDermott,,86,70
318,3,0:03.0,K. O'Quinn misses 3-pt jump shot from 25 ft,,86,70
319,3,0:00.0,,Defensive rebound by M. Bamba,86,70
320,3,0:00.0,,M. Bamba misses 3-pt jump shot from 68 ft,86,70
321,3,0:00.0,,Offensive rebound by Team,86,70
