,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
197,2,2:47.0,,S. Curry makes technical free throw,49,49
198,2,2:37.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),49,51
199,2,2:15.0,Turnover by E. Mudiay (bad pass; steal by K. Thompson),,49,51
200,2,2:05.0,,K. Thompson misses 3-pt jump shot from 23 ft,49,51
201,2,2:03.0,,Offensive rebound by K. Durant,49,51
202,2,2:00.0,,D. Green misses 2-pt layup from 2 ft,49,51
203,2,1:58.0,,Offensive rebound by Team,49,51
204,2,1:52.0,,S. Curry makes 3-pt jump shot from 27 ft,49,54
205,2,1:24.0,N. Vonleh misses 2-pt hook shot from 6 ft,,49,54
206,2,1:23.0,,Defensive rebound by S. Curry,49,54
207,2,1:16.0,,S. Curry makes 2-pt layup from 2 ft,49,56
208,2,1:07.0,New York full timeout,,49,56
209,2,1:07.0,A. Trier enters the game for T. Hardaway,,49,56
210,2,0:48.0,Turnover by A. Trier (bad pass; steal by A. Iguodala),,49,56
211,2,0:45.0,,Shooting foul by K. Knox (drawn by K. Durant),49,56
212,2,0:45.0,,K. Durant makes free throw 1 of 2,49,57
213,2,0:45.0,,K. Durant makes free throw 2 of 2,49,58
214,2,0:23.0,E. Mudiay misses 3-pt jump shot from 27 ft,,49,58
215,2,0:19.0,,Defensive rebound by Team,49,58
216,2,0:04.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),49,61
217,2,0:01.0,D. Dotson misses 3-pt jump shot from 49 ft,,49,61
218,2,0:01.0,Offensive rebound by Team,,49,61
219,3,11:47.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,52,61
220,3,11:27.0,,K. Durant misses 3-pt jump shot from 23 ft,52,61
221,3,11:25.0,,Offensive rebound by K. Looney,52,61
222,3,11:22.0,,S. Curry misses 2-pt jump shot from 21 ft,52,61
223,3,11:21.0,Defensive rebound by N. Vonleh,,52,61
224,3,11:08.0,E. Mudiay makes 2-pt jump shot from 10 ft,,54,61
225,3,10:56.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),54,63
226,3,10:42.0,K. Knox misses 3-pt jump shot from 26 ft,,54,63
227,3,10:40.0,,Defensive rebound by D. Green,54,63
228,3,10:35.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),54,65
229,3,10:20.0,K. Knox misses 2-pt jump shot from 22 ft,,54,65
230,3,10:19.0,,Defensive rebound by D. Green,54,65
231,3,10:15.0,,S. Curry misses 3-pt jump shot from 27 ft,54,65
232,3,10:13.0,Defensive rebound by E. Mudiay,,54,65
233,3,9:58.0,L. Kornet makes 3-pt jump shot from 28 ft (assist by N. Vonleh),,57,65
234,3,9:43.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),57,68
235,3,9:25.0,Turnover by K. Knox (lost ball; steal by K. Thompson),,57,68
236,3,9:15.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Curry),57,70
237,3,8:55.0,Turnover by K. Knox (bad pass),,57,70
238,3,8:46.0,,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),57,72
239,3,8:46.0,New York full timeout,,57,72
240,3,8:28.0,Shooting foul by D. Green (drawn by T. Hardaway),,57,72
241,3,8:28.0,T. Hardaway makes free throw 1 of 2,,58,72
242,3,8:28.0,T. Hardaway makes free throw 2 of 2,,59,72
243,3,8:10.0,,S. Curry misses 2-pt jump shot from 7 ft (block by L. Kornet),59,72
244,3,8:09.0,Defensive rebound by T. Hardaway,,59,72
245,3,8:04.0,L. Kornet misses 3-pt jump shot from 29 ft,,59,72
246,3,8:02.0,,Defensive rebound by D. Green,59,72
247,3,7:56.0,,Shooting foul by K. Knox (drawn by K. Durant),59,72
248,3,7:56.0,,K. Durant makes free throw 1 of 3,59,73
249,3,7:56.0,,K. Durant makes free throw 2 of 3,59,74
250,3,7:56.0,,K. Durant makes free throw 3 of 3,59,75
251,3,7:39.0,Turnover by K. Knox (traveling),,59,75
252,3,7:30.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),59,78
253,3,7:13.0,T. Hardaway misses 3-pt jump shot from 28 ft,,59,78
254,3,7:11.0,,Defensive rebound by K. Durant,59,78
255,3,7:04.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by K. Durant),59,80
