,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
164,2,6:00.0,Defensive rebound by M. Gasol,,25,33
165,2,5:41.0,M. Gasol misses 3-pt jump shot from 25 ft,,25,33
166,2,5:37.0,Offensive rebound by M. Conley,,25,33
167,2,5:34.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Jackson),,28,33
168,2,5:27.0,,New York full timeout,28,33
169,2,5:27.0,J. Washburn enters the game for B. Caboclo,,28,33
170,2,5:27.0,,D. Dotson enters the game for W. Matthews,28,33
171,2,5:27.0,,K. Knox enters the game for A. Trier,28,33
172,2,5:20.0,,K. Knox misses 3-pt jump shot from 26 ft,28,33
173,2,5:18.0,Defensive rebound by M. Conley,,28,33
174,2,5:04.0,M. Gasol makes 2-pt layup from 3 ft (assist by J. Holiday),,30,33
175,2,4:44.0,,D. Dotson misses 3-pt jump shot from 23 ft,30,33
176,2,4:39.0,Defensive rebound by J. Washburn,,30,33
177,2,4:29.0,Turnover by M. Gasol (lost ball; steal by D. Smith),,30,33
178,2,4:19.0,,D. Smith makes 2-pt layup from 1 ft,30,35
179,2,4:11.0,M. Conley makes 2-pt jump shot from 5 ft,,32,35
180,2,3:58.0,,Turnover by D. Smith (traveling),32,35
181,2,3:48.0,M. Gasol misses 2-pt jump shot from 4 ft,,32,35
182,2,3:48.0,Offensive rebound by J. Jackson,,32,35
183,2,3:48.0,J. Jackson misses 2-pt layup at rim,,32,35
184,2,3:48.0,Offensive rebound by J. Jackson,,32,35
185,2,3:48.0,Shooting foul by D. Jordan (drawn by J. Jackson),,32,35
186,2,3:48.0,J. Jackson makes free throw 1 of 2,,33,35
187,2,3:48.0,J. Jackson misses free throw 2 of 2,,33,35
188,2,3:47.0,,Defensive rebound by D. Jordan,33,35
189,2,3:24.0,,D. Smith misses 3-pt jump shot from 25 ft,33,35
190,2,3:20.0,Defensive rebound by J. Washburn,,33,35
191,2,3:14.0,M. Conley misses 2-pt jump shot from 21 ft,,33,35
192,2,3:11.0,Offensive rebound by J. Jackson,,33,35
193,2,3:01.0,M. Gasol misses 2-pt layup from 4 ft,,33,35
194,2,2:50.0,Offensive rebound by Team,,33,35
195,2,2:46.0,M. Conley makes 2-pt jump shot from 20 ft (assist by J. Washburn),,35,35
196,2,2:31.0,,D. Dotson misses 3-pt jump shot from 23 ft,35,35
197,2,2:29.0,Defensive rebound by J. Washburn,,35,35
198,2,2:22.0,J. Holiday misses 3-pt jump shot from 25 ft,,35,35
199,2,2:19.0,,Defensive rebound by D. Smith,35,35
200,2,2:10.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by D. Smith),35,38
201,2,1:46.0,M. Conley misses 3-pt jump shot from 29 ft,,35,38
202,2,1:45.0,,Defensive rebound by Team,35,38
203,2,1:45.0,Loose ball foul by J. Jackson (drawn by N. Vonleh),,35,38
204,2,1:45.0,,L. Kornet enters the game for N. Vonleh,35,38
205,2,1:36.0,,L. Kornet misses 3-pt jump shot from 27 ft,35,38
206,2,1:31.0,,Offensive rebound by D. Jordan,35,38
207,2,1:26.0,,D. Smith misses 3-pt jump shot from 25 ft,35,38
208,2,1:24.0,Defensive rebound by J. Holiday,,35,38
209,2,1:14.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,37,38
210,2,1:07.0,,Turnover by K. Knox (traveling),37,38
211,2,0:52.0,M. Conley makes 2-pt jump shot from 5 ft (assist by J. Jackson),,39,38
212,2,0:52.0,J. Noah enters the game for M. Gasol,,39,38
213,2,0:52.0,,K. Allen enters the game for D. Smith,39,38
214,2,0:33.0,,D. Dotson misses 2-pt jump shot from 16 ft,39,38
215,2,0:30.0,Defensive rebound by J. Jackson,,39,38
216,2,0:15.0,Shooting foul by K. Allen (drawn by M. Conley),,39,38
217,2,0:15.0,M. Conley makes free throw 1 of 3,,40,38
218,2,0:15.0,M. Conley makes free throw 2 of 3,,41,38
219,2,0:15.0,M. Conley makes free throw 3 of 3,,42,38
220,2,0:09.0,,New York full timeout,42,38
221,2,0:09.0,,W. Matthews enters the game for K. Allen,42,38
222,2,0:09.0,,D. Smith enters the game for D. Dotson,42,38
223,2,0:04.0,,L. Kornet makes 3-pt jump shot from 26 ft (assist by D. Smith),42,41
224,2,0:00.0,J. Jackson misses 3-pt jump shot from 31 ft,,42,41
225,2,0:00.0,Offensive rebound by Team,,42,41
226,3,11:48.0,,Turnover by D. Smith (bad pass; steal by M. Conley),42,41
227,3,11:34.0,J. Jackson misses 2-pt layup from 7 ft,,42,41
228,3,11:32.0,Offensive rebound by M. Gasol,,42,41
229,3,11:31.0,M. Gasol misses 2-pt layup from 3 ft,,42,41
230,3,11:31.0,Offensive rebound by M. Gasol,,42,41
231,3,11:29.0,M. Gasol makes 2-pt layup from 1 ft,,44,41
232,3,11:07.0,,Personal foul by J. Jackson (drawn by D. Jordan),44,41
233,3,10:53.0,,D. Smith misses 3-pt jump shot from 25 ft,44,41
234,3,10:50.0,Defensive rebound by M. Gasol,,44,41
235,3,10:33.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),,46,41
236,3,10:07.0,,K. Knox misses 3-pt jump shot from 27 ft,46,41
237,3,10:04.0,,Offensive rebound by N. Vonleh,46,41
