,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
330,3,1:17.0,,Shooting foul by M. Hezonja (drawn by P. Siakam),80,94
331,3,1:17.0,,P. Siakam makes free throw 1 of 2,80,95
332,3,1:17.0,,P. Siakam makes free throw 2 of 2,80,96
333,3,1:01.0,A. Trier misses 3-pt jump shot from 26 ft,,80,96
334,3,0:58.0,,Defensive rebound by F. VanVleet,80,96
335,3,0:48.0,,Shooting foul by A. Trier (drawn by P. Siakam),80,96
336,3,0:48.0,,P. Siakam makes free throw 1 of 2,80,97
337,3,0:48.0,,P. Siakam makes free throw 2 of 2,80,98
338,3,0:39.0,A. Trier misses 2-pt layup from 4 ft,,80,98
339,3,0:38.0,Offensive rebound by A. Trier,,80,98
340,3,0:38.0,A. Trier misses 2-pt layup from 2 ft,,80,98
341,3,0:37.0,,Defensive rebound by J. Valančiūnas,80,98
342,3,0:27.0,,F. VanVleet misses 3-pt jump shot from 25 ft,80,98
343,3,0:23.0,Defensive rebound by E. Freedom,,80,98
344,3,0:08.0,E. Mudiay makes 2-pt jump shot from 14 ft,,82,98
345,3,0:01.0,,F. VanVleet makes 2-pt jump shot from 10 ft,82,100
346,4,11:47.0,,J. Valančiūnas makes 2-pt jump shot from 8 ft,82,102
347,4,11:23.0,M. Hezonja makes 2-pt jump shot from 23 ft (assist by E. Freedom),,84,102
348,4,11:02.0,,Shooting foul by E. Freedom (drawn by J. Valančiūnas),84,102
349,4,11:02.0,,J. Valančiūnas misses free throw 1 of 2,84,102
350,4,11:02.0,,Offensive rebound by Team,84,102
351,4,11:02.0,,J. Valančiūnas misses free throw 2 of 2,84,102
352,4,10:59.0,Defensive rebound by E. Freedom,,84,102
353,4,10:39.0,E. Mudiay makes 2-pt jump shot from 6 ft,,86,102
354,4,10:25.0,,O. Anunoby makes 2-pt dunk at rim (assist by F. VanVleet),86,104
355,4,10:06.0,E. Freedom makes 2-pt layup from 2 ft,,88,104
356,4,9:53.0,,O. Anunoby misses 3-pt jump shot from 23 ft,88,104
357,4,9:51.0,Defensive rebound by T. Hardaway,,88,104
358,4,9:45.0,K. Knox misses 3-pt jump shot from 25 ft,,88,104
359,4,9:41.0,,Defensive rebound by F. VanVleet,88,104
360,4,9:33.0,,Shooting foul by K. Knox (drawn by J. Valančiūnas),88,104
361,4,9:33.0,,J. Valančiūnas makes free throw 1 of 2,88,105
362,4,9:33.0,F. Ntilikina enters the game for E. Mudiay,,88,105
363,4,9:33.0,,J. Valančiūnas misses free throw 2 of 2,88,105
364,4,9:30.0,Defensive rebound by M. Hezonja,,88,105
365,4,9:16.0,E. Freedom misses 2-pt hook shot from 5 ft,,88,105
366,4,9:12.0,,Defensive rebound by J. Valančiūnas,88,105
367,4,9:03.0,,J. Valančiūnas misses 2-pt layup from 4 ft,88,105
368,4,8:58.0,,Offensive rebound by J. Valančiūnas,88,105
369,4,8:57.0,,J. Valančiūnas makes 2-pt layup from 2 ft,88,107
370,4,8:44.0,K. Knox misses 2-pt layup from 6 ft,,88,107
