,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
261,3,5:03.0,,Defensive rebound by D. Cousins,70,65
262,3,4:57.0,,D. Cousins makes 2-pt jump shot from 11 ft,70,67
263,3,4:24.0,J. Collins makes 2-pt jump shot from 6 ft,,72,67
264,3,4:16.0,,D. Cunningham makes 2-pt layup at rim (assist by D. Cousins),72,69
265,3,3:58.0,D. Schröder misses 2-pt jump shot from 11 ft,,72,69
266,3,3:54.0,,Defensive rebound by D. Cousins,72,69
267,3,3:48.0,,A. Davis makes 2-pt dunk at rim (assist by D. Cousins),72,71
268,3,3:36.0,Personal foul by E. Moore (drawn by M. Belinelli),,72,71
269,3,3:36.0,,J. Nelson enters the game for D. Cousins,72,71
270,3,3:36.0,I. Taylor enters the game for T. Prince,,72,71
271,3,3:36.0,L. Babbitt enters the game for D. Schröder,,72,71
272,3,3:36.0,M. Delaney enters the game for T. Cavanaugh,,72,71
273,3,3:25.0,J. Collins makes 2-pt layup at rim (assist by M. Belinelli),,74,71
274,3,3:21.0,,Turnover by A. Davis (bad pass),74,71
275,3,3:13.0,J. Collins misses 2-pt jump shot from 15 ft,,74,71
276,3,3:09.0,,Defensive rebound by A. Davis,74,71
277,3,2:59.0,,D. Cunningham misses 3-pt jump shot from 22 ft,74,71
278,3,2:56.0,,Offensive rebound by Team,74,71
279,3,2:50.0,,J. Nelson makes 3-pt jump shot from 24 ft (assist by E. Moore),74,74
280,3,2:35.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,77,74
281,3,2:11.0,,E. Moore makes 2-pt jump shot from 7 ft,77,76
282,3,1:45.0,M. Belinelli misses 3-pt jump shot from 28 ft,,77,76
283,3,1:42.0,Offensive rebound by J. Collins,,77,76
284,3,1:42.0,J. Collins misses 2-pt layup from 3 ft,,77,76
285,3,1:42.0,Offensive rebound by Team,,77,76
286,3,1:42.0,,Loose ball foul by D. Cunningham (drawn by J. Collins),77,76
287,3,1:42.0,,D. Cousins enters the game for J. Holiday,77,76
288,3,1:42.0,,D. Miller enters the game for A. Davis,77,76
289,3,1:42.0,,I. Clark enters the game for D. Cunningham,77,76
290,3,1:30.0,L. Babbitt misses 3-pt jump shot from 26 ft,,77,76
291,3,1:27.0,,Defensive rebound by D. Cousins,77,76
292,3,1:22.0,,I. Clark misses 2-pt layup from 4 ft,77,76
293,3,1:18.0,Defensive rebound by J. Collins,,77,76
294,3,1:10.0,M. Delaney misses 2-pt layup at rim,,77,76
295,3,1:07.0,,Defensive rebound by D. Cousins,77,76
296,3,0:58.0,,J. Nelson makes 2-pt layup from 1 ft (assist by I. Clark),77,78
297,3,0:42.0,M. Belinelli misses 2-pt jump shot from 22 ft,,77,78
298,3,0:37.0,Offensive rebound by J. Collins,,77,78
299,3,0:35.0,M. Belinelli makes 3-pt jump shot from 23 ft (assist by J. Collins),,80,78
300,3,0:24.0,,D. Cousins misses 3-pt jump shot from 27 ft,80,78
301,3,0:19.0,Defensive rebound by I. Taylor,,80,78
302,3,0:07.0,Offensive foul by J. Collins (drawn by J. Nelson),,80,78
303,3,0:07.0,Turnover by J. Collins (offensive foul),,80,78
304,3,0:07.0,T. Prince enters the game for M. Belinelli,,80,78
305,3,0:07.0,T. Cavanaugh enters the game for L. Babbitt,,80,78
306,3,0:07.0,K. Bazemore enters the game for J. Collins,,80,78
307,4,11:42.0,,Shooting foul by J. Collins (drawn by D. Cousins),80,78
308,4,11:42.0,,D. Cousins makes free throw 1 of 2,80,79
309,4,11:42.0,,D. Cousins makes free throw 2 of 2,80,80
310,4,11:29.0,Turnover by I. Taylor (traveling),,80,80
311,4,11:10.0,,D. Cousins misses 2-pt jump shot from 5 ft,80,80
312,4,11:06.0,Defensive rebound by K. Bazemore,,80,80
313,4,11:03.0,K. Bazemore misses 2-pt jump shot from 8 ft,,80,80
314,4,11:03.0,,Defensive rebound by D. Cousins,80,80
315,4,10:46.0,,D. Cousins makes 2-pt layup from 2 ft,80,82
316,4,10:26.0,J. Collins makes 2-pt layup from 2 ft (assist by K. Bazemore),,82,82
317,4,9:59.0,,D. Cousins misses 2-pt jump shot from 20 ft,82,82
318,4,9:56.0,Defensive rebound by M. Belinelli,,82,82
319,4,9:53.0,K. Bazemore misses 3-pt jump shot from 22 ft,,82,82
320,4,9:47.0,Offensive rebound by M. Delaney,,82,82
321,4,9:40.0,Personal foul by D. Miller (drawn by M. Belinelli),,82,82
322,4,9:40.0,T. Prince enters the game for M. Belinelli,,82,82
323,4,9:33.0,Shooting foul by D. Miller (drawn by K. Bazemore),,82,82
324,4,9:33.0,K. Bazemore makes free throw 1 of 2,,83,82
325,4,9:33.0,K. Bazemore makes free throw 2 of 2,,84,82
326,4,9:19.0,,Turnover by D. Cousins (lost ball; steal by M. Delaney),84,82
327,4,9:15.0,J. Collins makes 2-pt dunk at rim (assist by K. Bazemore),,86,82
328,4,9:05.0,,Shooting foul by T. Prince (drawn by D. Cousins),86,82
329,4,9:05.0,,D. Cousins misses free throw 1 of 2,86,82
330,4,9:05.0,,Offensive rebound by Team,86,82
331,4,9:05.0,,D. Cousins makes free throw 2 of 2,86,83
332,4,8:47.0,K. Bazemore makes 2-pt jump shot from 21 ft (assist by I. Taylor),,88,83
333,4,8:23.0,,D. Cousins misses 3-pt jump shot from 26 ft,88,83
334,4,8:20.0,,Offensive rebound by D. Miller,88,83
335,4,8:15.0,,J. Holiday misses 2-pt layup from 1 ft,88,83
336,4,8:12.0,,Offensive rebound by J. Nelson,88,83
337,4,8:10.0,,I. Clark misses 3-pt jump shot from 24 ft,88,83
338,4,8:06.0,Defensive rebound by K. Bazemore,,88,83
339,4,8:00.0,T. Prince misses 2-pt layup from 4 ft,,88,83
340,4,8:00.0,Offensive rebound by J. Collins,,88,83
341,4,8:00.0,,A. Davis enters the game for D. Cousins,88,83
342,4,8:00.0,,E. Moore enters the game for J. Nelson,88,83
343,4,8:00.0,,Violation by D. Miller (kicked ball),88,83
344,4,7:55.0,Personal foul by I. Clark (drawn by M. Delaney),,88,83
345,4,7:48.0,M. Delaney misses 3-pt jump shot from 25 ft,,88,83
346,4,7:44.0,,Defensive rebound by A. Davis,88,83
347,4,7:36.0,,D. Miller makes 2-pt jump shot from 17 ft (assist by A. Davis),88,85
348,4,7:18.0,J. Collins makes 2-pt layup from 2 ft (assist by K. Bazemore),,90,85
349,4,7:05.0,,J. Holiday makes 2-pt layup from 3 ft,90,87
350,4,6:45.0,J. Collins makes 2-pt dunk at rim (assist by K. Bazemore),,92,87
351,4,6:28.0,,E. Moore misses 2-pt layup from 4 ft,92,87
352,4,6:20.0,,Offensive rebound by E. Moore,92,87
