,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
127,2,10:00.0,,K. O'Quinn makes 2-pt jump shot from 18 ft,33,27
128,2,9:41.0,J. Clarkson misses 3-pt jump shot from 25 ft,,33,27
129,2,9:38.0,Offensive rebound by J. Clarkson,,33,27
130,2,9:38.0,J. Clarkson misses 2-pt layup from 2 ft,,33,27
131,2,9:36.0,Offensive rebound by J. Clarkson,,33,27
132,2,9:30.0,J. Clarkson misses 2-pt layup at rim,,33,27
133,2,9:30.0,,Defensive rebound by K. O'Quinn,33,27
134,2,9:27.0,Offensive charge foul by D. McDermott (drawn by C. Brewer),,33,27
135,2,9:27.0,,Turnover by D. McDermott (offensive foul),33,27
136,2,9:19.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,36,27
137,2,8:58.0,,M. Beasley misses 2-pt jump shot from 19 ft,36,27
138,2,8:56.0,,Offensive rebound by F. Ntilikina,36,27
139,2,8:52.0,,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by R. Baker),36,30
140,2,8:50.0,LA Lakers full timeout,,36,30
141,2,8:50.0,,L. Thomas enters the game for M. Beasley,36,30
142,2,8:35.0,C. Brewer misses 2-pt layup from 10 ft,,36,30
143,2,8:33.0,,Defensive rebound by K. O'Quinn,36,30
144,2,8:19.0,,Turnover by F. Ntilikina (bad pass),36,30
145,2,7:56.0,J. Randle makes 2-pt jump shot from 6 ft,,38,30
146,2,7:35.0,,K. O'Quinn makes 2-pt layup from 11 ft,38,32
147,2,7:23.0,Turnover by C. Brewer (bad pass; steal by F. Ntilikina),,38,32
148,2,7:17.0,,Turnover by K. O'Quinn (out of bounds lost ball),38,32
149,2,7:17.0,,J. Jack enters the game for R. Baker,38,32
150,2,7:17.0,B. Ingram enters the game for C. Brewer,,38,32
151,2,7:04.0,K. Kuzma makes 2-pt jump shot from 21 ft (assist by J. Clarkson),,40,32
152,2,6:45.0,,D. McDermott misses 3-pt jump shot from 25 ft,40,32
153,2,6:43.0,Defensive rebound by J. Hart,,40,32
154,2,6:35.0,J. Randle misses 2-pt layup from 2 ft,,40,32
155,2,6:34.0,Offensive rebound by K. Kuzma,,40,32
156,2,6:34.0,K. Kuzma misses 2-pt layup at rim,,40,32
157,2,6:33.0,Offensive rebound by Team,,40,32
158,2,6:33.0,,E. Freedom enters the game for K. O'Quinn,40,32
159,2,6:19.0,Turnover by B. Ingram (bad pass),,40,32
160,2,6:19.0,,K. Porziņģis enters the game for F. Ntilikina,40,32
161,2,6:01.0,,K. Porziņģis misses 2-pt jump shot from 12 ft (block by K. Kuzma),40,32
162,2,5:59.0,Defensive rebound by J. Hart,,40,32
163,2,5:52.0,J. Randle makes 2-pt layup from 1 ft (assist by J. Clarkson),,42,32
164,2,5:47.0,,New York full timeout,42,32
165,2,5:47.0,,C. Lee enters the game for D. McDermott,42,32
166,2,5:47.0,K. Caldwell-Pope enters the game for J. Hart,,42,32
167,2,5:32.0,,Turnover by L. Thomas (bad pass; steal by K. Caldwell-Pope),42,32
168,2,5:14.0,Turnover by J. Randle (bad pass),,42,32
169,2,5:05.0,,J. Jack makes 2-pt jump shot from 20 ft,42,34
170,2,4:45.0,J. Clarkson makes 2-pt jump shot from 12 ft (assist by J. Randle),,44,34
171,2,4:31.0,,K. Porziņģis misses 2-pt jump shot from 16 ft,44,34
172,2,4:30.0,,Offensive rebound by Team,44,34
173,2,4:30.0,L. Ball enters the game for K. Kuzma,,44,34
174,2,4:30.0,B. Lopez enters the game for J. Clarkson,,44,34
175,2,4:30.0,L. Nance enters the game for J. Randle,,44,34
176,2,4:21.0,,Shooting foul by L. Ball (drawn by L. Thomas),44,34
177,2,4:21.0,,L. Thomas makes free throw 1 of 2,44,35
178,2,4:21.0,,L. Thomas makes free throw 2 of 2,44,36
179,2,4:06.0,L. Nance misses 2-pt dunk from 1 ft,,44,36
180,2,4:04.0,,Defensive rebound by J. Jack,44,36
181,2,3:48.0,,Offensive foul by E. Freedom (drawn by L. Nance),44,36
182,2,3:48.0,,Turnover by E. Freedom (offensive foul),44,36
183,2,3:40.0,B. Lopez misses 3-pt jump shot from 27 ft,,44,36
184,2,3:38.0,,Defensive rebound by E. Freedom,44,36
185,2,3:29.0,,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Jack),44,39
186,2,3:21.0,Turnover by B. Lopez (out of bounds lost ball),,44,39
187,2,3:07.0,,C. Lee makes 2-pt jump shot from 18 ft,44,41
188,2,2:54.0,Shooting foul by E. Freedom (drawn by B. Lopez),,44,41
189,2,2:54.0,B. Lopez makes free throw 1 of 2,,45,41
190,2,2:54.0,B. Lopez makes free throw 2 of 2,,46,41
191,2,2:39.0,,C. Lee makes 2-pt jump shot from 10 ft,46,43
192,2,2:27.0,B. Lopez misses 3-pt jump shot from 25 ft,,46,43
193,2,2:25.0,,Defensive rebound by J. Jack,46,43
194,2,2:09.0,,C. Lee makes 2-pt layup from 1 ft (assist by J. Jack),46,45
195,2,1:54.0,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,,46,45
196,2,1:52.0,Offensive rebound by B. Lopez,,46,45
197,2,1:50.0,B. Lopez misses 2-pt layup from 6 ft,,46,45
198,2,1:49.0,,Defensive rebound by L. Thomas,46,45
199,2,1:34.0,,Personal foul by K. Caldwell-Pope (drawn by E. Freedom),46,45
200,2,1:24.0,,C. Lee misses 3-pt jump shot from 22 ft,46,45
201,2,1:22.0,,Offensive rebound by K. Porziņģis,46,45
202,2,1:22.0,,K. Porziņģis makes 2-pt layup at rim,46,47
203,2,1:12.0,L. Ball makes 2-pt jump shot from 20 ft,,48,47
204,2,0:48.0,,C. Lee misses 2-pt jump shot from 15 ft,48,47
205,2,0:46.0,,Offensive rebound by E. Freedom,48,47
206,2,0:46.0,,E. Freedom makes 2-pt layup at rim,48,49
207,2,0:46.0,Violation by L. Nance (def goaltending),,48,49
208,2,0:39.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,48,49
209,2,0:37.0,,Defensive rebound by L. Thomas,48,49
210,2,0:33.0,,Personal foul by B. Ingram (drawn by J. Jack),48,49
211,2,0:33.0,J. Clarkson enters the game for B. Ingram,,48,49
212,2,0:33.0,,J. Jack makes free throw 1 of 2,48,50
213,2,0:33.0,,J. Jack misses free throw 2 of 2,48,50
214,2,0:31.0,Defensive rebound by L. Ball,,48,50
215,2,0:27.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. Ball),,51,50
216,2,0:03.0,,E. Freedom misses 2-pt layup from 1 ft,51,50
217,2,0:02.0,Defensive rebound by J. Clarkson,,51,50
218,2,0:00.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,51,50
219,2,0:00.0,Offensive rebound by Team,,51,50
220,3,11:35.0,,K. Porziņģis makes 2-pt hook shot from 11 ft,51,52
221,3,11:11.0,B. Ingram misses 2-pt jump shot from 7 ft,,51,52
222,3,11:09.0,Offensive rebound by B. Ingram,,51,52
223,3,11:09.0,B. Ingram misses 2-pt layup at rim,,51,52
224,3,11:07.0,,Defensive rebound by J. Jack,51,52
225,3,11:04.0,,E. Freedom makes 2-pt layup from 1 ft (assist by J. Jack),51,54
226,3,10:54.0,B. Lopez misses 2-pt jump shot from 14 ft,,51,54
227,3,10:53.0,Offensive rebound by L. Ball,,51,54
228,3,10:53.0,L. Ball misses 2-pt layup at rim,,51,54
229,3,10:51.0,,Defensive rebound by K. Porziņģis,51,54
230,3,10:45.0,,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Jack),51,57
231,3,10:43.0,LA Lakers full timeout,,51,57
232,3,10:23.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by L. Ball),,54,57
233,3,9:59.0,,L. Thomas misses 3-pt jump shot from 25 ft,54,57
234,3,9:58.0,,Offensive rebound by Team,54,57
235,3,9:58.0,Loose ball foul by B. Lopez (drawn by E. Freedom),,54,57
236,3,9:51.0,,Turnover by J. Jack (bad pass; steal by L. Ball),54,57
237,3,9:42.0,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Lopez),,57,57
238,3,9:12.0,,Turnover by C. Lee (lost ball; steal by K. Caldwell-Pope),57,57
239,3,9:03.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,57,57
240,3,9:01.0,,Defensive rebound by E. Freedom,57,57
241,3,8:49.0,,Shooting foul by L. Nance (drawn by K. Porziņģis),57,57
242,3,8:49.0,,K. Porziņģis makes free throw 1 of 2,57,58
243,3,8:49.0,,K. Porziņģis misses free throw 2 of 2,57,58
244,3,8:47.0,Defensive rebound by L. Nance,,57,58
245,3,8:36.0,B. Lopez misses 3-pt jump shot from 24 ft,,57,58
246,3,8:34.0,,Defensive rebound by E. Freedom,57,58
247,3,8:27.0,,Turnover by K. Porziņģis (bad pass; steal by L. Ball),57,58
248,3,8:21.0,B. Lopez makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,59,58
249,3,7:59.0,,L. Thomas makes 3-pt jump shot from 22 ft (assist by J. Jack),59,61
250,3,7:44.0,B. Ingram misses 2-pt layup from 1 ft (block by K. Porziņģis),,59,61
251,3,7:42.0,Offensive rebound by B. Ingram,,59,61
252,3,7:36.0,Turnover by B. Ingram (lost ball; steal by C. Lee),,59,61
253,3,7:32.0,,C. Lee misses 2-pt layup from 1 ft (block by B. Lopez),59,61
254,3,7:30.0,Defensive rebound by K. Caldwell-Pope,,59,61
255,3,7:27.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft,,61,61
256,3,7:06.0,,Personal foul by L. Ball (drawn by K. Porziņģis),61,61
257,3,7:02.0,,J. Jack misses 3-pt jump shot from 23 ft,61,61
258,3,7:00.0,Defensive rebound by L. Nance,,61,61
259,3,6:54.0,L. Ball misses 2-pt jump shot from 14 ft,,61,61
260,3,6:52.0,,Defensive rebound by L. Thomas,61,61
261,3,6:28.0,,C. Lee misses 3-pt jump shot from 24 ft,61,61
262,3,6:26.0,Defensive rebound by B. Ingram,,61,61
263,3,6:21.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,61,61
264,3,6:19.0,,Defensive rebound by E. Freedom,61,61
265,3,6:07.0,,Turnover by J. Jack (bad pass; steal by B. Ingram),61,61
266,3,6:03.0,L. Ball makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,63,61
267,3,5:32.0,,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Jack),63,64
268,3,5:18.0,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Lopez),,66,64
269,3,5:04.0,,E. Freedom makes 2-pt dunk at rim (assist by C. Lee),66,66
270,3,4:56.0,L. Ball makes 2-pt layup from 1 ft,,68,66
271,3,4:43.0,,E. Freedom makes 2-pt layup from 1 ft (assist by J. Jack),68,68
272,3,4:31.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by L. Ball),,71,68
273,3,4:13.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Jack),71,71
274,3,4:04.0,Personal foul by C. Lee (drawn by K. Caldwell-Pope),,71,71
275,3,4:04.0,,F. Ntilikina enters the game for L. Thomas,71,71
276,3,4:04.0,,D. McDermott enters the game for J. Jack,71,71
277,3,3:51.0,B. Lopez misses 2-pt jump shot from 8 ft,,71,71
278,3,3:50.0,,Defensive rebound by K. Porziņģis,71,71
279,3,3:36.0,,F. Ntilikina misses 2-pt jump shot from 22 ft,71,71
280,3,3:34.0,Defensive rebound by L. Nance,,71,71
281,3,3:19.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,71,71
282,3,3:15.0,Offensive rebound by L. Nance,,71,71
283,3,3:14.0,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by L. Nance),,74,71
284,3,2:59.0,,Personal foul by B. Lopez (drawn by D. McDermott),74,71
285,3,2:59.0,,New York full timeout,74,71
286,3,2:59.0,,M. Beasley enters the game for K. Porziņģis,74,71
287,3,2:59.0,J. Randle enters the game for L. Nance,,74,71
288,3,2:59.0,K. Kuzma enters the game for B. Lopez,,74,71
289,3,2:49.0,,M. Beasley misses 2-pt layup from 7 ft,74,71
290,3,2:46.0,,Offensive rebound by F. Ntilikina,74,71
291,3,2:45.0,,New York full timeout,74,71
292,3,2:35.0,,E. Freedom makes 2-pt layup from 1 ft (assist by F. Ntilikina),74,73
293,3,2:20.0,K. Kuzma misses 2-pt layup at rim,,74,73
