,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
293,3,4:29.0,Y. Ferrell enters the game for D. Smith,,66,85
294,3,4:20.0,,A. Rivers makes 3-pt jump shot from 25 ft,66,88
295,3,4:02.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Barea),,69,88
296,3,3:49.0,,D. Jordan misses 2-pt dunk from 1 ft,69,88
297,3,3:47.0,Defensive rebound by Y. Ferrell,,69,88
298,3,3:44.0,J. Barea misses 3-pt jump shot from 25 ft,,69,88
299,3,3:39.0,,Defensive rebound by D. Jordan,69,88
300,3,3:30.0,,W. Johnson misses 2-pt jump shot from 20 ft,69,88
301,3,3:26.0,Defensive rebound by H. Barnes,,69,88
302,3,3:21.0,H. Barnes makes 2-pt jump shot from 21 ft,,71,88
303,3,3:06.0,,Personal take foul by J. Barea (drawn by P. Beverley),71,88
304,3,3:06.0,,L. Williams enters the game for P. Beverley,71,88
305,3,3:06.0,,S. Thornwell enters the game for A. Rivers,71,88
306,3,3:02.0,,Personal foul by N. Noel (drawn by D. Jordan),71,88
307,3,3:02.0,,D. Jordan makes free throw 1 of 2,71,89
308,3,3:02.0,,D. Jordan makes free throw 2 of 2,71,90
309,3,2:46.0,H. Barnes misses 3-pt jump shot from 23 ft,,71,90
310,3,2:43.0,,Defensive rebound by D. Jordan,71,90
311,3,2:43.0,,Turnover by D. Jordan (traveling),71,90
312,3,2:43.0,,LA Clippers full timeout,71,90
313,3,2:43.0,,W. Reed enters the game for D. Jordan,71,90
314,3,2:34.0,Personal foul by W. Reed (drawn by N. Noel),,71,90
315,3,2:34.0,N. Noel makes free throw 1 of 2,,72,90
316,3,2:34.0,N. Noel makes free throw 2 of 2,,73,90
317,3,2:16.0,,Personal foul by W. Matthews (drawn by B. Griffin),73,90
318,3,2:16.0,,B. Griffin makes free throw 1 of 2,73,91
319,3,2:16.0,,B. Griffin makes free throw 2 of 2,73,92
320,3,2:04.0,Personal foul by B. Griffin (drawn by J. Barea),,73,92
321,3,2:04.0,Technical foul by J. Barea,,73,92
322,3,2:04.0,,L. Williams makes technical free throw,73,93
323,3,2:04.0,J. Barea makes free throw 1 of 2,,74,93
324,3,2:04.0,J. Barea makes free throw 2 of 2,,75,93
325,3,1:51.0,,L. Williams misses 2-pt jump shot from 15 ft,75,93
326,3,1:46.0,Defensive rebound by J. Barea,,75,93
327,3,1:43.0,J. Barea misses 3-pt jump shot from 25 ft,,75,93
328,3,1:43.0,Offensive rebound by N. Noel,,75,93
329,3,1:32.0,W. Matthews makes 2-pt jump shot from 4 ft (assist by H. Barnes),,77,93
330,3,1:18.0,,B. Griffin misses 2-pt hook shot from 5 ft,77,93
331,3,1:18.0,Defensive rebound by J. Barea,,77,93
332,3,1:12.0,,Offensive charge foul by Y. Ferrell (drawn by L. Williams),77,93
333,3,1:12.0,Turnover by Y. Ferrell (offensive foul),,77,93
334,3,1:12.0,,D. Gallinari enters the game for B. Griffin,77,93
335,3,0:55.0,,Turnover by W. Reed (bad pass; steal by Y. Ferrell),77,93
336,3,0:45.0,J. Barea misses 3-pt jump shot from 22 ft,,77,93
337,3,0:41.0,,Defensive rebound by W. Johnson,77,93
338,3,0:24.0,,W. Reed makes 2-pt layup at rim (assist by L. Williams),77,95
339,3,0:02.0,J. Barea misses 2-pt jump shot from 11 ft,,77,95
340,3,0:02.0,,Defensive rebound by L. Williams,77,95
341,4,11:48.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by S. Thornwell),77,98
342,4,11:31.0,Y. Ferrell makes 2-pt layup from 1 ft,,79,98
343,4,11:20.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by L. Williams),79,101
344,4,11:06.0,N. Noel misses 2-pt jump shot from 15 ft,,79,101
345,4,11:01.0,,Defensive rebound by W. Reed,79,101
346,4,10:56.0,,Turnover by L. Williams (bad pass),79,101
347,4,10:47.0,D. Powell misses 3-pt jump shot from 24 ft,,79,101
348,4,10:43.0,,Defensive rebound by L. Williams,79,101
349,4,10:32.0,,L. Williams makes 2-pt jump shot from 3 ft,79,103
350,4,10:22.0,N. Noel misses 2-pt jump shot from 18 ft,,79,103
351,4,10:22.0,,Defensive rebound by W. Reed,79,103
352,4,10:06.0,,D. Gallinari misses 3-pt jump shot from 26 ft,79,103
353,4,10:03.0,Defensive rebound by N. Noel,,79,103
354,4,9:57.0,J. Barea misses 2-pt jump shot from 12 ft,,79,103
355,4,9:53.0,,Defensive rebound by D. Gallinari,79,103
356,4,9:51.0,,W. Johnson makes 2-pt dunk at rim (assist by D. Gallinari),79,105
357,4,9:49.0,Dallas full timeout,,79,105
358,4,9:49.0,,S. Dekker enters the game for D. Gallinari,79,105
359,4,9:49.0,S. Mejri enters the game for N. Noel,,79,105
360,4,9:49.0,D. Smith enters the game for J. Barea,,79,105
361,4,9:37.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,79,105
362,4,9:34.0,Offensive rebound by S. Mejri,,79,105
363,4,9:30.0,Turnover by D. Powell (bad pass),,79,105
364,4,9:17.0,,S. Dekker misses 2-pt layup from 1 ft,79,105
365,4,9:14.0,Defensive rebound by D. Powell,,79,105
366,4,9:12.0,D. Powell misses 3-pt jump shot from 24 ft,,79,105
367,4,9:06.0,,Defensive rebound by W. Johnson,79,105
368,4,9:00.0,,L. Williams makes 2-pt jump shot from 22 ft,79,107
369,4,8:40.0,D. Powell misses 2-pt hook shot from 7 ft,,79,107
370,4,8:39.0,Offensive rebound by Team,,79,107
371,4,8:29.0,Y. Ferrell makes 2-pt layup from 1 ft (assist by S. Mejri),,81,107
372,4,8:11.0,,W. Reed misses 2-pt layup from 1 ft (block by S. Mejri),81,107
373,4,8:08.0,,Offensive rebound by S. Thornwell,81,107
374,4,8:05.0,,S. Thornwell misses 3-pt jump shot from 22 ft,81,107
