,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
161,2,5:40.0,N. Stauskas enters the game for C. LeVert,,37,36
162,2,5:32.0,,J. Parker misses 2-pt layup from 1 ft (block by R. Hollis-Jefferson),37,36
163,2,5:32.0,Defensive rebound by Team,,37,36
164,2,5:15.0,A. Crabbe misses 3-pt jump shot from 28 ft,,37,36
165,2,5:12.0,,Defensive rebound by K. Middleton,37,36
166,2,5:04.0,,Shooting foul by N. Stauskas (drawn by S. Muhammad),37,36
167,2,5:04.0,,S. Muhammad misses free throw 1 of 2,37,36
168,2,5:04.0,,Offensive rebound by Team,37,36
169,2,5:04.0,,J. Henson enters the game for T. Zeller,37,36
170,2,5:04.0,Q. Acy enters the game for R. Hollis-Jefferson,,37,36
171,2,5:04.0,,S. Muhammad makes free throw 2 of 2,37,37
172,2,4:48.0,D. Russell makes 2-pt jump shot from 17 ft,,39,37
173,2,4:48.0,Shooting foul by E. Bledsoe (drawn by D. Russell),,39,37
174,2,4:48.0,D. Russell misses free throw 1 of 1,,39,37
175,2,4:48.0,,Defensive rebound by J. Henson,39,37
176,2,4:35.0,,J. Henson misses 2-pt hook shot from 7 ft,39,37
177,2,4:35.0,,Offensive rebound by S. Muhammad,39,37
178,2,4:35.0,,Shooting foul by N. Stauskas (drawn by S. Muhammad),39,37
179,2,4:35.0,,S. Muhammad makes free throw 1 of 2,39,38
180,2,4:35.0,,S. Muhammad makes free throw 2 of 2,39,39
181,2,4:21.0,,G. Antetokounmpo enters the game for J. Parker,39,39
182,2,4:21.0,,T. Snell enters the game for S. Muhammad,39,39
183,2,4:21.0,C. LeVert enters the game for N. Stauskas,,39,39
184,2,4:21.0,R. Hollis-Jefferson enters the game for Q. Acy,,39,39
185,2,4:12.0,J. Allen makes 2-pt hook shot from 6 ft (assist by D. Russell),,41,39
186,2,3:57.0,,Offensive foul by E. Bledsoe (drawn by R. Hollis-Jefferson),41,39
187,2,3:57.0,,Turnover by E. Bledsoe (offensive foul),41,39
188,2,3:36.0,J. Allen makes 2-pt layup at rim (assist by C. LeVert),,43,39
189,2,3:26.0,,Turnover by E. Bledsoe (bad pass),43,39
190,2,3:01.0,D. Russell makes 3-pt jump shot from 24 ft (assist by A. Crabbe),,46,39
191,2,3:01.0,,Milwaukee full timeout,46,39
192,2,3:01.0,Q. Acy enters the game for J. Allen,,46,39
193,2,2:50.0,,J. Henson makes 2-pt dunk from 1 ft (assist by E. Bledsoe),46,41
194,2,2:39.0,Q. Acy misses 3-pt jump shot from 26 ft,,46,41
195,2,2:37.0,,Defensive rebound by E. Bledsoe,46,41
196,2,2:27.0,,Turnover by K. Middleton (bad pass; steal by C. LeVert),46,41
197,2,2:22.0,C. LeVert makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),,48,41
198,2,1:58.0,,T. Snell misses 3-pt jump shot from 25 ft,48,41
199,2,1:56.0,Defensive rebound by D. Russell,,48,41
200,2,1:51.0,Shooting foul by K. Middleton (drawn by C. LeVert),,48,41
201,2,1:51.0,C. LeVert misses free throw 1 of 2,,48,41
202,2,1:51.0,Offensive rebound by Team,,48,41
203,2,1:51.0,C. LeVert makes free throw 2 of 2,,49,41
204,2,1:32.0,,E. Bledsoe makes 2-pt jump shot from 8 ft,49,43
205,2,1:21.0,Q. Acy makes 3-pt jump shot from 27 ft (assist by D. Russell),,52,43
206,2,1:02.0,,K. Middleton misses 2-pt jump shot from 12 ft,52,43
207,2,1:00.0,Defensive rebound by R. Hollis-Jefferson,,52,43
208,2,0:53.0,D. Russell misses 3-pt jump shot from 26 ft,,52,43
209,2,0:50.0,,Defensive rebound by E. Bledsoe,52,43
210,2,0:39.0,,E. Bledsoe misses 2-pt layup from 4 ft,52,43
211,2,0:37.0,Defensive rebound by A. Crabbe,,52,43
212,2,0:35.0,Turnover by C. LeVert (traveling),,52,43
213,2,0:28.0,,E. Bledsoe makes 2-pt jump shot from 15 ft,52,45
214,2,0:28.0,Turnover by Team (shot clock),,52,45
215,2,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,52,45
216,2,0:00.0,,Offensive rebound by Team,52,45
217,3,11:41.0,Turnover by D. Russell (lost ball; steal by E. Bledsoe),,52,45
218,3,11:41.0,,Personal foul by D. Russell (drawn by G. Antetokounmpo),52,45
219,3,11:30.0,,J. Henson makes 2-pt dunk from 2 ft (assist by K. Middleton),52,47
220,3,11:21.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by J. Harris),,55,47
