,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
265,3,6:42.0,L. Thomas misses 2-pt jump shot from 19 ft,,54,67
266,3,6:40.0,Offensive rebound by L. Thomas,,54,67
267,3,6:39.0,L. Thomas misses 2-pt layup from 7 ft (block by S. Labissière),,54,67
268,3,6:38.0,,Defensive rebound by J. Jackson,54,67
269,3,6:38.0,,Personal foul by C. Lee (drawn by D. Fox),54,67
270,3,6:38.0,,B. Caboclo enters the game for S. Labissière,54,67
271,3,6:27.0,,D. Fox makes 3-pt jump shot from 24 ft,54,70
272,3,6:16.0,Turnover by T. Burke (lost ball; steal by B. Bogdanović),,54,70
273,3,6:13.0,,D. Fox makes 2-pt layup from 1 ft,54,72
274,3,5:58.0,T. Burke makes 2-pt jump shot from 10 ft,,56,72
275,3,5:43.0,,J. Jackson misses 3-pt jump shot from 23 ft,56,72
276,3,5:40.0,Defensive rebound by E. Freedom,,56,72
277,3,5:39.0,Personal foul by D. Fox (drawn by T. Hardaway),,56,72
278,3,5:39.0,F. Ntilikina enters the game for C. Lee,,56,72
279,3,5:32.0,T. Burke misses 2-pt jump shot from 11 ft,,56,72
280,3,5:28.0,,Defensive rebound by B. Caboclo,56,72
281,3,5:15.0,,K. Koufos makes 2-pt jump shot from 6 ft (assist by B. Bogdanović),56,74
282,3,5:02.0,T. Hardaway misses 2-pt jump shot from 9 ft,,56,74
283,3,4:56.0,Offensive rebound by E. Freedom,,56,74
284,3,4:56.0,E. Freedom makes 2-pt layup at rim,,58,74
285,3,4:48.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,58,74
286,3,4:45.0,Defensive rebound by E. Freedom,,58,74
287,3,4:34.0,T. Burke misses 2-pt hook shot from 8 ft,,58,74
288,3,4:30.0,,Defensive rebound by D. Fox,58,74
289,3,4:27.0,,Sacramento full timeout,58,74
290,3,4:27.0,,B. Hield enters the game for B. Bogdanović,58,74
291,3,4:14.0,,D. Fox misses 3-pt jump shot from 24 ft,58,74
292,3,4:09.0,Defensive rebound by E. Freedom,,58,74
293,3,3:51.0,T. Hardaway makes 2-pt layup from 2 ft,,60,74
294,3,3:29.0,,F. Mason enters the game for D. Fox,60,74
295,3,3:29.0,,V. Carter enters the game for B. Caboclo,60,74
296,3,3:29.0,K. O'Quinn enters the game for E. Freedom,,60,74
297,3,3:27.0,,V. Carter makes 3-pt jump shot from 23 ft (assist by J. Jackson),60,77
298,3,3:04.0,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Burke),,63,77
299,3,2:40.0,,B. Hield misses 2-pt jump shot from 17 ft,63,77
300,3,2:37.0,Defensive rebound by L. Thomas,,63,77
301,3,2:33.0,T. Burke makes 2-pt jump shot from 16 ft,,65,77
302,3,2:08.0,,K. Koufos makes 2-pt jump shot from 7 ft,65,79
303,3,1:53.0,F. Ntilikina misses 2-pt jump shot from 10 ft,,65,79
304,3,1:50.0,,Defensive rebound by V. Carter,65,79
305,3,1:37.0,,J. Jackson misses 2-pt jump shot from 6 ft,65,79
306,3,1:34.0,Defensive rebound by T. Burke,,65,79
307,3,1:28.0,T. Hardaway misses 3-pt jump shot from 24 ft,,65,79
308,3,1:24.0,Offensive rebound by T. Burke,,65,79
309,3,1:17.0,K. O'Quinn makes 2-pt jump shot from 10 ft (assist by T. Burke),,67,79
310,3,1:04.0,,F. Mason makes 2-pt jump shot from 10 ft,67,81
311,3,0:49.0,Personal foul by K. Koufos (drawn by T. Hardaway),,67,81
312,3,0:49.0,,S. Labissière enters the game for K. Koufos,67,81
313,3,0:49.0,T. Williams enters the game for T. Hardaway,,67,81
314,3,0:43.0,T. Burke makes 2-pt jump shot from 13 ft,,69,81
315,3,0:24.0,,J. Jackson makes 2-pt layup from 1 ft (assist by S. Labissière),69,83
316,3,0:02.0,L. Thomas makes 3-pt jump shot from 22 ft (assist by T. Burke),,72,83
317,3,0:00.0,,B. Hield misses 3-pt jump shot from 35 ft,72,83
318,3,0:00.0,,Offensive rebound by Team,72,83
319,4,11:42.0,,S. Labissière makes 2-pt hook shot from 6 ft (assist by G. Temple),72,85
320,4,11:19.0,F. Ntilikina misses 2-pt jump shot from 8 ft,,72,85
321,4,11:17.0,,Defensive rebound by S. Labissière,72,85
322,4,11:01.0,,B. Hield makes 2-pt jump shot from 18 ft (assist by G. Temple),72,87
323,4,10:46.0,Shooting foul by F. Mason (drawn by T. Burke),,72,87
324,4,10:46.0,T. Burke misses free throw 1 of 2,,72,87
325,4,10:46.0,Offensive rebound by Team,,72,87
326,4,10:46.0,C. Lee enters the game for F. Ntilikina,,72,87
327,4,10:46.0,M. Beasley enters the game for L. Thomas,,72,87
328,4,10:46.0,T. Burke makes free throw 2 of 2,,73,87
329,4,10:27.0,,V. Carter makes 3-pt jump shot from 24 ft (assist by G. Temple),73,90
330,4,10:09.0,Turnover by T. Williams (out of bounds lost ball),,73,90
