,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
185,2,2:14.0,A. Wiggins makes free throw 1 of 2,,52,42
186,2,2:14.0,,L. Kornet enters the game for M. Beasley,52,42
187,2,2:14.0,A. Wiggins misses free throw 2 of 2,,52,42
188,2,2:11.0,,Defensive rebound by L. Kornet,52,42
189,2,2:00.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Burke),52,45
190,2,1:44.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,55,45
191,2,1:27.0,,Turnover by E. Freedom (turnover; steal by K. Towns),55,45
192,2,1:27.0,,Loose ball foul by E. Freedom (drawn by K. Towns),55,45
193,2,1:27.0,K. Towns makes free throw 1 of 2,,56,45
194,2,1:27.0,K. Towns makes free throw 2 of 2,,57,45
195,2,1:13.0,,T. Hardaway misses 2-pt layup at rim,57,45
196,2,1:09.0,Defensive rebound by A. Wiggins,,57,45
197,2,0:49.0,J. Teague misses 2-pt jump shot from 9 ft,,57,45
198,2,0:45.0,,Defensive rebound by T. Burke,57,45
199,2,0:41.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),57,48
200,2,0:32.0,N. Bjelica misses 3-pt jump shot from 22 ft,,57,48
201,2,0:29.0,,Defensive rebound by E. Freedom,57,48
202,2,0:10.0,,Personal foul by J. Teague (drawn by T. Burke),57,48
203,2,0:03.0,,L. Kornet misses 2-pt jump shot from 21 ft,57,48
204,2,0:03.0,Defensive rebound by K. Towns,,57,48
205,3,11:45.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by T. Burke),57,51
206,3,11:17.0,J. Teague misses 3-pt jump shot from 25 ft,,57,51
207,3,11:14.0,,Defensive rebound by M. Beasley,57,51
208,3,11:04.0,,F. Ntilikina makes 2-pt jump shot from 15 ft,57,53
209,3,10:45.0,Turnover by A. Wiggins (bad pass; steal by T. Burke),,57,53
210,3,10:40.0,,T. Burke makes 2-pt layup from 1 ft,57,55
211,3,10:38.0,Minnesota full timeout,,57,55
212,3,10:26.0,Turnover by A. Wiggins (lost ball; steal by T. Hardaway),,57,55
213,3,10:23.0,,T. Hardaway makes 2-pt layup from 1 ft,57,57
214,3,10:23.0,,Shooting foul by N. Bjelica (drawn by T. Hardaway),57,57
215,3,10:23.0,,T. Hardaway makes free throw 1 of 1,57,58
216,3,10:00.0,A. Wiggins misses 3-pt jump shot from 23 ft,,57,58
217,3,9:56.0,,Defensive rebound by E. Freedom,57,58
218,3,9:50.0,,T. Hardaway makes 2-pt jump shot from 10 ft,57,60
219,3,9:28.0,Turnover by N. Bjelica (traveling),,57,60
220,3,9:28.0,J. Crawford enters the game for N. Bjelica,,57,60
221,3,9:06.0,,Shooting foul by J. Teague (drawn by T. Burke),57,60
222,3,9:06.0,,T. Burke misses free throw 1 of 2,57,60
223,3,9:06.0,,Offensive rebound by Team,57,60
224,3,9:06.0,,T. Burke makes free throw 2 of 2,57,61
225,3,8:53.0,J. Crawford misses 3-pt jump shot from 23 ft,,57,61
226,3,8:50.0,,Defensive rebound by T. Burke,57,61
227,3,8:44.0,,Shooting foul by K. Towns (drawn by E. Freedom),57,61
228,3,8:44.0,,E. Freedom makes free throw 1 of 2,57,62
229,3,8:44.0,,E. Freedom makes free throw 2 of 2,57,63
230,3,8:31.0,K. Towns makes 2-pt hook shot from 6 ft (assist by J. Teague),,59,63
231,3,8:12.0,,T. Hardaway misses 2-pt layup at rim,59,63
232,3,8:11.0,,Offensive rebound by E. Freedom,59,63
233,3,8:11.0,,E. Freedom misses 2-pt layup at rim,59,63
234,3,8:11.0,,Offensive rebound by E. Freedom,59,63
235,3,8:11.0,,Personal foul by K. Towns (drawn by E. Freedom),59,63
236,3,8:06.0,,M. Beasley makes 2-pt layup at rim (assist by T. Burke),59,65
237,3,7:52.0,Turnover by K. Towns (turnover),,59,65
238,3,7:52.0,Loose ball foul by K. Towns (drawn by T. Burke),,59,65
239,3,7:52.0,,T. Burke makes free throw 1 of 2,59,66
240,3,7:52.0,,T. Burke misses free throw 2 of 2,59,66
241,3,7:49.0,Defensive rebound by T. Gibson,,59,66
242,3,7:31.0,Shooting foul by M. Beasley (drawn by T. Gibson),,59,66
243,3,7:31.0,T. Gibson makes free throw 1 of 2,,60,66
244,3,7:31.0,,L. Kornet enters the game for M. Beasley,60,66
245,3,7:31.0,T. Gibson makes free throw 2 of 2,,61,66
246,3,7:09.0,,T. Burke misses 2-pt jump shot from 15 ft,61,66
247,3,7:08.0,Defensive rebound by T. Gibson,,61,66
248,3,6:53.0,A. Wiggins makes 2-pt jump shot from 9 ft,,63,66
249,3,6:39.0,,T. Hardaway misses 3-pt jump shot from 24 ft,63,66
250,3,6:39.0,,Offensive rebound by Team,63,66
251,3,6:31.0,,E. Freedom makes 2-pt dunk from 1 ft (assist by L. Kornet),63,68
252,3,6:09.0,K. Towns makes 2-pt dunk at rim (assist by J. Crawford),,65,68
253,3,5:49.0,,T. Hardaway misses 3-pt jump shot from 26 ft,65,68
254,3,5:46.0,Defensive rebound by T. Gibson,,65,68
255,3,5:39.0,J. Crawford makes 3-pt jump shot from 26 ft,,68,68
256,3,5:26.0,,Turnover by T. Burke (traveling),68,68
257,3,5:14.0,J. Crawford makes 2-pt jump shot from 20 ft,,70,68
258,3,4:53.0,,L. Kornet misses 3-pt jump shot from 24 ft,70,68
259,3,4:49.0,Defensive rebound by K. Towns,,70,68
260,3,4:44.0,Personal foul by L. Kornet (drawn by J. Teague),,70,68
261,3,4:44.0,,T. Williams enters the game for F. Ntilikina,70,68
262,3,4:34.0,J. Crawford misses 2-pt jump shot from 21 ft,,70,68
263,3,4:31.0,,Defensive rebound by E. Freedom,70,68
264,3,4:26.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by T. Burke),70,71
265,3,4:06.0,J. Crawford makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,73,71
266,3,3:54.0,,L. Kornet makes 3-pt jump shot from 27 ft (assist by T. Burke),73,74
267,3,3:44.0,J. Teague misses 2-pt layup from 2 ft,,73,74
268,3,3:42.0,,Defensive rebound by E. Freedom,73,74
269,3,3:39.0,,T. Burke misses 2-pt jump shot from 19 ft,73,74
270,3,3:35.0,Defensive rebound by A. Wiggins,,73,74
271,3,3:34.0,Personal foul by T. Burke (drawn by A. Wiggins),,73,74
272,3,3:23.0,Turnover by J. Teague (bad pass; steal by T. Hardaway),,73,74
273,3,3:19.0,,T. Hardaway makes 3-pt jump shot from 25 ft,73,77
274,3,3:18.0,Minnesota full timeout,,73,77
275,3,2:59.0,J. Crawford misses 2-pt jump shot from 22 ft,,73,77
276,3,2:56.0,,Defensive rebound by T. Hardaway,73,77
277,3,2:51.0,,T. Hardaway makes 2-pt jump shot from 18 ft,73,79
278,3,2:42.0,A. Wiggins misses 3-pt jump shot from 25 ft,,73,79
279,3,2:40.0,T. Jones enters the game for J. Teague,,73,79
