,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
242,3,7:49.0,,D. Carroll makes free throw 2 of 3,71,61
243,3,7:49.0,,D. Carroll makes free throw 3 of 3,71,62
244,3,7:34.0,Z. Randolph makes 2-pt layup from 9 ft (assist by G. Hill),,73,62
245,3,7:07.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,73,62
246,3,7:02.0,,Offensive rebound by D. Carroll,73,62
247,3,6:59.0,,A. Crabbe misses 2-pt layup from 2 ft,73,62
248,3,6:56.0,Defensive rebound by W. Cauley-Stein,,73,62
249,3,6:44.0,Shooting foul by T. Zeller (drawn by Z. Randolph),,73,62
250,3,6:44.0,,Brooklyn full timeout,73,62
251,3,6:44.0,,J. Harris enters the game for T. Zeller,73,62
252,3,6:44.0,,Q. Acy enters the game for A. Crabbe,73,62
253,3,6:44.0,Z. Randolph makes free throw 1 of 2,,74,62
254,3,6:44.0,Z. Randolph makes free throw 2 of 2,,75,62
255,3,6:21.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,75,65
256,3,6:08.0,Personal foul by D. Carroll (drawn by G. Hill),,75,65
257,3,5:59.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,75,65
258,3,5:55.0,,Defensive rebound by Q. Acy,75,65
259,3,5:52.0,,Turnover by R. Hollis-Jefferson (bad pass),75,65
260,3,5:35.0,G. Temple misses 3-pt jump shot from 27 ft,,75,65
261,3,5:34.0,,Defensive rebound by Team,75,65
262,3,5:34.0,,C. LeVert enters the game for D. Carroll,75,65
263,3,5:18.0,,S. Dinwiddie makes 2-pt jump shot from 17 ft,75,67
264,3,5:07.0,W. Cauley-Stein misses 2-pt jump shot from 18 ft,,75,67
265,3,5:04.0,,Defensive rebound by J. Harris,75,67
266,3,4:59.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,75,67
267,3,4:54.0,Defensive rebound by G. Hill,,75,67
268,3,4:40.0,B. Bogdanović makes 2-pt layup from 3 ft,,77,67
269,3,4:23.0,,Q. Acy makes 3-pt jump shot from 22 ft (assist by C. LeVert),77,70
270,3,4:01.0,Turnover by Z. Randolph (bad pass; steal by J. Harris),,77,70
271,3,3:57.0,,J. Harris misses 2-pt layup from 3 ft (block by G. Temple),77,70
272,3,3:57.0,,Offensive rebound by C. LeVert,77,70
273,3,3:57.0,,Shooting foul by W. Cauley-Stein (drawn by C. LeVert),77,70
274,3,3:57.0,,C. LeVert makes free throw 1 of 2,77,71
275,3,3:57.0,J. Jackson enters the game for G. Temple,,77,71
276,3,3:57.0,,C. LeVert makes free throw 2 of 2,77,72
277,3,3:35.0,G. Hill misses 2-pt jump shot from 6 ft,,77,72
278,3,3:32.0,Offensive rebound by Z. Randolph,,77,72
279,3,3:28.0,G. Hill makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,80,72
280,3,3:09.0,,Q. Acy misses 3-pt jump shot from 26 ft,80,72
281,3,3:06.0,Defensive rebound by W. Cauley-Stein,,80,72
282,3,3:05.0,Personal foul by Q. Acy (drawn by Z. Randolph),,80,72
283,3,3:05.0,,A. Crabbe enters the game for S. Dinwiddie,80,72
284,3,3:05.0,Sacramento full timeout,,80,72
285,3,2:50.0,G. Hill makes 3-pt jump shot from 27 ft,,83,72
286,3,2:28.0,,Q. Acy misses 3-pt jump shot from 27 ft,83,72
287,3,2:25.0,Defensive rebound by B. Bogdanović,,83,72
288,3,2:20.0,Offensive foul by Z. Randolph (drawn by Q. Acy),,83,72
289,3,2:20.0,Turnover by Z. Randolph (offensive foul),,83,72
290,3,2:20.0,,J. Allen enters the game for R. Hollis-Jefferson,83,72
291,3,2:20.0,K. Koufos enters the game for G. Hill,,83,72
292,3,2:20.0,F. Mason enters the game for Z. Randolph,,83,72
293,3,2:00.0,,Q. Acy makes 3-pt jump shot from 25 ft (assist by C. LeVert),83,75
294,3,1:44.0,F. Mason misses 2-pt jump shot from 20 ft,,83,75
295,3,1:41.0,,Defensive rebound by A. Crabbe,83,75
296,3,1:29.0,,C. LeVert misses 2-pt jump shot from 10 ft,83,75
297,3,1:25.0,Defensive rebound by K. Koufos,,83,75
298,3,1:09.0,K. Koufos makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),,85,75
299,3,0:57.0,,A. Crabbe misses 3-pt jump shot from 26 ft,85,75
300,3,0:54.0,Defensive rebound by B. Bogdanović,,85,75
301,3,0:43.0,Personal foul by A. Crabbe (drawn by B. Bogdanović),,85,75
302,3,0:43.0,B. Bogdanović misses free throw 1 of 2,,85,75
303,3,0:43.0,Offensive rebound by Team,,85,75
304,3,0:43.0,B. Bogdanović makes free throw 2 of 2,,86,75
305,3,0:32.0,,C. LeVert misses 2-pt jump shot from 11 ft,86,75
306,3,0:31.0,Defensive rebound by W. Cauley-Stein,,86,75
307,3,0:11.0,B. Hield enters the game for B. Bogdanović,,86,75
308,3,0:08.0,K. Koufos misses 2-pt hook shot from 14 ft,,86,75
309,3,0:08.0,Offensive rebound by Team,,86,75
310,3,0:07.0,Turnover by Team (shot clock),,86,75
311,4,11:48.0,,Turnover by J. Allen (bad pass; steal by F. Mason),86,75
312,4,11:43.0,F. Mason misses 2-pt layup from 4 ft (block by J. Allen),,86,75
313,4,11:33.0,Offensive rebound by K. Koufos,,86,75
314,4,11:33.0,K. Koufos makes 2-pt hook shot from 2 ft,,88,75
315,4,11:23.0,,C. LeVert misses 3-pt jump shot from 23 ft,88,75
316,4,11:17.0,Defensive rebound by S. Labissière,,88,75
317,4,11:14.0,F. Mason misses 2-pt layup from 1 ft (block by C. LeVert),,88,75
318,4,11:14.0,Offensive rebound by Team,,88,75
319,4,11:06.0,K. Koufos misses 2-pt layup from 4 ft (block by J. Allen),,88,75
320,4,11:06.0,Offensive rebound by S. Labissière,,88,75
321,4,11:05.0,S. Labissière makes 2-pt dunk from 3 ft,,90,75
322,4,10:53.0,,C. LeVert makes 3-pt jump shot from 26 ft,90,78
323,4,10:39.0,,Personal foul by J. Jackson (drawn by J. Harris),90,78
324,4,10:39.0,Turnover by J. Jackson (turnover),,90,78
325,4,10:21.0,,J. Harris makes 2-pt jump shot from 7 ft,90,80
326,4,10:07.0,F. Mason misses 2-pt layup from 3 ft (block by J. Allen),,90,80
327,4,10:02.0,,Defensive rebound by A. Crabbe,90,80
328,4,9:43.0,,A. Crabbe makes 3-pt jump shot from 22 ft (assist by Q. Acy),90,83
329,4,9:21.0,S. Labissière misses 2-pt hook shot from 5 ft,,90,83
330,4,9:16.0,,Defensive rebound by Q. Acy,90,83
331,4,9:10.0,,A. Crabbe misses 3-pt jump shot from 26 ft,90,83
332,4,9:08.0,Defensive rebound by F. Mason,,90,83
333,4,9:08.0,Sacramento full timeout,,90,83
334,4,9:08.0,,S. Dinwiddie enters the game for A. Crabbe,90,83
335,4,9:08.0,G. Hill enters the game for S. Labissière,,90,83
336,4,8:58.0,B. Hield makes 2-pt jump shot from 18 ft,,92,83
337,4,8:36.0,,C. LeVert makes 3-pt jump shot from 25 ft (assist by J. Harris),92,86
338,4,8:20.0,Turnover by F. Mason (out of bounds lost ball),,92,86
339,4,8:20.0,,R. Hollis-Jefferson enters the game for Q. Acy,92,86
340,4,8:02.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),92,89
341,4,7:45.0,F. Mason misses 2-pt layup from 8 ft,,92,89
342,4,7:39.0,Offensive rebound by K. Koufos,,92,89
343,4,7:35.0,J. Jackson misses 3-pt jump shot from 22 ft,,92,89
344,4,7:35.0,,Defensive rebound by R. Hollis-Jefferson,92,89
345,4,7:25.0,,J. Allen misses 2-pt layup from 6 ft (block by K. Koufos),92,89
346,4,7:25.0,,Offensive rebound by R. Hollis-Jefferson,92,89
347,4,7:12.0,,C. LeVert misses 2-pt jump shot from 16 ft (block by F. Mason),92,89
348,4,7:12.0,,Offensive rebound by J. Allen,92,89
349,4,7:05.0,,J. Allen misses 2-pt jump shot from 20 ft,92,89
350,4,7:05.0,Defensive rebound by G. Hill,,92,89
351,4,6:50.0,G. Hill makes 3-pt jump shot from 28 ft,,95,89
352,4,6:25.0,,J. Harris makes 2-pt jump shot from 14 ft,95,91
353,4,6:03.0,G. Hill makes 2-pt jump shot from 9 ft,,97,91
354,4,6:03.0,,Brooklyn full timeout,97,91
355,4,6:03.0,,A. Crabbe enters the game for C. LeVert,97,91
356,4,6:03.0,G. Temple enters the game for F. Mason,,97,91
357,4,6:03.0,B. Bogdanović enters the game for B. Hield,,97,91
358,4,5:50.0,,J. Harris misses 3-pt jump shot from 25 ft,97,91
359,4,5:48.0,,Offensive rebound by S. Dinwiddie,97,91
360,4,5:46.0,,S. Dinwiddie misses 2-pt jump shot from 9 ft,97,91
361,4,5:40.0,,Offensive rebound by R. Hollis-Jefferson,97,91
362,4,5:40.0,,R. Hollis-Jefferson makes 2-pt layup at rim,97,93
363,4,5:20.0,G. Hill misses 2-pt jump shot from 18 ft,,97,93
364,4,5:15.0,,Defensive rebound by R. Hollis-Jefferson,97,93
365,4,5:04.0,,J. Harris makes 2-pt layup from 6 ft (assist by R. Hollis-Jefferson),97,95
366,4,4:38.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,97,95
367,4,4:35.0,,Defensive rebound by J. Allen,97,95
