,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
195,2,1:24.0,,J. Jack misses 3-pt jump shot from 26 ft,43,36
196,2,1:22.0,Defensive rebound by Team,,43,36
197,2,1:22.0,Personal foul by K. Porziņģis (drawn by J. Collins),,43,36
198,2,1:22.0,J. Collins misses free throw 1 of 2,,43,36
199,2,1:22.0,Offensive rebound by Team,,43,36
200,2,1:22.0,J. Collins makes free throw 2 of 2,,44,36
201,2,1:05.0,,C. Lee misses 2-pt jump shot from 20 ft,44,36
202,2,1:03.0,Defensive rebound by T. Prince,,44,36
203,2,0:57.0,D. Schröder misses 2-pt jump shot from 15 ft,,44,36
204,2,0:54.0,,Defensive rebound by K. O'Quinn,44,36
205,2,0:44.0,,C. Lee misses 3-pt jump shot from 23 ft,44,36
206,2,0:42.0,Defensive rebound by M. Muscala,,44,36
207,2,0:29.0,D. Schröder misses 3-pt jump shot from 25 ft,,44,36
208,2,0:26.0,,Defensive rebound by K. Porziņģis,44,36
209,2,0:03.0,,C. Lee makes 2-pt jump shot from 21 ft (assist by J. Jack),44,38
210,2,0:00.0,D. Schröder misses 3-pt jump shot from 49 ft,,44,38
211,2,0:00.0,Offensive rebound by Team,,44,38
212,3,11:35.0,Turnover by D. Schröder (bad pass; steal by K. Porziņģis),,44,38
213,3,11:20.0,,K. Porziņģis makes 2-pt layup from 6 ft,44,40
214,3,11:20.0,,Shooting foul by M. Plumlee (drawn by K. Porziņģis),44,40
215,3,11:20.0,,K. Porziņģis makes free throw 1 of 1,44,41
216,3,11:07.0,M. Plumlee makes 2-pt layup from 1 ft (assist by T. Prince),,46,41
217,3,10:53.0,,T. Hardaway makes 2-pt jump shot from 20 ft,46,43
218,3,10:34.0,T. Prince misses 3-pt jump shot from 26 ft,,46,43
219,3,10:33.0,,Defensive rebound by E. Freedom,46,43
220,3,10:26.0,,C. Lee misses 2-pt layup at rim,46,43
221,3,10:24.0,,Offensive rebound by E. Freedom,46,43
222,3,10:24.0,,E. Freedom makes 2-pt layup at rim,46,45
223,3,10:23.0,Atlanta full timeout,,46,45
224,3,10:05.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by K. Bazemore),,49,45
225,3,9:55.0,,T. Hardaway makes 2-pt dunk at rim (assist by E. Freedom),49,47
226,3,9:41.0,Turnover by T. Prince (bad pass; steal by K. Porziņģis),,49,47
227,3,9:34.0,,E. Freedom makes 2-pt dunk from 2 ft (assist by C. Lee),49,49
228,3,9:19.0,D. Dedmon misses 3-pt jump shot from 26 ft,,49,49
229,3,9:17.0,,Defensive rebound by T. Hardaway,49,49
230,3,9:09.0,,T. Hardaway misses 2-pt jump shot from 16 ft,49,49
231,3,9:07.0,Defensive rebound by K. Bazemore,,49,49
232,3,8:58.0,K. Bazemore makes 2-pt layup from 2 ft,,51,49
233,3,8:42.0,,K. Porziņģis makes 2-pt hook shot from 6 ft,51,51
234,3,8:26.0,T. Prince makes 3-pt jump shot from 24 ft (assist by D. Schröder),,54,51
235,3,8:05.0,,Turnover by K. Porziņģis (traveling),54,51
236,3,7:50.0,T. Prince misses 2-pt layup from 1 ft (block by K. Porziņģis),,54,51
237,3,7:49.0,Offensive rebound by Team,,54,51
238,3,7:44.0,K. Bazemore makes 2-pt jump shot from 16 ft,,56,51
239,3,7:26.0,,E. Freedom misses 2-pt layup from 1 ft,56,51
240,3,7:25.0,,Offensive rebound by Team,56,51
241,3,7:18.0,,J. Jack makes 3-pt jump shot from 25 ft,56,54
242,3,7:00.0,K. Bazemore misses 2-pt jump shot from 17 ft (block by C. Lee),,56,54
243,3,6:56.0,Offensive rebound by K. Bazemore,,56,54
244,3,6:54.0,D. Dedmon misses 2-pt layup from 2 ft,,56,54
245,3,6:54.0,,Defensive rebound by E. Freedom,56,54
246,3,6:50.0,,Turnover by J. Jack (bad pass),56,54
247,3,6:50.0,M. Belinelli enters the game for T. Prince,,56,54
248,3,6:37.0,M. Plumlee makes 2-pt hook shot from 5 ft (assist by K. Bazemore),,58,54
249,3,6:24.0,,Turnover by C. Lee (bad pass; steal by M. Belinelli),58,54
250,3,6:18.0,K. Bazemore misses 3-pt jump shot from 23 ft,,58,54
251,3,6:15.0,,Defensive rebound by K. Porziņģis,58,54
252,3,6:03.0,,J. Jack makes 2-pt jump shot from 4 ft,58,56
253,3,5:52.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Schröder),,60,56
254,3,5:29.0,,C. Lee misses 3-pt jump shot from 25 ft,60,56
255,3,5:27.0,,Offensive rebound by E. Freedom,60,56
256,3,5:27.0,,E. Freedom makes 2-pt layup at rim,60,58
257,3,5:15.0,Personal foul by T. Hardaway (drawn by M. Belinelli),,60,58
258,3,5:15.0,,D. McDermott enters the game for T. Hardaway,60,58
259,3,5:15.0,T. Prince enters the game for D. Dedmon,,60,58
260,3,5:15.0,M. Muscala enters the game for M. Plumlee,,60,58
261,3,5:15.0,J. Collins enters the game for K. Bazemore,,60,58
262,3,5:07.0,J. Collins misses 2-pt layup from 1 ft (block by K. Porziņģis),,60,58
263,3,4:58.0,,Defensive rebound by D. McDermott,60,58
264,3,4:55.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,60,58
265,3,4:55.0,,Offensive rebound by D. McDermott,60,58
266,3,4:45.0,,D. McDermott misses 2-pt layup at rim,60,58
267,3,4:43.0,Defensive rebound by J. Collins,,60,58
268,3,4:43.0,Shooting foul by J. Jack (drawn by D. Schröder),,60,58
269,3,4:43.0,,T. Burke enters the game for J. Jack,60,58
270,3,4:43.0,D. Schröder makes free throw 1 of 2,,61,58
271,3,4:43.0,D. Schröder makes free throw 2 of 2,,62,58
272,3,4:25.0,,E. Freedom makes 2-pt hook shot from 3 ft,62,60
273,3,4:12.0,D. Schröder misses 2-pt layup from 6 ft,,62,60
274,3,4:10.0,Offensive rebound by D. Schröder,,62,60
275,3,4:09.0,D. Schröder misses 2-pt jump shot from 12 ft (block by K. Porziņģis),,62,60
276,3,4:06.0,Offensive rebound by D. Schröder,,62,60
277,3,4:01.0,M. Belinelli misses 2-pt jump shot from 18 ft,,62,60
278,3,3:59.0,,Defensive rebound by E. Freedom,62,60
279,3,3:51.0,,T. Burke makes 2-pt jump shot from 20 ft,62,62
280,3,3:32.0,D. Schröder makes 2-pt jump shot from 6 ft,,64,62
281,3,3:22.0,,New York full timeout,64,62
282,3,3:22.0,,M. Beasley enters the game for K. Porziņģis,64,62
283,3,3:22.0,M. Delaney enters the game for D. Schröder,,64,62
284,3,3:03.0,,E. Freedom makes 2-pt jump shot from 16 ft,64,64
285,3,2:41.0,J. Collins misses 2-pt jump shot from 7 ft,,64,64
286,3,2:39.0,,Defensive rebound by M. Beasley,64,64
287,3,2:30.0,,T. Burke makes 2-pt jump shot from 20 ft,64,66
288,3,2:13.0,T. Prince misses 2-pt jump shot from 15 ft,,64,66
289,3,2:11.0,Offensive rebound by J. Collins,,64,66
290,3,2:08.0,J. Collins misses 2-pt layup at rim,,64,66
