,QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
315,3,1:01.0,,Defensive rebound by R. Neto,67,84
316,3,0:47.0,,R. Hood misses 3-pt jump shot from 26 ft,67,84
317,3,0:45.0,Defensive rebound by B. Portis,,67,84
318,3,0:32.0,B. Portis makes 2-pt jump shot from 10 ft,,69,84
319,3,0:09.0,,R. Neto makes 3-pt jump shot from 22 ft (assist by E. Udoh),69,87
320,3,0:00.0,J. Grant misses 2-pt jump shot from 10 ft (block by E. Udoh),,69,87
321,3,0:00.0,Offensive rebound by Team,,69,87
322,4,11:36.0,,R. Neto makes 2-pt layup from 2 ft,69,89
323,4,11:25.0,Offensive foul by B. Portis (drawn by R. Neto),,69,89
324,4,11:25.0,Turnover by B. Portis (offensive foul),,69,89
325,4,11:09.0,,R. Hood misses 3-pt jump shot from 24 ft,69,89
326,4,11:05.0,Defensive rebound by L. Markkanen,,69,89
327,4,11:00.0,A. Blakeney makes 2-pt jump shot from 8 ft,,71,89
328,4,10:36.0,,A. Burks misses 3-pt jump shot from 25 ft,71,89
329,4,10:35.0,Defensive rebound by B. Portis,,71,89
330,4,10:15.0,A. Blakeney makes 3-pt jump shot from 25 ft (assist by J. Grant),,74,89
331,4,9:50.0,,A. Burks makes 2-pt layup from 2 ft,74,91
332,4,9:33.0,K. Dunn misses 2-pt jump shot from 11 ft,,74,91
333,4,9:30.0,,Defensive rebound by R. Neto,74,91
334,4,9:20.0,,A. Burks misses 3-pt jump shot from 24 ft,74,91
335,4,9:17.0,Defensive rebound by K. Dunn,,74,91
336,4,9:12.0,B. Portis misses 2-pt layup from 5 ft,,74,91
337,4,9:10.0,,Defensive rebound by A. Burks,74,91
338,4,9:07.0,,Utah full timeout,74,91
339,4,9:07.0,,J. Jerebko enters the game for T. Sefolosha,74,91
340,4,9:07.0,,D. Favors enters the game for R. Neto,74,91
341,4,9:07.0,,R. Rubio enters the game for E. Udoh,74,91
342,4,8:53.0,,D. Favors misses 2-pt jump shot from 16 ft,74,91
343,4,8:50.0,Defensive rebound by L. Markkanen,,74,91
344,4,8:36.0,A. Blakeney misses 2-pt jump shot from 11 ft,,74,91
345,4,8:35.0,Offensive rebound by Team,,74,91
346,4,8:35.0,,Loose ball foul by J. Jerebko (drawn by L. Markkanen),74,91
347,4,8:22.0,L. Markkanen misses 3-pt jump shot from 25 ft,,74,91
348,4,8:19.0,,Defensive rebound by D. Favors,74,91
349,4,8:11.0,,A. Burks makes 2-pt layup from 2 ft (assist by R. Rubio),74,93
350,4,7:49.0,A. Blakeney misses 3-pt jump shot from 25 ft,,74,93
351,4,7:46.0,,Defensive rebound by J. Jerebko,74,93
352,4,7:31.0,,Shooting foul by J. Grant (drawn by A. Burks),74,93
353,4,7:31.0,,A. Burks misses free throw 1 of 2,74,93
354,4,7:31.0,,Offensive rebound by Team,74,93
355,4,7:31.0,,A. Burks makes free throw 2 of 2,74,94
356,4,7:20.0,K. Dunn misses 2-pt layup from 1 ft,,74,94
357,4,7:17.0,Offensive rebound by K. Dunn,,74,94
358,4,7:12.0,Turnover by K. Dunn (bad pass; steal by A. Burks),,74,94
359,4,6:54.0,,A. Burks makes 2-pt jump shot from 7 ft,74,96
360,4,6:54.0,Chicago full timeout,,74,96
361,4,6:54.0,,J. Ingles enters the game for R. Hood,74,96
362,4,6:54.0,P. Zipser enters the game for L. Markkanen,,74,96
363,4,6:36.0,B. Portis misses 2-pt jump shot from 8 ft (block by D. Favors),,74,96
364,4,6:32.0,,Defensive rebound by J. Ingles,74,96
365,4,6:18.0,,R. Rubio makes 2-pt layup from 3 ft,74,98
366,4,6:05.0,Offensive foul by B. Portis (drawn by D. Favors),,74,98
367,4,6:05.0,Turnover by B. Portis (offensive foul),,74,98
368,4,6:05.0,,E. Udoh enters the game for D. Favors,74,98
369,4,6:05.0,K. Felder enters the game for K. Dunn,,74,98
370,4,5:50.0,,A. Burks makes 3-pt jump shot from 24 ft (assist by E. Udoh),74,101
371,4,5:35.0,B. Portis misses 2-pt layup from 3 ft,,74,101
372,4,5:32.0,,Defensive rebound by R. Rubio,74,101
373,4,5:25.0,,R. Rubio misses 2-pt jump shot from 21 ft,74,101
374,4,5:21.0,Defensive rebound by B. Portis,,74,101
375,4,5:15.0,Shooting foul by E. Udoh (drawn by K. Felder),,74,101
376,4,5:15.0,K. Felder makes free throw 1 of 2,,75,101
377,4,5:15.0,,T. Sefolosha enters the game for J. Jerebko,75,101
378,4,5:15.0,C. Felício enters the game for J. Grant,,75,101
379,4,5:15.0,Q. Pondexter enters the game for B. Portis,,75,101
380,4,5:15.0,K. Felder makes free throw 2 of 2,,76,101
381,4,4:55.0,,T. Sefolosha misses 2-pt jump shot from 10 ft,76,101
382,4,4:52.0,Defensive rebound by C. Felício,,76,101
383,4,4:46.0,K. Felder misses 2-pt jump shot from 17 ft,,76,101
