,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
194,2,1:39.0,,Personal foul by K. Irving (drawn by A. Wiggins),58,44
195,2,1:28.0,,Turnover by A. Wiggins (lost ball; steal by M. Smart),58,44
196,2,1:22.0,A. Horford makes 2-pt layup from 5 ft (assist by M. Smart),,60,44
197,2,1:01.0,,A. Wiggins misses 2-pt jump shot from 11 ft,60,44
198,2,0:56.0,,Offensive rebound by A. Wiggins,60,44
199,2,0:56.0,,A. Wiggins misses 2-pt layup at rim,60,44
200,2,0:54.0,Defensive rebound by K. Irving,,60,44
201,2,0:49.0,M. Morris misses 2-pt layup from 8 ft,,60,44
202,2,0:46.0,,Defensive rebound by A. Wiggins,60,44
203,2,0:38.0,,T. Gibson makes 2-pt dunk at rim (assist by N. Bjelica),60,46
204,2,0:30.0,M. Smart misses 3-pt jump shot from 25 ft,,60,46
205,2,0:27.0,,Defensive rebound by K. Towns,60,46
206,2,0:05.0,,Turnover by Team (shot clock),60,46
207,2,0:05.0,,G. Dieng enters the game for K. Towns,60,46
208,2,0:00.0,,Offensive charge foul by K. Irving (drawn by G. Dieng),60,46
209,2,0:00.0,Turnover by K. Irving (offensive foul),,60,46
210,3,11:40.0,A. Baynes makes 2-pt hook shot from 10 ft (assist by A. Horford),,62,46
211,3,11:17.0,,T. Gibson misses 2-pt jump shot from 8 ft,62,46
212,3,11:17.0,Defensive rebound by A. Baynes,,62,46
213,3,11:09.0,J. Tatum makes 2-pt jump shot from 17 ft (assist by K. Irving),,64,46
214,3,10:49.0,,K. Towns makes 2-pt layup from 4 ft (assist by N. Bjelica),64,48
215,3,10:35.0,A. Horford misses 3-pt jump shot from 25 ft,,64,48
216,3,10:35.0,,Defensive rebound by N. Bjelica,64,48
217,3,10:28.0,,N. Bjelica makes 3-pt jump shot from 25 ft,64,51
218,3,10:15.0,A. Baynes makes 2-pt jump shot from 11 ft (assist by K. Irving),,66,51
219,3,9:56.0,,A. Wiggins misses 3-pt jump shot from 23 ft,66,51
220,3,9:54.0,,Offensive rebound by T. Gibson,66,51
221,3,9:44.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by J. Teague),66,53
222,3,9:28.0,A. Horford misses 2-pt layup from 3 ft,,66,53
223,3,9:25.0,,Defensive rebound by T. Gibson,66,53
224,3,9:07.0,,T. Gibson makes 2-pt layup at rim (assist by J. Teague),66,55
225,3,8:46.0,J. Tatum misses 3-pt jump shot from 25 ft,,66,55
226,3,8:43.0,,Defensive rebound by K. Towns,66,55
227,3,8:39.0,,Shooting foul by A. Baynes (drawn by K. Towns),66,55
228,3,8:39.0,,K. Towns makes free throw 1 of 2,66,56
229,3,8:39.0,,K. Towns makes free throw 2 of 2,66,57
230,3,8:25.0,A. Baynes misses 2-pt jump shot from 8 ft (block by K. Towns),,66,57
231,3,8:25.0,,Defensive rebound by Team,66,57
