,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
153,2,5:07.0,Defensive rebound by K. Durant,,36,39
154,2,5:05.0,K. Durant makes 2-pt layup from 9 ft,,38,39
155,2,5:05.0,,Violation by D. Green (def goaltending),38,39
156,2,5:05.0,Shooting foul by R. Gay (drawn by K. Durant),,38,39
157,2,5:05.0,K. Durant makes free throw 1 of 1,,39,39
158,2,4:52.0,,Turnover by P. Mills (lost ball; steal by K. Looney),39,39
159,2,4:49.0,Personal foul by P. Mills (drawn by A. Iguodala),,39,39
160,2,4:49.0,,M. Ginóbili enters the game for D. Green,39,39
161,2,4:38.0,Turnover by K. Durant (bad pass; steal by M. Ginóbili),,39,39
162,2,4:27.0,,Personal foul by K. Durant (drawn by L. Aldridge),39,39
163,2,4:18.0,,K. Anderson misses 3-pt jump shot from 22 ft,39,39
164,2,4:15.0,Defensive rebound by A. Iguodala,,39,39
165,2,4:10.0,Personal foul by K. Anderson (drawn by K. Durant),,39,39
166,2,4:10.0,K. Durant makes free throw 1 of 2,,40,39
167,2,4:10.0,,San Antonio full timeout,40,39
168,2,4:10.0,,P. Gasol enters the game for R. Gay,40,39
169,2,4:10.0,K. Durant makes free throw 2 of 2,,41,39
170,2,3:54.0,,Shooting foul by D. Green (drawn by L. Aldridge),41,39
171,2,3:54.0,,L. Aldridge makes free throw 1 of 2,41,40
172,2,3:54.0,,L. Aldridge makes free throw 2 of 2,41,41
173,2,3:42.0,D. Green makes 2-pt dunk from 1 ft (assist by K. Durant),,43,41
174,2,3:28.0,,P. Mills misses 3-pt jump shot from 24 ft,43,41
175,2,3:25.0,Defensive rebound by K. Durant,,43,41
176,2,3:19.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),,45,41
177,2,3:01.0,,M. Ginóbili misses 2-pt layup from 2 ft (block by K. Looney),45,41
178,2,2:57.0,Defensive rebound by K. Looney,,45,41
179,2,2:55.0,K. Thompson misses 3-pt jump shot from 23 ft,,45,41
180,2,2:52.0,,Defensive rebound by P. Gasol,45,41
181,2,2:49.0,,P. Gasol makes 2-pt dunk at rim (assist by K. Anderson),45,43
182,2,2:24.0,K. Looney misses 2-pt layup at rim,,45,43
183,2,2:22.0,,Defensive rebound by M. Ginóbili,45,43
184,2,2:15.0,,L. Aldridge misses 2-pt layup at rim,45,43
185,2,2:11.0,Defensive rebound by K. Durant,,45,43
186,2,2:09.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,48,43
187,2,1:40.0,,Turnover by Team (shot clock),48,43
188,2,1:40.0,,D. Bertāns enters the game for K. Anderson,48,43
189,2,1:40.0,,R. Gay enters the game for P. Gasol,48,43
190,2,1:29.0,Shooting foul by D. Bertāns (drawn by K. Durant),,48,43
191,2,1:29.0,K. Durant makes free throw 1 of 2,,49,43
192,2,1:29.0,K. Durant makes free throw 2 of 2,,50,43
193,2,1:15.0,,Turnover by M. Ginóbili (lost ball; steal by K. Looney),50,43
194,2,1:05.0,K. Durant misses 3-pt jump shot from 25 ft (block by M. Ginóbili),,50,43
195,2,1:00.0,,Defensive rebound by D. Bertāns,50,43
196,2,0:57.0,,D. Bertāns misses 3-pt jump shot from 22 ft,50,43
197,2,0:55.0,,Offensive rebound by R. Gay,50,43
198,2,0:54.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,50,43
199,2,0:50.0,Defensive rebound by D. Green,,50,43
200,2,0:36.0,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),,52,43
201,2,0:27.0,,R. Gay misses 2-pt layup at rim (block by D. Green),52,43
202,2,0:27.0,,Offensive rebound by Team,52,43
203,2,0:27.0,S. Livingston enters the game for D. Green,,52,43
204,2,0:27.0,D. West enters the game for K. Durant,,52,43
205,2,0:15.0,,R. Gay makes 3-pt jump shot from 26 ft (assist by P. Mills),52,46
206,3,11:43.0,K. Durant makes 2-pt jump shot from 15 ft (assist by A. Iguodala),,54,46
207,3,11:19.0,,L. Aldridge makes 2-pt jump shot from 11 ft,54,48
208,3,10:59.0,D. Green misses 3-pt jump shot from 24 ft,,54,48
209,3,10:56.0,,Defensive rebound by R. Gay,54,48
