,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
225,3,11:05.0,Personal foul by J. Simmons (drawn by I. Thomas),,69,53
226,3,10:58.0,I. Thomas misses 2-pt layup from 2 ft (block by E. Payton),,69,53
227,3,10:53.0,,Defensive rebound by B. Biyombo,69,53
228,3,10:52.0,,Turnover by B. Biyombo (bad pass; steal by J. Smith),69,53
229,3,10:45.0,Turnover by J. Smith (bad pass; steal by E. Payton),,69,53
230,3,10:45.0,,Personal foul by J. Crowder (drawn by E. Payton),69,53
231,3,10:34.0,,M. Hezonja makes 3-pt jump shot from 23 ft (assist by J. Simmons),69,56
232,3,10:20.0,L. James makes 3-pt jump shot from 25 ft (assist by I. Thomas),,72,56
233,3,10:05.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),72,59
234,3,9:46.0,L. James makes 3-pt jump shot from 24 ft,,75,59
235,3,9:30.0,,Shooting foul by J. Smith (drawn by J. Simmons),75,59
236,3,9:30.0,,J. Simmons makes free throw 1 of 2,75,60
237,3,9:30.0,,J. Simmons makes free throw 2 of 2,75,61
238,3,9:08.0,,Offensive charge foul by L. James (drawn by E. Fournier),75,61
239,3,9:08.0,Turnover by L. James (offensive foul),,75,61
240,3,8:49.0,,E. Fournier makes 2-pt layup from 2 ft,75,63
241,3,8:34.0,Offensive foul by T. Thompson (drawn by E. Payton),,75,63
242,3,8:34.0,Turnover by T. Thompson (offensive foul),,75,63
243,3,8:27.0,,Shooting foul by I. Thomas (drawn by B. Biyombo),75,63
244,3,8:27.0,,B. Biyombo makes free throw 1 of 2,75,64
245,3,8:27.0,,B. Biyombo misses free throw 2 of 2,75,64
246,3,8:26.0,,Offensive rebound by Team,75,64
247,3,8:26.0,Loose ball foul by L. James (drawn by M. Hezonja),,75,64
248,3,8:17.0,,J. Simmons makes 2-pt layup from 3 ft (assist by E. Fournier),75,66
249,3,8:03.0,Turnover by J. Crowder (bad pass; steal by J. Simmons),,75,66
250,3,8:00.0,,J. Simmons makes 2-pt layup from 3 ft,75,68
251,3,8:00.0,Cleveland full timeout,,75,68
252,3,7:47.0,L. James misses 2-pt jump shot from 7 ft,,75,68
253,3,7:45.0,,Defensive rebound by B. Biyombo,75,68
254,3,7:33.0,,E. Payton makes 2-pt jump shot from 8 ft,75,70
255,3,7:19.0,I. Thomas misses 3-pt jump shot from 25 ft,,75,70
256,3,7:18.0,Offensive rebound by J. Crowder,,75,70
257,3,7:17.0,J. Crowder makes 2-pt layup at rim,,77,70
258,3,7:05.0,,J. Simmons makes 2-pt jump shot from 21 ft (assist by E. Payton),77,72
259,3,6:45.0,J. Smith misses 3-pt jump shot from 23 ft,,77,72
260,3,6:43.0,,Defensive rebound by M. Hezonja,77,72
261,3,6:24.0,,J. Simmons makes 2-pt layup from 2 ft (assist by B. Biyombo),77,74
262,3,6:09.0,Turnover by L. James (bad pass),,77,74
263,3,5:58.0,,B. Biyombo makes 2-pt jump shot from 12 ft (assist by E. Payton),77,76
264,3,5:43.0,I. Thomas misses 3-pt jump shot from 25 ft,,77,76
265,3,5:39.0,,Defensive rebound by J. Simmons,77,76
266,3,5:33.0,,Personal foul by T. Thompson (drawn by J. Simmons),77,76
267,3,5:33.0,,J. Simmons makes free throw 1 of 2,77,77
268,3,5:33.0,K. Korver enters the game for J. Smith,,77,77
269,3,5:33.0,C. Frye enters the game for T. Thompson,,77,77
270,3,5:33.0,,J. Simmons makes free throw 2 of 2,77,78
271,3,5:23.0,L. James makes 2-pt layup from 3 ft,,79,78
