,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
312,3,0:16.0,D. Collison makes free throw 2 of 2,,97,84
313,3,0:02.0,,Turnover by B. McLemore (bad pass; steal by C. Joseph),97,84
314,4,11:42.0,,Turnover by W. Selden (lost ball; steal by T. Young),97,84
315,4,11:38.0,L. Stephenson makes 2-pt layup from 1 ft (assist by D. Collison),,99,84
316,4,11:22.0,,B. McLemore makes 2-pt dunk at rim (assist by T. Evans),99,86
317,4,10:58.0,D. Sabonis makes 2-pt jump shot from 21 ft (assist by C. Joseph),,101,86
318,4,10:43.0,,T. Evans misses 2-pt layup at rim (block by C. Joseph),101,86
319,4,10:40.0,Defensive rebound by L. Stephenson,,101,86
320,4,10:37.0,D. Collison makes 2-pt jump shot from 19 ft (assist by L. Stephenson),,103,86
321,4,10:36.0,,Memphis full timeout,103,86
322,4,10:13.0,,M. Gasol misses 2-pt jump shot from 15 ft,103,86
323,4,10:10.0,,Offensive rebound by B. McLemore,103,86
324,4,10:09.0,,B. McLemore makes 2-pt layup at rim,103,88
325,4,9:45.0,C. Joseph misses 2-pt layup at rim,,103,88
326,4,9:41.0,Offensive rebound by L. Stephenson,,103,88
327,4,9:41.0,L. Stephenson makes 2-pt layup at rim,,105,88
328,4,9:19.0,,B. McLemore misses 3-pt jump shot from 23 ft,105,88
329,4,9:16.0,Defensive rebound by D. Sabonis,,105,88
330,4,8:59.0,D. Sabonis misses 2-pt jump shot from 21 ft,,105,88
331,4,8:57.0,Offensive rebound by L. Stephenson,,105,88
332,4,8:47.0,D. Collison misses 2-pt layup from 4 ft (block by T. Evans),,105,88
333,4,8:47.0,,Defensive rebound by M. Gasol,105,88
334,4,8:43.0,,Shooting foul by D. Sabonis (drawn by W. Selden),105,88
335,4,8:43.0,,W. Selden makes free throw 1 of 2,105,89
336,4,8:43.0,V. Oladipo enters the game for D. Collison,,105,89
