,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
315,3,3:47.0,L. Williams makes free throw 1 of 2,,81,77
316,3,3:47.0,L. Williams misses free throw 2 of 2,,81,77
317,3,3:47.0,,Defensive rebound by G. Monroe,81,77
318,3,3:36.0,,K. Irving makes 2-pt jump shot from 17 ft,81,79
319,3,3:21.0,D. Jordan misses 2-pt layup from 3 ft (block by G. Monroe),,81,79
320,3,3:20.0,,Defensive rebound by Team,81,79
321,3,3:12.0,,K. Irving makes 3-pt jump shot from 26 ft,81,82
322,3,2:57.0,L. Williams misses 2-pt jump shot from 20 ft,,81,82
323,3,2:55.0,,Defensive rebound by M. Morris,81,82
324,3,2:49.0,,K. Irving misses 3-pt jump shot from 27 ft,81,82
325,3,2:49.0,Defensive rebound by S. Dekker,,81,82
326,3,2:42.0,D. Jordan makes 2-pt dunk at rim (assist by T. Harris),,83,82
327,3,2:25.0,,T. Rozier makes 2-pt jump shot from 17 ft,83,84
328,3,2:14.0,T. Harris makes 2-pt layup from 2 ft (assist by L. Williams),,85,84
329,3,2:01.0,,T. Rozier misses 2-pt jump shot from 16 ft,85,84
330,3,2:00.0,,Offensive rebound by G. Monroe,85,84
331,3,1:59.0,,Shooting foul by D. Jordan (drawn by G. Monroe),85,84
332,3,1:59.0,LA Clippers full timeout,,85,84
333,3,1:59.0,M. Harrell enters the game for D. Jordan,,85,84
334,3,1:59.0,A. Bradley enters the game for S. Dekker,,85,84
335,3,1:59.0,,G. Monroe makes free throw 1 of 2,85,85
336,3,1:59.0,,G. Monroe makes free throw 2 of 2,85,86
337,3,1:44.0,M. Teodosić makes 3-pt jump shot from 24 ft (assist by T. Harris),,88,86
338,3,1:23.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by T. Rozier),88,89
339,3,1:11.0,Personal foul by K. Irving (drawn by M. Teodosić),,88,89
340,3,1:11.0,M. Teodosić makes free throw 1 of 2,,89,89
341,3,1:11.0,,D. Theis enters the game for G. Monroe,89,89
342,3,1:11.0,M. Teodosić makes free throw 2 of 2,,90,89
343,3,0:48.0,,M. Morris makes 2-pt jump shot from 12 ft,90,91
344,3,0:40.0,T. Harris makes 3-pt jump shot from 25 ft (assist by M. Teodosić),,93,91
345,3,0:27.0,,D. Theis misses 3-pt jump shot from 26 ft,93,91
346,3,0:24.0,Defensive rebound by M. Harrell,,93,91
347,3,0:05.0,L. Williams misses 2-pt jump shot from 12 ft,,93,91
348,3,0:03.0,,Defensive rebound by D. Theis,93,91
349,3,0:01.0,,K. Irving misses 2-pt layup from 2 ft,93,91
350,3,0:01.0,,Offensive rebound by Team,93,91
351,4,11:51.0,L. Williams misses 3-pt jump shot from 25 ft,,93,91
352,4,11:48.0,,Defensive rebound by J. Tatum,93,91
353,4,11:30.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum),93,94
354,4,11:07.0,Personal foul by D. Theis (drawn by L. Williams),,93,94
355,4,11:03.0,Shooting foul by M. Morris (drawn by L. Williams),,93,94
356,4,11:03.0,L. Williams makes free throw 1 of 2,,94,94
357,4,11:03.0,L. Williams makes free throw 2 of 2,,95,94
358,4,10:44.0,,A. Horford misses 2-pt jump shot from 19 ft,95,94
359,4,10:41.0,Defensive rebound by D. Gallinari,,95,94
360,4,10:32.0,D. Gallinari misses 3-pt jump shot from 24 ft,,95,94
361,4,10:30.0,,Defensive rebound by J. Tatum,95,94
362,4,10:29.0,,Personal foul by A. Bradley (drawn by J. Tatum),95,94
363,4,10:20.0,,Shooting foul by M. Teodosić (drawn by M. Morris),95,94
364,4,10:20.0,,M. Morris makes free throw 1 of 2,95,95
365,4,10:20.0,,M. Morris makes free throw 2 of 2,95,96
366,4,10:05.0,D. Gallinari misses 3-pt jump shot from 26 ft,,95,96
367,4,10:03.0,,Defensive rebound by T. Rozier,95,96
