,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
216,2,0:27.0,,D. Cunningham enters the game for D. Cousins,42,57
217,2,0:04.0,D. Brooks makes 2-pt layup from 1 ft,,44,57
218,2,0:00.0,,E. Moore makes 2-pt layup from 5 ft,44,59
219,3,11:50.0,,J. Holiday misses 2-pt jump shot from 20 ft,44,59
220,3,11:46.0,Defensive rebound by M. Gasol,,44,59
221,3,11:35.0,M. Gasol makes 3-pt jump shot from 24 ft (assist by D. Brooks),,47,59
222,3,11:18.0,Violation by M. Gasol (kicked ball),,47,59
223,3,11:14.0,,J. Holiday misses 3-pt jump shot from 23 ft,47,59
224,3,11:12.0,,Offensive rebound by R. Rondo,47,59
225,3,11:08.0,,E. Moore misses 2-pt layup from 2 ft,47,59
226,3,11:06.0,Defensive rebound by J. Green,,47,59
227,3,10:56.0,D. Brooks makes 2-pt layup from 2 ft,,49,59
228,3,10:46.0,,Personal foul by D. Brooks (drawn by D. Cousins),49,59
229,3,10:41.0,,R. Rondo misses 3-pt jump shot from 25 ft,49,59
230,3,10:39.0,Defensive rebound by J. Green,,49,59
231,3,10:24.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by M. Gasol),,52,59
232,3,10:22.0,,New Orleans full timeout,52,59
233,3,10:11.0,,J. Holiday misses 2-pt jump shot from 11 ft,52,59
234,3,10:09.0,Defensive rebound by J. Green,,52,59
235,3,9:48.0,T. Evans makes 3-pt jump shot from 26 ft,,55,59
236,3,9:32.0,,Offensive foul by D. Cousins (drawn by D. Brooks),55,59
237,3,9:32.0,,Turnover by D. Cousins (offensive foul),55,59
238,3,9:11.0,T. Evans misses 3-pt jump shot from 22 ft,,55,59
239,3,9:09.0,,Defensive rebound by D. Cousins,55,59
240,3,9:05.0,,Personal foul by B. McLemore (drawn by D. Cousins),55,59
241,3,9:05.0,J. Martin enters the game for J. Green,,55,59
242,3,8:54.0,,D. Cousins misses 2-pt jump shot from 11 ft,55,59
243,3,8:48.0,Defensive rebound by M. Gasol,,55,59
244,3,8:46.0,B. McLemore makes 2-pt layup from 2 ft (assist by D. Brooks),,57,59
245,3,8:32.0,,J. Holiday makes 2-pt jump shot from 2 ft (assist by R. Rondo),57,61
246,3,8:15.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by T. Evans),,60,61
247,3,8:04.0,,R. Rondo makes 2-pt jump shot from 16 ft,60,63
248,3,7:53.0,T. Evans misses 2-pt layup from 1 ft,,60,63
249,3,7:50.0,,Defensive rebound by J. Holiday,60,63
250,3,7:43.0,,J. Holiday makes 2-pt layup from 1 ft,60,65
251,3,7:43.0,,Shooting foul by D. Brooks (drawn by J. Holiday),60,65
252,3,7:43.0,W. Selden enters the game for D. Brooks,,60,65
253,3,7:43.0,,J. Holiday makes free throw 1 of 1,60,66
