,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
201,2,0:51.0,,P. Zipser makes 3-pt jump shot from 25 ft (assist by J. Grant),40,38
202,2,0:31.0,Turnover by P. Gasol (lost ball; steal by L. Markkanen),,40,38
203,2,0:27.0,,Turnover by L. Markkanen (out of bounds lost ball),40,38
204,2,0:06.0,Shooting foul by P. Zipser (drawn by P. Gasol),,40,38
205,2,0:06.0,P. Gasol misses free throw 1 of 2,,40,38
206,2,0:06.0,Offensive rebound by Team,,40,38
207,2,0:06.0,B. Paul enters the game for L. Aldridge,,40,38
208,2,0:06.0,B. Forbes enters the game for R. Gay,,40,38
209,2,0:06.0,P. Gasol makes free throw 2 of 2,,41,38
210,2,0:03.0,,Personal take foul by P. Mills (drawn by J. Grant),41,38
211,2,0:03.0,L. Aldridge enters the game for P. Mills,,41,38
212,2,0:03.0,D. Green enters the game for P. Gasol,,41,38
213,2,0:00.0,,Turnover by L. Markkanen (out of bounds lost ball),41,38
214,3,11:35.0,P. Gasol misses 2-pt layup from 1 ft,,41,38
215,3,11:32.0,Offensive rebound by P. Gasol,,41,38
216,3,11:21.0,P. Gasol makes 2-pt layup at rim (assist by D. Murray),,43,38
217,3,11:21.0,Shooting foul by J. Holiday (drawn by P. Gasol),,43,38
218,3,11:21.0,P. Gasol makes free throw 1 of 1,,44,38
219,3,11:04.0,,R. Lopez makes 3-pt jump shot from 24 ft,44,41
220,3,10:51.0,Turnover by P. Gasol (traveling),,44,41
221,3,10:41.0,,J. Holiday makes 2-pt layup from 1 ft (assist by R. Lopez),44,43
222,3,10:22.0,D. Green misses 2-pt jump shot from 8 ft,,44,43
223,3,10:22.0,Offensive rebound by P. Gasol,,44,43
224,3,10:21.0,P. Gasol misses 2-pt jump shot from 6 ft,,44,43
225,3,10:21.0,,Defensive rebound by R. Lopez,44,43
226,3,10:12.0,,R. Lopez makes 2-pt jump shot from 17 ft (assist by J. Grant),44,45
227,3,9:54.0,D. Murray makes 2-pt jump shot from 9 ft,,46,45
228,3,9:43.0,,J. Grant makes 2-pt jump shot from 4 ft,46,47
229,3,9:29.0,L. Aldridge misses 2-pt jump shot from 17 ft,,46,47
230,3,9:29.0,,Defensive rebound by L. Markkanen,46,47
231,3,9:20.0,,R. Lopez misses 3-pt jump shot from 25 ft,46,47
232,3,9:20.0,Defensive rebound by P. Gasol,,46,47
233,3,9:07.0,L. Aldridge misses 2-pt jump shot from 7 ft,,46,47
234,3,9:07.0,Offensive rebound by K. Anderson,,46,47
235,3,9:01.0,K. Anderson misses 2-pt jump shot from 3 ft,,46,47
236,3,9:01.0,Offensive rebound by L. Aldridge,,46,47
237,3,8:57.0,L. Aldridge makes 2-pt layup at rim,,48,47
238,3,8:49.0,,J. Holiday misses 3-pt jump shot from 25 ft,48,47
239,3,8:49.0,Defensive rebound by D. Murray,,48,47
240,3,8:36.0,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Gasol),,50,47
241,3,8:20.0,,R. Lopez makes 2-pt jump shot from 15 ft (assist by J. Holiday),50,49
242,3,8:10.0,Turnover by D. Murray (step out of bounds),,50,49
243,3,8:04.0,,Turnover by R. Lopez (lost ball; steal by D. Murray),50,49
244,3,7:59.0,L. Aldridge misses 2-pt jump shot from 4 ft,,50,49
245,3,7:55.0,Offensive rebound by D. Murray,,50,49
246,3,7:52.0,R. Gay enters the game for P. Gasol,,50,49
247,3,7:50.0,D. Green misses 2-pt jump shot from 14 ft,,50,49
248,3,7:45.0,,Defensive rebound by R. Lopez,50,49
249,3,7:38.0,,Turnover by R. Lopez (bad pass),50,49
250,3,7:21.0,D. Murray misses 2-pt jump shot from 13 ft,,50,49
251,3,7:21.0,Offensive rebound by L. Aldridge,,50,49
252,3,7:14.0,L. Aldridge makes 2-pt layup at rim,,52,49
253,3,7:04.0,,J. Holiday misses 2-pt jump shot from 3 ft (block by L. Aldridge),52,49
254,3,7:04.0,,Offensive rebound by J. Holiday,52,49
255,3,7:04.0,,Turnover by J. Holiday (step out of bounds),52,49
256,3,6:46.0,L. Aldridge misses 2-pt jump shot from 9 ft,,52,49
257,3,6:44.0,Offensive rebound by D. Murray,,52,49
258,3,6:44.0,D. Murray misses 2-pt jump shot from 3 ft (block by J. Grant),,52,49
259,3,6:44.0,Offensive rebound by Team,,52,49
260,3,6:44.0,,Chicago full timeout,52,49
261,3,6:44.0,,D. Valentine enters the game for P. Zipser,52,49
262,3,6:33.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Murray),,54,49
263,3,6:06.0,,J. Holiday misses 2-pt jump shot from 20 ft,54,49
264,3,6:03.0,Defensive rebound by K. Anderson,,54,49
265,3,5:55.0,D. Green makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,57,49
266,3,5:30.0,,J. Grant makes 2-pt jump shot from 14 ft,57,51
