,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
82,1,2:47.0,,T. Jones makes 2-pt layup from 2 ft (assist by J. Holiday),19,27
83,1,2:39.0,I. Shumpert misses 3-pt jump shot from 26 ft,,19,27
84,1,2:36.0,,Defensive rebound by D. Motiejūnas,19,27
85,1,2:29.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Motiejūnas),19,30
86,1,2:26.0,Cleveland full timeout,,19,30
87,1,2:26.0,Technical foul by Team,,19,30
88,1,2:26.0,K. Korver enters the game for L. James,,19,30
89,1,2:26.0,,J. Holiday makes technical free throw,19,31
90,1,2:16.0,K. Irving makes 2-pt layup from 2 ft,,21,31
91,1,1:59.0,,L. Galloway misses 3-pt jump shot from 26 ft,21,31
92,1,1:59.0,Defensive rebound by I. Shumpert,,21,31
93,1,1:51.0,K. Irving makes 3-pt jump shot from 25 ft,,24,31
94,1,1:39.0,,L. Galloway misses 2-pt jump shot from 22 ft,24,31
95,1,1:38.0,Defensive rebound by K. Love,,24,31
96,1,1:31.0,R. Jefferson misses 3-pt jump shot from 26 ft,,24,31
97,1,1:28.0,,Defensive rebound by J. Holiday,24,31
98,1,1:24.0,,E. Moore makes 2-pt layup from 3 ft (assist by J. Holiday),24,33
99,1,1:09.0,K. Irving misses 2-pt jump shot from 14 ft,,24,33
100,1,1:07.0,,Defensive rebound by L. Galloway,24,33
101,1,0:57.0,,D. Motiejūnas misses 2-pt jump shot from 6 ft,24,33
102,1,0:55.0,Defensive rebound by K. Love,,24,33
103,1,0:41.0,K. Love misses 2-pt jump shot from 12 ft,,24,33
104,1,0:39.0,,Defensive rebound by J. Holiday,24,33
105,1,0:23.0,,J. Holiday makes 2-pt jump shot from 4 ft,24,35
106,1,0:03.0,K. Irving misses 3-pt jump shot from 24 ft,,24,35
107,1,0:02.0,Offensive rebound by K. Love,,24,35
108,1,0:01.0,Shooting foul by E. Moore (drawn by K. Love),,24,35
109,1,0:01.0,K. Love makes free throw 1 of 2,,25,35
110,1,0:01.0,K. Love makes free throw 2 of 2,,26,35
111,1,0:00.0,,J. Holiday misses 3-pt jump shot from 32 ft,26,35
112,1,0:00.0,,Offensive rebound by Team,26,35
113,2,11:47.0,C. Frye misses 3-pt jump shot from 24 ft,,26,35
114,2,11:46.0,,Defensive rebound by L. Galloway,26,35
115,2,11:27.0,,Turnover by D. Motiejūnas (bad pass; steal by D. Liggins),26,35
116,2,11:23.0,Turnover by L. James (bad pass; steal by E. Moore),,26,35
117,2,11:10.0,,D. Motiejūnas misses 3-pt jump shot from 25 ft,26,35
118,2,11:09.0,Defensive rebound by K. Korver,,26,35
119,2,10:50.0,C. Frye makes 3-pt jump shot from 27 ft (assist by L. James),,29,35
120,2,10:35.0,,D. Motiejūnas makes 2-pt layup from 2 ft (assist by S. Hill),29,37
121,2,10:16.0,K. Korver misses 2-pt jump shot from 20 ft (block by S. Hill),,29,37
122,2,10:15.0,,Defensive rebound by E. Moore,29,37
123,2,10:08.0,,D. Motiejūnas makes 3-pt jump shot from 23 ft (assist by T. Evans),29,40
124,2,9:41.0,D. Liggins misses 2-pt jump shot from 22 ft,,29,40
125,2,9:39.0,Offensive rebound by C. Frye,,29,40
126,2,9:38.0,C. Frye misses 2-pt layup from 1 ft,,29,40
127,2,9:37.0,,Defensive rebound by D. Motiejūnas,29,40
128,2,9:30.0,,Shooting foul by R. Jefferson (drawn by T. Evans),29,40
129,2,9:30.0,,T. Evans makes free throw 1 of 2,29,41
130,2,9:30.0,,T. Evans makes free throw 2 of 2,29,42
131,2,9:19.0,L. James misses 2-pt layup from 1 ft,,29,42
132,2,9:16.0,,Defensive rebound by Team,29,42
133,2,9:08.0,,T. Evans makes 2-pt layup from 2 ft,29,44
134,2,8:55.0,Personal block foul by D. Motiejūnas (drawn by L. James),,29,44
135,2,8:55.0,Official timeout,,29,44
136,2,8:45.0,K. Korver makes 2-pt jump shot from 16 ft (assist by L. James),,31,44
137,2,8:32.0,,T. Evans misses 3-pt jump shot from 26 ft,31,44
138,2,8:29.0,Defensive rebound by L. James,,31,44
139,2,8:23.0,L. James makes 2-pt layup from 2 ft,,33,44
140,2,8:11.0,,T. Evans makes 2-pt layup from 2 ft,33,46
141,2,7:54.0,L. James misses 2-pt jump shot from 4 ft,,33,46
142,2,7:51.0,,Defensive rebound by E. Moore,33,46
143,2,7:43.0,,Shooting foul by C. Frye (drawn by D. Motiejūnas),33,46
144,2,7:43.0,Technical foul by Team,,33,46
145,2,7:43.0,,L. Galloway makes technical free throw,33,47
146,2,7:43.0,,D. Motiejūnas misses free throw 1 of 2,33,47
147,2,7:43.0,,Offensive rebound by Team,33,47
148,2,7:43.0,,D. Motiejūnas misses free throw 2 of 2,33,47
