,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
204,3,10:02.0,B. Lopez misses 3-pt jump shot from 25 ft,,54,61
205,3,10:01.0,,Defensive rebound by D. Waiters,54,61
206,3,9:50.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by G. Dragić),54,63
207,3,9:48.0,Brooklyn full timeout,,54,63
208,3,9:48.0,,J. Johnson enters the game for L. Babbitt,54,63
209,3,9:40.0,Turnover by B. Lopez (lost ball),,54,63
210,3,9:39.0,Loose ball foul by B. Lopez (drawn by G. Dragić),,54,63
211,3,9:18.0,,Personal foul by B. Bogdanović (drawn by H. Whiteside),54,63
212,3,9:06.0,,Turnover by G. Dragić (bad pass; steal by B. Lopez),54,63
213,3,9:02.0,R. Foye misses 2-pt layup from 2 ft,,54,63
214,3,9:01.0,Offensive rebound by R. Foye,,54,63
215,3,8:47.0,T. Booker misses 3-pt jump shot from 23 ft,,54,63
216,3,8:46.0,,Defensive rebound by G. Dragić,54,63
217,3,8:40.0,,G. Dragić misses 3-pt jump shot from 24 ft,54,63
218,3,8:39.0,Defensive rebound by T. Booker,,54,63
219,3,8:35.0,S. Dinwiddie misses 2-pt layup from 2 ft (block by D. Waiters),,54,63
220,3,8:31.0,Offensive rebound by T. Booker,,54,63
221,3,8:27.0,T. Booker misses 2-pt jump shot from 5 ft,,54,63
222,3,8:26.0,,Defensive rebound by J. Johnson,54,63
223,3,8:20.0,,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Johnson),54,66
224,3,8:02.0,Personal foul by R. McGruder (drawn by B. Bogdanović),,54,66
225,3,8:02.0,I. Whitehead enters the game for S. Dinwiddie,,54,66
226,3,7:56.0,Turnover by T. Booker (bad pass; steal by R. McGruder),,54,66
227,3,7:50.0,,Shooting foul by B. Bogdanović (drawn by G. Dragić),54,66
228,3,7:50.0,,G. Dragić misses free throw 1 of 2,54,66
229,3,7:50.0,,Offensive rebound by Team,54,66
230,3,7:50.0,C. LeVert enters the game for R. Foye,,54,66
231,3,7:50.0,R. Hollis-Jefferson enters the game for T. Booker,,54,66
232,3,7:50.0,,G. Dragić makes free throw 2 of 2,54,67
233,3,7:28.0,B. Lopez makes 2-pt jump shot from 12 ft,,56,67
234,3,7:18.0,,Turnover by D. Waiters (bad pass; steal by R. Hollis-Jefferson),56,67
235,3,7:16.0,Personal foul by H. Whiteside (drawn by R. Hollis-Jefferson),,56,67
236,3,7:05.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by I. Whitehead),,59,67
237,3,6:48.0,,Personal foul by I. Whitehead (drawn by G. Dragić),59,67
238,3,6:48.0,,G. Dragić makes free throw 1 of 3,59,68
239,3,6:48.0,,G. Dragić makes free throw 2 of 3,59,69
240,3,6:48.0,,G. Dragić misses free throw 3 of 3,59,69
241,3,6:48.0,S. Kilpatrick enters the game for B. Bogdanović,,59,69
242,3,6:47.0,Defensive rebound by R. Hollis-Jefferson,,59,69
243,3,6:36.0,C. LeVert makes 2-pt layup from 2 ft,,61,69
244,3,6:21.0,,H. Whiteside makes 2-pt jump shot from 10 ft (assist by D. Waiters),61,71
245,3,6:09.0,C. LeVert misses 2-pt jump shot from 16 ft,,61,71
246,3,6:08.0,Offensive rebound by R. Hollis-Jefferson,,61,71
247,3,6:01.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,61,71
248,3,6:00.0,Offensive rebound by B. Lopez,,61,71
249,3,5:54.0,B. Lopez misses 3-pt jump shot from 25 ft,,61,71
250,3,5:53.0,,Defensive rebound by D. Waiters,61,71
251,3,5:43.0,,D. Waiters misses 2-pt jump shot from 8 ft,61,71
252,3,5:42.0,Defensive rebound by C. LeVert,,61,71
253,3,5:36.0,I. Whitehead makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),,64,71
254,3,5:36.0,,Miami full timeout,64,71
255,3,5:36.0,J. Hamilton enters the game for B. Lopez,,64,71
256,3,5:36.0,,W. Ellington enters the game for H. Whiteside,64,71
257,3,5:36.0,,W. Reed enters the game for G. Dragić,64,71
258,3,5:21.0,,D. Waiters misses 2-pt layup from 3 ft,64,71
259,3,5:20.0,Defensive rebound by Team,,64,71
260,3,5:06.0,Turnover by R. Hollis-Jefferson (lost ball),,64,71
261,3,4:47.0,,Turnover by J. Johnson (lost ball),64,71
262,3,4:31.0,I. Whitehead misses 2-pt jump shot from 11 ft,,64,71
263,3,4:30.0,,Defensive rebound by W. Reed,64,71
264,3,4:07.0,,J. Johnson makes 2-pt jump shot from 3 ft,64,73
265,3,3:48.0,I. Whitehead makes 2-pt layup from 2 ft,,66,73
266,3,3:34.0,,J. Johnson misses 2-pt layup from 2 ft,66,73
267,3,3:33.0,Defensive rebound by J. Hamilton,,66,73
268,3,3:27.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by C. LeVert),,68,73
269,3,3:08.0,,W. Ellington makes 2-pt jump shot from 17 ft (assist by D. Waiters),68,75
270,3,2:50.0,C. LeVert misses 2-pt layup from 2 ft,,68,75
271,3,2:49.0,,Defensive rebound by D. Waiters,68,75
272,3,2:43.0,,Personal foul by R. Hollis-Jefferson (drawn by D. Waiters),68,75
273,3,2:43.0,,D. Waiters makes free throw 1 of 2,68,76
274,3,2:43.0,,D. Waiters misses free throw 2 of 2,68,76
275,3,2:43.0,,T. Johnson enters the game for R. McGruder,68,76
276,3,2:42.0,Defensive rebound by R. Hollis-Jefferson,,68,76
277,3,2:25.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by S. Kilpatrick),,70,76
278,3,2:02.0,,D. Waiters misses 2-pt jump shot from 17 ft,70,76
279,3,2:01.0,Defensive rebound by C. LeVert,,70,76
280,3,1:52.0,J. Hamilton makes 2-pt jump shot from 6 ft (assist by R. Hollis-Jefferson),,72,76
281,3,1:43.0,,Shooting foul by J. Hamilton (drawn by J. Johnson),72,76
