,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
183,2,4:30.0,,Defensive rebound by S. Adams,39,49
184,2,4:24.0,,R. Westbrook makes 2-pt jump shot from 12 ft,39,51
185,2,4:12.0,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),,41,51
186,2,3:58.0,,Shooting foul by M. Morris (drawn by S. Adams),41,51
187,2,3:58.0,,S. Adams misses free throw 1 of 2,41,51
188,2,3:58.0,,Offensive rebound by Team,41,51
189,2,3:58.0,,A. Roberson enters the game for A. Morrow,41,51
190,2,3:58.0,,D. Sabonis enters the game for J. Grant,41,51
191,2,3:58.0,K. Oubre enters the game for M. Morris,,41,51
192,2,3:58.0,,S. Adams makes free throw 2 of 2,41,52
193,2,3:45.0,Personal foul by R. Westbrook (drawn by B. Beal),,41,52
194,2,3:38.0,,J. Grant enters the game for D. Sabonis,41,52
195,2,3:35.0,B. Beal makes 2-pt jump shot from 14 ft (assist by J. Wall),,43,52
196,2,3:24.0,,Shooting foul by O. Porter (drawn by S. Adams),43,52
197,2,3:24.0,,S. Adams makes free throw 1 of 2,43,53
198,2,3:24.0,,S. Adams makes free throw 2 of 2,43,54
199,2,3:11.0,Turnover by B. Beal (bad pass; steal by V. Oladipo),,43,54
200,2,3:06.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by V. Oladipo),43,56
201,2,3:06.0,,Shooting foul by K. Oubre (drawn by R. Westbrook),43,56
202,2,3:06.0,,R. Westbrook makes free throw 1 of 1,43,57
203,2,2:57.0,Turnover by J. Wall (bad pass; steal by J. Grant),,43,57
204,2,2:54.0,,Shooting foul by B. Beal (drawn by J. Grant),43,57
205,2,2:54.0,,J. Grant makes free throw 1 of 2,43,58
206,2,2:54.0,,J. Grant misses free throw 2 of 2,43,58
207,2,2:53.0,Defensive rebound by O. Porter,,43,58
208,2,2:42.0,Turnover by O. Porter (bad pass; steal by R. Westbrook),,43,58
209,2,2:34.0,,R. Westbrook misses 3-pt jump shot from 22 ft,43,58
210,2,2:34.0,Defensive rebound by O. Porter,,43,58
211,2,2:31.0,Washington full timeout,,43,58
212,2,2:19.0,B. Beal makes 2-pt layup from 1 ft (assist by M. Gortat),,45,58
213,2,2:19.0,,Violation by A. Roberson (def goaltending),45,58
214,2,1:59.0,,J. Grant misses 3-pt jump shot from 23 ft,45,58
215,2,1:59.0,Defensive rebound by K. Oubre,,45,58
216,2,1:51.0,O. Porter makes 2-pt layup from 2 ft (assist by K. Oubre),,47,58
217,2,1:32.0,,J. Grant misses 3-pt jump shot from 25 ft,47,58
218,2,1:32.0,Defensive rebound by J. Wall,,47,58
219,2,1:25.0,Shooting foul by A. Roberson (drawn by K. Oubre),,47,58
220,2,1:25.0,K. Oubre makes free throw 1 of 2,,48,58
221,2,1:25.0,K. Oubre makes free throw 2 of 2,,49,58
222,2,1:13.0,,Turnover by R. Westbrook (bad pass; steal by O. Porter),49,58
223,2,1:12.0,Turnover by K. Oubre (bad pass),,49,58
224,2,1:10.0,,Turnover by A. Roberson (bad pass; steal by K. Oubre),49,58
225,2,1:06.0,K. Oubre makes 2-pt layup from 2 ft,,51,58
226,2,0:52.0,,R. Westbrook misses 2-pt jump shot from 15 ft,51,58
227,2,0:51.0,Defensive rebound by K. Oubre,,51,58
228,2,0:43.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,53,58
229,2,0:43.0,,Oklahoma City full timeout,53,58
230,2,0:34.0,,Turnover by R. Westbrook (bad pass; steal by B. Beal),53,58
231,2,0:30.0,J. Wall misses 2-pt layup from 2 ft (block by A. Roberson),,53,58
232,2,0:28.0,Offensive rebound by B. Beal,,53,58
233,2,0:10.0,Turnover by Team (shot clock),,53,58
