,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
329,4,8:57.0,,J. Green makes free throw 1 of 2,88,78
330,4,8:57.0,,J. Green makes free throw 2 of 2,88,79
331,4,8:49.0,Personal foul by J. Green (drawn by M. Delaney),,88,79
332,4,8:36.0,Atlanta full timeout,,88,79
333,4,8:36.0,D. Howard enters the game for K. Humphries,,88,79
334,4,8:35.0,Turnover by M. Muscala (bad pass; steal by J. Meeks),,88,79
335,4,8:22.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),88,82
336,4,8:06.0,K. Bazemore misses 2-pt jump shot from 20 ft,,88,82
337,4,8:04.0,,Defensive rebound by J. Meeks,88,82
338,4,7:56.0,,E. Payton makes 2-pt layup from 1 ft,88,84
339,4,7:30.0,M. Delaney makes 2-pt layup from 2 ft,,90,84
340,4,7:13.0,,E. Fournier misses 2-pt jump shot from 8 ft,90,84
341,4,7:10.0,Defensive rebound by D. Howard,,90,84
342,4,6:59.0,D. Howard makes 2-pt layup from 1 ft (assist by K. Bazemore),,92,84
343,4,6:50.0,,Orlando full timeout,92,84
344,4,6:50.0,P. Millsap enters the game for T. Hardaway,,92,84
345,4,6:50.0,D. Schröder enters the game for M. Muscala,,92,84
346,4,6:50.0,,S. Ibaka enters the game for N. Vučević,92,84
347,4,6:39.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Meeks),92,87
348,4,6:17.0,K. Bazemore misses 2-pt jump shot from 15 ft,,92,87
349,4,6:17.0,Offensive rebound by D. Howard,,92,87
350,4,6:17.0,Shooting foul by J. Meeks (drawn by D. Howard),,92,87
351,4,6:17.0,D. Howard makes free throw 1 of 2,,93,87
352,4,6:17.0,D. Howard makes free throw 2 of 2,,94,87
353,4,5:59.0,,E. Fournier misses 2-pt jump shot from 13 ft,94,87
354,4,5:57.0,Defensive rebound by D. Schröder,,94,87
355,4,5:41.0,D. Schröder misses 2-pt layup from 2 ft,,94,87
356,4,5:40.0,Offensive rebound by D. Howard,,94,87
357,4,5:40.0,D. Howard makes 2-pt dunk at rim,,96,87
358,4,5:23.0,,Turnover by E. Payton (lost ball; steal by M. Delaney),96,87
359,4,5:23.0,Personal foul by S. Ibaka (drawn by M. Delaney),,96,87
360,4,5:23.0,,N. Vučević enters the game for J. Green,96,87
361,4,5:12.0,Shooting foul by N. Vučević (drawn by D. Schröder),,96,87
362,4,5:12.0,D. Schröder misses free throw 1 of 2,,96,87
363,4,5:12.0,Offensive rebound by Team,,96,87
364,4,5:12.0,,A. Gordon enters the game for J. Meeks,96,87
365,4,5:12.0,D. Schröder makes free throw 2 of 2,,97,87
366,4,5:06.0,,Personal foul by D. Schröder (drawn by E. Fournier),97,87
367,4,5:06.0,T. Sefolosha enters the game for M. Delaney,,97,87
368,4,4:55.0,,E. Payton misses 2-pt jump shot from 6 ft,97,87
369,4,4:54.0,Defensive rebound by D. Howard,,97,87
370,4,4:41.0,Personal foul by E. Fournier (drawn by K. Bazemore),,97,87
371,4,4:41.0,K. Bazemore makes free throw 1 of 2,,98,87
372,4,4:41.0,K. Bazemore makes free throw 2 of 2,,99,87
373,4,4:35.0,,Personal foul by D. Howard (drawn by N. Vučević),99,87
374,4,4:19.0,,E. Fournier misses 3-pt jump shot from 25 ft,99,87
375,4,4:16.0,,Offensive rebound by E. Payton,99,87
376,4,4:16.0,,Technical foul by S. Ibaka,99,87
377,4,4:16.0,D. Schröder makes technical free throw,,100,87
378,4,4:16.0,,Turnover by E. Payton (lost ball; steal by P. Millsap),100,87
379,4,4:01.0,D. Schröder misses 2-pt jump shot from 20 ft,,100,87
380,4,4:00.0,,Defensive rebound by N. Vučević,100,87
381,4,3:53.0,,S. Ibaka misses 3-pt jump shot from 26 ft,100,87
382,4,3:51.0,,Offensive rebound by A. Gordon,100,87
383,4,3:48.0,,E. Fournier makes 2-pt layup from 2 ft (assist by A. Gordon),100,89
384,4,3:20.0,K. Bazemore makes 3-pt jump shot from 27 ft,,103,89
385,4,3:05.0,,N. Vučević misses 2-pt jump shot from 20 ft,103,89
386,4,3:04.0,Defensive rebound by D. Howard,,103,89
387,4,2:47.0,P. Millsap makes 3-pt jump shot from 28 ft (assist by D. Schröder),,106,89
388,4,2:44.0,,Orlando full timeout,106,89
389,4,2:44.0,T. Hardaway enters the game for D. Howard,,106,89
390,4,2:44.0,M. Muscala enters the game for K. Bazemore,,106,89
391,4,2:44.0,,J. Meeks enters the game for A. Gordon,106,89
392,4,2:33.0,,E. Fournier misses 3-pt jump shot from 28 ft,106,89
393,4,2:32.0,Defensive rebound by P. Millsap,,106,89
394,4,2:15.0,D. Schröder misses 2-pt layup from 2 ft (block by E. Payton),,106,89
395,4,2:14.0,Offensive rebound by Team,,106,89
396,4,2:14.0,,Technical foul by S. Ibaka,106,89
397,4,2:14.0,D. Schröder misses technical free throw,,106,89
398,4,2:14.0,Offensive rebound by Team,,106,89
399,4,2:14.0,,A. Onuaku enters the game for S. Ibaka,106,89
