,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
182,2,1:43.0,,K. Porziņģis makes free throw 2 of 2,47,50
183,2,1:37.0,Personal foul by J. Noah (drawn by A. Drummond),,47,50
184,2,1:26.0,T. Harris misses 3-pt jump shot from 25 ft,,47,50
185,2,1:26.0,,Defensive rebound by C. Anthony,47,50
186,2,1:12.0,,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by J. Noah),47,52
187,2,0:49.0,A. Drummond makes 2-pt hook shot from 6 ft (assist by K. Caldwell-Pope),,49,52
188,2,0:31.0,,Shooting foul by T. Harris (drawn by K. Porziņģis),49,52
189,2,0:31.0,,K. Porziņģis makes free throw 1 of 2,49,53
190,2,0:31.0,J. Leuer enters the game for T. Harris,,49,53
191,2,0:31.0,,K. Porziņģis makes free throw 2 of 2,49,54
192,2,0:15.0,Turnover by M. Morris (bad pass; steal by C. Lee),,49,54
193,2,0:05.0,,Personal foul by A. Drummond (drawn by J. Noah),49,54
194,2,0:05.0,,J. Noah misses free throw 1 of 2,49,54
195,2,0:05.0,,Offensive rebound by Team,49,54
196,2,0:05.0,,J. Noah misses free throw 2 of 2,49,54
197,2,0:05.0,A. Baynes enters the game for A. Drummond,,49,54
198,2,0:04.0,,Offensive rebound by K. Porziņģis,49,54
199,2,0:02.0,,K. Porziņģis misses 2-pt jump shot from 5 ft,49,54
200,2,0:00.0,Defensive rebound by J. Leuer,,49,54
201,3,11:37.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by C. Anthony),49,57
202,3,11:15.0,T. Harris misses 2-pt jump shot from 18 ft,,49,57
203,3,11:14.0,,Defensive rebound by J. Noah,49,57
204,3,10:57.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by C. Lee),49,60
205,3,10:41.0,K. Caldwell-Pope misses 2-pt jump shot from 23 ft,,49,60
206,3,10:40.0,,Defensive rebound by J. Noah,49,60
207,3,10:28.0,,C. Lee misses 2-pt jump shot from 18 ft,49,60
208,3,10:27.0,Defensive rebound by M. Morris,,49,60
209,3,10:21.0,I. Smith makes 2-pt layup from 1 ft,,51,60
210,3,10:12.0,,D. Rose makes 2-pt jump shot from 11 ft,51,62
211,3,9:47.0,I. Smith makes 2-pt hook shot from 8 ft,,53,62
212,3,9:30.0,,D. Rose makes 2-pt jump shot from 11 ft,53,64
213,3,9:17.0,M. Morris misses 2-pt jump shot from 12 ft,,53,64
214,3,9:16.0,,Defensive rebound by D. Rose,53,64
215,3,9:10.0,,C. Lee misses 3-pt jump shot from 24 ft,53,64
216,3,9:09.0,,Offensive rebound by J. Noah,53,64
217,3,8:55.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,53,64
218,3,8:55.0,Defensive rebound by T. Harris,,53,64
219,3,8:51.0,Personal foul by K. Porziņģis (drawn by A. Drummond),,53,64
220,3,8:45.0,A. Drummond misses 2-pt jump shot from 14 ft,,53,64
221,3,8:43.0,Offensive rebound by A. Drummond,,53,64
222,3,8:43.0,A. Drummond makes 2-pt layup from 1 ft,,55,64
223,3,8:24.0,,C. Lee misses 2-pt jump shot from 6 ft,55,64
224,3,8:24.0,,Offensive rebound by J. Noah,55,64
225,3,8:20.0,,C. Anthony misses 3-pt jump shot from 25 ft,55,64
226,3,8:19.0,,Offensive rebound by C. Lee,55,64
227,3,8:16.0,,C. Lee misses 2-pt jump shot from 9 ft,55,64
228,3,8:15.0,Defensive rebound by M. Morris,,55,64
229,3,8:11.0,K. Caldwell-Pope misses 2-pt layup at rim (block by J. Noah),,55,64
230,3,8:07.0,Offensive rebound by T. Harris,,55,64
231,3,8:06.0,T. Harris makes 2-pt layup from 2 ft,,57,64
232,3,7:42.0,,C. Anthony misses 2-pt jump shot from 21 ft,57,64
233,3,7:41.0,Defensive rebound by T. Harris,,57,64
234,3,7:33.0,T. Harris makes 2-pt layup at rim,,59,64
235,3,7:33.0,,New York full timeout,59,64
236,3,7:20.0,,C. Anthony makes 2-pt jump shot from 19 ft (assist by D. Rose),59,66
237,3,7:01.0,A. Drummond misses 2-pt jump shot from 7 ft,,59,66
238,3,7:01.0,,Defensive rebound by C. Anthony,59,66
239,3,6:50.0,,D. Rose misses 2-pt jump shot from 7 ft,59,66
240,3,6:49.0,,Offensive rebound by C. Anthony,59,66
241,3,6:42.0,,Turnover by D. Rose (lost ball; steal by I. Smith),59,66
242,3,6:35.0,Turnover by T. Harris (bad pass; steal by C. Anthony),,59,66
243,3,6:25.0,,K. Porziņģis misses 3-pt jump shot from 28 ft,59,66
244,3,6:24.0,,Offensive rebound by K. Porziņģis,59,66
245,3,6:21.0,,K. Porziņģis misses 2-pt layup from 2 ft,59,66
246,3,6:20.0,,Offensive rebound by K. Porziņģis,59,66
247,3,6:20.0,,K. Porziņģis makes 2-pt dunk at rim,59,68
248,3,5:53.0,A. Drummond misses 2-pt jump shot from 3 ft (block by J. Noah),,59,68
249,3,5:52.0,Offensive rebound by Team,,59,68
250,3,5:52.0,Turnover by Team (shot clock),,59,68
251,3,5:27.0,,C. Anthony makes 3-pt jump shot from 25 ft,59,71
252,3,5:20.0,Detroit full timeout,,59,71
253,3,5:20.0,A. Baynes enters the game for A. Drummond,,59,71
254,3,5:05.0,K. Caldwell-Pope makes 2-pt jump shot from 8 ft,,61,71
255,3,4:47.0,,K. Porziņģis misses 3-pt jump shot from 23 ft,61,71
256,3,4:47.0,Defensive rebound by A. Baynes,,61,71
257,3,4:39.0,A. Baynes misses 2-pt hook shot from 4 ft,,61,71
258,3,4:37.0,,Defensive rebound by K. Porziņģis,61,71
259,3,4:24.0,,K. Porziņģis makes 2-pt jump shot from 10 ft,61,73
260,3,4:10.0,T. Harris misses 2-pt jump shot from 18 ft,,61,73
261,3,4:10.0,,Defensive rebound by J. Noah,61,73
262,3,4:03.0,,D. Rose misses 2-pt jump shot from 17 ft,61,73
263,3,4:03.0,Defensive rebound by Team,,61,73
264,3,4:03.0,Personal foul by J. Noah (drawn by A. Baynes),,61,73
265,3,4:03.0,J. Leuer enters the game for T. Harris,,61,73
266,3,4:03.0,,M. Ndour enters the game for K. Porziņģis,61,73
267,3,4:03.0,,J. Holiday enters the game for C. Lee,61,73
268,3,4:03.0,,K. O'Quinn enters the game for J. Noah,61,73
269,3,3:44.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,,64,73
270,3,3:26.0,,M. Ndour makes 2-pt dunk at rim (assist by K. O'Quinn),64,75
271,3,3:08.0,K. Caldwell-Pope misses 3-pt jump shot from 29 ft,,64,75
272,3,3:08.0,Offensive rebound by A. Baynes,,64,75
273,3,3:01.0,J. Leuer misses 2-pt jump shot from 16 ft,,64,75
274,3,3:00.0,,Defensive rebound by K. O'Quinn,64,75
275,3,2:50.0,,C. Anthony misses 3-pt jump shot from 26 ft,64,75
276,3,2:49.0,Defensive rebound by J. Leuer,,64,75
277,3,2:26.0,K. Caldwell-Pope makes 3-pt jump shot from 34 ft,,67,75
278,3,2:06.0,,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by D. Rose),67,77
279,3,1:48.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft (block by J. Holiday),,67,77
280,3,1:47.0,Offensive rebound by K. Caldwell-Pope,,67,77
281,3,1:42.0,J. Leuer makes 2-pt jump shot from 10 ft (assist by K. Caldwell-Pope),,69,77
282,3,1:26.0,,M. Ndour makes 2-pt layup from 1 ft (assist by K. O'Quinn),69,79
283,3,1:06.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,69,79
284,3,1:06.0,,Defensive rebound by M. Ndour,69,79
285,3,0:56.0,,D. Rose makes 2-pt jump shot from 18 ft,69,81
286,3,0:40.0,J. Leuer makes 3-pt jump shot from 24 ft (assist by M. Morris),,72,81
287,3,0:35.0,,Offensive foul by K. O'Quinn (drawn by M. Morris),72,81
288,3,0:35.0,,Turnover by K. O'Quinn (offensive foul),72,81
289,3,0:35.0,B. Udrih enters the game for I. Smith,,72,81
290,3,0:23.0,M. Morris makes 2-pt jump shot from 20 ft,,74,81
291,3,0:00.0,,M. Ndour misses 3-pt jump shot from 25 ft,74,81
292,3,0:00.0,,Offensive rebound by Team,74,81
293,4,11:50.0,Offensive foul by A. Drummond (drawn by K. O'Quinn),,74,81
294,4,11:50.0,Turnover by A. Drummond (offensive foul),,74,81
295,4,11:38.0,,D. Rose misses 2-pt jump shot from 12 ft,74,81
296,4,11:37.0,Defensive rebound by J. Leuer,,74,81
297,4,11:11.0,B. Udrih misses 3-pt jump shot from 38 ft,,74,81
298,4,11:10.0,,Defensive rebound by D. Rose,74,81
299,4,11:03.0,,J. Holiday misses 3-pt jump shot from 25 ft,74,81
300,4,11:02.0,Defensive rebound by J. Leuer,,74,81
301,4,10:55.0,T. Harris makes 2-pt jump shot from 17 ft,,76,81
302,4,10:34.0,,J. Holiday misses 3-pt jump shot from 25 ft,76,81
303,4,10:33.0,,Offensive rebound by K. O'Quinn,76,81
304,4,10:31.0,,Shooting foul by J. Leuer (drawn by K. O'Quinn),76,81
305,4,10:31.0,,K. O'Quinn makes free throw 1 of 2,76,82
306,4,10:31.0,,B. Jennings enters the game for D. Rose,76,82
307,4,10:31.0,,K. O'Quinn makes free throw 2 of 2,76,83
308,4,10:17.0,J. Leuer misses 3-pt jump shot from 23 ft,,76,83
309,4,10:17.0,,Defensive rebound by J. Holiday,76,83
310,4,10:08.0,,K. Porziņģis makes 2-pt jump shot from 9 ft,76,85
311,4,9:52.0,Personal foul by M. Ndour (drawn by T. Harris),,76,85
312,4,9:52.0,T. Harris makes free throw 1 of 2,,77,85
313,4,9:52.0,T. Harris makes free throw 2 of 2,,78,85
314,4,9:29.0,,Shooting foul by A. Drummond (drawn by J. Holiday),78,85
315,4,9:29.0,,J. Holiday makes free throw 1 of 2,78,86
316,4,9:29.0,,J. Holiday makes free throw 2 of 2,78,87
317,4,9:07.0,A. Drummond misses 2-pt jump shot from 8 ft (block by K. O'Quinn),,78,87
318,4,9:06.0,,Defensive rebound by K. O'Quinn,78,87
319,4,9:00.0,,Turnover by K. Porziņģis (3 sec),78,87
320,4,8:44.0,J. Leuer makes 2-pt jump shot from 20 ft,,80,87
