,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
295,3,2:00.0,,S. Curry makes 2-pt layup from 2 ft,65,71
296,3,1:35.0,I. Whitehead makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,68,71
297,3,1:10.0,,H. Barnes misses 2-pt jump shot from 11 ft,68,71
298,3,1:09.0,Defensive rebound by T. Booker,,68,71
299,3,1:04.0,T. Booker misses 2-pt layup from 2 ft,,68,71
300,3,1:02.0,,Defensive rebound by S. Mejri,68,71
301,3,0:58.0,,Turnover by J. Barea (bad pass; steal by S. Dinwiddie),68,71
302,3,0:56.0,T. Booker makes 2-pt layup from 2 ft (assist by S. Kilpatrick),,70,71
303,3,0:56.0,Shooting foul by J. Barea (drawn by T. Booker),,70,71
304,3,0:56.0,T. Booker misses free throw 1 of 1,,70,71
305,3,0:56.0,,D. Nowitzki enters the game for H. Barnes,70,71
306,3,0:56.0,,D. Finney-Smith enters the game for W. Matthews,70,71
307,3,0:56.0,,D. Harris enters the game for S. Curry,70,71
308,3,0:55.0,,Defensive rebound by S. Mejri,70,71
309,3,0:35.0,,Shooting block foul by S. Dinwiddie (drawn by J. Barea),70,71
310,3,0:35.0,,J. Barea makes free throw 1 of 2,70,72
311,3,0:35.0,,J. Barea makes free throw 2 of 2,70,73
312,3,0:29.0,T. Booker makes 2-pt jump shot from 4 ft,,72,73
313,3,0:12.0,,J. Barea misses 3-pt jump shot from 26 ft,72,73
314,3,0:12.0,Defensive rebound by Team,,72,73
315,3,0:12.0,,Loose ball foul by S. Mejri (drawn by T. Booker),72,73
316,3,0:12.0,T. Booker misses free throw 1 of 2,,72,73
317,3,0:12.0,Offensive rebound by Team,,72,73
318,3,0:12.0,Q. Acy enters the game for J. Hamilton,,72,73
319,3,0:12.0,,H. Barnes enters the game for S. Mejri,72,73
320,3,0:12.0,T. Booker makes free throw 2 of 2,,73,73
321,3,0:06.0,,Shooting foul by S. Kilpatrick (drawn by D. Harris),73,73
322,3,0:06.0,,D. Harris misses free throw 1 of 2,73,73
323,3,0:06.0,,Offensive rebound by Team,73,73
324,3,0:06.0,,D. Powell enters the game for D. Nowitzki,73,73
325,3,0:06.0,J. Lin enters the game for S. Dinwiddie,,73,73
326,3,0:06.0,,Y. Ferrell enters the game for J. Barea,73,73
327,3,0:06.0,,D. Harris makes free throw 2 of 2,73,74
328,4,11:42.0,T. Booker makes 2-pt jump shot from 20 ft (assist by S. Kilpatrick),,75,74
329,4,11:27.0,,D. Powell misses 2-pt jump shot from 21 ft,75,74
330,4,11:26.0,Defensive rebound by A. Nicholson,,75,74
331,4,11:16.0,T. Booker misses 2-pt jump shot from 19 ft,,75,74
332,4,11:15.0,,Defensive rebound by D. Finney-Smith,75,74
333,4,11:01.0,,Personal foul by A. Nicholson,75,74
334,4,10:54.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by J. Barea),75,77
335,4,10:31.0,T. Booker misses 2-pt layup from 1 ft,,75,77
336,4,10:30.0,,Defensive rebound by D. Powell,75,77
337,4,10:30.0,Loose ball foul by A. Nicholson (drawn by D. Powell),,75,77
338,4,10:15.0,,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by D. Powell),75,80
339,4,10:00.0,,Offensive charge foul by I. Whitehead (drawn by D. Harris),75,80
340,4,10:00.0,Turnover by I. Whitehead (offensive foul),,75,80
341,4,9:46.0,,Personal foul by S. Dinwiddie (drawn by D. Nowitzki),75,80
342,4,9:46.0,,Y. Ferrell enters the game for J. Barea,75,80
343,4,9:46.0,R. Foye enters the game for S. Dinwiddie,,75,80
344,4,9:43.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,75,80
345,4,9:42.0,Defensive rebound by S. Kilpatrick,,75,80
346,4,9:33.0,S. Kilpatrick misses 2-pt jump shot from 11 ft,,75,80
347,4,9:31.0,,Defensive rebound by D. Nowitzki,75,80
348,4,9:19.0,,D. Nowitzki misses 2-pt jump shot from 10 ft,75,80
349,4,9:18.0,Defensive rebound by R. Foye,,75,80
350,4,9:09.0,S. Kilpatrick makes 2-pt jump shot from 4 ft (assist by R. Foye),,77,80
351,4,8:49.0,,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by D. Harris),77,83
352,4,8:29.0,I. Whitehead makes 3-pt jump shot from 25 ft (assist by S. Kilpatrick),,80,83
353,4,8:15.0,,Shooting foul by I. Whitehead (drawn by Y. Ferrell),80,83
354,4,8:15.0,Official timeout,,80,83
355,4,8:15.0,,Y. Ferrell makes free throw 1 of 2,80,84
356,4,8:15.0,,H. Barnes enters the game for D. Nowitzki,80,83
357,4,8:15.0,Q. Acy enters the game for A. Nicholson,,80,83
358,4,8:15.0,,Y. Ferrell makes free throw 2 of 2,80,85
359,4,7:56.0,I. Whitehead misses 3-pt jump shot from 25 ft,,80,85
360,4,7:55.0,,Defensive rebound by Y. Ferrell,80,85
361,4,7:42.0,,Shooting foul by I. Whitehead (drawn by D. Powell),80,85
362,4,7:42.0,,D. Powell makes free throw 1 of 2,80,86
363,4,7:42.0,R. Hollis-Jefferson enters the game for T. Booker,,80,86
364,4,7:42.0,,D. Powell makes free throw 2 of 2,80,87
365,4,7:34.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,80,87
366,4,7:33.0,,Defensive rebound by D. Powell,80,87
367,4,7:21.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,80,87
368,4,7:20.0,Defensive rebound by R. Hollis-Jefferson,,80,87
369,4,7:14.0,Turnover by I. Whitehead (lost ball),,80,87
370,4,7:14.0,C. LeVert enters the game for S. Kilpatrick,,80,87
371,4,7:14.0,J. Lin enters the game for I. Whitehead,,80,87
