,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
144,2,5:32.0,,B. Lopez misses 2-pt hook shot from 6 ft,45,33
145,2,5:31.0,Defensive rebound by J. Ennis,,45,33
146,2,5:14.0,Turnover by M. Gasol (bad pass; steal by B. Lopez),,45,33
147,2,5:08.0,,B. Lopez misses 3-pt jump shot from 25 ft,45,33
148,2,5:07.0,Defensive rebound by C. Parsons,,45,33
149,2,4:51.0,M. Conley misses 2-pt jump shot from 19 ft,,45,33
150,2,4:50.0,,Defensive rebound by B. Bogdanović,45,33
151,2,4:41.0,,B. Bogdanović makes 2-pt layup from 2 ft,45,35
152,2,4:26.0,Personal foul by B. Bogdanović (drawn by C. Parsons),,45,35
153,2,4:26.0,J. Green enters the game for B. Wright,,45,35
154,2,4:22.0,M. Gasol misses 3-pt jump shot from 24 ft,,45,35
155,2,4:21.0,,Defensive rebound by R. Hollis-Jefferson,45,35
156,2,4:12.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,45,38
157,2,4:05.0,Memphis full timeout,,45,38
158,2,4:05.0,,S. Kilpatrick enters the game for C. LeVert,45,38
159,2,3:57.0,M. Gasol misses 2-pt hook shot from 12 ft,,45,38
160,2,3:56.0,,Defensive rebound by Team,45,38
161,2,3:56.0,Loose ball foul by J. Green (drawn by S. Kilpatrick),,45,38
162,2,3:40.0,,Shooting foul by M. Gasol (drawn by B. Bogdanović),45,38
163,2,3:40.0,,B. Bogdanović makes free throw 1 of 2,45,39
164,2,3:40.0,,B. Bogdanović makes free throw 2 of 2,45,40
165,2,3:20.0,M. Gasol misses 2-pt jump shot from 17 ft,,45,40
166,2,3:19.0,,Defensive rebound by B. Bogdanović,45,40
167,2,3:07.0,,B. Lopez misses 2-pt hook shot from 11 ft,45,40
168,2,3:05.0,Defensive rebound by C. Parsons,,45,40
169,2,2:57.0,C. Parsons misses 2-pt layup from 2 ft,,45,40
170,2,2:56.0,,Defensive rebound by B. Lopez,45,40
171,2,2:55.0,,Personal foul by J. Green (drawn by B. Lopez),45,40
172,2,2:44.0,,B. Lopez misses 2-pt jump shot from 15 ft,45,40
173,2,2:43.0,Defensive rebound by J. Green,,45,40
174,2,2:30.0,Personal foul by R. Hollis-Jefferson (drawn by M. Conley),,45,40
175,2,2:23.0,M. Conley makes 2-pt layup from 2 ft,,47,40
176,2,2:06.0,,Turnover by R. Hollis-Jefferson (bad pass),47,40
177,2,1:56.0,M. Gasol misses 2-pt jump shot from 11 ft,,47,40
178,2,1:55.0,,Defensive rebound by B. Bogdanović,47,40
179,2,1:47.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,47,40
180,2,1:46.0,,Offensive rebound by B. Bogdanović,47,40
