,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
206,2,1:10.0,,H. Barnes makes free throw 2 of 2,60,48
207,2,1:00.0,Personal foul by W. Matthews (drawn by E. Turner),,60,48
208,2,1:00.0,E. Turner makes free throw 1 of 2,,61,48
209,2,1:00.0,E. Turner makes free throw 2 of 2,,62,48
210,2,0:49.0,,H. Barnes makes 2-pt dunk at rim,62,50
211,2,0:34.0,A. Aminu misses 3-pt jump shot from 24 ft,,62,50
212,2,0:33.0,Offensive rebound by M. Harkless,,62,50
213,2,0:29.0,Turnover by M. Harkless (bad pass; steal by H. Barnes),,62,50
214,2,0:20.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,62,50
215,2,0:19.0,Defensive rebound by A. Aminu,,62,50
216,2,0:18.0,Portland full timeout,,62,50
217,2,0:18.0,,D. Finney-Smith enters the game for D. Nowitzki,62,50
218,2,0:18.0,A. Crabbe enters the game for A. Aminu,,62,50
219,2,0:05.0,D. Lillard makes 2-pt layup from 1 ft,,64,50
220,2,0:00.0,,D. Harris makes 3-pt jump shot from 30 ft,64,53
221,3,11:48.0,,H. Barnes makes 2-pt layup from 3 ft (assist by D. Nowitzki),64,55
222,3,11:33.0,Turnover by D. Lillard (lost ball; steal by Y. Ferrell),,64,55
223,3,11:19.0,,D. Nowitzki misses 3-pt jump shot from 23 ft,64,55
224,3,11:18.0,Defensive rebound by D. Lillard,,64,55
225,3,11:12.0,Turnover by E. Turner (bad pass; steal by H. Barnes),,64,55
226,3,11:02.0,,Turnover by H. Barnes (offensive goaltending),64,55
227,3,10:48.0,D. Lillard misses 3-pt jump shot from 25 ft,,64,55
228,3,10:45.0,,Defensive rebound by D. Nowitzki,64,55
229,3,10:27.0,,H. Barnes makes 2-pt jump shot from 9 ft (assist by W. Matthews),64,57
230,3,10:05.0,C. McCollum makes 2-pt jump shot from 19 ft,,66,57
231,3,10:05.0,Shooting foul by S. Curry (drawn by C. McCollum),,66,57
232,3,10:05.0,C. McCollum makes free throw 1 of 1,,67,57
