,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
313,4,10:46.0,,M. Morris misses 3-pt jump shot from 26 ft,82,68
314,4,10:46.0,,Offensive rebound by I. Smith,82,68
315,4,10:34.0,,Turnover by I. Smith (bad pass; steal by J. Ennis),82,68
316,4,10:28.0,J. Ennis makes 2-pt layup at rim (assist by A. Harrison),,84,68
317,4,10:12.0,,Shooting foul by A. Harrison (drawn by M. Morris),84,68
318,4,10:12.0,,M. Morris makes free throw 1 of 2,84,69
319,4,10:12.0,T. Allen enters the game for J. Ennis,,84,69
320,4,10:12.0,,M. Morris makes free throw 2 of 2,84,70
321,4,9:59.0,Turnover by Z. Randolph (bad pass),,84,70
322,4,9:45.0,,I. Smith misses 2-pt jump shot from 7 ft,84,70
323,4,9:44.0,Defensive rebound by T. Allen,,84,70
324,4,9:36.0,T. Daniels misses 3-pt jump shot from 25 ft,,84,70
325,4,9:35.0,,Defensive rebound by J. Leuer,84,70
326,4,9:24.0,,S. Johnson misses 2-pt layup from 1 ft,84,70
327,4,9:24.0,,Offensive rebound by S. Johnson,84,70
328,4,9:23.0,,S. Johnson misses 2-pt layup from 2 ft,84,70
329,4,9:20.0,,Offensive rebound by Team,84,70
330,4,9:15.0,,Shooting foul by T. Allen (drawn by M. Morris),84,70
331,4,9:15.0,,M. Morris makes free throw 1 of 2,84,71
332,4,9:15.0,,M. Morris makes free throw 2 of 2,84,72
333,4,9:12.0,Memphis full timeout,,84,72
334,4,8:52.0,Z. Randolph makes 2-pt jump shot from 19 ft (assist by A. Harrison),,86,72
335,4,8:32.0,,J. Leuer makes 2-pt jump shot from 12 ft,86,74
336,4,8:17.0,T. Daniels misses 3-pt jump shot from 25 ft,,86,74
337,4,8:17.0,Offensive rebound by T. Allen,,86,74
338,4,8:10.0,T. Daniels misses 3-pt jump shot from 27 ft,,86,74
339,4,8:09.0,,Defensive rebound by A. Baynes,86,74
340,4,8:02.0,,J. Leuer misses 3-pt jump shot from 23 ft,86,74
341,4,8:02.0,Defensive rebound by Z. Randolph,,86,74
342,4,7:46.0,Z. Randolph misses 2-pt jump shot from 20 ft,,86,74
343,4,7:46.0,,Defensive rebound by I. Smith,86,74
344,4,7:46.0,,Personal foul by Z. Randolph (drawn by I. Smith),86,74
345,4,7:46.0,,I. Smith misses free throw 1 of 2,86,74
346,4,7:46.0,,Offensive rebound by Team,86,74
347,4,7:46.0,,A. Drummond enters the game for J. Leuer,86,74
348,4,7:46.0,,K. Caldwell-Pope enters the game for A. Baynes,86,74
349,4,7:46.0,,T. Harris enters the game for S. Johnson,86,74
350,4,7:46.0,M. Gasol enters the game for J. Martin,,86,74
351,4,7:46.0,,I. Smith makes free throw 2 of 2,86,75
352,4,7:22.0,T. Allen misses 2-pt jump shot from 5 ft,,86,75
353,4,7:22.0,Offensive rebound by Team,,86,75
354,4,7:21.0,Turnover by Team (shot clock),,86,75
355,4,7:21.0,,R. Jackson enters the game for I. Smith,86,75
356,4,6:57.0,,R. Jackson misses 2-pt layup from 1 ft,86,75
357,4,6:57.0,,Offensive rebound by Team,86,75
358,4,6:36.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),86,77
359,4,6:24.0,Personal foul by M. Morris (drawn by T. Daniels),,86,77
360,4,6:24.0,M. Conley enters the game for A. Harrison,,86,77
