,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
224,3,9:45.0,M. Dellavedova makes 2-pt jump shot from 13 ft,,54,61
225,3,9:24.0,,P. George makes 2-pt jump shot from 21 ft,54,63
226,3,9:11.0,Shooting foul by M. Turner (drawn by G. Antetokounmpo),,54,63
227,3,9:11.0,G. Antetokounmpo makes free throw 1 of 2,,55,63
228,3,9:11.0,G. Antetokounmpo makes free throw 2 of 2,,56,63
229,3,8:53.0,,P. George misses 3-pt jump shot from 26 ft,56,63
230,3,8:52.0,Defensive rebound by T. Maker,,56,63
231,3,8:39.0,T. Snell makes 2-pt layup from 3 ft,,58,63
232,3,8:20.0,,Turnover by J. Teague (lost ball),58,63
233,3,8:10.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,60,63
234,3,8:10.0,Shooting foul by M. Turner (drawn by G. Antetokounmpo),,60,63
235,3,8:10.0,,K. Séraphin enters the game for M. Turner,60,63
236,3,8:10.0,G. Antetokounmpo makes free throw 1 of 1,,61,63
237,3,7:57.0,,P. George makes 2-pt layup from 3 ft (assist by T. Young),61,65
238,3,7:45.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,61,65
239,3,7:45.0,,Defensive rebound by P. George,61,65
240,3,7:31.0,,K. Séraphin makes 2-pt jump shot from 16 ft (assist by J. Teague),61,67
241,3,7:13.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,61,67
242,3,7:12.0,,Defensive rebound by P. George,61,67
243,3,6:59.0,,J. Teague misses 2-pt jump shot from 5 ft,61,67
244,3,6:59.0,,Offensive rebound by T. Young,61,67
245,3,6:59.0,,Personal foul by T. Maker (drawn by T. Young),61,67
246,3,6:59.0,G. Monroe enters the game for T. Maker,,61,67
247,3,6:37.0,,J. Teague makes 2-pt layup from 3 ft,61,69
248,3,6:23.0,Turnover by G. Monroe (lost ball),,61,69
249,3,6:08.0,,M. Ellis makes 3-pt jump shot from 23 ft (assist by J. Teague),61,72
250,3,6:07.0,Milwaukee full timeout,,61,72
251,3,6:07.0,J. Terry enters the game for M. Dellavedova,,61,72
252,3,5:54.0,K. Middleton misses 3-pt jump shot from 26 ft,,61,72
253,3,5:54.0,,Defensive rebound by T. Young,61,72
254,3,5:40.0,,Shooting foul by T. Snell (drawn by J. Teague),61,72
255,3,5:40.0,,J. Teague makes free throw 1 of 2,61,73
256,3,5:40.0,,J. Teague makes free throw 2 of 2,61,74
257,3,5:28.0,Turnover by G. Monroe (bad pass; steal by M. Ellis),,61,74
258,3,5:18.0,,T. Young makes 2-pt dunk from 2 ft (assist by P. George),61,76
259,3,4:54.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,64,76
260,3,4:32.0,,Turnover by P. George (bad pass; steal by J. Terry),64,76
261,3,4:25.0,K. Middleton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,66,76
