,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
198,2,2:34.0,J. Lin makes 2-pt layup from 2 ft,,45,57
199,2,2:20.0,,J. Nelson makes 2-pt layup from 2 ft,45,59
200,2,2:07.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by J. Lin),,47,59
201,2,1:48.0,,W. Chandler misses 2-pt jump shot from 3 ft,47,59
202,2,1:48.0,Defensive rebound by R. Hollis-Jefferson,,47,59
203,2,1:42.0,J. Lin misses 2-pt jump shot from 17 ft,,47,59
204,2,1:41.0,,Defensive rebound by J. Nelson,47,59
205,2,1:35.0,,D. Gallinari makes 3-pt jump shot from 23 ft (assist by J. Nelson),47,62
206,2,1:14.0,S. Kilpatrick makes 2-pt layup from 2 ft (assist by B. Lopez),,49,62
207,2,1:14.0,Shooting foul by D. Gallinari (drawn by S. Kilpatrick),,49,62
208,2,1:14.0,Official timeout,,49,62
209,2,1:14.0,S. Kilpatrick misses free throw 1 of 1,,49,62
210,2,1:13.0,,Defensive rebound by Team,49,62
211,2,0:54.0,,W. Chandler makes 2-pt layup from 2 ft (assist by J. Nelson),49,64
212,2,0:39.0,C. LeVert makes 2-pt layup from 2 ft,,51,64
213,2,0:26.0,,W. Chandler misses 2-pt jump shot from 20 ft,51,64
214,2,0:25.0,Defensive rebound by R. Hollis-Jefferson,,51,64
215,2,0:05.0,Shooting block foul by J. Nelson (drawn by J. Lin),,51,64
216,2,0:05.0,J. Lin makes free throw 1 of 2,,52,64
217,2,0:05.0,T. Booker enters the game for B. Lopez,,52,64
218,2,0:05.0,J. Lin makes free throw 2 of 2,,53,64
219,2,0:00.0,,W. Chandler misses 2-pt jump shot from 7 ft,53,64
220,2,0:00.0,,Offensive rebound by Team,53,64
221,3,11:44.0,,G. Harris misses 2-pt layup from 1 ft,53,64
222,3,11:42.0,Defensive rebound by J. Lin,,53,64
223,3,11:33.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by R. Foye),,56,64
224,3,11:18.0,,J. Nelson makes 3-pt jump shot from 25 ft (assist by G. Harris),56,67
225,3,11:02.0,B. Lopez misses 3-pt jump shot from 25 ft,,56,67
226,3,11:01.0,Offensive rebound by R. Hollis-Jefferson,,56,67
227,3,10:55.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Nelson),,56,67
228,3,10:49.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Nelson),56,70
229,3,10:28.0,C. LeVert makes 2-pt layup from 1 ft (assist by J. Lin),,58,70
230,3,10:03.0,,D. Gallinari makes 2-pt jump shot from 18 ft (assist by J. Nelson),58,72
231,3,9:50.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by R. Foye),,61,72
232,3,9:35.0,,D. Gallinari makes 2-pt dunk at rim (assist by W. Chandler),61,74
233,3,9:27.0,Turnover by R. Foye (bad pass; steal by J. Nelson),,61,74
234,3,9:24.0,,Personal foul by R. Foye (drawn by J. Nelson),61,74
235,3,9:24.0,T. Booker enters the game for R. Hollis-Jefferson,,61,74
236,3,9:15.0,,G. Harris misses 2-pt layup from 2 ft (block by B. Lopez),61,74
237,3,9:14.0,Defensive rebound by R. Foye,,61,74
238,3,9:02.0,C. LeVert misses 2-pt layup from 2 ft,,61,74
239,3,9:01.0,,Defensive rebound by N. Jokić,61,74
240,3,8:55.0,,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),61,76
241,3,8:42.0,Turnover by B. Lopez (lost ball; steal by N. Jokić),,61,76
242,3,8:32.0,,G. Harris misses 2-pt jump shot from 7 ft,61,76
243,3,8:31.0,Defensive rebound by T. Booker,,61,76
244,3,8:18.0,R. Foye misses 3-pt jump shot from 27 ft,,61,76
245,3,8:18.0,,Defensive rebound by G. Harris,61,76
246,3,8:11.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),61,78
247,3,8:11.0,,Shooting foul by J. Lin (drawn by G. Harris),61,78
248,3,8:11.0,Brooklyn full timeout,,61,78
249,3,8:11.0,,G. Harris makes free throw 1 of 1,61,79
250,3,7:48.0,B. Lopez makes 2-pt hook shot from 6 ft,,63,79
251,3,7:31.0,,W. Chandler makes 2-pt jump shot from 9 ft (assist by N. Jokić),63,81
252,3,7:27.0,B. Lopez makes 2-pt layup from 2 ft (assist by J. Lin),,65,81
253,3,7:27.0,Shooting foul by N. Jokić (drawn by B. Lopez),,65,81
254,3,7:27.0,B. Lopez misses free throw 1 of 1,,65,81
255,3,7:27.0,R. Hollis-Jefferson enters the game for T. Booker,,65,81
256,3,7:25.0,,Defensive rebound by D. Gallinari,65,81
257,3,7:13.0,,Turnover by D. Gallinari (bad pass; steal by R. Foye),65,81
258,3,7:12.0,Personal foul by G. Harris (drawn by C. LeVert),,65,81
259,3,7:12.0,S. Kilpatrick enters the game for C. LeVert,,65,81
260,3,7:12.0,S. Dinwiddie enters the game for R. Foye,,65,81
261,3,7:12.0,J. Harris enters the game for J. Lin,,65,81
262,3,7:01.0,Turnover by S. Kilpatrick (lost ball),,65,81
263,3,6:54.0,,Personal foul by B. Lopez (drawn by N. Jokić),65,81
264,3,6:41.0,,W. Chandler misses 3-pt jump shot from 26 ft,65,81
265,3,6:40.0,,Offensive rebound by N. Jokić,65,81
266,3,6:36.0,,Turnover by N. Jokić (bad pass; steal by S. Dinwiddie),65,81
267,3,6:31.0,Personal foul by N. Jokić (drawn by S. Kilpatrick),,65,81
268,3,6:31.0,,M. Plumlee enters the game for N. Jokić,65,81
269,3,6:21.0,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,,65,81
270,3,6:21.0,,Defensive rebound by D. Gallinari,65,81
271,3,6:19.0,,Personal foul by S. Dinwiddie (drawn by M. Plumlee),65,81
272,3,6:19.0,,W. Barton enters the game for G. Harris,65,81
273,3,6:10.0,,D. Gallinari misses 3-pt jump shot from 23 ft,65,81
274,3,6:09.0,Defensive rebound by S. Dinwiddie,,65,81
275,3,6:01.0,S. Kilpatrick misses 2-pt jump shot from 7 ft,,65,81
276,3,6:00.0,,Defensive rebound by M. Plumlee,65,81
277,3,5:54.0,,Personal foul by S. Dinwiddie (drawn by D. Gallinari),65,81
278,3,5:54.0,,D. Gallinari misses free throw 1 of 2,65,81
279,3,5:54.0,,Offensive rebound by Team,65,81
280,3,5:54.0,,D. Arthur enters the game for W. Chandler,65,81
281,3,5:54.0,,D. Gallinari makes free throw 2 of 2,65,82
282,3,5:40.0,Turnover by S. Kilpatrick (bad pass; steal by D. Arthur),,65,82
283,3,5:25.0,,Shooting foul by R. Hollis-Jefferson (drawn by M. Plumlee),65,82
284,3,5:25.0,,M. Plumlee misses free throw 1 of 2,65,82
285,3,5:25.0,,Offensive rebound by Team,65,82
286,3,5:25.0,,M. Plumlee misses free throw 2 of 2,65,82
287,3,5:24.0,Defensive rebound by S. Dinwiddie,,65,82
