,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
169,2,6:52.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by T. Ulis),,35,46
170,2,6:35.0,,Offensive foul by R. Covington (drawn by P. Tucker),35,46
171,2,6:35.0,,Turnover by R. Covington (offensive foul),35,46
172,2,6:35.0,,J. Embiid enters the game for J. Okafor,35,46
173,2,6:35.0,D. Booker enters the game for J. Dudley,,35,46
174,2,6:35.0,A. Len enters the game for A. Williams,,35,46
175,2,6:21.0,E. Bledsoe makes 2-pt jump shot from 17 ft,,37,46
176,2,6:08.0,,G. Henderson misses 3-pt jump shot from 23 ft,37,46
177,2,6:06.0,Defensive rebound by P. Tucker,,37,46
178,2,5:52.0,A. Len misses 2-pt dunk at rim,,37,46
179,2,5:51.0,,Defensive rebound by G. Henderson,37,46
180,2,5:45.0,,S. Rodríguez misses 3-pt jump shot from 25 ft,37,46
181,2,5:44.0,Defensive rebound by T. Ulis,,37,46
182,2,5:39.0,D. Booker misses 2-pt layup from 1 ft (block by J. Embiid),,37,46
183,2,5:38.0,Offensive rebound by Team,,37,46
184,2,5:38.0,Official timeout,,37,46
185,2,5:27.0,D. Booker misses 2-pt jump shot from 14 ft,,37,46
186,2,5:26.0,,Defensive rebound by Team,37,46
187,2,5:14.0,,Turnover by J. Embiid (traveling),37,46
188,2,5:14.0,M. Chriss enters the game for P. Tucker,,37,46
189,2,5:03.0,Turnover by E. Bledsoe (lost ball; steal by R. Covington),,37,46
190,2,4:49.0,,G. Henderson makes 2-pt jump shot from 11 ft,37,48
191,2,4:38.0,D. Booker misses 2-pt jump shot from 14 ft,,37,48
192,2,4:37.0,,Defensive rebound by R. Covington,37,48
193,2,4:33.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by S. Rodríguez),37,50
194,2,4:12.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,37,50
195,2,4:11.0,,Defensive rebound by J. Embiid,37,50
196,2,3:59.0,,J. Embiid misses 3-pt jump shot from 24 ft,37,50
197,2,3:58.0,Defensive rebound by M. Chriss,,37,50
198,2,3:46.0,M. Chriss misses 2-pt jump shot from 14 ft,,37,50
199,2,3:45.0,Offensive rebound by Team,,37,50
200,2,3:38.0,D. Booker makes 2-pt jump shot from 9 ft (assist by M. Chriss),,39,50
201,2,3:26.0,,Shooting foul by A. Len (drawn by J. Embiid),39,50
202,2,3:26.0,,J. Embiid makes free throw 1 of 2,39,51
203,2,3:26.0,B. Knight enters the game for D. Booker,,39,51
204,2,3:26.0,,J. Embiid makes free throw 2 of 2,39,52
205,2,3:15.0,T. Ulis misses 2-pt jump shot from 11 ft (block by R. Covington),,39,52
206,2,3:14.0,,Defensive rebound by G. Henderson,39,52
207,2,3:01.0,,G. Henderson misses 2-pt jump shot from 19 ft,39,52
208,2,3:00.0,Defensive rebound by E. Bledsoe,,39,52
209,2,2:52.0,E. Bledsoe misses 2-pt jump shot from 11 ft,,39,52
210,2,2:51.0,,Defensive rebound by R. Covington,39,52
211,2,2:47.0,,Shooting foul by M. Chriss (drawn by R. Covington),39,52
212,2,2:47.0,Phoenix full timeout,,39,52
213,2,2:47.0,,R. Covington misses free throw 1 of 2,39,52
214,2,2:47.0,,Offensive rebound by Team,39,52
215,2,2:47.0,,R. Covington misses free throw 2 of 2,39,52
216,2,2:47.0,,T. McConnell enters the game for S. Rodríguez,39,52
217,2,2:47.0,,J. Okafor enters the game for J. Embiid,39,52
218,2,2:47.0,,N. Stauskas enters the game for G. Henderson,39,52
219,2,2:47.0,P. Tucker enters the game for T. Ulis,,39,52
220,2,2:46.0,Defensive rebound by M. Chriss,,39,52
221,2,2:33.0,E. Bledsoe makes 2-pt jump shot from 19 ft,,41,52
222,2,2:23.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by T. McConnell),41,55
223,2,2:05.0,M. Chriss misses 2-pt jump shot from 8 ft (block by J. Okafor),,41,55
224,2,2:04.0,,Defensive rebound by Team,41,55
225,2,2:04.0,,H. Thompson enters the game for R. Covington,41,55
226,2,1:52.0,,Turnover by N. Stauskas (back court),41,55
227,2,1:52.0,J. Dudley enters the game for M. Chriss,,41,55
228,2,1:39.0,B. Knight makes 2-pt jump shot from 20 ft (assist by P. Tucker),,43,55
229,2,1:27.0,,T. McConnell misses 2-pt jump shot from 6 ft,43,55
230,2,1:26.0,,Offensive rebound by T. McConnell,43,55
231,2,1:18.0,,E. İlyasova misses 3-pt jump shot from 26 ft,43,55
232,2,1:17.0,Defensive rebound by P. Tucker,,43,55
233,2,1:11.0,E. Bledsoe makes 3-pt jump shot from 26 ft,,46,55
234,2,0:50.0,,Personal foul by J. Dudley (drawn by E. İlyasova),46,55
235,2,0:36.0,,H. Thompson misses 2-pt jump shot from 7 ft,46,55
236,2,0:36.0,,Offensive rebound by Team,46,55
237,2,0:35.0,,Turnover by Team (shot clock),46,55
238,2,0:31.0,E. Bledsoe makes 2-pt jump shot from 17 ft,,48,55
239,2,0:06.0,,N. Stauskas makes 3-pt jump shot from 25 ft,48,58
240,2,0:01.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,48,58
241,2,0:00.0,Offensive rebound by Team,,48,58
242,3,11:41.0,,J. Embiid makes 2-pt layup from 2 ft,48,60
243,3,11:22.0,Shooting foul by J. Embiid (drawn by P. Tucker),,48,60
244,3,11:22.0,P. Tucker makes free throw 1 of 2,,49,60
245,3,11:22.0,P. Tucker makes free throw 2 of 2,,50,60
246,3,11:10.0,,Turnover by S. Rodríguez (bad pass; steal by D. Booker),50,60
247,3,11:07.0,Flagrant foul type 1 by G. Henderson (drawn by M. Chriss),,50,60
248,3,11:07.0,M. Chriss misses flagrant free throw 1 of 2,,50,60
249,3,11:07.0,Offensive rebound by Team,,50,60
250,3,11:07.0,M. Chriss misses flagrant free throw 2 of 2,,50,60
251,3,11:07.0,Offensive rebound by Team,,50,60
252,3,10:56.0,Turnover by M. Chriss (lost ball; steal by E. İlyasova),,50,60
253,3,10:50.0,,R. Covington misses 3-pt jump shot from 24 ft,50,60
254,3,10:49.0,Defensive rebound by E. Bledsoe,,50,60
255,3,10:44.0,E. Bledsoe makes 2-pt layup from 1 ft,,52,60
256,3,10:38.0,,Personal foul by E. Bledsoe (drawn by E. İlyasova),52,60
257,3,10:38.0,J. Dudley enters the game for M. Chriss,,52,60
258,3,10:26.0,,S. Rodríguez makes 2-pt jump shot from 12 ft,52,62
259,3,10:21.0,Shooting block foul by G. Henderson (drawn by P. Tucker),,52,62
260,3,10:21.0,P. Tucker makes free throw 1 of 2,,53,62
261,3,10:21.0,P. Tucker makes free throw 2 of 2,,54,62
262,3,10:05.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by J. Embiid),54,65
263,3,9:51.0,Turnover by E. Bledsoe (lost ball; steal by R. Covington),,54,65
264,3,9:45.0,,Shooting foul by J. Dudley (drawn by G. Henderson),54,65
265,3,9:45.0,,G. Henderson makes free throw 1 of 2,54,66
266,3,9:45.0,,G. Henderson makes free throw 2 of 2,54,67
267,3,9:36.0,Turnover by D. Booker (lost ball; steal by G. Henderson),,54,67
268,3,9:33.0,,Turnover by R. Covington (bad pass),54,67
269,3,9:24.0,Turnover by D. Booker (bad pass; steal by G. Henderson),,54,67
270,3,9:16.0,,E. İlyasova misses 3-pt jump shot from 24 ft,54,67
271,3,9:15.0,Defensive rebound by P. Tucker,,54,67
272,3,9:04.0,P. Tucker misses 3-pt jump shot from 24 ft,,54,67
273,3,9:03.0,,Defensive rebound by E. İlyasova,54,67
274,3,8:57.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by S. Rodríguez),54,69
275,3,8:49.0,Phoenix full timeout,,54,69
276,3,8:49.0,B. Knight enters the game for D. Booker,,54,69
277,3,8:36.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,57,69
278,3,8:24.0,,Turnover by R. Covington (bad pass; steal by J. Dudley),57,69
279,3,8:19.0,E. Bledsoe misses 2-pt layup from 2 ft,,57,69
280,3,8:18.0,,Defensive rebound by S. Rodríguez,57,69
281,3,8:10.0,,Shooting foul by E. Bledsoe (drawn by J. Embiid),57,69
282,3,8:10.0,,J. Embiid misses free throw 1 of 2,57,69
283,3,8:10.0,,Offensive rebound by Team,57,69
284,3,8:10.0,,N. Stauskas enters the game for R. Covington,57,69
285,3,8:10.0,,J. Embiid makes free throw 2 of 2,57,70
286,3,7:52.0,B. Knight makes 3-pt jump shot from 25 ft (assist by J. Dudley),,60,70
287,3,7:34.0,,J. Embiid makes 2-pt jump shot from 18 ft,60,72
288,3,7:25.0,A. Len makes 2-pt layup from 2 ft (assist by B. Knight),,62,72
289,3,7:25.0,Shooting foul by J. Embiid (drawn by A. Len),,62,72
290,3,7:25.0,,J. Okafor enters the game for J. Embiid,62,72
291,3,7:25.0,A. Len makes free throw 1 of 1,,63,72
292,3,7:16.0,,S. Rodríguez misses 3-pt jump shot from 25 ft,63,72
293,3,7:15.0,Defensive rebound by A. Len,,63,72
294,3,7:12.0,E. Bledsoe makes 2-pt jump shot from 9 ft,,65,72
295,3,7:12.0,Shooting foul by N. Stauskas (drawn by E. Bledsoe),,65,72
296,3,7:12.0,E. Bledsoe makes free throw 1 of 1,,66,72
297,3,6:48.0,,N. Stauskas misses 3-pt jump shot from 26 ft,66,72
298,3,6:47.0,,Offensive rebound by G. Henderson,66,72
299,3,6:24.0,,S. Rodríguez makes 3-pt jump shot from 23 ft (assist by G. Henderson),66,75
300,3,6:15.0,E. Bledsoe misses 2-pt jump shot from 15 ft,,66,75
301,3,6:14.0,,Defensive rebound by G. Henderson,66,75
302,3,5:56.0,,N. Stauskas makes 2-pt jump shot from 12 ft,66,77
303,3,5:44.0,Shooting foul by J. Okafor (drawn by A. Len),,66,77
304,3,5:44.0,A. Len misses free throw 1 of 2,,66,77
305,3,5:44.0,Offensive rebound by Team,,66,77
306,3,5:44.0,A. Len misses free throw 2 of 2,,66,77
307,3,5:44.0,L. Barbosa enters the game for E. Bledsoe,,66,77
308,3,5:43.0,,Defensive rebound by E. İlyasova,66,77
309,3,5:27.0,,G. Henderson misses 2-pt jump shot from 12 ft,66,77
310,3,5:26.0,,Offensive rebound by J. Okafor,66,77
311,3,5:21.0,,S. Rodríguez makes 3-pt jump shot from 24 ft (assist by J. Okafor),66,80
312,3,5:01.0,B. Knight misses 2-pt layup from 1 ft (block by J. Okafor),,66,80
313,3,5:00.0,,Defensive rebound by S. Rodríguez,66,80
314,3,4:55.0,,N. Stauskas makes 2-pt dunk from 1 ft (assist by S. Rodríguez),66,82
315,3,4:52.0,Shooting foul by E. İlyasova (drawn by B. Knight),,66,82
316,3,4:52.0,B. Knight makes free throw 1 of 2,,67,82
317,3,4:52.0,B. Knight misses free throw 2 of 2,,67,82
318,3,4:52.0,A. Williams enters the game for A. Len,,67,82
319,3,4:52.0,,D. Šarić enters the game for E. İlyasova,67,82
320,3,4:52.0,,H. Thompson enters the game for G. Henderson,67,82
321,3,4:51.0,,Defensive rebound by S. Rodríguez,67,82
322,3,4:36.0,,S. Rodríguez misses 2-pt jump shot from 9 ft,67,82
323,3,4:35.0,Defensive rebound by A. Williams,,67,82
324,3,4:18.0,J. Dudley makes 2-pt jump shot from 14 ft (assist by B. Knight),,69,82
325,3,3:57.0,,J. Okafor makes 2-pt layup from 2 ft,69,84
326,3,3:39.0,L. Barbosa makes 2-pt jump shot from 20 ft,,71,84
327,3,3:25.0,,Personal foul by J. Dudley (drawn by N. Stauskas),71,84
328,3,3:25.0,,T. McConnell enters the game for S. Rodríguez,71,84
329,3,3:25.0,,Philadelphia full timeout,71,84
330,3,3:25.0,T. Ulis enters the game for P. Tucker,,71,84
331,3,3:14.0,,Turnover by J. Okafor (lost ball; steal by T. Ulis),71,84
332,3,3:04.0,A. Williams misses 2-pt jump shot from 6 ft,,71,84
333,3,3:03.0,,Defensive rebound by D. Šarić,71,84
334,3,2:43.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by H. Thompson),71,87
335,3,2:24.0,B. Knight misses 3-pt jump shot from 25 ft,,71,87
336,3,2:22.0,,Defensive rebound by N. Stauskas,71,87
337,3,2:02.0,,J. Okafor misses 2-pt layup from 1 ft (block by A. Williams),71,87
338,3,2:01.0,Defensive rebound by J. Dudley,,71,87
339,3,1:54.0,J. Dudley misses 3-pt jump shot from 25 ft,,71,87
340,3,1:53.0,,Defensive rebound by T. McConnell,71,87
341,3,1:33.0,,T. McConnell misses 2-pt jump shot from 17 ft,71,87
342,3,1:32.0,Defensive rebound by A. Williams,,71,87
343,3,1:14.0,B. Knight makes 2-pt layup from 2 ft,,73,87
344,3,0:59.0,Violation by L. Barbosa (kicked ball),,73,87
345,3,0:59.0,,E. İlyasova enters the game for J. Okafor,73,87
346,3,0:48.0,,T. McConnell makes 2-pt layup from 1 ft,73,89
347,3,0:41.0,T. Ulis misses 2-pt layup from 2 ft,,73,89
348,3,0:39.0,Offensive rebound by A. Williams,,73,89
349,3,0:39.0,Offensive foul by A. Williams (drawn by E. İlyasova),,73,89
350,3,0:39.0,Turnover by A. Williams (offensive foul),,73,89
351,3,0:31.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by T. McConnell),73,92
352,3,0:10.0,Shooting foul by H. Thompson (drawn by B. Knight),,73,92
353,3,0:10.0,B. Knight makes free throw 1 of 2,,74,92
354,3,0:10.0,B. Knight makes free throw 2 of 2,,75,92
355,3,0:01.0,,T. McConnell misses 2-pt jump shot from 6 ft,75,92
356,3,0:00.0,,Offensive rebound by Team,75,92
357,4,11:41.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,75,92
358,4,11:40.0,,Defensive rebound by Team,75,92
359,4,11:29.0,,T. McConnell makes 2-pt layup from 3 ft,75,94
360,4,11:12.0,Shooting foul by D. Šarić (drawn by A. Len),,75,94
361,4,11:12.0,A. Len misses free throw 1 of 2,,75,94
362,4,11:12.0,Offensive rebound by Team,,75,94
363,4,11:12.0,A. Len misses free throw 2 of 2,,75,94
