,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
367,4,10:55.0,J. Green misses 2-pt layup at rim,,65,80
368,4,10:55.0,Offensive rebound by B. Biyombo,,65,80
369,4,10:55.0,Personal foul by L. James (drawn by B. Biyombo),,65,80
370,4,10:45.0,C. Wilcox misses 3-pt jump shot from 26 ft,,65,80
371,4,10:45.0,Offensive rebound by Team,,65,80
372,4,10:31.0,B. Biyombo makes 2-pt jump shot from 4 ft (assist by D. Augustin),,67,80
373,4,10:14.0,,K. Love makes 2-pt hook shot from 5 ft,67,82
374,4,9:55.0,D. Augustin makes 3-pt jump shot from 23 ft (assist by C. Wilcox),,70,82
375,4,9:44.0,,R. Jefferson makes 2-pt layup from 2 ft,70,84
376,4,9:37.0,Personal foul by I. Shumpert (drawn by D. Augustin),,70,84
377,4,9:31.0,M. Hezonja makes 3-pt jump shot from 28 ft (assist by J. Green),,73,84
378,4,9:07.0,,M. Dunleavy misses 3-pt jump shot from 23 ft,73,84
379,4,9:07.0,Defensive rebound by D. Augustin,,73,84
380,4,9:04.0,Personal foul by I. Shumpert (drawn by D. Augustin),,73,84
381,4,8:53.0,Turnover by D. Augustin (bad pass),,73,84
382,4,8:53.0,Official timeout,,73,84
383,4,8:53.0,,K. Irving enters the game for I. Shumpert,73,84
384,4,8:41.0,,R. Jefferson misses 2-pt dunk at rim (block by M. Hezonja),73,84
385,4,8:40.0,Defensive rebound by M. Hezonja,,73,84
386,4,8:26.0,Turnover by J. Green (step out of bounds),,73,84
387,4,8:14.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,73,84
388,4,8:14.0,Defensive rebound by M. Hezonja,,73,84
389,4,8:07.0,Turnover by M. Hezonja (lost ball; steal by R. Jefferson),,73,84
390,4,7:58.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,73,84
