,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
92,1,1:34.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,24,30
93,1,1:33.0,,Defensive rebound by L. Galloway,24,30
94,1,1:22.0,,T. Jones misses 2-pt jump shot from 12 ft,24,30
95,1,1:21.0,Defensive rebound by I. Whitehead,,24,30
96,1,1:00.0,C. LeVert makes 3-pt jump shot from 25 ft,,27,30
97,1,0:54.0,,Turnover by A. Davis (bad pass; steal by C. LeVert),27,30
98,1,0:52.0,C. LeVert makes 2-pt dunk at rim,,29,30
99,1,0:31.0,,J. Holiday misses 2-pt jump shot from 12 ft,29,30
100,1,0:29.0,Defensive rebound by Q. Acy,,29,30
101,1,0:08.0,Q. Acy misses 3-pt jump shot from 26 ft,,29,30
102,1,0:07.0,,Defensive rebound by L. Galloway,29,30
103,1,0:00.0,,T. Jones makes 2-pt jump shot from 9 ft (assist by E. Moore),29,32
104,2,11:46.0,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by B. Lopez),,31,32
105,2,11:46.0,Shooting foul by T. Evans (drawn by R. Hollis-Jefferson),,31,32
106,2,11:46.0,R. Hollis-Jefferson makes free throw 1 of 1,,32,32
107,2,11:31.0,,L. Galloway makes 2-pt jump shot from 20 ft,32,34
108,2,11:13.0,R. Foye makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,35,34
109,2,10:53.0,,T. Evans misses 2-pt layup from 2 ft,35,34
110,2,10:51.0,Defensive rebound by B. Lopez,,35,34
111,2,10:47.0,Turnover by R. Foye (bad pass; steal by T. Jones),,35,34
112,2,10:41.0,,T. Jones misses 2-pt layup from 1 ft,35,34
113,2,10:41.0,,Offensive rebound by T. Evans,35,34
114,2,10:40.0,,T. Evans misses 2-pt layup from 2 ft,35,34
115,2,10:38.0,,Offensive rebound by T. Evans,35,34
116,2,10:37.0,,Shooting foul by R. Foye (drawn by T. Evans),35,34
117,2,10:37.0,,T. Evans makes free throw 1 of 2,35,35
118,2,10:37.0,,D. Cunningham enters the game for T. Jones,35,35
119,2,10:37.0,,T. Evans makes free throw 2 of 2,35,36
120,2,10:20.0,I. Whitehead makes 2-pt layup from 1 ft,,37,36
121,2,10:12.0,,T. Evans makes 2-pt layup from 2 ft,37,38
122,2,10:00.0,B. Lopez misses 2-pt jump shot from 12 ft,,37,38
123,2,9:59.0,,Defensive rebound by D. Cunningham,37,38
124,2,9:53.0,,T. Evans misses 3-pt jump shot from 26 ft,37,38
125,2,9:50.0,Defensive rebound by R. Foye,,37,38
126,2,9:40.0,R. Foye makes 3-pt jump shot from 29 ft (assist by B. Bogdanović),,40,38
127,2,9:32.0,,New Orleans full timeout,40,38
128,2,9:25.0,,L. Galloway misses 2-pt layup from 3 ft,40,38
129,2,9:22.0,Defensive rebound by R. Hollis-Jefferson,,40,38
130,2,9:13.0,B. Lopez misses 2-pt jump shot from 5 ft,,40,38
131,2,9:12.0,Offensive rebound by B. Lopez,,40,38
132,2,9:10.0,B. Lopez makes 2-pt dunk at rim,,42,38
133,2,8:56.0,,L. Galloway misses 3-pt jump shot from 27 ft,42,38
134,2,8:56.0,Defensive rebound by R. Hollis-Jefferson,,42,38
135,2,8:47.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft (block by D. Cunningham),,42,38
136,2,8:45.0,,Defensive rebound by T. Evans,42,38
137,2,8:33.0,,D. Motiejūnas misses 3-pt jump shot from 26 ft,42,38
138,2,8:32.0,Defensive rebound by B. Bogdanović,,42,38
139,2,8:24.0,Shooting foul by L. Galloway (drawn by B. Bogdanović),,42,38
140,2,8:24.0,B. Bogdanović makes free throw 1 of 2,,43,38
141,2,8:24.0,,A. Davis enters the game for D. Motiejūnas,43,38
142,2,8:24.0,Q. Acy enters the game for B. Lopez,,43,38
143,2,8:24.0,B. Bogdanović makes free throw 2 of 2,,44,38
144,2,8:08.0,,A. Davis makes 2-pt jump shot from 13 ft,44,40
145,2,8:00.0,Shooting foul by E. Moore (drawn by B. Bogdanović),,44,40
146,2,8:00.0,B. Bogdanović makes free throw 1 of 2,,45,40
147,2,8:00.0,B. Bogdanović makes free throw 2 of 2,,46,40
148,2,7:46.0,,L. Galloway misses 2-pt jump shot from 7 ft,46,40
149,2,7:45.0,Defensive rebound by Q. Acy,,46,40
150,2,7:26.0,B. Bogdanović makes 3-pt jump shot from 25 ft,,49,40
151,2,7:14.0,,Turnover by T. Evans (lost ball; steal by I. Whitehead),49,40
152,2,7:10.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by I. Whitehead),,51,40
153,2,7:07.0,,New Orleans full timeout,51,40
154,2,7:07.0,,S. Hill enters the game for L. Galloway,51,40
155,2,7:07.0,,J. Holiday enters the game for T. Evans,51,40
156,2,6:53.0,,A. Davis makes 2-pt jump shot from 5 ft (assist by J. Holiday),51,42
157,2,6:32.0,I. Whitehead misses 3-pt jump shot from 25 ft (block by A. Davis),,51,42
158,2,6:30.0,,Defensive rebound by D. Cunningham,51,42
159,2,6:21.0,,S. Hill misses 2-pt layup from 3 ft,51,42
160,2,6:20.0,Defensive rebound by R. Foye,,51,42
161,2,6:04.0,R. Foye misses 2-pt jump shot from 21 ft,,51,42
162,2,6:03.0,Offensive rebound by Q. Acy,,51,42
163,2,6:02.0,Q. Acy makes 2-pt layup from 2 ft,,53,42
164,2,5:50.0,,Turnover by J. Holiday (lost ball; steal by R. Hollis-Jefferson),53,42
165,2,5:42.0,Shooting block foul by E. Moore (drawn by Q. Acy),,53,42
166,2,5:42.0,Q. Acy makes free throw 1 of 2,,54,42
167,2,5:42.0,S. Dinwiddie enters the game for B. Bogdanović,,54,42
168,2,5:42.0,J. Harris enters the game for R. Foye,,54,42
169,2,5:42.0,C. LeVert enters the game for I. Whitehead,,54,42
170,2,5:42.0,,T. Evans enters the game for E. Moore,54,42
171,2,5:42.0,Q. Acy makes free throw 2 of 2,,55,42
172,2,5:22.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by S. Hill),55,44
173,2,5:19.0,Brooklyn full timeout,,55,44
174,2,5:19.0,R. Foye enters the game for J. Harris,,55,44
175,2,5:19.0,J. Hamilton enters the game for R. Hollis-Jefferson,,55,44
176,2,5:06.0,Turnover by S. Dinwiddie (lost ball; steal by J. Holiday),,55,44
177,2,4:53.0,,T. Evans misses 2-pt layup from 1 ft,55,44
178,2,4:50.0,Defensive rebound by C. LeVert,,55,44
179,2,4:29.0,S. Dinwiddie makes 2-pt dunk at rim (assist by C. LeVert),,57,44
180,2,4:10.0,,A. Davis makes 2-pt layup from 2 ft,57,46
181,2,3:40.0,R. Foye makes 2-pt jump shot from 4 ft,,59,46
182,2,3:31.0,,T. Evans misses 3-pt jump shot from 27 ft,59,46
183,2,3:29.0,Defensive rebound by S. Dinwiddie,,59,46
184,2,3:20.0,S. Dinwiddie misses 2-pt layup from 2 ft,,59,46
185,2,3:19.0,,Defensive rebound by A. Davis,59,46
186,2,3:05.0,,T. Evans makes 2-pt layup from 1 ft (assist by A. Davis),59,48
187,2,2:48.0,Turnover by C. LeVert (bad pass; steal by T. Evans),,59,48
188,2,2:45.0,,Shooting foul by S. Dinwiddie (drawn by T. Evans),59,48
189,2,2:45.0,,T. Evans makes free throw 1 of 2,59,49
190,2,2:45.0,,T. Evans misses free throw 2 of 2,59,49
191,2,2:45.0,B. Lopez enters the game for R. Foye,,59,49
192,2,2:45.0,I. Whitehead enters the game for Q. Acy,,59,49
193,2,2:44.0,Defensive rebound by J. Hamilton,,59,49
194,2,2:36.0,Offensive foul by S. Dinwiddie (drawn by S. Hill),,59,49
195,2,2:36.0,Turnover by S. Dinwiddie (offensive foul),,59,49
196,2,2:23.0,,J. Holiday misses 2-pt layup from 2 ft,59,49
197,2,2:22.0,,Offensive rebound by J. Holiday,59,49
198,2,2:22.0,,J. Holiday misses 2-pt layup from 1 ft,59,49
199,2,2:18.0,,Offensive rebound by A. Davis,59,49
200,2,2:18.0,,A. Davis makes 2-pt dunk at rim,59,51
201,2,2:11.0,Personal foul by A. Davis (drawn by B. Lopez),,59,51
202,2,2:11.0,B. Lopez makes free throw 1 of 2,,60,51
203,2,2:11.0,B. Lopez makes free throw 2 of 2,,61,51
204,2,2:05.0,,Personal foul by C. LeVert (drawn by J. Holiday),61,51
205,2,2:05.0,,T. Jones enters the game for T. Evans,61,51
206,2,1:54.0,,A. Davis misses 2-pt jump shot from 4 ft (block by B. Lopez),61,51
