,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
227,3,10:41.0,Defensive rebound by C. Capela,,61,67
228,3,10:39.0,E. Gordon misses 2-pt layup from 2 ft,,61,67
229,3,10:36.0,,Defensive rebound by J. Smith,61,67
230,3,10:30.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),61,70
231,3,10:14.0,K. McDaniels misses 3-pt jump shot from 25 ft,,61,70
232,3,10:13.0,,Defensive rebound by K. Irving,61,70
233,3,10:12.0,,Turnover by K. Irving (bad pass),61,70
234,3,9:55.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,64,70
235,3,9:36.0,,J. Smith misses 3-pt jump shot from 26 ft,64,70
236,3,9:36.0,,Offensive rebound by T. Thompson,64,70
237,3,9:32.0,,Turnover by K. Irving (lost ball),64,70
238,3,9:24.0,Shooting foul by T. Thompson (drawn by C. Capela),,64,70
239,3,9:24.0,C. Capela makes free throw 1 of 2,,65,70
240,3,9:24.0,C. Capela makes free throw 2 of 2,,66,70
241,3,8:57.0,,L. James misses 3-pt jump shot from 26 ft,66,70
242,3,8:56.0,,Offensive rebound by T. Thompson,66,70
243,3,8:47.0,,K. Irving misses 2-pt jump shot from 4 ft,66,70
244,3,8:46.0,Defensive rebound by J. Harden,,66,70
245,3,8:37.0,K. McDaniels makes 2-pt layup at rim (assist by J. Harden),,68,70
246,3,8:37.0,,Cleveland full timeout,68,70
247,3,8:18.0,,K. Love misses 3-pt jump shot from 23 ft,68,70
248,3,8:17.0,Defensive rebound by E. Gordon,,68,70
249,3,8:10.0,J. Harden makes 3-pt jump shot from 26 ft (assist by E. Gordon),,71,70
250,3,7:49.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),71,73
251,3,7:36.0,K. McDaniels misses 2-pt layup from 3 ft (block by T. Thompson),,71,73
252,3,7:36.0,Offensive rebound by Team,,71,73
253,3,7:36.0,Personal foul by J. Smith (drawn by R. Anderson),,71,73
254,3,7:25.0,E. Gordon misses 3-pt jump shot from 25 ft,,71,73
255,3,7:25.0,,Defensive rebound by K. Love,71,73
256,3,7:20.0,,L. James makes 2-pt layup from 3 ft,71,75
257,3,7:20.0,Violation by K. McDaniels (def goaltending),,71,75
258,3,7:06.0,K. McDaniels misses 3-pt jump shot from 23 ft,,71,75
259,3,7:06.0,Offensive rebound by C. Capela,,71,75
260,3,7:03.0,C. Capela misses 2-pt jump shot from 5 ft,,71,75
261,3,7:00.0,,Defensive rebound by L. James,71,75
262,3,6:54.0,,J. Smith misses 3-pt jump shot from 26 ft,71,75
263,3,6:51.0,Defensive rebound by R. Anderson,,71,75
264,3,6:44.0,K. McDaniels makes 2-pt dunk at rim (assist by J. Harden),,73,75
265,3,6:31.0,,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),73,78
266,3,6:07.0,K. McDaniels misses 2-pt layup from 2 ft (block by K. Love),,73,78
267,3,6:05.0,,Defensive rebound by L. James,73,78
268,3,5:57.0,,K. Irving misses 2-pt layup from 2 ft (block by C. Capela),73,78
269,3,5:57.0,,Offensive rebound by Team,73,78
270,3,5:52.0,,J. Smith misses 3-pt jump shot from 25 ft,73,78
271,3,5:50.0,,Offensive rebound by T. Thompson,73,78
272,3,5:43.0,,Turnover by L. James (traveling),73,78
273,3,5:30.0,R. Anderson misses 3-pt jump shot from 26 ft,,73,78
274,3,5:28.0,,Defensive rebound by K. Love,73,78
275,3,5:05.0,,K. Love misses 2-pt jump shot from 6 ft,73,78
276,3,5:03.0,Defensive rebound by C. Capela,,73,78
277,3,5:02.0,Shooting foul by T. Thompson (drawn by J. Harden),,73,78
278,3,5:02.0,J. Harden makes free throw 1 of 2,,74,78
279,3,5:02.0,J. Harden misses free throw 2 of 2,,74,78
280,3,5:02.0,,R. Jefferson enters the game for K. Love,74,78
281,3,5:02.0,N. Hilário enters the game for C. Capela,,74,78
282,3,5:02.0,S. Dekker enters the game for K. McDaniels,,74,78
283,3,5:01.0,,Defensive rebound by J. Smith,74,78
284,3,4:49.0,Violation by N. Hilário (kicked ball),,74,78
285,3,4:35.0,,K. Irving misses 2-pt jump shot from 19 ft,74,78
286,3,4:35.0,Defensive rebound by Team,,74,78
287,3,4:30.0,R. Anderson misses 2-pt jump shot from 5 ft,,74,78
288,3,4:29.0,,Defensive rebound by L. James,74,78
289,3,4:21.0,,L. James misses 2-pt layup at rim,74,78
290,3,4:20.0,,Offensive rebound by T. Thompson,74,78
291,3,4:20.0,,Personal foul by R. Anderson (drawn by T. Thompson),74,78
292,3,4:09.0,,Personal foul by E. Gordon (drawn by K. Irving),74,78
293,3,4:09.0,C. Brewer enters the game for E. Gordon,,74,78
294,3,3:55.0,,J. Smith misses 3-pt jump shot from 24 ft,74,78
295,3,3:55.0,,Offensive rebound by Team,74,78
296,3,3:55.0,Loose ball foul by S. Dekker (drawn by R. Jefferson),,74,78
297,3,3:55.0,,R. Jefferson makes free throw 1 of 2,74,79
298,3,3:55.0,,C. Frye enters the game for T. Thompson,74,79
299,3,3:55.0,,R. Jefferson makes free throw 2 of 2,74,80
300,3,3:29.0,S. Dekker misses 3-pt jump shot from 25 ft,,74,80
301,3,3:29.0,Offensive rebound by J. Harden,,74,80
302,3,3:29.0,Personal foul by L. James (drawn by J. Harden),,74,80
303,3,3:29.0,,I. Shumpert enters the game for K. Irving,74,80
304,3,3:15.0,C. Brewer makes 2-pt layup from 3 ft (assist by N. Hilário),,76,80
305,3,3:00.0,,Personal foul by N. Hilário (drawn by L. James),76,80
306,3,3:00.0,,L. James misses free throw 1 of 2,76,80
307,3,3:00.0,,Offensive rebound by Team,76,80
308,3,3:00.0,T. Ariza enters the game for R. Anderson,,76,80
309,3,3:00.0,,L. James makes free throw 2 of 2,76,81
