,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
331,4,9:10.0,,Turnover by D. Williams (bad pass; steal by K. Oubre),105,98
332,4,9:05.0,K. Oubre makes 2-pt layup from 1 ft (assist by B. Beal),,107,98
333,4,9:05.0,,Cleveland full timeout,107,98
334,4,8:43.0,,Personal foul by K. Oubre (drawn by R. Jefferson),107,98
335,4,8:40.0,,Personal foul by J. Smith (drawn by L. James),107,98
336,4,8:36.0,,Shooting foul by J. Smith (drawn by R. Jefferson),107,98
337,4,8:36.0,,R. Jefferson makes free throw 1 of 2,107,99
338,4,8:36.0,,R. Jefferson misses free throw 2 of 2,107,99
339,4,8:34.0,Defensive rebound by J. Smith,,107,99
340,4,8:17.0,Turnover by B. Beal (traveling),,107,99
341,4,8:10.0,,R. Jefferson makes 2-pt dunk at rim (assist by L. James),107,101
342,4,8:10.0,Washington full timeout,,107,101
343,4,8:10.0,Technical foul by B. Beal,,107,101
344,4,8:10.0,J. Wall enters the game for B. Jennings,,107,101
345,4,8:10.0,,K. Korver makes technical free throw,107,102
346,4,7:49.0,Shooting foul by L. James (drawn by B. Beal),,107,102
347,4,7:49.0,B. Beal makes free throw 1 of 2,,108,102
348,4,7:49.0,,K. Irving enters the game for R. Jefferson,108,102
349,4,7:49.0,B. Beal makes free throw 2 of 2,,109,102
350,4,7:38.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by K. Irving),109,105
351,4,7:14.0,M. Morris misses 2-pt dunk at rim,,109,105
352,4,7:13.0,,Defensive rebound by L. James,109,105
353,4,7:02.0,,K. Irving misses 2-pt jump shot from 10 ft,109,105
354,4,7:00.0,Defensive rebound by M. Morris,,109,105
355,4,6:57.0,Shooting foul by K. Korver (drawn by J. Wall),,109,105
356,4,6:57.0,,Violation by Team (jump ball),109,105
357,4,6:57.0,Violation by Team (jump ball),,109,105
358,4,6:57.0,J. Wall makes free throw 1 of 2,,110,105
359,4,6:57.0,O. Porter enters the game for J. Smith,,110,105
360,4,6:57.0,J. Wall makes free throw 2 of 2,,111,105
361,4,6:42.0,,J. Smith misses 3-pt jump shot from 24 ft,111,105
362,4,6:42.0,,Offensive rebound by Team,111,105
363,4,6:42.0,Loose ball foul by O. Porter (drawn by L. James),,111,105
364,4,6:25.0,,K. Irving misses 3-pt jump shot from 25 ft,111,105
365,4,6:25.0,Defensive rebound by B. Beal,,111,105
366,4,6:07.0,J. Wall misses 2-pt jump shot from 20 ft,,111,105
367,4,6:07.0,Offensive rebound by K. Oubre,,111,105
368,4,6:06.0,K. Oubre makes 2-pt layup from 2 ft,,113,105
369,4,5:41.0,,L. James misses 3-pt jump shot from 25 ft,113,105
370,4,5:41.0,Defensive rebound by J. Wall,,113,105
371,4,5:31.0,M. Morris misses 2-pt jump shot from 14 ft,,113,105
372,4,5:29.0,Offensive rebound by K. Oubre,,113,105
373,4,5:29.0,K. Oubre makes 2-pt layup from 1 ft,,115,105
374,4,5:29.0,,Cleveland full timeout,115,105
375,4,5:29.0,,T. Thompson enters the game for J. Smith,115,105
376,4,5:29.0,,K. Love enters the game for D. Williams,115,105
377,4,5:15.0,,L. James misses 2-pt layup from 3 ft (block by J. Wall),115,105
378,4,5:13.0,,Offensive rebound by L. James,115,105
379,4,5:08.0,,L. James makes 2-pt layup from 1 ft,115,107
380,4,4:51.0,M. Morris makes 2-pt dunk at rim (assist by J. Wall),,117,107
381,4,4:34.0,,K. Irving misses 2-pt jump shot from 15 ft,117,107
382,4,4:33.0,Defensive rebound by O. Porter,,117,107
383,4,4:19.0,Shooting foul by K. Love (drawn by M. Morris),,117,107
384,4,4:19.0,M. Morris makes free throw 1 of 2,,118,107
385,4,4:19.0,M. Morris makes free throw 2 of 2,,119,107
386,4,4:08.0,,Shooting foul by J. Wall (drawn by K. Irving),119,107
387,4,4:08.0,,K. Irving makes free throw 1 of 2,119,108
388,4,4:08.0,,K. Irving makes free throw 2 of 2,119,109
