,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
269,3,6:30.0,M. Chriss misses 2-pt jump shot from 8 ft,,56,70
270,3,6:28.0,,Defensive rebound by L. James,56,70
271,3,6:28.0,,Personal foul by M. Chriss (drawn by L. James),56,70
272,3,6:21.0,,Turnover by J. Jones (bad pass; steal by E. Bledsoe),56,70
273,3,6:16.0,E. Bledsoe misses 2-pt layup from 1 ft (block by L. James),,56,70
274,3,6:13.0,Offensive rebound by D. Booker,,56,70
275,3,6:07.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,56,70
276,3,6:06.0,Offensive rebound by T. Warren,,56,70
277,3,6:02.0,T. Warren makes 2-pt layup from 2 ft,,58,70
278,3,5:52.0,,I. Shumpert makes 3-pt jump shot from 25 ft,58,73
279,3,5:30.0,Shooting foul by J. Jones (drawn by T. Warren),,58,73
280,3,5:30.0,T. Warren makes free throw 1 of 2,,59,73
281,3,5:30.0,T. Warren makes free throw 2 of 2,,60,73
282,3,5:19.0,,K. Irving misses 2-pt layup from 1 ft,60,73
283,3,5:19.0,Defensive rebound by Team,,60,73
284,3,5:11.0,E. Bledsoe misses 2-pt jump shot from 15 ft,,60,73
285,3,5:09.0,,Defensive rebound by T. Thompson,60,73
286,3,5:02.0,,J. Jones makes 3-pt jump shot from 25 ft (assist by L. James),60,76
287,3,4:49.0,Shooting foul by I. Shumpert (drawn by D. Booker),,60,76
288,3,4:49.0,D. Booker makes free throw 1 of 2,,61,76
289,3,4:49.0,P. Tucker enters the game for M. Chriss,,61,76
290,3,4:49.0,D. Booker makes free throw 2 of 2,,62,76
291,3,4:33.0,,T. Thompson misses 2-pt hook shot from 8 ft,62,76
292,3,4:33.0,,Offensive rebound by Team,62,76
293,3,4:28.0,,L. James misses 2-pt layup from 2 ft (block by T. Warren),62,76
294,3,4:26.0,,Offensive rebound by Team,62,76
295,3,4:26.0,,C. Frye enters the game for T. Thompson,62,76
296,3,4:14.0,,I. Shumpert makes 2-pt layup from 1 ft,62,78
297,3,4:11.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,62,78
298,3,4:10.0,Offensive rebound by T. Chandler,,62,78
299,3,4:04.0,E. Bledsoe misses 2-pt layup from 1 ft,,62,78
300,3,4:01.0,Offensive rebound by T. Chandler,,62,78
301,3,4:01.0,T. Chandler makes 2-pt layup at rim,,64,78
302,3,3:57.0,,L. James misses 3-pt jump shot from 25 ft,64,78
303,3,3:57.0,Defensive rebound by Team,,64,78
304,3,3:57.0,,Loose ball foul by J. Jones (drawn by T. Chandler),64,78
305,3,3:57.0,T. Chandler makes free throw 1 of 2,,65,78
306,3,3:57.0,T. Chandler misses free throw 2 of 2,,65,78
307,3,3:56.0,,Defensive rebound by C. Frye,65,78
308,3,3:38.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by J. Jones),65,81
309,3,3:17.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,65,81
310,3,3:17.0,Offensive rebound by Team,,65,81
311,3,3:17.0,D. Bender enters the game for T. Chandler,,65,81
312,3,3:10.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by D. Bender),,67,81
313,3,3:10.0,Shooting foul by C. Frye (drawn by E. Bledsoe),,67,81
314,3,3:10.0,E. Bledsoe makes free throw 1 of 1,,68,81
315,3,2:54.0,,K. Irving makes 2-pt layup from 1 ft,68,83
316,3,2:40.0,E. Bledsoe makes 2-pt jump shot from 5 ft,,70,83
317,3,2:31.0,,C. Frye misses 3-pt jump shot from 26 ft,70,83
318,3,2:30.0,Defensive rebound by P. Tucker,,70,83
319,3,2:23.0,Personal foul by J. Jones (drawn by E. Bledsoe),,70,83
320,3,2:23.0,E. Bledsoe makes free throw 1 of 2,,71,83
321,3,2:23.0,,K. Korver enters the game for J. Jones,71,83
322,3,2:23.0,,R. Jefferson enters the game for L. James,71,83
323,3,2:23.0,E. Bledsoe makes free throw 2 of 2,,72,83
324,3,2:10.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by R. Jefferson),72,86
325,3,1:50.0,D. Bender misses 3-pt jump shot from 24 ft,,72,86
326,3,1:49.0,Offensive rebound by T. Warren,,72,86
327,3,1:49.0,Shooting foul by R. Jefferson (drawn by T. Warren),,72,86
328,3,1:49.0,T. Warren misses free throw 1 of 2,,72,86
329,3,1:49.0,Offensive rebound by Team,,72,86
330,3,1:49.0,T. Warren misses free throw 2 of 2,,72,86
331,3,1:48.0,,Defensive rebound by K. Korver,72,86
332,3,1:34.0,,K. Irving makes 3-pt jump shot from 26 ft,72,89
333,3,1:17.0,D. Bender misses 3-pt jump shot from 25 ft,,72,89
334,3,1:16.0,Offensive rebound by E. Bledsoe,,72,89
335,3,1:10.0,Shooting foul by I. Shumpert (drawn by E. Bledsoe),,72,89
336,3,1:10.0,E. Bledsoe makes free throw 1 of 3,,73,89
337,3,1:10.0,E. Bledsoe makes free throw 2 of 3,,74,89
338,3,1:10.0,E. Bledsoe misses free throw 3 of 3,,74,89
339,3,1:10.0,,D. Liggins enters the game for I. Shumpert,74,89
340,3,1:08.0,,Defensive rebound by K. Korver,74,89
341,3,0:55.0,,K. Irving misses 2-pt layup from 1 ft,74,89
342,3,0:53.0,,Offensive rebound by C. Frye,74,89
343,3,0:47.0,,K. Irving misses 3-pt jump shot from 24 ft,74,89
344,3,0:46.0,Defensive rebound by P. Tucker,,74,89
345,3,0:32.0,T. Warren makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,76,89
346,3,0:13.0,,Personal foul by P. Tucker (drawn by C. Frye),76,89
347,3,0:00.0,,D. Liggins misses 2-pt jump shot from 15 ft,76,89
348,3,0:00.0,,Offensive rebound by Team,76,89
349,4,11:42.0,T. Warren misses 3-pt jump shot from 23 ft,,76,89
350,4,11:41.0,,Defensive rebound by L. James,76,89
351,4,11:37.0,,Shooting foul by T. Ulis (drawn by L. James),76,89
352,4,11:37.0,,L. James makes free throw 1 of 2,76,90
353,4,11:37.0,,L. James makes free throw 2 of 2,76,91
354,4,11:21.0,T. Ulis misses 3-pt jump shot from 26 ft,,76,91
355,4,11:20.0,,Defensive rebound by C. Frye,76,91
356,4,11:08.0,,Personal foul by D. Bender (drawn by R. Jefferson),76,91
357,4,10:59.0,,L. James makes 2-pt dunk at rim (assist by D. Liggins),76,93
358,4,10:48.0,Shooting foul by D. Liggins (drawn by D. Booker),,76,93
359,4,10:48.0,D. Booker makes free throw 1 of 2,,77,93
360,4,10:48.0,D. Booker makes free throw 2 of 2,,78,93
361,4,10:38.0,,Personal foul by D. Bender (drawn by R. Jefferson),78,93
362,4,10:31.0,,C. Frye misses 3-pt jump shot from 25 ft,78,93
363,4,10:31.0,Defensive rebound by D. Booker,,78,93
364,4,10:26.0,D. Booker misses 2-pt layup from 1 ft (block by L. James),,78,93
365,4,10:26.0,Offensive rebound by Team,,78,93
