,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
283,3,3:35.0,,C. Paul misses 2-pt jump shot from 16 ft,61,68
284,3,3:34.0,Defensive rebound by L. Aldridge,,61,68
285,3,3:29.0,Personal foul by C. Paul,,61,68
286,3,3:29.0,P. Mills makes free throw 1 of 2,,62,68
287,3,3:29.0,P. Mills misses free throw 2 of 2,,62,68
288,3,3:29.0,,M. Speights enters the game for D. Jordan,62,68
289,3,3:29.0,,R. Felton enters the game for C. Paul,62,68
290,3,3:29.0,,J. Crawford enters the game for J. Redick,62,68
291,3,3:29.0,T. Parker enters the game for K. Anderson,,62,68
292,3,3:28.0,Offensive rebound by M. Ginóbili,,62,68
293,3,3:27.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,62,68
294,3,3:24.0,Offensive rebound by Team,,62,68
295,3,3:12.0,Shooting foul by J. Crawford (drawn by M. Ginóbili),,62,68
296,3,3:12.0,M. Ginóbili makes 2-pt layup from 2 ft (assist by P. Gasol),,64,68
297,3,3:12.0,M. Ginóbili makes free throw 1 of 1,,65,68
298,3,2:57.0,,A. Rivers misses 3-pt jump shot from 24 ft,65,68
299,3,2:56.0,Defensive rebound by P. Gasol,,65,68
300,3,2:53.0,Personal foul by A. Rivers (drawn by T. Parker),,65,68
301,3,2:53.0,,LA Clippers full timeout,65,68
302,3,2:53.0,T. Parker makes free throw 1 of 2,,66,68
303,3,2:53.0,D. Lee enters the game for L. Aldridge,,65,68
304,3,2:53.0,T. Parker makes free throw 2 of 2,,67,68
305,3,2:37.0,,M. Speights misses 2-pt hook shot from 6 ft,67,68
306,3,2:36.0,Defensive rebound by P. Gasol,,67,68
307,3,2:20.0,P. Mills misses 3-pt jump shot from 24 ft,,67,68
308,3,2:19.0,Offensive rebound by M. Ginóbili,,67,68
309,3,2:12.0,P. Mills makes 2-pt jump shot from 10 ft (assist by T. Parker),,69,68
310,3,1:50.0,,A. Rivers makes 2-pt layup from 2 ft,69,70
311,3,1:35.0,T. Parker misses 2-pt layup from 2 ft (block by M. Speights),,69,70
312,3,1:34.0,,Defensive rebound by B. Griffin,69,70
313,3,1:29.0,,Personal foul by P. Gasol (drawn by A. Rivers),69,70
314,3,1:29.0,,A. Rivers makes free throw 1 of 2,69,71
315,3,1:29.0,,A. Rivers misses free throw 2 of 2,69,71
316,3,1:29.0,D. Dedmon enters the game for P. Gasol,,69,71
317,3,1:29.0,,B. Bass enters the game for B. Griffin,69,71
318,3,1:28.0,Defensive rebound by D. Dedmon,,69,71
319,3,1:15.0,P. Mills makes 2-pt jump shot from 22 ft,,71,71
320,3,1:15.0,Shooting foul by A. Rivers (drawn by P. Mills),,71,71
321,3,1:15.0,P. Mills makes free throw 1 of 1,,72,71
322,3,0:58.0,,M. Speights misses 3-pt jump shot from 25 ft,72,71
323,3,0:58.0,Defensive rebound by T. Parker,,72,71
324,3,0:50.0,D. Lee misses 2-pt jump shot from 14 ft,,72,71
325,3,0:47.0,,Defensive rebound by B. Bass,72,71
326,3,0:42.0,,Shooting foul by D. Dedmon (drawn by A. Rivers),72,71
327,3,0:42.0,,A. Rivers makes free throw 1 of 2,72,72
328,3,0:42.0,,A. Rivers makes free throw 2 of 2,72,73
329,3,0:32.0,T. Parker makes 2-pt layup from 2 ft,,74,73
330,3,0:13.0,,A. Rivers misses 3-pt jump shot from 25 ft,74,73
331,3,0:12.0,Defensive rebound by D. Lee,,74,73
332,3,0:02.0,M. Ginóbili makes 3-pt jump shot from 25 ft,,77,73
333,3,0:00.0,,A. Rivers misses 3-pt jump shot from 30 ft,77,73
334,3,0:00.0,,Offensive rebound by Team,77,73
335,4,11:38.0,,B. Bass misses 2-pt layup from 2 ft (block by D. Dedmon),77,73
336,4,11:37.0,Defensive rebound by D. Lee,,77,73
337,4,11:15.0,D. Lee misses 2-pt layup from 2 ft,,77,73
338,4,11:15.0,Offensive rebound by D. Lee,,77,73
339,4,11:11.0,D. Lee makes 2-pt layup from 1 ft,,79,73
340,4,11:00.0,,J. Redick misses 3-pt jump shot from 24 ft,79,73
341,4,10:59.0,Defensive rebound by D. Dedmon,,79,73
342,4,10:42.0,D. Dedmon makes 2-pt dunk at rim (assist by M. Ginóbili),,81,73
343,4,10:41.0,,LA Clippers full timeout,81,73
344,4,10:23.0,,R. Felton misses 2-pt jump shot from 5 ft (block by D. Dedmon),81,73
345,4,10:21.0,Defensive rebound by D. Lee,,81,73
346,4,10:17.0,T. Parker misses 2-pt layup from 1 ft,,81,73
347,4,10:15.0,Offensive rebound by M. Ginóbili,,81,73
348,4,10:12.0,D. Green misses 3-pt jump shot from 25 ft,,81,73
349,4,10:12.0,Offensive rebound by Team,,81,73
350,4,10:12.0,Personal foul by M. Speights (drawn by D. Lee),,81,73
351,4,10:12.0,,D. Jordan enters the game for R. Felton,81,73
352,4,10:12.0,,C. Paul enters the game for B. Bass,81,73
353,4,10:12.0,,B. Griffin enters the game for M. Speights,81,73
354,4,10:12.0,K. Leonard enters the game for D. Green,,81,73
355,4,10:12.0,L. Aldridge enters the game for D. Lee,,81,73
356,4,10:12.0,,L. Mbah a Moute enters the game for J. Crawford,81,73
357,4,10:02.0,K. Leonard misses 3-pt jump shot from 25 ft,,81,73
358,4,10:01.0,,Defensive rebound by J. Redick,81,73
359,4,9:47.0,,J. Redick misses 2-pt jump shot from 6 ft,81,73
360,4,9:46.0,Defensive rebound by D. Dedmon,,81,73
361,4,9:31.0,T. Parker misses 3-pt jump shot from 24 ft,,81,73
362,4,9:30.0,,Defensive rebound by D. Jordan,81,73
363,4,9:18.0,,Turnover by B. Griffin (lost ball; steal by L. Aldridge),81,73
364,4,9:18.0,Personal take foul by C. Paul (drawn by T. Parker),,81,73
365,4,9:18.0,D. Green enters the game for M. Ginóbili,,81,73
366,4,9:18.0,Violation by Team (jump ball),,81,73
367,4,9:03.0,Turnover by L. Aldridge (traveling),,81,73
368,4,8:52.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),81,75
369,4,8:33.0,D. Green misses 2-pt layup from 1 ft,,81,75
370,4,8:33.0,Offensive rebound by L. Aldridge,,81,75
371,4,8:28.0,L. Aldridge makes 2-pt hook shot from 6 ft,,83,75
372,4,8:10.0,,Turnover by C. Paul (lost ball; steal by T. Parker),83,75
373,4,8:05.0,T. Parker makes 2-pt layup from 1 ft,,85,75
374,4,7:51.0,,Personal foul by D. Dedmon (drawn by B. Griffin),85,75
375,4,7:51.0,,B. Griffin makes free throw 1 of 2,85,76
376,4,7:51.0,,B. Griffin makes free throw 2 of 2,85,77
377,4,7:41.0,Turnover by K. Leonard (lost ball; steal by C. Paul),,85,77
378,4,7:36.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),85,79
379,4,7:34.0,San Antonio full timeout,,85,79
380,4,7:34.0,P. Mills enters the game for T. Parker,,85,79
381,4,7:15.0,K. Leonard misses 2-pt jump shot from 20 ft,,85,79
