,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHARLOTTE_ACTION,MEMPHIS_SCORE,CHARLOTTE_SCORE
160,2,5:50.0,Turnover by M. Gasol (traveling),,46,39
161,2,5:38.0,,Turnover by S. Hawes (bad pass; steal by V. Carter),46,39
162,2,5:30.0,T. Allen misses 2-pt layup from 1 ft (block by F. Kaminsky),,46,39
163,2,5:28.0,,Defensive rebound by M. Belinelli,46,39
164,2,5:20.0,,M. Belinelli misses 2-pt layup from 2 ft (block by T. Allen),46,39
165,2,5:18.0,Defensive rebound by M. Gasol,,46,39
166,2,5:05.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by V. Carter),,49,39
167,2,4:43.0,,S. Hawes misses 2-pt jump shot from 14 ft (block by M. Gasol),49,39
168,2,4:41.0,Defensive rebound by V. Carter,,49,39
169,2,4:34.0,M. Conley makes 3-pt jump shot from 24 ft,,52,39
170,2,4:29.0,,Charlotte full timeout,52,39
171,2,4:12.0,,F. Kaminsky misses 2-pt layup from 2 ft,52,39
172,2,4:11.0,Defensive rebound by T. Allen,,52,39
173,2,3:58.0,T. Allen makes 2-pt layup at rim (assist by J. Green),,54,39
174,2,3:33.0,,K. Walker misses 2-pt layup from 1 ft (block by M. Gasol),54,39
175,2,3:31.0,Defensive rebound by M. Gasol,,54,39
176,2,3:15.0,T. Allen makes 3-pt jump shot from 23 ft (assist by V. Carter),,57,39
177,2,3:00.0,,K. Walker makes 2-pt jump shot from 17 ft,57,41
178,2,2:38.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,59,41
179,2,2:38.0,Shooting foul by S. Hawes (drawn by M. Gasol),,59,41
180,2,2:38.0,Official timeout,,59,41
181,2,2:38.0,,M. Williams enters the game for M. Belinelli,59,41
182,2,2:38.0,,M. Kidd-Gilchrist enters the game for F. Kaminsky,59,41
183,2,2:38.0,M. Gasol makes free throw 1 of 1,,60,41
184,2,2:24.0,,S. Hawes misses 2-pt layup from 2 ft (block by J. Green),60,41
185,2,2:22.0,Defensive rebound by M. Conley,,60,41
186,2,2:04.0,M. Conley misses 3-pt jump shot from 25 ft,,60,41
187,2,2:01.0,Offensive rebound by Team,,60,41
188,2,1:54.0,V. Carter misses 3-pt jump shot from 25 ft,,60,41
189,2,1:52.0,,Defensive rebound by M. Kidd-Gilchrist,60,41
190,2,1:41.0,,K. Walker misses 2-pt jump shot from 18 ft,60,41
191,2,1:40.0,Defensive rebound by J. Green,,60,41
192,2,1:32.0,Turnover by M. Gasol (lost ball; steal by N. Batum),,60,41
193,2,1:28.0,,Turnover by S. Hawes (lost ball; steal by M. Conley),60,41
194,2,1:19.0,T. Allen makes 2-pt jump shot from 21 ft (assist by M. Gasol),,62,41
195,2,1:05.0,,N. Batum misses 3-pt jump shot from 25 ft,62,41
196,2,1:04.0,Defensive rebound by M. Gasol,,62,41
197,2,0:56.0,Shooting foul by S. Hawes (drawn by M. Conley),,62,41
198,2,0:56.0,M. Conley makes free throw 1 of 2,,63,41
199,2,0:56.0,M. Conley makes free throw 2 of 2,,64,41
200,2,0:41.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),64,44
201,2,0:33.0,M. Gasol misses 2-pt layup from 1 ft (block by S. Hawes),,64,44
202,2,0:33.0,Offensive rebound by Team,,64,44
203,2,0:31.0,M. Conley misses 2-pt jump shot from 20 ft,,64,44
204,2,0:31.0,Offensive rebound by Team,,64,44
205,2,0:31.0,,Loose ball foul by M. Williams (drawn by J. Green),64,44
206,2,0:31.0,J. Green makes free throw 1 of 2,,65,44
207,2,0:31.0,J. Green makes free throw 2 of 2,,66,44
208,2,0:12.0,,Shooting foul by J. Green (drawn by K. Walker),66,44
209,2,0:12.0,,K. Walker misses free throw 1 of 2,66,44
210,2,0:12.0,,Offensive rebound by Team,66,44
211,2,0:12.0,,M. Belinelli enters the game for S. Hawes,66,44
212,2,0:12.0,T. Daniels enters the game for T. Allen,,66,44
213,2,0:12.0,,K. Walker makes free throw 2 of 2,66,45
214,2,0:03.0,M. Conley makes 3-pt jump shot from 27 ft,,69,45
215,2,0:00.0,,K. Walker misses 3-pt jump shot from 46 ft,69,45
216,2,0:00.0,,Offensive rebound by Team,69,45
217,3,11:44.0,,Turnover by N. Batum (bad pass),69,45
218,3,11:34.0,Turnover by M. Gasol (traveling),,69,45
219,3,11:19.0,,S. Hawes misses 2-pt jump shot from 18 ft,69,45
220,3,11:18.0,Defensive rebound by J. Green,,69,45
221,3,11:07.0,M. Conley makes 2-pt jump shot from 12 ft,,71,45
222,3,10:41.0,,K. Walker misses 3-pt jump shot from 31 ft,71,45
223,3,10:41.0,,Offensive rebound by Team,71,45
224,3,10:41.0,,Turnover by Team (shot clock),71,45
225,3,10:25.0,M. Gasol misses 2-pt jump shot from 15 ft,,71,45
226,3,10:23.0,,Defensive rebound by M. Williams,71,45
227,3,10:14.0,,K. Walker misses 3-pt jump shot from 25 ft,71,45
228,3,10:14.0,Defensive rebound by Team,,71,45
229,3,9:59.0,T. Allen misses 3-pt jump shot from 24 ft,,71,45
230,3,9:58.0,,Defensive rebound by S. Hawes,71,45
231,3,9:42.0,,Shooting foul by V. Carter (drawn by K. Walker),71,45
232,3,9:42.0,,K. Walker makes free throw 1 of 2,71,46
233,3,9:42.0,,K. Walker makes free throw 2 of 2,71,47
234,3,9:26.0,M. Gasol misses 2-pt hook shot from 6 ft,,71,47
235,3,9:25.0,,Defensive rebound by S. Hawes,71,47
236,3,9:14.0,,M. Williams misses 3-pt jump shot from 25 ft,71,47
237,3,9:13.0,,Offensive rebound by S. Hawes,71,47
238,3,9:09.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by S. Hawes),71,50
239,3,9:09.0,Memphis full timeout,,71,50
240,3,8:58.0,Shooting foul by N. Batum (drawn by V. Carter),,71,50
241,3,8:58.0,V. Carter misses free throw 1 of 2,,71,50
242,3,8:58.0,Offensive rebound by Team,,71,50
243,3,8:58.0,V. Carter makes free throw 2 of 2,,72,50
244,3,8:34.0,,K. Walker misses 2-pt jump shot from 19 ft,72,50
245,3,8:32.0,Defensive rebound by V. Carter,,72,50
246,3,8:19.0,,Offensive charge foul by T. Allen (drawn by M. Kidd-Gilchrist),72,50
247,3,8:19.0,Turnover by T. Allen (offensive foul),,72,50
248,3,8:05.0,,M. Williams misses 2-pt jump shot from 8 ft,72,50
249,3,8:04.0,Defensive rebound by V. Carter,,72,50
250,3,7:52.0,M. Conley misses 2-pt jump shot from 21 ft,,72,50
251,3,7:51.0,,Defensive rebound by N. Batum,72,50
252,3,7:48.0,,Shooting foul by V. Carter (drawn by M. Kidd-Gilchrist),72,50
253,3,7:48.0,,M. Kidd-Gilchrist misses free throw 1 of 2,72,50
254,3,7:48.0,,Offensive rebound by Team,72,50
255,3,7:48.0,,M. Kidd-Gilchrist misses free throw 2 of 2,72,50
256,3,7:48.0,A. Harrison enters the game for V. Carter,,72,50
257,3,7:46.0,Defensive rebound by J. Green,,72,50
258,3,7:26.0,M. Conley makes 2-pt jump shot from 18 ft (assist by A. Harrison),,74,50
259,3,7:26.0,Violation by Team (jump ball),,74,50
260,3,7:12.0,,Shooting foul by J. Green (drawn by N. Batum),74,50
261,3,7:12.0,,N. Batum misses free throw 1 of 3,74,50
262,3,7:12.0,,Offensive rebound by Team,74,50
263,3,7:12.0,,N. Batum makes free throw 2 of 3,74,51
264,3,7:12.0,,N. Batum makes free throw 3 of 3,74,52
265,3,6:54.0,M. Gasol misses 2-pt jump shot from 16 ft,,74,52
266,3,6:53.0,,Defensive rebound by K. Walker,74,52
267,3,6:45.0,,S. Hawes misses 3-pt jump shot from 25 ft,74,52
268,3,6:44.0,Defensive rebound by J. Green,,74,52
269,3,6:28.0,Shooting foul by M. Kidd-Gilchrist (drawn by M. Conley),,74,52
270,3,6:28.0,M. Conley makes free throw 1 of 2,,75,52
271,3,6:28.0,T. Williams enters the game for T. Allen,,75,52
272,3,6:28.0,M. Conley makes free throw 2 of 2,,76,52
273,3,6:15.0,,N. Batum misses 3-pt jump shot from 25 ft,76,52
274,3,6:14.0,,Offensive rebound by M. Kidd-Gilchrist,76,52
275,3,6:14.0,,M. Kidd-Gilchrist makes 2-pt layup at rim,76,54
276,3,5:59.0,M. Gasol misses 2-pt jump shot from 13 ft,,76,54
277,3,5:59.0,,Defensive rebound by N. Batum,76,54
278,3,5:53.0,,K. Walker makes 2-pt layup from 1 ft,76,56
279,3,5:40.0,M. Conley misses 2-pt jump shot from 21 ft,,76,56
280,3,5:40.0,Offensive rebound by Team,,76,56
281,3,5:40.0,Turnover by M. Conley (traveling),,76,56
282,3,5:40.0,,Charlotte full timeout,76,56
283,3,5:23.0,,Offensive foul by S. Hawes (drawn by A. Harrison),76,56
284,3,5:23.0,,Turnover by S. Hawes (offensive foul),76,56
285,3,5:06.0,M. Conley misses 2-pt layup from 2 ft,,76,56
286,3,5:05.0,,Defensive rebound by M. Kidd-Gilchrist,76,56
287,3,4:56.0,,S. Hawes makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),76,59
288,3,4:34.0,T. Williams misses 3-pt jump shot from 24 ft,,76,59
289,3,4:31.0,,Defensive rebound by S. Hawes,76,59
290,3,4:24.0,,N. Batum misses 3-pt jump shot from 26 ft,76,59
291,3,4:22.0,Defensive rebound by J. Green,,76,59
292,3,4:02.0,M. Gasol misses 2-pt jump shot from 18 ft,,76,59
293,3,4:01.0,,Defensive rebound by N. Batum,76,59
294,3,3:52.0,,K. Walker misses 3-pt jump shot from 25 ft,76,59
295,3,3:52.0,,Offensive rebound by Team,76,59
296,3,3:52.0,Loose ball foul by A. Harrison (drawn by S. Hawes),,76,59
297,3,3:52.0,,M. Belinelli enters the game for M. Kidd-Gilchrist,76,59
298,3,3:52.0,,F. Kaminsky enters the game for M. Williams,76,59
299,3,3:52.0,,R. Hibbert enters the game for S. Hawes,76,59
300,3,3:52.0,V. Carter enters the game for M. Gasol,,76,59
301,3,3:52.0,Z. Randolph enters the game for A. Harrison,,76,59
302,3,3:52.0,T. Allen enters the game for T. Williams,,76,59
303,3,3:38.0,,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by M. Belinelli),76,62
304,3,3:38.0,Memphis full timeout,,76,62
305,3,3:38.0,A. Harrison enters the game for M. Conley,,76,62
306,3,3:16.0,A. Harrison misses 2-pt layup from 2 ft (block by M. Belinelli),,76,62
307,3,3:16.0,Offensive rebound by Team,,76,62
308,3,3:13.0,Z. Randolph misses 2-pt jump shot from 17 ft,,76,62
309,3,3:10.0,Offensive rebound by V. Carter,,76,62
310,3,2:51.0,T. Allen misses 2-pt jump shot from 4 ft (block by M. Belinelli),,76,62
311,3,2:49.0,,Defensive rebound by M. Belinelli,76,62
312,3,2:44.0,,M. Belinelli makes 2-pt layup from 1 ft,76,64
313,3,2:24.0,Z. Randolph makes 2-pt jump shot from 17 ft (assist by T. Allen),,78,64
314,3,2:07.0,,N. Batum misses 3-pt jump shot from 24 ft,78,64
315,3,2:06.0,Defensive rebound by Z. Randolph,,78,64
316,3,1:54.0,V. Carter misses 2-pt layup from 1 ft,,78,64
317,3,1:52.0,,Defensive rebound by K. Walker,78,64
318,3,1:40.0,,F. Kaminsky makes 2-pt layup from 1 ft (assist by M. Belinelli),78,66
319,3,1:20.0,Personal foul by R. Hibbert (drawn by Z. Randolph),,78,66
320,3,1:20.0,,R. Sessions enters the game for K. Walker,78,66
321,3,1:06.0,T. Allen misses 2-pt layup from 3 ft (block by F. Kaminsky),,78,66
322,3,1:04.0,Offensive rebound by J. Green,,78,66
323,3,1:04.0,J. Green makes 2-pt dunk at rim,,80,66
324,3,0:49.0,,F. Kaminsky makes 2-pt jump shot from 6 ft,80,68
325,3,0:36.0,Z. Randolph makes 2-pt layup from 1 ft,,82,68
326,3,0:21.0,,F. Kaminsky makes 2-pt jump shot from 7 ft,82,70
327,3,0:21.0,,Shooting foul by J. Green (drawn by F. Kaminsky),82,70
328,3,0:21.0,,F. Kaminsky makes free throw 1 of 1,82,71
329,3,0:01.0,A. Harrison makes 2-pt layup from 2 ft,,84,71
330,4,11:39.0,V. Carter misses 3-pt jump shot from 26 ft,,84,71
331,4,11:37.0,,Defensive rebound by S. Hawes,84,71
332,4,11:17.0,,F. Kaminsky makes 2-pt layup from 1 ft,84,73
333,4,11:02.0,Z. Randolph misses 2-pt jump shot from 5 ft (block by F. Kaminsky),,84,73
334,4,11:00.0,,Defensive rebound by R. Sessions,84,73
335,4,10:53.0,M. Conley enters the game for A. Harrison,,84,73
336,4,10:43.0,,S. Hawes makes 2-pt layup from 1 ft (assist by R. Sessions),84,75
337,4,10:25.0,Turnover by M. Gasol (lost ball; steal by M. Belinelli),,84,75
338,4,10:25.0,,Personal foul by T. Allen (drawn by M. Kidd-Gilchrist),84,75
339,4,10:11.0,,M. Belinelli misses 3-pt jump shot from 25 ft,84,75
340,4,10:10.0,Defensive rebound by M. Conley,,84,75
341,4,9:57.0,Z. Randolph makes 2-pt jump shot from 5 ft (assist by M. Gasol),,86,75
342,4,9:45.0,,Personal foul by T. Allen (drawn by S. Hawes),86,75
343,4,9:35.0,,S. Hawes makes 2-pt jump shot from 15 ft (assist by M. Belinelli),86,77
344,4,9:16.0,V. Carter makes 3-pt jump shot from 25 ft (assist by M. Gasol),,89,77
345,4,8:59.0,,Shooting foul by M. Conley (drawn by M. Kidd-Gilchrist),89,77
346,4,8:59.0,Official timeout,,89,77
347,4,8:59.0,,M. Kidd-Gilchrist makes free throw 1 of 2,89,78
348,4,8:59.0,,M. Kidd-Gilchrist misses free throw 2 of 2,89,78
349,4,8:57.0,Defensive rebound by Z. Randolph,,89,78
350,4,8:37.0,V. Carter misses 3-pt jump shot from 25 ft,,89,78
351,4,8:37.0,,Defensive rebound by Team,89,78
352,4,8:37.0,Loose ball foul by Z. Randolph (drawn by F. Kaminsky),,89,78
353,4,8:23.0,,Turnover by M. Belinelli (bad pass; steal by M. Conley),89,78
354,4,8:08.0,M. Conley makes 2-pt jump shot from 11 ft,,91,78
355,4,7:55.0,,Personal foul by T. Allen (drawn by M. Belinelli),91,78
356,4,7:55.0,,M. Belinelli misses free throw 1 of 2,91,78
357,4,7:55.0,,Offensive rebound by Team,91,78
358,4,7:55.0,,M. Belinelli makes free throw 2 of 2,91,79
359,4,7:39.0,Turnover by M. Gasol (lost ball; steal by S. Hawes),,91,79
360,4,7:23.0,,Turnover by F. Kaminsky (bad pass; steal by T. Allen),91,79
361,4,6:58.0,M. Conley misses 3-pt jump shot from 25 ft,,91,79
362,4,6:56.0,,Defensive rebound by M. Belinelli,91,79
363,4,6:46.0,A. Harrison enters the game for T. Allen,,91,79
364,4,6:46.0,,K. Walker enters the game for R. Sessions,91,79
365,4,6:41.0,,Personal foul by A. Harrison (drawn by M. Belinelli),91,79
366,4,6:41.0,,M. Belinelli makes free throw 1 of 2,91,80
367,4,6:41.0,,N. Batum enters the game for M. Kidd-Gilchrist,91,80
368,4,6:41.0,,M. Belinelli makes free throw 2 of 2,91,81
369,4,6:19.0,A. Harrison misses 2-pt layup from 2 ft (block by K. Walker),,91,81
370,4,6:19.0,Offensive rebound by Team,,91,81
371,4,6:19.0,,Violation by N. Batum (kicked ball),91,81
372,4,6:12.0,Z. Randolph misses 2-pt jump shot from 21 ft,,91,81
373,4,6:10.0,,Defensive rebound by M. Belinelli,91,81
374,4,6:04.0,,M. Belinelli misses 2-pt jump shot from 5 ft (block by A. Harrison),91,81
375,4,6:02.0,Defensive rebound by Z. Randolph,,91,81
