,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
177,2,1:56.0,,Shooting foul by M. Williams (drawn by B. Ingram),54,49
178,2,1:56.0,,B. Ingram makes free throw 1 of 2,54,50
179,2,1:56.0,,B. Ingram misses free throw 2 of 2,54,50
180,2,1:55.0,Defensive rebound by F. Kaminsky,,54,50
181,2,1:51.0,F. Kaminsky makes 2-pt layup from 1 ft,,56,50
182,2,1:36.0,,D. Russell misses 2-pt jump shot from 20 ft,56,50
183,2,1:33.0,Defensive rebound by M. Williams,,56,50
184,2,1:26.0,K. Walker misses 3-pt jump shot from 26 ft,,56,50
185,2,1:25.0,,Defensive rebound by J. Randle,56,50
186,2,1:16.0,,N. Young makes 3-pt jump shot from 27 ft (assist by J. Randle),56,53
187,2,1:00.0,K. Walker makes 2-pt jump shot from 4 ft,,58,53
188,2,0:54.0,,Shooting foul by F. Kaminsky (drawn by J. Randle),58,53
189,2,0:54.0,,J. Randle makes free throw 1 of 2,58,54
190,2,0:54.0,,J. Randle makes free throw 2 of 2,58,55
191,2,0:41.0,K. Walker misses 3-pt jump shot from 27 ft,,58,55
192,2,0:38.0,,Defensive rebound by B. Ingram,58,55
193,2,0:34.0,,N. Young misses 3-pt jump shot from 23 ft,58,55
194,2,0:32.0,Defensive rebound by K. Walker,,58,55
195,2,0:12.0,N. Batum misses 3-pt jump shot from 28 ft,,58,55
196,2,0:10.0,,Defensive rebound by J. Randle,58,55
197,2,0:01.0,,D. Russell misses 3-pt jump shot from 25 ft,58,55
198,2,0:00.0,,Offensive rebound by Team,58,55
199,3,11:46.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by K. Walker),,60,55
200,3,11:40.0,Offensive charge foul by D. Russell (drawn by K. Walker),,60,55
201,3,11:40.0,,Turnover by D. Russell (offensive foul),60,55
202,3,11:19.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,60,55
203,3,11:18.0,,Defensive rebound by J. Randle,60,55
204,3,11:07.0,,D. Russell misses 3-pt jump shot from 25 ft,60,55
205,3,11:06.0,,Offensive rebound by Team,60,55
206,3,10:57.0,,T. Black makes 2-pt hook shot at rim (assist by D. Russell),60,57
207,3,10:42.0,F. Kaminsky misses 2-pt jump shot from 3 ft,,60,57
208,3,10:40.0,Offensive rebound by N. Batum,,60,57
209,3,10:40.0,N. Batum misses 2-pt layup from 2 ft,,60,57
210,3,10:39.0,,Defensive rebound by J. Randle,60,57
211,3,10:29.0,,Turnover by T. Black (lost ball; steal by M. Kidd-Gilchrist),60,57
212,3,10:23.0,N. Batum misses 3-pt jump shot from 26 ft,,60,57
213,3,10:19.0,,Defensive rebound by T. Black,60,57
214,3,10:15.0,,D. Russell misses 2-pt layup from 1 ft,60,57
215,3,10:11.0,Defensive rebound by F. Kaminsky,,60,57
216,3,10:08.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),,62,57
217,3,9:45.0,,T. Black makes 2-pt hook shot from 2 ft (assist by D. Russell),62,59
218,3,9:31.0,N. Batum misses 3-pt jump shot from 26 ft,,62,59
219,3,9:30.0,,Defensive rebound by T. Black,62,59
220,3,9:09.0,,J. Randle misses 2-pt hook shot from 5 ft,62,59
221,3,9:04.0,,Offensive rebound by T. Black,62,59
222,3,9:04.0,,T. Black makes 2-pt layup from 2 ft,62,61
223,3,8:53.0,Turnover by N. Batum (offensive foul),,62,61
224,3,8:53.0,,Offensive charge foul by N. Batum (drawn by T. Black),62,61
225,3,8:39.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Ingram),62,61
226,3,8:39.0,,B. Ingram misses free throw 1 of 2,62,61
227,3,8:39.0,,Offensive rebound by Team,62,61
228,3,8:39.0,,B. Ingram misses free throw 2 of 2,62,61
229,3,8:38.0,Defensive rebound by M. Kidd-Gilchrist,,62,61
230,3,8:18.0,N. Batum makes 2-pt jump shot from 17 ft,,64,61
231,3,8:01.0,,T. Black misses 2-pt jump shot from 4 ft (block by M. Williams),64,61
232,3,7:59.0,,Offensive rebound by J. Randle,64,61
233,3,7:57.0,,J. Randle misses 2-pt layup from 1 ft (block by F. Kaminsky),64,61
234,3,7:55.0,,Offensive rebound by J. Randle,64,61
235,3,7:54.0,,J. Randle makes 2-pt layup at rim,64,63
236,3,7:45.0,Charlotte full timeout,,64,63
237,3,7:45.0,C. Zeller enters the game for M. Williams,,64,63
238,3,7:34.0,M. Kidd-Gilchrist misses 2-pt jump shot from 3 ft,,64,63
239,3,7:31.0,,Defensive rebound by J. Randle,64,63
240,3,7:25.0,,N. Young misses 3-pt jump shot from 27 ft,64,63
241,3,7:22.0,Defensive rebound by F. Kaminsky,,64,63
242,3,7:16.0,N. Batum misses 2-pt jump shot from 22 ft,,64,63
243,3,7:14.0,Offensive rebound by M. Kidd-Gilchrist,,64,63
244,3,7:13.0,Shooting foul by N. Young (drawn by M. Kidd-Gilchrist),,64,63
245,3,7:13.0,M. Kidd-Gilchrist misses free throw 1 of 2,,64,63
246,3,7:13.0,Offensive rebound by Team,,64,63
247,3,7:13.0,M. Kidd-Gilchrist makes free throw 2 of 2,,65,63
248,3,6:57.0,,B. Ingram misses 2-pt jump shot from 13 ft,65,63
249,3,6:53.0,Defensive rebound by K. Walker,,65,63
250,3,6:41.0,C. Zeller misses 2-pt jump shot from 4 ft,,65,63
251,3,6:34.0,,Defensive rebound by T. Black,65,63
252,3,6:22.0,,N. Young makes 3-pt jump shot from 25 ft (assist by B. Ingram),65,66
253,3,6:01.0,K. Walker misses 2-pt jump shot from 16 ft,,65,66
254,3,5:58.0,,Defensive rebound by J. Randle,65,66
255,3,5:50.0,,N. Young makes 3-pt jump shot from 27 ft (assist by D. Russell),65,69
256,3,5:28.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by N. Batum),,68,69
257,3,5:28.0,Loose ball foul by C. Zeller (drawn by T. Black),,68,69
258,3,5:28.0,,LA Lakers full timeout,68,69
259,3,5:06.0,,T. Black misses 2-pt layup from 1 ft,68,69
260,3,5:04.0,Defensive rebound by N. Batum,,68,69
261,3,4:52.0,C. Zeller misses 2-pt layup from 2 ft (block by T. Black),,68,69
262,3,4:52.0,Offensive rebound by Team,,68,69
263,3,4:52.0,,J. Clarkson enters the game for N. Young,68,69
264,3,4:52.0,J. Lamb enters the game for M. Kidd-Gilchrist,,68,69
265,3,4:52.0,M. Williams enters the game for F. Kaminsky,,68,69
266,3,4:42.0,N. Batum misses 3-pt jump shot from 26 ft,,68,69
267,3,4:41.0,Offensive rebound by C. Zeller,,68,69
268,3,4:39.0,C. Zeller makes 2-pt layup from 2 ft,,70,69
269,3,4:32.0,,Offensive foul by T. Black (drawn by K. Walker),70,69
270,3,4:32.0,,Turnover by T. Black (offensive foul),70,69
271,3,4:19.0,C. Zeller misses 2-pt layup from 2 ft (block by J. Randle),,70,69
272,3,4:17.0,,Defensive rebound by J. Clarkson,70,69
273,3,4:11.0,,T. Black makes 2-pt layup from 2 ft (assist by D. Russell),70,71
274,3,4:11.0,,Shooting foul by C. Zeller (drawn by T. Black),70,71
275,3,4:11.0,,T. Black makes free throw 1 of 1,70,72
276,3,3:53.0,K. Walker makes 3-pt jump shot from 26 ft (assist by M. Williams),,73,72
277,3,3:45.0,,T. Black makes 2-pt dunk at rim (assist by D. Russell),73,74
278,3,3:25.0,K. Walker misses 2-pt layup from 2 ft (block by J. Randle),,73,74
279,3,3:23.0,,Defensive rebound by D. Russell,73,74
280,3,3:19.0,,B. Ingram makes 2-pt dunk at rim (assist by D. Russell),73,76
281,3,2:58.0,M. Williams makes 3-pt jump shot from 28 ft (assist by N. Batum),,76,76
282,3,2:48.0,,Turnover by D. Russell (bad pass),76,76
283,3,2:48.0,Charlotte full timeout,,76,76
284,3,2:48.0,B. Roberts enters the game for K. Walker,,76,76
285,3,2:48.0,,L. Nance enters the game for T. Black,76,76
286,3,2:27.0,M. Williams misses 3-pt jump shot from 27 ft,,76,76
287,3,2:26.0,,Defensive rebound by J. Randle,76,76
288,3,2:13.0,,J. Clarkson misses 3-pt jump shot from 27 ft,76,76
289,3,2:10.0,Defensive rebound by C. Zeller,,76,76
290,3,1:54.0,N. Batum misses 3-pt jump shot from 28 ft,,76,76
291,3,1:53.0,Offensive rebound by C. Zeller,,76,76
292,3,1:49.0,N. Batum misses 3-pt jump shot from 25 ft,,76,76
293,3,1:48.0,,Defensive rebound by J. Randle,76,76
294,3,1:40.0,,D. Russell makes 2-pt jump shot from 9 ft,76,78
295,3,1:24.0,Turnover by B. Roberts (bad pass; steal by L. Nance),,76,78
296,3,1:15.0,,J. Clarkson misses 3-pt jump shot from 24 ft,76,78
297,3,1:13.0,,Offensive rebound by J. Randle,76,78
298,3,1:13.0,,J. Randle makes 2-pt layup from 1 ft,76,80
299,3,1:02.0,Personal foul by J. Clarkson (drawn by J. Lamb),,76,80
300,3,1:02.0,M. Belinelli enters the game for N. Batum,,76,80
301,3,0:53.0,Personal foul by L. Nance (drawn by B. Roberts),,76,80
302,3,0:53.0,B. Roberts makes free throw 1 of 2,,77,80
