,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
177,2,4:16.0,,J. Ingles misses 3-pt jump shot from 27 ft,41,52
178,2,4:16.0,,Offensive rebound by R. Gobert,41,52
179,2,4:06.0,,Utah full timeout,41,52
180,2,4:06.0,,Utah full timeout,41,52
181,2,4:06.0,,A. Burks enters the game for J. Ingles,41,52
182,2,4:06.0,,G. Hill enters the game for R. Neto,41,52
183,2,3:57.0,,G. Hayward makes 2-pt layup from 2 ft,41,54
184,2,3:39.0,M. Turner misses 2-pt jump shot from 14 ft,,41,54
185,2,3:39.0,,Defensive rebound by G. Hayward,41,54
186,2,3:20.0,,R. Gobert makes 2-pt dunk at rim (assist by B. Diaw),41,56
187,2,2:57.0,T. Young makes 3-pt jump shot from 24 ft (assist by M. Ellis),,44,56
188,2,2:42.0,,G. Hayward misses 2-pt jump shot from 19 ft,44,56
189,2,2:42.0,Defensive rebound by M. Turner,,44,56
190,2,2:32.0,J. Teague makes 2-pt jump shot from 6 ft,,46,56
191,2,2:12.0,,R. Gobert misses 2-pt jump shot from 4 ft,46,56
192,2,2:11.0,,Offensive rebound by G. Hill,46,56
193,2,2:09.0,,G. Hill misses 2-pt layup from 2 ft,46,56
194,2,2:08.0,,Offensive rebound by R. Gobert,46,56
195,2,2:08.0,,Shooting foul by M. Turner (drawn by R. Gobert),46,56
196,2,2:08.0,Indiana full timeout,,46,56
197,2,2:08.0,Violation by Team (jump ball),,46,56
198,2,2:08.0,,R. Gobert makes free throw 1 of 2,46,57
199,2,2:08.0,,J. Johnson enters the game for B. Diaw,46,56
200,2,2:08.0,,J. Ingles enters the game for A. Burks,46,56
201,2,2:08.0,,R. Gobert makes free throw 2 of 2,46,58
202,2,1:48.0,M. Turner misses 2-pt jump shot from 13 ft,,46,58
203,2,1:47.0,,Defensive rebound by G. Hill,46,58
204,2,1:27.0,,J. Johnson misses 3-pt jump shot from 25 ft,46,58
205,2,1:27.0,Defensive rebound by M. Ellis,,46,58
206,2,1:22.0,Personal foul by G. Hayward (drawn by C. Miles),,46,58
207,2,1:05.0,M. Ellis misses 2-pt jump shot from 19 ft,,46,58
208,2,1:04.0,,Defensive rebound by G. Hill,46,58
209,2,0:54.0,,J. Ingles misses 2-pt layup from 3 ft,46,58
210,2,0:54.0,Defensive rebound by M. Turner,,46,58
211,2,0:48.0,Personal foul by G. Hill (drawn by T. Young),,46,58
212,2,0:48.0,T. Young misses free throw 1 of 2,,46,58
213,2,0:48.0,Offensive rebound by Team,,46,58
214,2,0:48.0,L. Allen enters the game for M. Turner,,46,58
215,2,0:48.0,T. Young makes free throw 2 of 2,,47,58
216,2,0:31.0,,G. Hill makes 2-pt jump shot from 11 ft,47,60
217,2,0:15.0,J. Teague makes 3-pt jump shot from 25 ft,,50,60
218,2,0:02.0,,G. Hill misses 3-pt jump shot from 26 ft,50,60
219,2,0:01.0,Defensive rebound by M. Ellis,,50,60
220,3,11:45.0,J. Teague misses 2-pt jump shot from 8 ft,,50,60
221,3,11:45.0,Offensive rebound by T. Young,,50,60
222,3,11:43.0,T. Young makes 2-pt jump shot from 5 ft,,52,60
223,3,11:24.0,,Turnover by G. Hayward (bad pass),52,60
224,3,11:09.0,P. George makes 2-pt jump shot from 18 ft,,54,60
225,3,10:41.0,,G. Hill misses 2-pt jump shot from 15 ft,54,60
226,3,10:41.0,Defensive rebound by M. Turner,,54,60
227,3,10:31.0,P. George makes 2-pt jump shot from 20 ft,,56,60
