,Date,Away Team,Home Team
408,2021-02-16,TOR,MIL
409,2021-02-16,LAL,MIN
410,2021-02-16,POR,OKC
411,2021-02-16,BRK,PHO
412,2021-02-17,NYK,ORL
413,2021-02-17,ATL,BOS
414,2021-02-17,HOU,PHI
415,2021-02-17,DET,CHI
416,2021-02-17,IND,MIN
417,2021-02-17,DEN,WAS
418,2021-02-17,OKC,MEM
419,2021-02-17,POR,NOP
420,2021-02-17,MIA,GSW
421,2021-02-17,UTA,LAC
422,2021-02-18,TOR,MIL
423,2021-02-18,BRK,LAL
424,2021-02-18,MIA,SAC
425,2021-02-19,DEN,CLE
426,2021-02-19,GSW,ORL
427,2021-02-19,ATL,BOS
428,2021-02-19,CHI,PHI
429,2021-02-19,DET,MEM
430,2021-02-19,OKC,MIL
431,2021-02-19,PHO,NOP
432,2021-02-19,TOR,MIN
433,2021-02-19,UTA,LAC
434,2021-02-20,GSW,CHO
435,2021-02-20,MIA,LAL
436,2021-02-20,SAC,CHI
437,2021-02-20,PHO,MEM
438,2021-02-20,WAS,POR
439,2021-02-21,BOS,NOP
440,2021-02-21,OKC,CLE
441,2021-02-21,MIN,NYK
442,2021-02-21,DET,ORL
443,2021-02-21,PHI,TOR
444,2021-02-21,DEN,ATL
445,2021-02-21,BRK,LAC
446,2021-02-21,SAC,MIL
447,2021-02-22,CHI,HOU
448,2021-02-22,MEM,DAL
449,2021-02-22,MIA,OKC
450,2021-02-22,POR,PHO
451,2021-02-22,CHO,UTA
452,2021-02-22,WAS,LAL
453,2021-02-23,ATL,CLE
454,2021-02-23,DET,ORL
455,2021-02-23,SAC,BRK
456,2021-02-23,BOS,DAL
457,2021-02-23,GSW,NYK
458,2021-02-23,PHI,TOR
459,2021-02-23,MIN,MIL
460,2021-02-23,POR,DEN
461,2021-02-23,WAS,LAC
462,2021-02-24,BOS,ATL
463,2021-02-24,HOU,CLE
464,2021-02-24,GSW,IND
465,2021-02-24,MIN,CHI
466,2021-02-24,TOR,MIA
467,2021-02-24,DET,NOP
468,2021-02-24,SAS,OKC
469,2021-02-24,CHO,PHO
470,2021-02-24,LAL,UTA
471,2021-02-25,DAL,PHI
472,2021-02-25,ORL,BRK
473,2021-02-25,SAC,NYK
474,2021-02-25,LAC,MEM
475,2021-02-25,WAS,DEN
476,2021-02-25,NOP,MIL
477,2021-02-26,IND,BOS
478,2021-02-26,HOU,TOR
479,2021-02-26,PHO,CHI
480,2021-02-26,SAC,DET
481,2021-02-26,LAC,MEM
482,2021-02-26,UTA,MIA
483,2021-02-26,ATL,OKC
484,2021-02-26,CHO,GSW
485,2021-02-26,POR,LAL
486,2021-02-27,CLE,PHI
487,2021-02-27,MIN,WAS
488,2021-02-27,IND,NYK
489,2021-02-27,DEN,OKC
490,2021-02-27,UTA,ORL
491,2021-02-27,NOP,SAS
492,2021-02-27,DAL,BRK
493,2021-02-28,LAC,MIL
494,2021-02-28,WAS,BOS
495,2021-02-28,NYK,DET
496,2021-02-28,MEM,HOU
497,2021-02-28,GSW,LAL
498,2021-02-28,ATL,MIA
499,2021-02-28,PHO,MIN
500,2021-02-28,CHO,SAC
501,2021-03-01,DAL,ORL
502,2021-03-01,IND,PHI
503,2021-03-01,DEN,CHI
504,2021-03-01,UTA,NOP
505,2021-03-01,BRK,SAS
506,2021-03-01,CLE,HOU
507,2021-03-01,CHO,POR
508,2021-03-02,MEM,WAS
509,2021-03-02,LAC,BOS
510,2021-03-02,ATL,MIA
511,2021-03-02,NYK,SAS
512,2021-03-02,DEN,MIL
513,2021-03-02,PHO,LAL
514,2021-03-03,IND,CLE
515,2021-03-03,UTA,PHI
516,2021-03-03,DET,TOR
517,2021-03-03,BRK,HOU
518,2021-03-03,CHO,MIN
519,2021-03-03,CHI,NOP
520,2021-03-03,ATL,ORL
521,2021-03-03,OKC,DAL
522,2021-03-03,GSW,POR
523,2021-03-03,LAL,SAC
524,2021-03-04,TOR,BOS
525,2021-03-04,LAC,WAS
526,2021-03-04,DET,NYK
527,2021-03-04,DEN,IND
528,2021-03-04,MIL,MEM
529,2021-03-04,MIA,NOP
530,2021-03-04,OKC,SAS
531,2021-03-04,GSW,PHO
532,2021-03-04,SAC,POR
533,2021-03-10,WAS,MEM
534,2021-03-10,SAS,DAL
535,2021-03-11,DET,CHO
536,2021-03-11,BOS,BRK
537,2021-03-11,ATL,TOR
538,2021-03-11,PHI,CHI
539,2021-03-11,ORL,MIA
540,2021-03-11,NYK,MIL
541,2021-03-11,MIN,NOP
542,2021-03-11,DAL,OKC
543,2021-03-11,GSW,LAC
544,2021-03-11,PHO,POR
545,2021-03-11,HOU,SAC
546,2021-03-12,DEN,MEM
547,2021-03-12,CLE,NOP
548,2021-03-12,PHI,WAS
549,2021-03-12,MIA,CHI
550,2021-03-12,ORL,SAS
551,2021-03-12,HOU,UTA
552,2021-03-12,IND,LAL
553,2021-03-13,NYK,OKC
554,2021-03-13,DET,BRK
555,2021-03-13,TOR,CHO
556,2021-03-13,MIL,WAS
557,2021-03-13,SAC,ATL
558,2021-03-13,POR,MIN
559,2021-03-13,DAL,DEN
560,2021-03-13,IND,PHO
561,2021-03-14,MEM,OKC
562,2021-03-14,UTA,GSW
563,2021-03-14,SAS,PHI
564,2021-03-14,MIA,ORL
565,2021-03-14,CLE,ATL
566,2021-03-14,BOS,HOU
567,2021-03-14,POR,MIN
568,2021-03-14,TOR,CHI
569,2021-03-14,LAC,NOP
570,2021-03-15,SAC,CHO
571,2021-03-15,MIL,WAS
572,2021-03-15,NYK,BRK
573,2021-03-15,SAS,DET
574,2021-03-15,LAC,DAL
575,2021-03-15,IND,DEN
576,2021-03-15,MEM,PHO
577,2021-03-15,LAL,GSW
578,2021-03-16,UTA,BOS
579,2021-03-16,OKC,CHI
580,2021-03-16,ATL,HOU
581,2021-03-16,CLE,MIA
582,2021-03-16,NYK,PHI
583,2021-03-16,NOP,POR
584,2021-03-16,MIN,LAL
585,2021-03-17,TOR,DET
586,2021-03-17,BRK,IND
587,2021-03-17,MIL,PHI
588,2021-03-17,SAC,WAS
589,2021-03-17,SAS,CHI
590,2021-03-17,BOS,CLE
591,2021-03-17,GSW,HOU
592,2021-03-17,CHO,DEN
593,2021-03-17,MIA,MEM
594,2021-03-17,LAC,DAL
595,2021-03-18,UTA,WAS
596,2021-03-18,OKC,ATL
597,2021-03-18,ORL,NYK
598,2021-03-18,MIN,PHO
599,2021-03-18,NOP,POR
600,2021-03-18,CHO,LAL
601,2021-03-19,SAC,BOS
602,2021-03-19,SAS,CLE
603,2021-03-19,DET,HOU
604,2021-03-19,GSW,MEM
605,2021-03-19,IND,MIA
606,2021-03-19,BRK,ORL
607,2021-03-19,UTA,TOR
608,2021-03-19,CHI,DEN
609,2021-03-19,MIN,PHO
610,2021-03-19,DAL,POR
611,2021-03-20,ATL,LAL
612,2021-03-20,GSW,MEM
613,2021-03-20,SAC,PHI
614,2021-03-20,SAS,MIL
615,2021-03-20,CHO,LAC
616,2021-03-21,IND,MIA
617,2021-03-21,OKC,HOU
618,2021-03-21,NOP,DEN
619,2021-03-21,ORL,BOS
620,2021-03-21,WAS,BRK
621,2021-03-21,TOR,CLE
622,2021-03-21,CHI,DET
623,2021-03-21,PHI,NYK
624,2021-03-21,LAL,PHO
625,2021-03-21,DAL,POR
626,2021-03-22,SAC,CLE
627,2021-03-22,OKC,MIN
628,2021-03-22,CHO,SAS
629,2021-03-22,UTA,CHI
630,2021-03-22,TOR,HOU
631,2021-03-22,BOS,MEM
632,2021-03-22,IND,MIL
633,2021-03-22,ATL,LAC
634,2021-03-23,DEN,ORL
635,2021-03-23,LAL,NOP
636,2021-03-23,WAS,NYK
637,2021-03-23,PHO,MIA
638,2021-03-23,PHI,GSW
639,2021-03-23,BRK,POR
640,2021-03-24,DET,IND
641,2021-03-24,BOS,MIL
642,2021-03-24,DEN,TOR
643,2021-03-24,CLE,CHI
644,2021-03-24,CHO,HOU
645,2021-03-24,DAL,MIN
646,2021-03-24,MEM,OKC
647,2021-03-24,PHO,ORL
648,2021-03-24,LAC,SAS
649,2021-03-24,ATL,SAC
650,2021-03-24,BRK,UTA
651,2021-03-25,POR,MIA
652,2021-03-25,WAS,NYK
653,2021-03-25,LAC,SAS
654,2021-03-25,PHI,LAL
655,2021-03-25,GSW,SAC
656,2021-03-26,BRK,DET
657,2021-03-26,BOS,MIL
658,2021-03-26,PHO,TOR
659,2021-03-26,MIA,CHO
660,2021-03-26,HOU,MIN
661,2021-03-26,DEN,NOP
662,2021-03-26,POR,ORL
663,2021-03-26,IND,DAL
664,2021-03-26,MEM,UTA
665,2021-03-26,ATL,GSW
666,2021-03-26,CLE,LAL
667,2021-03-27,NYK,MIL
668,2021-03-27,HOU,MIN
669,2021-03-27,DET,WAS
670,2021-03-27,CHI,SAS
671,2021-03-27,DAL,NOP
672,2021-03-27,BOS,OKC
673,2021-03-27,MEM,UTA
674,2021-03-27,PHI,LAC
675,2021-03-27,CLE,SAC
676,2021-03-28,PHO,CHO
677,2021-03-28,POR,TOR
678,2021-03-28,ATL,DEN
679,2021-03-28,ORL,LAL
680,2021-03-29,IND,WAS
681,2021-03-29,NOP,BOS
682,2021-03-29,MIN,BRK
683,2021-03-29,MIA,NYK
684,2021-03-29,TOR,DET
685,2021-03-29,MEM,HOU
686,2021-03-29,DAL,OKC
687,2021-03-29,SAC,SAS
688,2021-03-29,CLE,UTA
689,2021-03-29,CHI,GSW
690,2021-03-29,MIL,LAC
691,2021-03-30,CHO,WAS
692,2021-03-30,PHI,DEN
693,2021-03-30,ORL,LAC
694,2021-03-30,ATL,PHO
695,2021-03-31,POR,DET
696,2021-03-31,MIA,IND
697,2021-03-31,DAL,BOS
698,2021-03-31,HOU,BRK
699,2021-03-31,UTA,MEM
700,2021-03-31,NYK,MIN
701,2021-03-31,TOR,OKC
702,2021-03-31,SAC,SAS
703,2021-03-31,MIL,LAL
704,2021-03-31,CHI,PHO
705,2021-04-01,PHI,CLE
706,2021-04-01,WAS,DET
707,2021-04-01,CHO,BRK
708,2021-04-01,GSW,MIA
709,2021-04-01,ORL,NOP
710,2021-04-01,ATL,SAS
711,2021-04-01,DEN,LAC
712,2021-04-02,GSW,TOR
713,2021-04-02,HOU,BOS
714,2021-04-02,DAL,NYK
715,2021-04-02,CHO,IND
716,2021-04-02,MIN,MEM
717,2021-04-02,ATL,NOP
718,2021-04-02,CHI,UTA
719,2021-04-02,OKC,PHO
720,2021-04-02,MIL,POR
721,2021-04-02,LAL,SAC
722,2021-04-03,DAL,WAS
723,2021-04-03,NYK,DET
724,2021-04-03,CLE,MIA
725,2021-04-03,MIN,PHI
726,2021-04-03,IND,SAS
727,2021-04-03,ORL,UTA
728,2021-04-03,OKC,POR
729,2021-04-03,MIL,SAC
730,2021-04-04,BRK,CHI
731,2021-04-04,LAL,LAC
732,2021-04-04,CHO,BOS
733,2021-04-04,MEM,PHI
734,2021-04-04,GSW,ATL
735,2021-04-04,NOP,HOU
736,2021-04-04,ORL,DEN
737,2021-04-05,NYK,BRK
738,2021-04-05,UTA,DAL
739,2021-04-05,SAC,MIN
740,2021-04-05,DET,OKC
741,2021-04-05,CLE,SAS
742,2021-04-05,WAS,TOR
743,2021-04-05,PHO,HOU
744,2021-04-06,CHI,IND
745,2021-04-06,NOP,ATL
746,2021-04-06,PHI,BOS
747,2021-04-06,LAL,TOR
748,2021-04-06,MEM,MIA
749,2021-04-06,DET,DEN
750,2021-04-06,MIL,GSW
751,2021-04-06,POR,LAC
752,2021-04-07,MIN,IND
753,2021-04-07,WAS,ORL
754,2021-04-07,NYK,BOS
755,2021-04-07,NOP,BRK
756,2021-04-07,MEM,ATL
757,2021-04-07,DAL,HOU
758,2021-04-07,CHO,OKC
759,2021-04-07,SAS,DEN
760,2021-04-07,UTA,PHO
761,2021-04-08,LAL,MIA
762,2021-04-08,CHI,TOR
763,2021-04-08,CLE,OKC
764,2021-04-08,MIL,DAL
765,2021-04-08,PHO,LAC
766,2021-04-08,DET,SAC
767,2021-04-08,POR,UTA
768,2021-04-09,IND,ORL
769,2021-04-09,MIN,BOS
770,2021-04-09,MEM,NYK
771,2021-04-09,CHI,ATL
772,2021-04-09,PHI,NOP
773,2021-04-09,SAS,DEN
774,2021-04-09,CHO,MIL
775,2021-04-09,WAS,GSW
776,2021-04-09,HOU,LAC
777,2021-04-10,TOR,CLE
778,2021-04-10,LAL,BRK
779,2021-04-10,PHI,OKC
780,2021-04-10,SAC,UTA
781,2021-04-10,HOU,GSW
782,2021-04-10,WAS,PHO
783,2021-04-10,DET,POR
784,2021-04-11,ATL,CHO
785,2021-04-11,BOS,DEN
786,2021-04-11,NOP,CLE
787,2021-04-11,MIL,ORL
788,2021-04-11,SAS,DAL
789,2021-04-11,IND,MEM
790,2021-04-11,CHI,MIN
791,2021-04-11,TOR,NYK
792,2021-04-11,DET,LAC
793,2021-04-11,MIA,POR
794,2021-04-12,PHI,DAL
795,2021-04-12,LAL,NYK
796,2021-04-12,SAS,ORL
797,2021-04-12,CHI,MEM
798,2021-04-12,SAC,NOP
799,2021-04-12,WAS,UTA
800,2021-04-12,DEN,GSW
801,2021-04-12,HOU,PHO
802,2021-04-13,BRK,MIN
803,2021-04-13,LAC,IND
804,2021-04-13,ATL,TOR
805,2021-04-13,LAL,CHO
806,2021-04-13,OKC,UTA
807,2021-04-13,MIA,PHO
808,2021-04-13,BOS,POR
809,2021-04-14,MIL,MIN
810,2021-04-14,CLE,CHO
811,2021-04-14,BRK,PHI
812,2021-04-14,SAS,TOR
813,2021-04-14,ORL,CHI
814,2021-04-14,LAC,DET
815,2021-04-14,NYK,NOP
816,2021-04-14,IND,HOU
817,2021-04-14,GSW,OKC
818,2021-04-14,DAL,MEM
819,2021-04-14,MIA,DEN
820,2021-04-14,WAS,SAC
821,2021-04-15,MIL,ATL
822,2021-04-15,GSW,CLE
823,2021-04-15,BOS,LAL
824,2021-04-15,SAC,PHO
825,2021-04-16,IND,UTA
826,2021-04-16,OKC,DET
827,2021-04-16,LAC,PHI
828,2021-04-16,NOP,WAS
