,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
196,2,0:48.0,,B. McLemore misses 3-pt jump shot from 23 ft,54,55
197,2,0:48.0,Defensive rebound by K. Faried,,54,55
198,2,0:40.0,K. Faried misses 2-pt jump shot from 12 ft,,54,55
199,2,0:39.0,,Defensive rebound by D. Collison,54,55
200,2,0:28.0,,D. Collison makes 2-pt jump shot from 10 ft,54,57
201,2,0:08.0,T. Lawson misses 3-pt jump shot from 25 ft,,54,57
202,2,0:06.0,,Defensive rebound by B. McLemore,54,57
203,2,0:00.0,,B. McLemore makes 3-pt jump shot from 25 ft,54,60
204,3,11:48.0,D. Arthur misses 2-pt jump shot from 17 ft,,54,60
205,3,11:47.0,Offensive rebound by J. Nurkić,,54,60
206,3,11:45.0,J. Nurkić makes 2-pt hook shot from 7 ft,,56,60
207,3,11:28.0,,Turnover by R. Gay (bad pass),56,60
208,3,11:06.0,T. Lawson makes 2-pt layup from 2 ft (assist by D. Arthur),,58,60
209,3,10:53.0,,D. Cousins misses 2-pt jump shot from 17 ft,58,60
210,3,10:53.0,Defensive rebound by J. Nurkić,,58,60
211,3,10:44.0,J. Nurkić makes 2-pt jump shot from 16 ft (assist by T. Lawson),,60,60
212,3,10:23.0,,Turnover by D. Cousins (lost ball; steal by J. Nurkić),60,60
213,3,10:18.0,T. Lawson makes 2-pt layup from 1 ft (assist by K. Faried),,62,60
214,3,10:18.0,,Sacramento full timeout,62,60
215,3,9:55.0,,B. McLemore misses 2-pt jump shot from 5 ft,62,60
216,3,9:55.0,Defensive rebound by T. Lawson,,62,60
217,3,9:51.0,A. Afflalo misses 2-pt layup from 2 ft (block by D. Cousins),,62,60
218,3,9:50.0,Offensive rebound by Team,,62,60
219,3,9:47.0,Shooting foul by D. Collison (drawn by T. Lawson),,62,60
220,3,9:47.0,T. Lawson makes free throw 1 of 2,,63,60
221,3,9:47.0,T. Lawson misses free throw 2 of 2,,63,60
222,3,9:46.0,,Defensive rebound by J. Thompson,63,60
223,3,9:34.0,,D. Cousins makes 2-pt dunk at rim (assist by B. McLemore),63,62
224,3,9:16.0,D. Arthur makes 2-pt dunk at rim (assist by A. Afflalo),,65,62
225,3,8:51.0,,D. Cousins misses 2-pt jump shot from 18 ft,65,62
226,3,8:51.0,Defensive rebound by K. Faried,,65,62
227,3,8:44.0,J. Nurkić misses 2-pt hook shot from 5 ft,,65,62
228,3,8:42.0,Offensive rebound by K. Faried,,65,62
229,3,8:42.0,K. Faried makes 2-pt tip-in from 2 ft,,67,62
230,3,8:22.0,,R. Gay makes 2-pt dunk at rim (assist by B. McLemore),67,64
231,3,7:59.0,T. Lawson makes 2-pt jump shot from 22 ft,,69,64
232,3,7:40.0,,D. Cousins misses 2-pt jump shot from 4 ft,69,64
233,3,7:40.0,,Offensive rebound by Team,69,64
234,3,7:40.0,Loose ball foul by K. Faried (drawn by D. Cousins),,69,64
235,3,7:31.0,,D. Collison misses 2-pt jump shot from 14 ft,69,64
236,3,7:31.0,Defensive rebound by J. Nurkić,,69,64
237,3,7:22.0,T. Lawson makes 2-pt jump shot from 18 ft,,71,64
238,3,7:05.0,,D. Cousins misses 2-pt jump shot from 12 ft,71,64
239,3,7:04.0,Defensive rebound by T. Lawson,,71,64
240,3,7:00.0,Shooting foul by D. Collison (drawn by T. Lawson),,71,64
241,3,7:00.0,T. Lawson makes free throw 1 of 3,,72,64
242,3,7:00.0,T. Lawson makes free throw 2 of 3,,73,64
243,3,7:00.0,T. Lawson makes free throw 3 of 3,,74,64
244,3,6:44.0,,R. Gay misses 2-pt jump shot from 17 ft,74,64
245,3,6:44.0,Defensive rebound by K. Faried,,74,64
246,3,6:36.0,D. Arthur misses 3-pt jump shot from 24 ft,,74,64
247,3,6:35.0,Offensive rebound by K. Faried,,74,64
248,3,6:33.0,Shooting foul by J. Thompson (drawn by D. Arthur),,74,64
249,3,6:33.0,D. Arthur makes free throw 1 of 2,,75,64
250,3,6:33.0,D. Arthur makes free throw 2 of 2,,76,64
251,3,6:12.0,,D. Collison misses 2-pt jump shot from 9 ft,76,64
252,3,6:11.0,Defensive rebound by J. Nurkić,,76,64
253,3,5:54.0,A. Afflalo misses 3-pt jump shot from 23 ft,,76,64
254,3,5:53.0,Offensive rebound by J. Nurkić,,76,64
255,3,5:45.0,T. Lawson misses 3-pt jump shot from 24 ft,,76,64
