,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
264,3,5:21.0,,A. Iguodala enters the game for H. Barnes,67,67
265,3,5:21.0,,K. Thompson makes free throw 1 of 2,67,68
266,3,5:21.0,,Golden State full timeout,67,67
267,3,5:07.0,J. Clarkson misses 2-pt jump shot from 9 ft (block by J. McAdoo),,67,69
268,3,5:05.0,,Defensive rebound by S. Curry,67,69
269,3,4:59.0,,S. Curry makes 2-pt layup from 2 ft,67,71
270,3,4:49.0,J. Clarkson misses 2-pt hook shot from 5 ft,,67,71
271,3,4:46.0,Offensive rebound by J. Clarkson,,67,71
272,3,4:26.0,W. Johnson misses 2-pt jump shot from 17 ft,,67,71
273,3,4:25.0,,Defensive rebound by A. Bogut,67,71
274,3,4:14.0,Personal foul by A. Bogut (drawn by W. Johnson),,67,71
275,3,4:14.0,,Turnover by S. Curry (lost ball; steal by J. Hill),67,71
276,3,4:14.0,E. Davis enters the game for J. Clarkson,,67,71
277,3,4:14.0,J. Lin enters the game for T. Black,,67,71
278,3,4:14.0,C. Boozer enters the game for J. Hill,,67,71
279,3,4:02.0,J. Lin makes 3-pt jump shot from 25 ft (assist by E. Davis),,70,71
280,3,3:48.0,,K. Thompson misses 2-pt jump shot from 13 ft,70,71
281,3,3:47.0,Defensive rebound by C. Boozer,,70,71
282,3,3:35.0,W. Ellington misses 3-pt jump shot from 26 ft,,70,71
283,3,3:34.0,,Defensive rebound by J. McAdoo,70,71
284,3,3:16.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by A. Bogut),70,73
285,3,2:59.0,J. Lin makes 2-pt jump shot from 20 ft (assist by C. Boozer),,72,73
286,3,2:43.0,,A. Bogut makes 2-pt layup at rim (assist by A. Iguodala),72,75
287,3,2:30.0,C. Boozer makes 2-pt layup from 2 ft (assist by E. Davis),,74,75
288,3,2:10.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Bogut),74,78
289,3,1:44.0,W. Johnson misses 2-pt jump shot from 20 ft,,74,78
290,3,1:42.0,,Defensive rebound by J. McAdoo,74,78
291,3,1:31.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),74,81
292,3,1:31.0,,Shooting foul by W. Johnson (drawn by S. Curry),74,81
293,3,1:31.0,,J. Holiday enters the game for K. Thompson,74,81
294,3,1:31.0,,D. Lee enters the game for A. Bogut,74,81
295,3,1:31.0,J. Brown enters the game for W. Ellington,,74,81
296,3,1:31.0,,S. Curry makes free throw 1 of 1,74,82
297,3,1:31.0,LA Lakers full timeout,,74,81
298,3,1:08.0,W. Johnson makes 2-pt jump shot from 13 ft (assist by C. Boozer),,76,82
299,3,0:48.0,,S. Curry misses 2-pt jump shot from 16 ft,76,82
300,3,0:47.0,Defensive rebound by C. Boozer,,76,82
301,3,0:37.0,C. Boozer makes 2-pt jump shot from 17 ft (assist by J. Brown),,78,82
302,3,0:30.0,,Personal foul by J. Lin (drawn by S. Curry),78,82
303,3,0:20.0,,Loose ball foul by S. Curry (drawn by J. Lin),78,82
304,3,0:20.0,,Turnover by S. Curry (lost ball),78,82
305,3,0:20.0,,S. Livingston enters the game for S. Curry,78,82
306,3,0:01.0,J. Lin misses 2-pt jump shot from 19 ft,,78,82
307,3,0:00.0,Offensive rebound by Team,,78,82
308,4,12:00.0,,S. Curry makes free throw 2 of 2,78,84
309,4,12:00.0,,S. Livingston enters the game for S. Curry,78,83
310,4,12:00.0,,S. Curry makes free throw 1 of 2,78,83
311,4,11:46.0,,D. Lee misses 2-pt layup from 3 ft (block by E. Davis),78,84
312,4,11:45.0,Defensive rebound by C. Boozer,,78,84
313,4,11:31.0,R. Kelly misses 3-pt jump shot from 26 ft,,78,84
314,4,11:30.0,,Defensive rebound by D. Lee,78,84
315,4,11:20.0,,A. Iguodala makes 2-pt jump shot from 15 ft,78,86
316,4,11:04.0,Personal foul by S. Livingston (drawn by J. Lin),,78,86
317,4,11:01.0,Shooting foul by D. Lee (drawn by J. Lin),,78,86
318,4,11:01.0,J. Lin makes free throw 1 of 2,,79,86
319,4,11:01.0,J. Lin makes free throw 2 of 2,,80,86
320,4,10:48.0,,D. Green misses 3-pt jump shot from 25 ft,80,86
321,4,10:47.0,Defensive rebound by R. Kelly,,80,86
322,4,10:25.0,E. Davis makes 2-pt jump shot from 9 ft,,82,86
323,4,10:06.0,,J. Holiday misses 3-pt jump shot from 25 ft,82,86
324,4,10:05.0,Defensive rebound by R. Kelly,,82,86
325,4,9:58.0,J. Lin misses 3-pt jump shot from 26 ft,,82,86
326,4,9:56.0,,Defensive rebound by D. Green,82,86
327,4,9:49.0,,Shooting foul by C. Boozer (drawn by J. Holiday),82,86
328,4,9:49.0,,J. Holiday makes free throw 2 of 2,82,87
329,4,9:49.0,,J. Holiday misses free throw 1 of 2,82,86
330,4,9:49.0,,Offensive rebound by Team,82,86
331,4,9:36.0,R. Kelly makes 2-pt layup from 1 ft,,84,87
332,4,9:30.0,,Personal foul by J. Lin (drawn by A. Iguodala),84,87
333,4,9:14.0,,S. Livingston makes 2-pt jump shot from 15 ft,84,89
334,4,8:57.0,Shooting foul by S. Livingston (drawn by J. Lin),,84,89
335,4,8:57.0,J. Lin makes free throw 1 of 2,,85,89
336,4,8:57.0,J. Lin misses free throw 2 of 2,,85,89
337,4,8:57.0,Official timeout,,84,89
338,4,8:55.0,,Defensive rebound by S. Livingston,85,89
339,4,8:47.0,Offensive charge foul by D. Green (drawn by J. Lin),,85,89
340,4,8:47.0,,Turnover by D. Green (offensive foul),85,89
341,4,8:40.0,Personal foul by A. Iguodala (drawn by R. Kelly),,85,89
342,4,8:40.0,,K. Thompson enters the game for J. Holiday,85,89
343,4,8:38.0,Shooting foul by D. Green (drawn by J. Lin),,85,89
344,4,8:38.0,J. Lin makes free throw 2 of 2,,87,89
345,4,8:38.0,J. Lin makes free throw 1 of 2,,86,89
346,4,8:17.0,,S. Livingston makes 2-pt hook shot from 4 ft (assist by D. Green),87,91
347,4,7:56.0,C. Boozer misses 2-pt jump shot from 4 ft,,87,91
348,4,7:54.0,,Defensive rebound by A. Iguodala,87,91
349,4,7:46.0,,D. Green makes 2-pt layup at rim (assist by A. Iguodala),87,93
350,4,7:19.0,E. Davis misses 2-pt jump shot from 3 ft,,87,93
351,4,7:18.0,C. Boozer makes 2-pt tip-in at rim,,89,93
352,4,7:18.0,Offensive rebound by C. Boozer,,87,93
353,4,7:10.0,,A. Bogut enters the game for D. Lee,89,93
354,4,7:00.0,,Turnover by S. Livingston (lost ball; steal by C. Boozer),89,93
355,4,6:43.0,C. Boozer misses 2-pt layup from 2 ft (block by K. Thompson),,89,93
