,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
285,3,5:23.0,J. Jerebko misses 2-pt jump shot from 9 ft,,65,58
286,3,5:22.0,,Defensive rebound by O. Mayo,65,58
287,3,5:16.0,,E. İlyasova makes 2-pt layup at rim (assist by J. Henson),65,60
288,3,5:04.0,K. Olynyk misses 3-pt jump shot from 26 ft,,65,60
289,3,5:03.0,,Defensive rebound by T. Ennis,65,60
290,3,4:53.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),65,63
291,3,4:33.0,L. Datome misses 3-pt jump shot from 24 ft,,65,63
292,3,4:32.0,,Defensive rebound by J. Henson,65,63
293,3,4:16.0,,E. İlyasova misses 2-pt layup at rim,65,63
294,3,4:15.0,,Offensive rebound by E. İlyasova,65,63
295,3,4:15.0,,E. İlyasova makes 2-pt tip-in at rim,65,65
296,3,3:54.0,J. Jerebko makes 2-pt jump shot from 17 ft (assist by P. Pressey),,67,65
297,3,3:48.0,,O. Mayo misses 2-pt layup from 1 ft,67,65
298,3,3:46.0,Defensive rebound by J. Jerebko,,67,65
299,3,3:40.0,Boston full timeout,,67,65
300,3,3:26.0,Shooting block foul by O. Mayo (drawn by P. Pressey),,67,65
301,3,3:26.0,P. Pressey makes free throw 1 of 2,,68,65
302,3,3:26.0,J. Young enters the game for L. Datome,,68,65
303,3,3:26.0,Turnover by K. Olynyk (lane violation.),,68,65
304,3,3:10.0,,E. İlyasova makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),68,67
305,3,2:55.0,J. Young makes 2-pt layup at rim (assist by K. Olynyk),,70,67
306,3,2:48.0,,Turnover by T. Ennis (traveling),70,67
307,3,2:24.0,Turnover by Team (shot clock),,70,67
308,3,2:13.0,,J. Henson makes 2-pt layup at rim (assist by E. İlyasova),70,69
309,3,1:52.0,P. Pressey misses 3-pt jump shot from 26 ft,,70,69
310,3,1:51.0,,Defensive rebound by J. Henson,70,69
311,3,1:36.0,,T. Ennis misses 2-pt layup at rim,70,69
312,3,1:35.0,,Offensive rebound by J. Henson,70,69
313,3,1:35.0,,Shooting foul by K. Olynyk (drawn by J. Henson),70,69
314,3,1:35.0,,J. Henson misses free throw 1 of 2,70,69
315,3,1:35.0,,Offensive rebound by Team,70,69
316,3,1:35.0,,J. Henson makes free throw 2 of 2,70,70
317,3,1:22.0,Personal foul by T. Ennis (drawn by G. Wallace),,70,70
318,3,1:14.0,J. Jerebko makes 3-pt jump shot from 24 ft (assist by P. Pressey),,73,70
319,3,0:51.0,,G. Antetokounmpo misses 2-pt layup at rim,73,70
320,3,0:49.0,,Offensive rebound by J. Henson,73,70
321,3,0:49.0,,J. Henson misses 2-pt tip-in at rim,73,70
322,3,0:48.0,Defensive rebound by J. Jerebko,,73,70
323,3,0:48.0,Turnover by J. Jerebko (lost ball),,73,70
324,3,0:28.0,,T. Ennis misses 2-pt jump shot from 3 ft,73,70
325,3,0:28.0,,Offensive rebound by E. İlyasova,73,70
326,3,0:28.0,,Shooting foul by G. Wallace (drawn by E. İlyasova),73,70
327,3,0:28.0,,E. İlyasova makes free throw 1 of 2,73,71
328,3,0:28.0,,J. Gutiérrez enters the game for G. Antetokounmpo,73,71
329,3,0:28.0,,E. İlyasova makes free throw 2 of 2,73,72
330,3,0:07.0,P. Pressey misses 2-pt layup at rim,,73,72
331,3,0:05.0,,Defensive rebound by O. Mayo,73,72
332,3,0:05.0,,Milwaukee full timeout,73,72
333,3,0:00.0,,O. Mayo misses 3-pt jump shot from 23 ft,73,72
334,3,0:00.0,,Offensive rebound by Team,73,72
335,4,11:35.0,,M. Plumlee makes 2-pt layup at rim (assist by J. O'Bryant),73,74
336,4,11:20.0,J. Sullinger makes 2-pt jump shot from 15 ft (assist by M. Smart),,75,74
337,4,11:08.0,,Turnover by J. O'Bryant (lost ball; steal by M. Smart),75,74
338,4,11:03.0,Turnover by G. Wallace (bad pass; steal by T. Ennis),,75,74
339,4,10:55.0,,Shooting foul by K. Olynyk (drawn by J. Gutiérrez),75,74
340,4,10:55.0,,J. Gutiérrez makes free throw 1 of 2,75,75
341,4,10:55.0,,J. Gutiérrez makes free throw 2 of 2,75,76
342,4,10:40.0,J. Sullinger makes 2-pt jump shot from 15 ft (assist by J. Young),,77,76
343,4,10:21.0,,T. Ennis makes 2-pt layup at rim,77,78
344,4,10:09.0,K. Olynyk makes 3-pt jump shot from 26 ft (assist by M. Smart),,80,78
345,4,9:52.0,,Turnover by T. Ennis (bad pass; steal by M. Smart),80,78
346,4,9:44.0,Shooting foul by J. O'Bryant (drawn by K. Olynyk),,80,78
347,4,9:44.0,K. Olynyk makes free throw 1 of 2,,81,78
348,4,9:44.0,L. Datome enters the game for G. Wallace,,81,78
349,4,9:44.0,K. Olynyk makes free throw 2 of 2,,82,78
350,4,9:31.0,,T. Ennis misses 3-pt jump shot from 24 ft,82,78
351,4,9:29.0,,Offensive rebound by J. O'Bryant,82,78
352,4,9:23.0,,O. Mayo misses 3-pt jump shot from 23 ft,82,78
353,4,9:21.0,Defensive rebound by K. Olynyk,,82,78
354,4,9:09.0,J. Sullinger misses 2-pt jump shot from 14 ft,,82,78
355,4,9:08.0,,Defensive rebound by T. Ennis,82,78
356,4,8:58.0,,J. Gutiérrez misses 2-pt layup at rim,82,78
357,4,8:55.0,Defensive rebound by J. Sullinger,,82,78
358,4,8:47.0,J. Young makes 2-pt jump shot from 20 ft (assist by J. Sullinger),,84,78
359,4,8:32.0,,Shooting foul by J. Sullinger (drawn by M. Plumlee),84,78
360,4,8:32.0,Official timeout,,84,78
361,4,8:32.0,,M. Plumlee makes free throw 1 of 2,84,79
