,QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
350,4,8:16.0,,Personal foul by A. Drummond (drawn by N. Peković),74,80
351,4,8:12.0,,Turnover by R. Rubio (lost ball),74,80
352,4,7:59.0,D. Augustin makes 3-pt jump shot from 24 ft,,77,80
353,4,7:37.0,,N. Peković misses 2-pt jump shot from 12 ft,77,80
354,4,7:35.0,Defensive rebound by A. Drummond,,77,80
355,4,7:22.0,D. Augustin misses 2-pt jump shot from 23 ft,,77,80
356,4,7:18.0,,Defensive rebound by Team,77,80
357,4,7:18.0,,T. Young enters the game for A. Bennett,77,80
358,4,7:00.0,,T. Young misses 2-pt hook shot from 6 ft,77,80
359,4,6:59.0,Defensive rebound by C. Butler,,77,80
360,4,6:51.0,A. Drummond makes 2-pt layup from 1 ft (assist by J. Jerebko),,79,80
361,4,6:32.0,,Personal block foul by J. Jerebko (drawn by T. Young),79,80
362,4,6:24.0,,N. Peković makes 2-pt layup from 2 ft (assist by T. Young),79,82
363,4,6:05.0,Turnover by D. Augustin (lost ball; steal by C. Brewer),,79,82
364,4,6:00.0,,K. Martin misses 3-pt jump shot from 25 ft,79,82
365,4,5:59.0,Defensive rebound by C. Butler,,79,82
366,4,5:50.0,Turnover by C. Butler (bad pass; steal by C. Brewer),,79,82
367,4,5:46.0,,K. Martin makes 2-pt layup at rim (assist by C. Brewer),79,84
368,4,5:38.0,Detroit full timeout,,79,84
369,4,5:38.0,,M. Williams enters the game for K. Martin,79,84
370,4,5:38.0,J. Smith enters the game for J. Jerebko,,79,84
371,4,5:31.0,Personal foul by M. Williams (drawn by D. Augustin),,79,84
372,4,5:19.0,J. Smith makes 2-pt jump shot from 6 ft (assist by D. Augustin),,81,84
373,4,4:55.0,,R. Rubio makes 2-pt jump shot from 21 ft,81,86
374,4,4:39.0,Personal foul by N. Peković (drawn by A. Drummond),,81,86
375,4,4:25.0,J. Smith misses 3-pt jump shot from 25 ft,,81,86
376,4,4:22.0,Offensive rebound by Team,,81,86
377,4,4:15.0,Turnover by J. Smith (lost ball),,81,86
378,4,4:02.0,,R. Rubio misses 2-pt layup from 2 ft,81,86
379,4,4:01.0,Defensive rebound by D. Augustin,,81,86
380,4,3:55.0,A. Drummond misses 2-pt layup from 2 ft,,81,86
381,4,3:54.0,Offensive rebound by J. Smith,,81,86
382,4,3:52.0,Personal foul by N. Peković (drawn by J. Smith),,81,86
