,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
373,4,2:35.0,,Defensive rebound by Team,85,78
374,4,2:35.0,Z. Randolph enters the game for K. Koufos,,85,78
375,4,2:24.0,,N. Peković makes 2-pt jump shot from 3 ft (assist by T. Young),85,80
376,4,2:02.0,J. Green makes 2-pt jump shot from 11 ft,,87,80
377,4,1:47.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by K. Martin),87,83
378,4,1:27.0,C. Lee enters the game for T. Allen,,87,83
379,4,1:24.0,Shooting foul by K. Martin (drawn by C. Lee),,87,83
380,4,1:24.0,C. Lee makes free throw 1 of 2,,88,83
381,4,1:24.0,C. Lee makes free throw 2 of 2,,89,83
382,4,1:09.0,,Shooting foul by M. Gasol (drawn by A. Wiggins),89,83
383,4,1:09.0,,A. Wiggins makes free throw 1 of 2,89,84
