,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
164,2,4:37.0,Defensive rebound by Team,,35,33
165,2,4:37.0,,Loose ball foul by N. Noel (drawn by M. Muscala),35,33
166,2,4:30.0,Turnover by D. Schröder (bad pass),,35,33
167,2,4:21.0,,Turnover by M. Carter-Williams (traveling),35,33
168,2,4:10.0,Turnover by D. Schröder (bad pass; steal by L. Mbah a Moute),,35,33
169,2,3:48.0,,K. McDaniels misses 2-pt jump shot from 7 ft,35,33
170,2,3:46.0,Defensive rebound by M. Scott,,35,33
171,2,3:34.0,Turnover by K. Bazemore (bad pass),,35,33
172,2,3:34.0,,T. Wroten enters the game for L. Mbah a Moute,35,33
173,2,3:26.0,,Turnover by M. Carter-Williams (dbl dribble),35,33
174,2,3:26.0,A. Horford enters the game for M. Muscala,,35,33
175,2,3:26.0,K. Korver enters the game for K. Bazemore,,35,33
176,2,3:12.0,A. Horford makes 2-pt jump shot from 18 ft (assist by D. Schröder),,37,33
177,2,2:59.0,,R. Covington misses 3-pt jump shot from 27 ft,37,33
178,2,2:57.0,,Offensive rebound by K. McDaniels,37,33
179,2,2:57.0,,K. McDaniels misses 2-pt tip-in at rim,37,33
180,2,2:55.0,Defensive rebound by A. Horford,,37,33
181,2,2:47.0,Shooting foul by M. Carter-Williams (drawn by K. Korver),,37,33
182,2,2:47.0,Official timeout,,37,33
183,2,2:47.0,,J. Grant enters the game for M. Carter-Williams,37,33
184,2,2:47.0,K. Korver misses free throw 1 of 2,,37,33
185,2,2:47.0,Offensive rebound by Team,,37,33
186,2,2:47.0,K. Korver makes free throw 2 of 2,,38,33
187,2,2:31.0,,T. Wroten misses 3-pt jump shot from 27 ft,38,33
188,2,2:29.0,Defensive rebound by A. Horford,,38,33
189,2,2:13.0,D. Schröder makes 2-pt layup at rim (assist by A. Horford),,40,33
190,2,1:55.0,,Turnover by T. Wroten (lost ball),40,33
191,2,1:46.0,Personal foul by J. Grant (drawn by M. Scott),,40,33
192,2,1:36.0,M. Scott misses 2-pt layup from 1 ft,,40,33
193,2,1:35.0,,Defensive rebound by J. Grant,40,33
