,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
285,3,3:59.0,,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),64,67
286,3,3:37.0,K. Leonard misses 3-pt jump shot from 25 ft,,64,67
287,3,3:36.0,,Defensive rebound by J. Smith,64,67
288,3,3:29.0,,Turnover by J. Smith (bad pass; steal by M. Ginóbili),64,67
289,3,3:24.0,Shooting foul by J. Smith (drawn by T. Duncan),,64,67
290,3,3:24.0,T. Duncan misses free throw 1 of 2,,64,67
291,3,3:24.0,Offensive rebound by Team,,64,67
292,3,3:24.0,T. Duncan makes free throw 2 of 2,,65,67
293,3,3:22.0,,Personal take foul by P. Mills (drawn by J. Smith),65,67
294,3,3:22.0,,J. Smith makes free throw 1 of 2,65,68
295,3,3:22.0,,J. Smith misses free throw 2 of 2,65,68
296,3,3:22.0,Defensive rebound by B. Diaw,,65,68
297,3,3:09.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),,68,68
298,3,2:59.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),68,71
299,3,2:49.0,T. Duncan makes 2-pt dunk at rim (assist by M. Ginóbili),,70,71
300,3,2:43.0,,Personal take foul by P. Mills (drawn by J. Smith),70,71
301,3,2:43.0,,Houston full timeout,70,71
302,3,2:43.0,,C. Brewer enters the game for T. Jones,70,71
303,3,2:43.0,D. Green enters the game for B. Diaw,,70,71
304,3,2:43.0,,J. Smith misses free throw 1 of 2,70,71
305,3,2:43.0,,Offensive rebound by Team,70,71
306,3,2:43.0,,J. Smith misses free throw 2 of 2,70,71
307,3,2:41.0,Defensive rebound by D. Green,,70,71
308,3,2:24.0,D. Green misses 3-pt jump shot from 24 ft,,70,71
309,3,2:23.0,,Defensive rebound by J. Smith,70,71
310,3,2:19.0,,Personal take foul by P. Mills (drawn by J. Smith),70,71
311,3,2:19.0,,J. Smith makes free throw 1 of 2,70,72
312,3,2:19.0,,J. Smith misses free throw 2 of 2,70,72
313,3,2:19.0,Defensive rebound by M. Ginóbili,,70,72
314,3,1:58.0,T. Duncan makes 2-pt hook shot from 7 ft (assist by D. Green),,72,72
315,3,1:54.0,,Personal take foul by K. Leonard (drawn by J. Smith),72,72
316,3,1:54.0,,J. Smith makes free throw 1 of 2,72,73
317,3,1:54.0,,J. Smith misses free throw 2 of 2,72,73
318,3,1:54.0,,Offensive rebound by C. Brewer,72,73
319,3,1:48.0,,J. Harden misses 3-pt jump shot from 27 ft,72,73
320,3,1:47.0,,Offensive rebound by Team,72,73
321,3,1:47.0,,T. Jones enters the game for J. Smith,72,73
322,3,1:38.0,,J. Harden misses 2-pt jump shot from 13 ft,72,73
323,3,1:35.0,,Offensive rebound by Team,72,73
324,3,1:17.0,,C. Brewer makes 2-pt jump shot from 9 ft (assist by T. Jones),72,75
325,3,0:56.0,M. Ginóbili misses 2-pt jump shot from 6 ft,,72,75
326,3,0:56.0,Offensive rebound by T. Duncan,,72,75
327,3,0:56.0,T. Duncan makes 2-pt tip-in from 1 ft,,74,75
328,3,0:44.0,,Turnover by J. Harden (bad pass; steal by K. Leonard),74,75
329,3,0:39.0,P. Mills makes 3-pt jump shot from 24 ft (assist by K. Leonard),,77,75
330,3,0:31.0,,J. Harden misses 2-pt layup from 1 ft,77,75
331,3,0:29.0,Defensive rebound by K. Leonard,,77,75
332,3,0:20.0,P. Mills makes 3-pt jump shot from 22 ft (assist by D. Green),,80,75
333,3,0:00.0,,J. Harden misses 2-pt jump shot from 18 ft,80,75
334,3,0:00.0,,Offensive rebound by Team,80,75
335,4,11:50.0,,Turnover by J. Smith (bad pass; steal by A. Baynes),80,75
336,4,11:42.0,A. Baynes makes 2-pt layup from 3 ft (assist by M. Ginóbili),,82,75
337,4,11:42.0,Shooting foul by J. Smith (drawn by A. Baynes),,82,75
338,4,11:42.0,A. Baynes misses free throw 1 of 1,,82,75
339,4,11:42.0,,Defensive rebound by D. Howard,82,75
340,4,11:27.0,,Personal foul by A. Baynes (drawn by D. Howard),82,75
341,4,11:27.0,Technical foul by A. Baynes,,82,75
342,4,11:27.0,,J. Terry makes technical free throw,82,76
343,4,11:26.0,,Offensive foul by D. Howard (drawn by A. Baynes),82,76
344,4,11:26.0,,Turnover by D. Howard (offensive foul),82,76
345,4,11:16.0,Personal foul by J. Terry (drawn by P. Mills),,82,76
346,4,11:05.0,Turnover by M. Ginóbili (bad pass; steal by D. Howard),,82,76
347,4,11:01.0,,Turnover by T. Ariza (bad pass; steal by M. Belinelli),82,76
348,4,10:55.0,Shooting foul by T. Ariza (drawn by A. Baynes),,82,76
349,4,10:55.0,A. Baynes makes 2-pt layup from 2 ft (assist by B. Diaw),,84,76
350,4,10:55.0,A. Baynes makes free throw 1 of 1,,85,76
351,4,10:39.0,Offensive charge foul by D. Howard (drawn by A. Baynes),,85,76
352,4,10:39.0,,Turnover by D. Howard (offensive foul),85,76
353,4,10:33.0,Turnover by P. Mills (traveling),,85,76
354,4,10:24.0,,Shooting foul by M. Ginóbili (drawn by D. Howard),85,76
355,4,10:24.0,,D. Howard makes 2-pt layup from 1 ft (assist by J. Smith),85,78
356,4,10:24.0,,D. Howard misses free throw 1 of 1,85,78
357,4,10:24.0,,Offensive rebound by T. Ariza,85,78
358,4,10:16.0,,J. Smith misses 3-pt jump shot from 25 ft,85,78
359,4,10:15.0,Defensive rebound by M. Belinelli,,85,78
360,4,10:09.0,B. Diaw misses 2-pt layup from 2 ft,,85,78
361,4,10:08.0,Offensive rebound by B. Diaw,,85,78
362,4,10:08.0,B. Diaw misses 2-pt tip-in from 2 ft,,85,78
363,4,10:07.0,Offensive rebound by A. Baynes,,85,78
364,4,10:07.0,A. Baynes misses 2-pt layup at rim,,85,78
365,4,10:06.0,,Defensive rebound by D. Howard,85,78
366,4,9:52.0,,Shooting foul by M. Ginóbili (drawn by C. Brewer),85,78
367,4,9:52.0,,C. Brewer makes free throw 1 of 2,85,79
368,4,9:52.0,,P. Prigioni enters the game for J. Terry,85,79
369,4,9:52.0,,C. Brewer makes free throw 2 of 2,85,80
370,4,9:38.0,M. Belinelli misses 3-pt jump shot from 25 ft,,85,80
371,4,9:37.0,,Defensive rebound by Team,85,80
372,4,9:29.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Smith),85,83
373,4,9:29.0,,Loose ball foul by D. Howard (drawn by B. Diaw),85,83
374,4,9:29.0,San Antonio full timeout,,85,83
375,4,9:29.0,K. Leonard enters the game for M. Ginóbili,,85,83
376,4,9:13.0,P. Mills makes 2-pt jump shot from 20 ft,,87,83
377,4,9:13.0,Loose ball foul by A. Baynes (drawn by D. Howard),,87,83
378,4,9:13.0,T. Duncan enters the game for A. Baynes,,87,83
379,4,8:58.0,,J. Smith misses 2-pt hook shot from 12 ft,87,83
380,4,8:56.0,,Offensive rebound by D. Howard,87,83
381,4,8:56.0,,D. Howard misses 2-pt tip-in at rim,87,83
382,4,8:54.0,Defensive rebound by T. Duncan,,87,83
383,4,8:36.0,T. Duncan makes 2-pt layup from 1 ft (assist by P. Mills),,89,83
384,4,8:21.0,,P. Prigioni makes 2-pt jump shot from 14 ft,89,85
385,4,8:05.0,Offensive foul by T. Duncan (drawn by D. Howard),,89,85
