,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
182,2,2:18.0,,Turnover by B. McLemore (bad pass; steal by G. Henderson),42,53
183,2,2:10.0,G. Henderson misses 2-pt jump shot from 11 ft,,42,53
184,2,2:09.0,,Defensive rebound by J. Thompson,42,53
185,2,1:51.0,,Turnover by R. McCallum (bad pass),42,53
186,2,1:50.0,,Loose ball foul by J. Thompson (drawn by A. Jefferson),42,53
187,2,1:28.0,K. Walker makes 2-pt layup from 3 ft (assist by A. Jefferson),,44,53
188,2,1:11.0,,R. McCallum makes 2-pt jump shot from 16 ft,44,55
189,2,0:58.0,M. Williams misses 2-pt jump shot from 14 ft,,44,55
190,2,0:57.0,,Defensive rebound by R. Gay,44,55
191,2,0:49.0,,R. Gay misses 2-pt layup from 4 ft,44,55
192,2,0:47.0,Defensive rebound by K. Walker,,44,55
193,2,0:43.0,K. Walker makes 2-pt layup from 3 ft,,46,55
194,2,0:35.0,,R. McCallum misses 2-pt jump shot from 3 ft (block by M. Kidd-Gilchrist),46,55
195,2,0:33.0,,Offensive rebound by R. McCallum,46,55
196,2,0:20.0,,R. Gay makes 2-pt jump shot from 15 ft,46,57
197,2,0:01.0,K. Walker misses 2-pt jump shot from 9 ft,,46,57
198,2,0:00.0,,Defensive rebound by R. Gay,46,57
199,3,11:39.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by A. Jefferson),,48,57
200,3,11:22.0,,R. McCallum misses 3-pt jump shot from 24 ft,48,57
201,3,11:21.0,Defensive rebound by A. Jefferson,,48,57
202,3,11:04.0,A. Jefferson makes 2-pt layup from 4 ft,,50,57
203,3,10:44.0,,B. McLemore misses 2-pt jump shot from 6 ft,50,57
204,3,10:43.0,Defensive rebound by A. Jefferson,,50,57
205,3,10:35.0,K. Walker misses 2-pt jump shot from 6 ft (block by J. Thompson),,50,57
206,3,10:35.0,Offensive rebound by Team,,50,57
207,3,10:20.0,G. Henderson makes 2-pt layup from 3 ft,,52,57
208,3,10:06.0,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Gay),52,57
209,3,10:06.0,,R. Gay makes free throw 1 of 2,52,58
210,3,10:06.0,,R. Gay makes free throw 2 of 2,52,59
211,3,9:41.0,K. Walker makes 3-pt jump shot from 26 ft,,55,59
212,3,9:28.0,,J. Thompson makes 2-pt jump shot from 3 ft (assist by R. Gay),55,61
213,3,9:28.0,,Shooting foul by A. Jefferson (drawn by J. Thompson),55,61
214,3,9:28.0,,J. Thompson misses free throw 1 of 1,55,61
215,3,9:27.0,Defensive rebound by A. Jefferson,,55,61
216,3,9:09.0,Turnover by M. Kidd-Gilchrist (lost ball),,55,61
217,3,8:58.0,,J. Thompson misses 2-pt jump shot from 14 ft,55,61
218,3,8:56.0,Defensive rebound by G. Henderson,,55,61
219,3,8:53.0,Shooting foul by B. McLemore (drawn by G. Henderson),,55,61
220,3,8:53.0,G. Henderson makes 2-pt layup from 3 ft,,57,61
221,3,8:53.0,,Sacramento full timeout,57,61
222,3,8:53.0,G. Henderson makes free throw 1 of 1,,58,61
223,3,8:32.0,,R. Gay makes 2-pt jump shot from 13 ft,58,63
224,3,8:14.0,Turnover by A. Jefferson (traveling),,58,63
225,3,8:02.0,,Def 3 sec tech foul by A. Jefferson,58,63
226,3,8:02.0,,R. Gay makes technical free throw,58,64
227,3,7:54.0,,J. Thompson misses 2-pt jump shot from 9 ft,58,64
228,3,7:54.0,Defensive rebound by G. Henderson,,58,64
229,3,7:45.0,M. Williams misses 2-pt jump shot from 21 ft,,58,64
230,3,7:44.0,,Defensive rebound by J. Thompson,58,64
231,3,7:33.0,,Shooting foul by A. Jefferson (drawn by B. McLemore),58,64
232,3,7:33.0,,B. McLemore makes 2-pt jump shot from 5 ft (assist by R. Gay),58,66
233,3,7:33.0,,B. McLemore makes free throw 1 of 1,58,67
234,3,7:13.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),,60,67
235,3,6:57.0,,Turnover by O. Casspi (lost ball; steal by K. Walker),60,67
236,3,6:56.0,Personal foul by O. Casspi (drawn by K. Walker),,60,67
237,3,6:33.0,A. Jefferson misses 2-pt jump shot from 20 ft,,60,67
238,3,6:33.0,,Defensive rebound by O. Casspi,60,67
239,3,6:22.0,,R. McCallum misses 2-pt jump shot from 3 ft (block by A. Jefferson),60,67
240,3,6:21.0,,Offensive rebound by R. McCallum,60,67
241,3,6:18.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by R. McCallum),60,70
242,3,5:54.0,M. Williams misses 2-pt jump shot from 3 ft,,60,70
243,3,5:53.0,Offensive rebound by M. Williams,,60,70
244,3,5:53.0,M. Williams misses 2-pt tip-in from 3 ft,,60,70
245,3,5:52.0,,Defensive rebound by R. Gay,60,70
246,3,5:46.0,,Turnover by R. Gay (bad pass; steal by K. Walker),60,70
247,3,5:39.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by R. Gay),,60,70
248,3,5:33.0,,O. Casspi misses 3-pt jump shot from 24 ft,60,70
249,3,5:32.0,Defensive rebound by K. Walker,,60,70
250,3,5:28.0,K. Walker misses 2-pt layup from 2 ft (block by R. McCallum),,60,70
251,3,5:28.0,Offensive rebound by Team,,60,70
252,3,5:28.0,Technical foul by K. Walker,,60,70
253,3,5:28.0,,R. Gay makes technical free throw,60,71
254,3,5:28.0,,R. Evans enters the game for J. Thompson,60,71
255,3,5:28.0,M. Williams enters the game for G. Henderson,,60,71
256,3,5:16.0,K. Walker misses 3-pt jump shot from 25 ft,,60,71
257,3,5:13.0,Offensive rebound by Team,,60,71
258,3,5:06.0,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Williams),,63,71
259,3,4:55.0,,Offensive foul by R. McCallum (drawn by K. Walker),63,71
260,3,4:55.0,,Turnover by R. McCallum (offensive foul),63,71
261,3,4:55.0,,A. Miller enters the game for R. McCallum,63,71
262,3,4:32.0,K. Walker misses 2-pt layup from 2 ft,,63,71
263,3,4:31.0,,Defensive rebound by R. Evans,63,71
264,3,4:23.0,,R. Gay makes 2-pt layup from 2 ft (assist by B. McLemore),63,73
265,3,4:22.0,Charlotte full timeout,,63,73
266,3,4:22.0,,D. Williams enters the game for O. Casspi,63,73
267,3,4:22.0,C. Zeller enters the game for M. Williams,,63,73
268,3,4:05.0,A. Jefferson makes 2-pt hook shot from 9 ft,,65,73
269,3,3:50.0,,R. Gay misses 3-pt jump shot from 26 ft,65,73
270,3,3:50.0,Defensive rebound by C. Zeller,,65,73
271,3,3:42.0,Turnover by K. Walker (dbl dribble),,65,73
272,3,3:42.0,,N. Stauskas enters the game for B. McLemore,65,73
273,3,3:27.0,,Personal foul by M. Williams (drawn by N. Stauskas),65,73
274,3,3:27.0,Technical foul by M. Williams,,65,73
275,3,3:27.0,,R. Gay makes technical free throw,65,74
276,3,3:18.0,,A. Miller misses 2-pt jump shot from 16 ft,65,74
277,3,3:18.0,,Offensive rebound by R. Evans,65,74
278,3,3:05.0,,Turnover by R. Evans (lost ball),65,74
279,3,2:50.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,65,74
280,3,2:50.0,,Defensive rebound by R. Evans,65,74
281,3,2:33.0,,A. Miller makes 2-pt jump shot from 5 ft,65,76
282,3,2:18.0,C. Zeller misses 2-pt jump shot from 11 ft,,65,76
283,3,2:18.0,,Defensive rebound by R. Gay,65,76
284,3,2:08.0,,R. Gay misses 2-pt jump shot from 11 ft,65,76
285,3,2:07.0,Defensive rebound by C. Zeller,,65,76
286,3,1:56.0,Shooting foul by R. Gay (drawn by M. Kidd-Gilchrist),,65,76
287,3,1:56.0,M. Kidd-Gilchrist makes free throw 1 of 2,,66,76
288,3,1:56.0,L. Stephenson enters the game for A. Jefferson,,66,76
